Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Ceramic Tiger Mug,Third Wave Coffee,622.0,,,Enjoy your coffee with a touch of wild,,,Enjoy your coffee with a touch of wild,https://www.thirdwavecoffee.in/products/ceramic-tiger-mug,https://cdn.shopify.com/s/files/1/1834/9395/files/Ceramic_Tiger_Mug_bb8f6fe7-1b17-4fd0-b812-321a481b8091.jpg?v=1730806890,Accessories
Ceramic Ribbed Mug,Third Wave Coffee,599.0,,,Perfect for your daily coffee,,,Perfect for your daily coffee,https://www.thirdwavecoffee.in/products/ceramic-ribbed-mug,https://cdn.shopify.com/s/files/1/1834/9395/files/Ceramic_Ribbed_Mug_66d433d8-de89-4763-a932-a4594e3abfdc.jpg?v=1730806887,Accessories
Monsoon Malabar Easy Coffee Bags (Box of 10),Third Wave Coffee,500.0,Box of 10,,Our Monsoon Malabar coffee is an homage to a historical,Malabar Coast,Monsooned,"Our Monsoon Malabar coffee is an homage to a historical process originating from the long sea journeys in the days of the British Raj. Each cup is packed with bold flavours, complemented by strong, nutty, earthy notes. Sip on this for a perfectly versatile cup that can be enjoyed any time of the day. Our suggestion? Keep a second Easy Coffee Bag of our Monsoon Malabar coffee handy because you’ll definitely want more!",https://www.thirdwavecoffee.in/products/monsoon-malabar-easy-coffee-bags-box-of-10,https://cdn.shopify.com/s/files/1/1834/9395/files/WEBSITE_ECB_MM_IMAGES_2026_2048x2048-07.jpg?v=1771479865,Coffee
Single Origin Easy Coffee Bags (Box of 10),Third Wave Coffee,500.0,Box of 10,,our Single,,,"Get ready to savor the vibrant, fruity notes of our Single-Origin Coffee, carefully sourced from one exceptional farm. We traveled far and wide to find the perfect beans, ensuring top quality and unique flavors. Each bean is roasted to perfection to bring out its balanced, fruity nuances. Enjoy a cup that's as special as you are, and start your morning with a delightful boost of pure coffee happiness!",https://www.thirdwavecoffee.in/products/single-origin-easy-coffee-bags-box-of-10,https://cdn.shopify.com/s/files/1/1834/9395/files/WEBSITE_ECB_SO_IMAGES_2026_2048x2048-09.jpg?v=1771479904,Coffee
Vienna Roast Easy Coffee Bags (Box of 10),Third Wave Coffee,500.0,Box of 10,Dark Roast,"Start your day with the deep, rich flavor of our Vienna",,,"Start your day with the deep, rich flavor of our Vienna Roast Coffee. This dark roast strikes the perfect balance between smooth and bold, giving you just the right kick to tackle whatever comes your way. Enjoy the cozy notes of chocolate and caramel in every sip, making your morning coffee a delightful and energizing experience. Wake up, feel great, and power through your day with Vienna Roast Easy Coffee!",https://www.thirdwavecoffee.in/products/vienna-roast-easy-coffee-bags-box-of-10,https://cdn.shopify.com/s/files/1/1834/9395/files/WEBSITE_ECB_VR_IMAGES_2026_2048x2048-11.jpg?v=1771479918,Coffee
Assorted  Easy Coffee Bags,Third Wave Coffee,500.0,100g,Vienna Roast,4 Monsoon Malabar bags 3 Vienna,Malabar Coast,Monsooned,"4 Monsoon Malabar bags 3 Vienna Roast bags 3 Single Origin bags Indulge in a journey of taste with our Assorted Coffee Box, featuring a delightful trio of flavors. Each bag is a testament to craftsmanship, from the bold richness of Vienna Roast to the exotic allure of Monsoon Malabar and the nuanced elegance of Single Origin. Perfectly roasted and packed to preserve freshness, this box promises a coffee experience that's diverse, satisfying, and always memorable. Discover your favorite brew or enjoy them all—because every cup tells a story of flavor and passion.",https://www.thirdwavecoffee.in/products/easy-coffee-bags-assorted,https://cdn.shopify.com/s/files/1/1834/9395/files/WEBSITE_ECB_ASSORT_IMAGES_2026_2048x2048-05.jpg?v=1771482496,Coffee
COLD BREW | MEDIUM DARK ROAST,Third Wave Coffee,600.0,5 Bags,Medium-Dark Roast,"Crafted with 100% Arabica coffee, this medium-dark",,,"Crafted with 100% Arabica coffee, this medium-dark roast cold brew delivers a rich, smooth, and full-bodied flavour in every sip. Whether you’re slowing down or powering through the day, it brews into a refreshing cup with deep notes and a balanced finish. Enjoy it black over ice, or experiment with mixers like coconut water for a tropical twist or orange juice for a bright Cold Fashioned-style drink.",https://www.thirdwavecoffee.in/products/easy-cold-brew-coffee-medium-dark-roast,https://cdn.shopify.com/s/files/1/1834/9395/files/Media_3.jpg?v=1770386984,Coffee
Brass Coffee Filter + Brass Dabra,Third Wave Coffee,1779.0,,,,,,"Elevate your coffee ritual with Third Wave Coffee’s Brass Coffee Filter & Brass Dabra. This beautifully crafted set celebrates South Indian coffee culture, delivering an authentic experience with every brew and sip.",https://www.thirdwavecoffee.in/products/brass-coffee-filter-brass-dabra,https://cdn.shopify.com/s/files/1/1834/9395/files/Merchandise_560c2b9d-a0b2-45eb-8a91-f02f413977a0.png?v=1730806912,Coffee
Luxe Hamper,Third Wave Coffee,2831.0,,,For the ones who deserve it all. Featuring Ratnagiri,Ratnagiri Estate,,"For the ones who deserve it all. Featuring Ratnagiri Estate coffee beans, a French Press to brew them right, and Smoor’s Choco Mithai paired with Kunafa for a sweet balance — this hamper is the epitome of indulgence. With a festive diya, mug, and greeting card, it’s a celebration of craft, elegance, and Diwali joy in every detail. 1 x Choco Mithai - Pack of 6 1 x French Press 350ml 1 x Coffee Beans - Specialty Single Origin Ratnagiri Estate 1 x Pistachio & Kunafa Choco Bites - Pack of 4 1 x Mug 1 x Diya",https://www.thirdwavecoffee.in/products/luxe-hamper,https://cdn.shopify.com/s/files/1/1834/9395/files/DiwaliLuxeHamper01.jpg?v=1758890048,Accessories
Indulgence Hamper,Third Wave Coffee,1784.0,,Vienna Roast,A gift that delights in every detail. With two signature,Malabar Coast,Monsooned,"A gift that delights in every detail. With two signature roasts — Vienna and Monsoon Malabar — paired with Smoor’s Choco Mithai and Kunafa bites, this hamper celebrates richness and comfort. Complete with a festive diya, tote bag, and a handcrafted mug, it’s a hamper that turns every sip and bite into a festive moment. 1 x Choco Mithai - Pack of 6 1 x Easy Coffee Bags - Vienna Roast Pack of 5 1 x Easy Coffee Bags - Monsoon Malabar Roast Pack of 5 1 x Pistachio & Kunafa Choco Bites - Pack of 4 1 x Tote Bag 1 x Mug 1 x Diya",https://www.thirdwavecoffee.in/products/classic-hamper-copy,https://cdn.shopify.com/s/files/1/1834/9395/files/Diwali_Indulgence_Hamper_01.jpg?v=1758889920,Accessories
Classic Hamper,Third Wave Coffee,1364.0,,Vienna Roast,,,,"A timeless gift, crafted to warm hearts. This hamper brings together our signature Vienna Roast, Smoor’s decadent Choco Mithai, crunchy Almond Snaps, a festive diya, and a handcrafted mug — all tied with your wishes in a greeting card. A celebration of simple joys, perfect for quiet mornings and sparkling evenings alike. 1 x Easy Coffee Bags - Vienna Roast Pack of 5 1 x Almond Snaps - Pack of 6 1 x Mug 1 x Diya",https://www.thirdwavecoffee.in/products/classic-hamper,https://cdn.shopify.com/s/files/1/1834/9395/files/DiwaliClassicHamper02.jpg?v=1758889761,Accessories
COLD BREW | MEDIUM ROAST,Third Wave Coffee,600.0,5 Bags,Medium Roast,,,,"Made with 100% Arabica coffee, this cold brew offers a smooth and easy-drinking experience with a perfectly balanced flavour profile. The medium roast brings out subtle sweetness and gentle richness, making it ideal for everyday sipping. Enjoy it chilled on its own, over ice, or mixed with milk for a creamy, refreshing brew.",https://www.thirdwavecoffee.in/products/easy-cold-brew-coffee-medium-roast,https://cdn.shopify.com/s/files/1/1834/9395/files/Media_1.jpg?v=1770387018,Coffee
Brass Dabra Set,Third Wave Coffee,622.0,,,,,,"Sip your coffee the traditional way with Third Wave Coffee’s Brass Dabra Set. This elegant set celebrates South Indian coffee culture, making every cup feel special and authentic.",https://www.thirdwavecoffee.in/products/brass-dabra-set,https://cdn.shopify.com/s/files/1/1834/9395/files/Filter-Zomato-Images-21112024.jpg?v=1734360894,Coffee
Travel Mug - 500ml,Third Wave Coffee,978.0,,,,,,"The Third Wave Coffee Travel Mug is effortlessly stylish, and adventure-ready at all times. Built for durability and spill-free sips, it's the perfect travel buddy for your favorite beverages.",https://www.thirdwavecoffee.in/products/travel-mug-500ml,https://cdn.shopify.com/s/files/1/1834/9395/files/Merchandise_-_Drinkware_caa0c35b-7bf7-4c6d-9861-cf8961634336.png?v=1730806905,Accessories
