roaster,name,price,currency,description,product_url,image_url,variants
Toise Coffee Roasters,"""Coffee is Carrying Me"" tote bag",₹500.0,INR,"Not a morning person. Not an afternoon person either. Just a coffee person, and this bag proves it. Canvas material, durable and eco-friendly DTF (Direct to Film) print for vibrant, lasting colour Roomy enough for your coffee, laptop, and everything in between Comfortable shoulder handles Care Instructions: Hand wash only · Wash inside out · Do not iron on the print",https://toise.coffee/products/toise-coffee-is-carrying-me-canvas-tote-bag,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/Product2.jpg?v=1779624974,
Toise Coffee Roasters,Coffee Doodle Totebag,₹500.0,INR,"For everyone who runs on coffee and good vibes. Canvas material, durable and eco-friendly DTF (Direct to Film) print for vibrant, lasting colour Spacious enough for daily essentials Comfortable shoulder handles Care Instructions: Hand wash only · Wash inside out · Do not iron on the print The ideal bag for coffee lovers, slow mornings, and café runs.",https://toise.coffee/products/toise-coffee-icons-canvas-tote-bag,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/Product_1.jpg?v=1779697247,
Toise Coffee Roasters,"""Not Caffeinated Enough to Care"" Tote Bag",₹500.0,INR,"Because some days, you just don't have the energy and that's perfectly fine. Canvas material, sturdy and eco-friendly DTF (Direct to Film) print for vibrant, lasting colour Spacious design, perfect for groceries, books, or beach days Comfortable handles for everyday carry Minimalist aesthetic with a playful, expressive print Care Instructions: Hand wash only · Wash inside out · Do not iron on the print The perfect bag for slow mornings, errand runs, and anyone who lives life at their own pace.",https://toise.coffee/products/toise-not-caffeinated-enough-to-care-canvas-tote-bag,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/Product.jpg?v=1779623787,
Toise Coffee Roasters,The Oddball,₹950.0,INR,"The OddBall is a specialty Excelsa from Kerehaklu Estate. Excelsa is part of the Liberica family and is a rare and exotic variety. The coffee is naturally processed, bringing a unique spiced-fruity flavour to the cup. Best Brewed With: AeroPress, Moka Pot",https://toise.coffee/products/the-oddball,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/Edited_Beans_Toise...png?v=1767868221,150g:950.00; 150g:950.00; 150g:950.00; 150g:950.00; 150g:950.00; 150g:950.00; 150g:950.00; 150g:950.00; 150g:950.00; 150g:950.00; 150g:950.00
Toise Coffee Roasters,The Charmer,₹700.0,INR,"The Charmer is a washed coffee that has been fermented longer for 72 hours. The longer fermentation adds extra complexity and sweetness to the cup. A beautifully balanced cup that reminds you of fruity chocolate and cookies. Best Brewed With: V60, Moka Pot, Espresso",https://toise.coffee/products/the-charmer,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/pomelli_photoshoot_image_9_16_0618_1_b1c45313-12f6-49c3-b1b1-d9b64805cf77.png?v=1782311127,220g:700.00; 220g:700.00; 220g:700.00; 220g:700.00; 220g:700.00; 220g:700.00; 220g:700.00; 220g:700.00; 220g:700.00; 220g:700.00; 220g:700.00; 1kg:3000.00; 1kg:3000.00; 1kg:3000.00; 1kg:3000.00; 1kg:3000.00; 1kg:3000.00; 1kg:3000.00; 1kg:3000.00; 1kg:3000.00; 1kg:3000.00; 1kg:3000.00
Toise Coffee Roasters,The Rager,₹800.0,INR,"The Rager is a double-fermented natural, fermented first with the full cherry and then with the mucilage. This controlled fermentation technique results in a fruity yet balanced cup. This coffee has a syrupy body, reminding you of maple and muskmelon. Best Brewed With: AeroPress, V60, Moka Pot",https://toise.coffee/products/the-rager,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/Edited_The_Rager.png?v=1767868341,220g:800.00; 220g:800.00; 220g:800.00; 220g:800.00; 220g:800.00; 220g:800.00; 220g:800.00; 220g:800.00; 220g:800.00; 220g:800.00; 220g:800.00; 1kg:3420.00; 1kg:3420.00; 1kg:3420.00; 1kg:3420.00; 1kg:3420.00; 1kg:3420.00; 1kg:3420.00; 1kg:3420.00; 1kg:3420.00; 1kg:3420.00; 1kg:3420.00
Toise Coffee Roasters,The Riddler,₹850.0,INR,"The Riddler is a honey sun-dried coffee from Salawara Estate in Karnataka. This coffee highlights the complexity of the varietal and terroir through flavour notes ranging from hibiscus tea to apricots. Best Brewed With: V60, AeroPress",https://toise.coffee/products/the-riddler,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/Edited_Blue_Toise.png?v=1767868427,220g:850.00; 220g:850.00; 220g:850.00; 220g:850.00; 220g:850.00; 220g:850.00; 220g:850.00; 220g:850.00; 220g:850.00; 220g:850.00; 220g:850.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00
Toise Coffee Roasters,Toise Bike Rental,₹500.0,INR,"How it works? Select your time slot and make payment to complete your booking. Arrive 10 minutes before your slot time at Toise, Coffee Roastery & Brewstudio to collect your bike and sign a liability form Redeem your 300/- café credit at any time on the same day.",https://toise.coffee/products/cycle,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/Toise_Ride_Club_3.png?v=1761829883,Bike:500.00
Toise Coffee Roasters,Espresso Cup,₹500.0,INR,"Tiny cups, bold energy. Our espresso cups are made for the moments that deserve something strong, simple, and beautifully crafted. With a soft speckled finish and vibrant glaze up top, these ceramic cups are as joyful as your morning shot. No handles, because they’re designed to be held. Available in blue and yellow. Sold individually.",https://toise.coffee/products/toise-espresso-cups,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/DSC9562-2.jpg?v=1750514843,Sunshine Yellow:500.00; Sky Blue:500.00
Toise Coffee Roasters,Toise Signature Cortado Cup,₹500.0,INR,"Small in size, big on comfort. Our cortado cups feature a soft dent along the body, designed to nestle perfectly in your hand. With a raw clay base and a pop of color on top, these cups bring together form, function, and a whole lot of charm. Ideal for cortados, macchiatos, or any quick, cozy sip. Sold individually. Available in two colors: sunshine yellow and sky blue.",https://toise.coffee/products/toise-cortado-cups,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/DSC9570_1_-2.jpg?v=1750514843,Sunshine Yellow:500.00; Sky Blue:500.00
