roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
Coffee Circus,Barrel Roll Coffee Beans | C3 Exotic & Fruity,Rs. 600.00,INR,"body {
            font-family: Arial, sans-serif;
            margin: 20px;
            padding: 0;
            background-color: #f8f8f8;
        }

        .table-container {
            width: 100%;
            overflow-x: auto; /* Enables horizontal scrolling on small screens */
            background: white;
            border-radius: 10px;
            padding: 15px;
            box-shadow: 0px 4px 10px rgba(0, 0, 0, 0.1);
        }

        table {
            width: 100%;
            border-collapse: collapse;
            margin: 10px 0;
        }

        th, td {
            border: 1px solid #ddd;
            padding: 12px;
            text-align: left;
        }

        th {
            background-color: #f2f2f2;
            font-weight: bold;
        }

        .intensity-bar {
            background: linear-gradient(to right, #f3e5ab, #8b4513);
            width: 100%;
            height: 20px;
            border-radius: 5px;
            position: relative;
            overflow: hidden;
            margin-top: 5px;
        }

        .intensity-indicator {
            position: absolute;
            top: 0;
            height: 100%;
            width: 5%;
            background-color: black;
            border-radius: 2px;
            transition: left 0.3s;
            left: 86%; /* Adjusted for 1-13 scale (Intensity ~12) */
        }

        .intensity-scale {
            display: flex;
            justify-content: space-between;
            font-size: 12px;
            margin-top: 5px;
        }

        /* Responsive Design */
        @media (max-width: 768px) {
            body {
                margin: 10px;
            }

            .table-container {
                padding: 10px;
            }

            table {
                font-size: 14px;
            }

            th, td {
                padding: 10px;
            }

            .intensity-bar {
                height: 15px;
            }

            .intensity-scale {
                font-size: 10px;
            }
        }

        @media (max-width: 480px) {
            table {
                font-size: 12px;
            }

            th, td {
                padding: 8px;
            }

            .intensity-bar {
                height: 12px;
            }

            .intensity-scale {
                font-size: 9px;
            }
        }
     
 
 
 
 
 Product 
 Barrel Roll | C3 | Coffee Bag 
 
 
 Roast Profile 
 Medium Roast 
 
 
 Tasting Notes 
 Cedar, Dark Grapes, Rich Honey &amp; Warming Spice 
 
 
 Intensity 
 
 
   
 
 
 Soft   Balanced   Strong 
 
 Intensity Level:(3/5) 
 
 
 
 Terroir &amp; Process 
 
 Process : Wooden Cask Aged Arabica Coffee 
 Varietal -  S795 &amp; Sarchimor 
 Elevation - 1000 - 1200 m.a.s.l 
 
 
 
 Origin 
 Bababudan Giri, Ka, India 
 
 
 QGrader's Impression 
 "" Complex coffee process resulting in a very complex Malty, fruity coffee. Pleasant cedar on the nose. Hot brewed coffee is a decadent dark grapes, black berries and chocolate tasting notes. luxurious silky blossom honey mouthfeel. Sweet smoked warming spice aftertaste. As the coffee cools, it has a nuanced dry fruits and cinnamon taste.""
[Meta Description]: A vibrant, fruit-forward specialty coffee for everyday brewing. Choose whole beans or your preferred grind size for pour over, AeroPress, French press, moka pot, and more.",https://www.thecoffeecircus.com/products/barrel-roll-coffee-beans,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Barrel_Roll_250g.png?v=1756811935,250g:600.00,
Coffee Circus,Barrel Roll Drip Coffee Bags | C3 Exotic & Fruity,Rs. 300.00,INR,"body {
            font-family: Arial, sans-serif;
            margin: 20px;
            padding: 0;
            background-color: #f8f8f8;
        }

        .table-container {
            width: 100%;
            overflow-x: auto; /* Enables horizontal scrolling on small screens */
            background: white;
            border-radius: 10px;
            padding: 15px;
            box-shadow: 0px 4px 10px rgba(0, 0, 0, 0.1);
        }

        table {
            width: 100%;
            border-collapse: collapse;
            margin: 10px 0;
        }

        th, td {
            border: 1px solid #ddd;
            padding: 12px;
            text-align: left;
        }

        th {
            background-color: #f2f2f2;
            font-weight: bold;
        }

        .intensity-bar {
            background: linear-gradient(to right, #f3e5ab, #8b4513);
            width: 100%;
            height: 20px;
            border-radius: 5px;
            position: relative;
            overflow: hidden;
            margin-top: 5px;
        }

        .intensity-indicator {
            position: absolute;
            top: 0;
            height: 100%;
            width: 5%;
            background-color: black;
            border-radius: 2px;
            transition: left 0.3s;
            left: 86%; /* Adjusted for 1-13 scale (Intensity ~12) */
        }

        .intensity-scale {
            display: flex;
            justify-content: space-between;
            font-size: 12px;
            margin-top: 5px;
        }

        /* Responsive Design */
        @media (max-width: 768px) {
            body {
                margin: 10px;
            }

            .table-container {
                padding: 10px;
            }

            table {
                font-size: 14px;
            }

            th, td {
                padding: 10px;
            }

            .intensity-bar {
                height: 15px;
            }

            .intensity-scale {
                font-size: 10px;
            }
        }

        @media (max-width: 480px) {
            table {
                font-size: 12px;
            }

            th, td {
                padding: 8px;
            }

            .intensity-bar {
                height: 12px;
            }

            .intensity-scale {
                font-size: 9px;
            }
        }
     
 
 
 
 
 Product 
 Barrel Roll | C3 | Drip Coffee 
 
 
 Roast Profile 
 Medium Roast 
 
 
 Tasting Notes 
 Cedar, Dark Grapes, Rich Honey &amp; Warming Spice 
 
 
 Intensity 
 
 
   
 
 
 Soft   Balanced   Strong 
 
 Intensity Level:(3/5) 
 
 
 
 Terroir &amp; Process 
 
 Process : Wooden Cask Aged Arabica Coffee 
 Varietal -  S795 &amp; Sarchimor 
 Elevation - 1000 - 1200 m.a.s.l 
 
 
 
 Origin 
 Bababudan Giri, Ka, India 
 
 
 QGrader's Impression 
 "" Complex coffee process resulting in a very complex Malty, fruity coffee. Pleasant cedar on the nose. Hot brewed coffee is a decadent dark grapes, black berries and chocolate tasting notes. luxurious silky blossom honey mouthfeel. Sweet smoked warming spice aftertaste. As the coffee cools, it has a nuanced dry fruits and cinnamon taste.""
[Meta Description]: Enjoy a smooth, nutty specialty coffee in an easy single-serve drip bag. A simple, satisfying brew for everyday coffee moments.",https://www.thecoffeecircus.com/products/barrel-roll-drip-coffee-easy-brew-specialty-coffee,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Drip_Coffee_Barrel_Roll.png?v=1764241215,5 x single-serve brew bags:300.00,
Coffee Circus,Cafe Taster Box | 5 Assorted Coffee | 250g Each,Rs. 2500.00,INR,"Cafe Taster Box is your easiest way to stock a café (or serious home setup) with variety—without overcommitting to one flavour profile. Inside, you’ll get  5 assorted coffees, 250g each , so you can rotate brews, build a tasting flight, or figure out what your customers come back for. 

 Expect a spread across the Coffee Circus taste spectrum—from nutty and comforting to bright and citrusy to exotic and fruity. It’s designed for menu testing, seasonal rotation, and crowd-pleasing variety, with the flexibility to brew across espresso and filter. 

 What’s inside 
 
   
 5 x 250g bags  (assorted coffees) 
   A mix across  C1 / C2 / C3  (C1 - Nutty &amp; Chocolaty / C2 - Bright &amp; Citrusy / C3 - Exotic &amp; Fruity) 
 

 Why you’ll love it 
 
   
 Test what sells  before ordering bigger volumes 
   
 Offer variety  without adding complexity 
   Great for  cupping sessions, staff training, and customer tastings 
 
   Perfect for  brew bar rotation  (espresso + filter) 
 

 Best for 
 
   Café menus and rotating “guest coffee” slots 
   Office pantries and hospitality counters 
   Home brewers who want a week-by-week flavour journey
[Meta Description]: Stock up on variety with our Cafe Taster Box: 5 assorted coffee beans, 250g each. Explore C1 Nutty & Chocolaty, C2 Bright & Citrusy, and C3 Exotic & Fruity. Perfect for cafés and home brewers.",https://www.thecoffeecircus.com/products/cafe-taster-box-5-assorted-beans-250g-each,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Hoola_Hoop_250g.png?v=1756812039,Cafe Taster Pack (5 x 250g):2500.00,
Coffee Circus,Cannon Ball Coffee Beans | C1 Nutty & Chocolaty,Rs. 500.00,INR,"body {
            font-family: Arial, sans-serif;
            margin: 20px;
            padding: 0;
            background-color: #f8f8f8;
        }

        .table-container {
            width: 100%;
            overflow-x: auto; /* Enables horizontal scrolling on small screens */
            background: white;
            border-radius: 10px;
            padding: 15px;
            box-shadow: 0px 4px 10px rgba(0, 0, 0, 0.1);
        }

        table {
            width: 100%;
            border-collapse: collapse;
            margin: 10px 0;
        }

        th, td {
            border: 1px solid #ddd;
            padding: 12px;
            text-align: left;
        }

        th {
            background-color: #f2f2f2;
            font-weight: bold;
        }

        .intensity-bar {
            background: linear-gradient(to right, #f3e5ab, #8b4513);
            width: 100%;
            height: 20px;
            border-radius: 5px;
            position: relative;
            overflow: hidden;
            margin-top: 5px;
        }

        .intensity-indicator {
            position: absolute;
            top: 0;
            height: 100%;
            width: 5%;
            background-color: black;
            border-radius: 2px;
            transition: left 0.3s;
            left: 60%; /* Adjusted for 1-13 scale (Intensity ~12) */
        }

        .intensity-scale {
            display: flex;
            justify-content: space-between;
            font-size: 12px;
            margin-top: 5px;
        }

        /* Responsive Design */
        @media (max-width: 768px) {
            body {
                margin: 10px;
            }

            .table-container {
                padding: 10px;
            }

            table {
                font-size: 14px;
            }

            th, td {
                padding: 10px;
            }

            .intensity-bar {
                height: 15px;
            }

            .intensity-scale {
                font-size: 10px;
            }
        }

        @media (max-width: 480px) {
            table {
                font-size: 12px;
            }

            th, td {
                padding: 8px;
            }

            .intensity-bar {
                height: 12px;
            }

            .intensity-scale {
                font-size: 9px;
            }
        }
     
 
 
 
 
 Product 
 Cannon Ball 
 
 
 Roast Profile 
 Medium - Dark Roast 
 
 
 Tasting Notes 
 Floral, Sweet Almonds Toffee, Milk Chocolate, Hints of Orange 
 
 
 Intensity 
 
 
   
 
 
 Soft   Balanced   Strong 
 
 Intensity Level:(4/5) 
 
 
 
 Terroir &amp; Process 
 
 Washed Arabica - Anoxic Processed 
 Varietal -  Selection 795 
 Elevation - 1100 m.a.s.l 
 
 
 
 Origin 
 Zoya Coffee Estate Chikmagalur, KA, India 
 
 
 QGrader's Impression 
 ""Delicate Floral Fregrance, Bold tasting notes of Almonds, Milk Chocolate. Smooth Toffee Mouthfeel with a lingering Orange citrus acidity. Balanced mouthfeel, and medium to long clean aftertaste. Become more delicate with vibrant citrus acidity as it cools""
[Meta Description]: A smooth, comforting specialty coffee with nutty and chocolaty notes. Choose whole beans or your preferred grind size for French press, pour over, AeroPress, moka pot, and more.",https://www.thecoffeecircus.com/products/cannon-ball-coffee-beans,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Cannon_Ball_250g.png?v=1775465316,250g:500.00,
Coffee Circus,Cannon Ball Drip Coffee Bags | C1 Nutty & Chocolaty,Rs. 300.00,INR,"body {
            font-family: Arial, sans-serif;
            margin: 20px;
            padding: 0;
            background-color: #f8f8f8;
        }

        .table-container {
            width: 100%;
            overflow-x: auto; /* Enables horizontal scrolling on small screens */
            background: white;
            border-radius: 10px;
            padding: 15px;
            box-shadow: 0px 4px 10px rgba(0, 0, 0, 0.1);
        }

        table {
            width: 100%;
            border-collapse: collapse;
            margin: 10px 0;
        }

        th, td {
            border: 1px solid #ddd;
            padding: 12px;
            text-align: left;
        }

        th {
            background-color: #f2f2f2;
            font-weight: bold;
        }

        .intensity-bar {
            background: linear-gradient(to right, #f3e5ab, #8b4513);
            width: 100%;
            height: 20px;
            border-radius: 5px;
            position: relative;
            overflow: hidden;
            margin-top: 5px;
        }

        .intensity-indicator {
            position: absolute;
            top: 0;
            height: 100%;
            width: 5%;
            background-color: black;
            border-radius: 2px;
            transition: left 0.3s;
            left: 60%; /* Adjusted for 1-13 scale (Intensity ~12) */
        }

        .intensity-scale {
            display: flex;
            justify-content: space-between;
            font-size: 12px;
            margin-top: 5px;
        }

        /* Responsive Design */
        @media (max-width: 768px) {
            body {
                margin: 10px;
            }

            .table-container {
                padding: 10px;
            }

            table {
                font-size: 14px;
            }

            th, td {
                padding: 10px;
            }

            .intensity-bar {
                height: 15px;
            }

            .intensity-scale {
                font-size: 10px;
            }
        }

        @media (max-width: 480px) {
            table {
                font-size: 12px;
            }

            th, td {
                padding: 8px;
            }

            .intensity-bar {
                height: 12px;
            }

            .intensity-scale {
                font-size: 9px;
            }
        }
     
 
 
 
 
 Product 
 Cannon Ball - Drip Coffee 
 
 
 Roast Profile 
 Medium - Dark Roast 
 
 
 Tasting Notes 
 Floral, Sweet Almonds Toffee, Milk Chocolate, Hints of Orange 
 
 
 Intensity 
 
 
   
 
 
 Soft   Balanced   Strong 
 
 Intensity Level:(4/5) 
 
 
 
 Terroir &amp; Process 
 
 Washed Arabica - Anoxic Processed 
 Varietal -  Selection 795 
 Elevation - 1100 m.a.s.l 
 
 
 
 Origin 
 Zoya Coffee Estate Chikmagalur, KA, India 
 
 
 QGrader's Impression 
 ""Delicate Floral Fregrance, Bold tasting notes of Almonds, Milk Chocolate. Smooth Toffee Mouthfeel with a lingering Orange citrus acidity. Balanced mouthfeel, and medium to long clean aftertaste. Become more delicate with vibrant citrus acidity as it cools""
[Meta Description]: Discover a nutty, chocolaty specialty coffee in an easy single-serve drip bag. Great for first-time specialty coffee drinkers and everyday brewing.",https://www.thecoffeecircus.com/products/cannon-ball-drip-coffee-bags-c1-nutty-chocolaty,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Drip_Bag_Cannon_Ball.png?v=1764241215,5 x single-serve brew bags:300.00,
Coffee Circus,Carnival Coffee Beans | C3 Exotic & Fruity,Rs. 600.00,INR,"body {
            font-family: Arial, sans-serif;
            margin: 20px;
            padding: 0;
            background-color: #f8f8f8;
        }

        .table-container {
            width: 100%;
            overflow-x: auto; /* Enables horizontal scrolling on small screens */
            background: white;
            border-radius: 10px;
            padding: 15px;
            box-shadow: 0px 4px 10px rgba(0, 0, 0, 0.1);
        }

        table {
            width: 100%;
            border-collapse: collapse;
            margin: 10px 0;
        }

        th, td {
            border: 1px solid #ddd;
            padding: 12px;
            text-align: left;
        }

        th {
            background-color: #f2f2f2;
            font-weight: bold;
        }

        .intensity-bar {
            background: linear-gradient(to right, #f3e5ab, #8b4513);
            width: 100%;
            height: 20px;
            border-radius: 5px;
            position: relative;
            overflow: hidden;
            margin-top: 5px;
        }

        .intensity-indicator {
            position: absolute;
            top: 0;
            height: 100%;
            width: 5%;
            background-color: black;
            border-radius: 2px;
            transition: left 0.3s;
            left: 50%; /* Adjusted for 1-13 scale (Intensity ~12) */
        }

        .intensity-scale {
            display: flex;
            justify-content: space-between;
            font-size: 12px;
            margin-top: 5px;
        }

        /* Responsive Design */
        @media (max-width: 768px) {
            body {
                margin: 10px;
            }

            .table-container {
                padding: 10px;
            }

            table {
                font-size: 14px;
            }

            th, td {
                padding: 10px;
            }

            .intensity-bar {
                height: 15px;
            }

            .intensity-scale {
                font-size: 10px;
            }
        }

        @media (max-width: 480px) {
            table {
                font-size: 12px;
            }

            th, td {
                padding: 8px;
            }

            .intensity-bar {
                height: 12px;
            }

            .intensity-scale {
                font-size: 9px;
            }
        }
     
 
 
 
 
 Product 
 Carnival | C3 | Coffee Bag 
 
 
 Roast Profile 
 Medium Roast 
 
 
 Tasting Notes 
 Mixed Fruits of Mulberry, Black Current, Blueberry 
 
 
 Intensity 
 
 
   
 
 
 Soft   Balanced   Strong 
 
 Intensity Level:(3/5) 
 
 
 
 Terroir &amp; Process 
 
 Naturals Arabica - Bruised Anaerobic Process 
 Varietal -  Sarchimor 
 Elevation - 1100 m.a.s.l 
 
 
 
 Origin 
 Boothangudi Coffee Estate 
 
 
 QGrader's Impression 
 "" Very Complex fruity coffee. Flavor basket of purple berries of black current, mulberry and blueberry. Syrupy, smooth mouthfeel, crisp berry acidity with medium to long aftertaste. Imparts a juicy mouthfeel when brewed hot, as the coffee cools, becomes more mellow sweet syrupy coffee.""
[Meta Description]: An expressive, fruit-forward specialty coffee for curious drinkers. Choose whole beans or your preferred grind size for pour over, AeroPress, French press, moka pot, and more.",https://www.thecoffeecircus.com/products/carnival-coffee-beans,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Carnival_250g.png?v=1756811978,250g:600.00,
Coffee Circus,Carnival Drip Coffee Bags | C3 Exotic & Fruity,Rs. 300.00,INR,"body {
            font-family: Arial, sans-serif;
            margin: 20px;
            padding: 0;
            background-color: #f8f8f8;
        }

        .table-container {
            width: 100%;
            overflow-x: auto; /* Enables horizontal scrolling on small screens */
            background: white;
            border-radius: 10px;
            padding: 15px;
            box-shadow: 0px 4px 10px rgba(0, 0, 0, 0.1);
        }

        table {
            width: 100%;
            border-collapse: collapse;
            margin: 10px 0;
        }

        th, td {
            border: 1px solid #ddd;
            padding: 12px;
            text-align: left;
        }

        th {
            background-color: #f2f2f2;
            font-weight: bold;
        }

        .intensity-bar {
            background: linear-gradient(to right, #f3e5ab, #8b4513);
            width: 100%;
            height: 20px;
            border-radius: 5px;
            position: relative;
            overflow: hidden;
            margin-top: 5px;
        }

        .intensity-indicator {
            position: absolute;
            top: 0;
            height: 100%;
            width: 5%;
            background-color: black;
            border-radius: 2px;
            transition: left 0.3s;
            left: 50%; /* Adjusted for 1-13 scale (Intensity ~12) */
        }

        .intensity-scale {
            display: flex;
            justify-content: space-between;
            font-size: 12px;
            margin-top: 5px;
        }

        /* Responsive Design */
        @media (max-width: 768px) {
            body {
                margin: 10px;
            }

            .table-container {
                padding: 10px;
            }

            table {
                font-size: 14px;
            }

            th, td {
                padding: 10px;
            }

            .intensity-bar {
                height: 15px;
            }

            .intensity-scale {
                font-size: 10px;
            }
        }

        @media (max-width: 480px) {
            table {
                font-size: 12px;
            }

            th, td {
                padding: 8px;
            }

            .intensity-bar {
                height: 12px;
            }

            .intensity-scale {
                font-size: 9px;
            }
        }
     
 
 
 
 
 Product 
 Carnival | C3 | Drip Coffee 
 
 
 Roast Profile 
 Medium Roast 
 
 
 Tasting Notes 
 Mixed Fruits of Mulberry, Black Current, Blueberry 
 
 
 Intensity 
 
 
   
 
 
 Soft   Balanced   Strong 
 
 Intensity Level:(3/5) 
 
 
 
 Terroir &amp; Process 
 
 Naturals Arabica - Bruised Anaerobic Process 
 Varietal -  Sarchimor 
 Elevation - 1100 m.a.s.l 
 
 
 
 Origin 
 Boothangudi Coffee Estate 
 
 
 QGrader's Impression 
 "" Very Complex fruity coffee. Flavor basket of purple berries of black current, mulberry and blueberry. Syrupy, smooth mouthfeel, crisp berry acidity with medium to long aftertaste. Imparts a juicy mouthfeel when brewed hot, as the coffee cools, becomes more mellow sweet syrupy coffee.""
[Meta Description]: Discover an exotic, fruity specialty coffee in an easy single-serve drip bag. Perfect for curious drinkers ready to explore brighter, more expressive flavours.",https://www.thecoffeecircus.com/products/carnival-drip-coffee-bags-c3-exotic-fruity,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Drip_Coffee_Carnival.png?v=1764241215,5 x single-serve brew bags:300.00,
Coffee Circus,Coffee Beans Taster Box | 5 Assorted Beans | 30g Each,Rs. 300.00,INR,"Curious about specialty coffee and not sure where to begin? This Coffee Beans Taster Pack is an easy way to explore five different coffees before committing to a bigger bag. 

 Inside, you’ll get 5 assorted 30g packs featuring Cannon Ball, Easy Breezy, Hoola Hoop, Carnival, and Barrel Roll — a simple way to taste across our flavour categories, from nutty and chocolaty to bright, citrusy, and exotic fruity. 

 Choose whole beans or a grind size that suits your brewing method, and brew them at home just the way you like. It’s perfect for first-time specialty coffee drinkers, curious home brewers, gifting, or finding your favourite Coffee Circus coffee. 

 What’s inside 
 
   1 x Cannon Ball (C1 - Nutty &amp; Chocolaty) 
   1 x Easy Breezy (C2 - Bright &amp; Citrusy) 
   1 x Hoola Hoop (C3 - Exotic &amp; Fruity) 
   1 x Carnival (C3 - Exotic &amp; Fruity) 
   1 x Barrel Roll (C3 - Exotic &amp; Fruity) 
 

 Why you’ll love it 
 
   A simple way to explore the Coffee Circus range 
   Great for first-time specialty coffee drinkers 
   Choose whole beans or your preferred grind size 
   Perfect for home brewing 
   Ideal for gifting or finding your favourite coffee
[Meta Description]: Try 5 assorted specialty coffees in one easy taster pack. Choose whole beans or your preferred grind size and explore the Coffee Circus range at home.",https://www.thecoffeecircus.com/products/coffee-beans-taster-pack,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Cannon_Ball_250g.png?v=1775465316,Taster Pack (5 x 30g):300.00,
Coffee Circus,Drip Coffee Taster Box | 5 Assorted Drip Bags,Rs. 300.00,INR,"Curious about specialty coffee but not sure where to start? This assorted drip coffee box is the easiest way to explore The Coffee Circus range. Inside, you’ll get 5 single-serve drip coffee bags — 1 each of Cannon Ball, Easy Breezy, Hoola Hoop, Carnival, and Barrel Roll. 
 From nutty and comforting to bright and fruity, this box lets you taste across different coffee characters without needing any brewing equipment. Just open, hang the drip bag over your cup, pour hot water, and enjoy. 
 Perfect for first-time specialty coffee drinkers, easy office brewing, travel, gifting, or simply finding your favourite Coffee Circus cup. 
 What’s inside 
 
 1 x Cannon Ball (C1 - Nutty &amp; Chocolaty) 
 1 x Easy Breezy (C2 - Bright &amp; Citrusy) 
 1 x Hoola Hoop (C3 - Exotic &amp; Fruity) 
 1 x Carnival (C3 - Exotic &amp; Fruity) 
 1 x Barrel Roll (C3 - Exotic) 
 
 Why you’ll love it 
 
 Easy single-serve brewing 
 A simple way to explore different flavour profiles 
 Great for beginners 
 No equipment needed 
 Perfect for home, work, or travel
[Meta Description]: Explore 5 specialty drip coffee bags in one easy taster box. Perfect for first-time coffee drinkers, gifting, travel, and discovering your favourite Coffee Circus brew.",https://www.thecoffeecircus.com/products/coffee-circus-drip-coffee-taster-box,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Drip_Coffee_Bag.jpg?v=1764240914,5 x single-serve brew bags:300.00,
Coffee Circus,Easy Breezy Coffee Beans | C2 Bright & Citrusy,Rs. 550.00,INR,"body {
            font-family: Arial, sans-serif;
            margin: 20px;
            padding: 0;
            background-color: #f8f8f8;
        }

        .table-container {
            width: 100%;
            overflow-x: auto; /* Enables horizontal scrolling on small screens */
            background: white;
            border-radius: 10px;
            padding: 15px;
            box-shadow: 0px 4px 10px rgba(0, 0, 0, 0.1);
        }

        table {
            width: 100%;
            border-collapse: collapse;
            margin: 10px 0;
        }

        th, td {
            border: 1px solid #ddd;
            padding: 12px;
            text-align: left;
        }

        th {
            background-color: #f2f2f2;
            font-weight: bold;
        }

        .intensity-bar {
            background: linear-gradient(to right, #f3e5ab, #8b4513);
            width: 100%;
            height: 20px;
            border-radius: 5px;
            position: relative;
            overflow: hidden;
            margin-top: 5px;
        }

        .intensity-indicator {
            position: absolute;
            top: 0;
            height: 100%;
            width: 5%;
            background-color: black;
            border-radius: 2px;
            transition: left 0.3s;
            left: 40%; /* Adjusted for 1-13 scale (Intensity ~12) */
        }

        .intensity-scale {
            display: flex;
            justify-content: space-between;
            font-size: 12px;
            margin-top: 5px;
        }

        /* Responsive Design */
        @media (max-width: 768px) {
            body {
                margin: 10px;
            }

            .table-container {
                padding: 10px;
            }

            table {
                font-size: 14px;
            }

            th, td {
                padding: 10px;
            }

            .intensity-bar {
                height: 15px;
            }

            .intensity-scale {
                font-size: 10px;
            }
        }

        @media (max-width: 480px) {
            table {
                font-size: 12px;
            }

            th, td {
                padding: 8px;
            }

            .intensity-bar {
                height: 12px;
            }

            .intensity-scale {
                font-size: 9px;
            }
        }
     
 
 
 
 
 Product 
 Easy Breezy 
 
 
 Roast Profile 
 Medium Roast 
 
 
 Tasting Notes 
 Peach, Blood Orange, Sweet Lime 
 
 
 Intensity 
 
 
   
 
 
 Soft   Balanced   Strong 
 
 Intensity Level:(3/5) 
 
 
 
 Terroir &amp; Process 
 
 Honey Sun Dried Arabica 
 Varietal -  Selection 9 
 Elevation - 1050 m.a.s.l 
 
 
 
 Origin 
 Hulihundloo Coffee Estate, Chikmagalur, KA, India 
 
 
 QGrader's Impression 
 ""Basket of Complex Citrus, Bright Coffee with hint of ripe peaches, Well rounded juicy flavour of sweet Blood Oranges, Medium to long sweet lime aftertase. The subtle nuanced hint of sweet lime bitters make the coffee a memorable cup. Bright, Complex, (Clean - Not Tangy)""
[Meta Description]: A bright, citrusy specialty coffee made for easy everyday brewing. Choose whole beans or your preferred grind size for pour over, AeroPress, French press, moka pot, and more.",https://www.thecoffeecircus.com/products/easy-breezy-coffee-beans,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Easy_Breezy_250g.png?v=1756812086,250g:550.00,
