roaster,name,price,currency,description,product_url,image_url,variants
Blue Tokai,Kerehaklu Estate - Blossom Culture,₹1000.0,INR,"With the estate shrouded in fog on a January morning, Pranoy noticed unseasonal blossoms in one of the blocks. There, he had the idea of collecting jarfuls of these blossoms for a starter culture. The goal was to see what happens when Kerehaklu's own microbiome shapes processing. Aiding a 71-hour anoxic fermentation, the blossom culture interacted with naturally processed cherries to build fruity layers and a distinctive jamminess. To preserve this development, the coffee was dried on raised beds for three weeks. Roasted to a light profile, the result is a unique expression of provenance. The cup opens with the aroma of ripe berries, followed by notes of strawberry, orange blossom, pomegranate, and sun melon. A delicate floral finish rounds off each sip. Recommended Resting Period: 12 days Note: This coffee pack is a special release with limited availability and, therefore, cannot be included in a subscription plan.",https://bluetokaicoffee.com/products/kerehaklu-estate-blossom-culture-natural,https://cdn.shopify.com/s/files/1/0738/1409/files/finalproductimgs.png?v=1782896537,200g:1000.00
Blue Tokai,Cold Brew Favorites,₹1170.0,INR,"Few things feel more at home during summer than a glass of cold brew. And when we're brewing a batch, this pairing is our go-to. The pack includes: - Amaltas Blend Named after the yellow blooms that herald the Indian summer, Amaltas brews bright cups with notes of blueberry, creamy milk chocolate, and subtle fruitiness. It's wonderfully refreshing on its own. Tasting Notes: Blueberry, Milk Chocolaty, Fruity Processing: Washed + Natural Roast Level: Light Cold Brew Blend Bold Dark chocolate, toffee, and roasted hazelnut come together in this rich, full-bodied coffee. Enjoy it black, or add a dash of milk for more indulgent cup. Tasting Notes: Dark Chocolate, Toffee, Roasted Hazelnut Processing: Washed Roast Level: Medium Dark",https://bluetokaicoffee.com/products/cold-brew-favorites,https://cdn.shopify.com/s/files/1/0738/1409/files/1_c213e88e-6ce7-44d4-b17d-c65076399ef6.jpg?v=1780984058,250g:1170.00
Blue Tokai,Attikan Estate,₹700.0,INR,"Attikan Estate’s arabica coffee beans come from the Biligiriranga Hills in Karnataka and make for one of our most popular coffees. Sweet with nutty overtones and balanced acidity, this is the darkest of our standard medium roasts and recommended for espresso lovers. It is a versatile coffee that also works for manual brewing methods such as Moka Pot, South Indian Filter and AeroPress. Located to the south of Mysore, the Biligiriranga Hills, or ‘white hills’ are named after the mist that hangs over the region. At 1650 meters, it is amongst the highest coffee growing regions in India and grows Selection 9, Selection 795, Cauvery and Kent varieties of Arabica, along with Silver Oaks, citrus, and fig trees. Recommended Resting Period: 10 Days",https://bluetokaicoffee.com/products/attikan-estate,https://cdn.shopify.com/s/files/1/0738/1409/files/Attikan-estate-Front.jpg?v=1734956514,250g:700.00; 500g:1300.00; 1kg:2380.00
Blue Tokai,13th Birthday Blend,₹800.0,INR,"This celebratory blend brings together natural lots from Stanmore, Orchardale, and Riverdale Estates in Yercaud, along with a washed lot from Unakki Estate in Chikmagalur, which forms the base. Its flavour profile takes us back to the Black Forest cakes many of us celebrated birthdays with during our teen years. Opening with the aroma of honey and strawberries, the cup has a medium-high body and a round mouthfeel. You'll notice notes of strawberry, chocolate, cherry, and pear, followed by a lingering finish of chocolate-covered strawberries. This blend brews well across a range of methods, including espresso, AeroPress, French Press, Moka Pot, and Pour Over. Equally enjoyable black or with milk, it lends itself to a wide range of recipes. Recommended Resting Period: 10 Day",https://bluetokaicoffee.com/products/13th-birthday-blend,https://cdn.shopify.com/s/files/1/0738/1409/files/Card_01_1_c34d4c4f-016a-4780-af62-97ce1a125f21.jpg?v=1767077475,250g:800.00; 500g:1488.00; 1000g:2720.00
Blue Tokai,Howdia Estate,₹850.0,INR,"One of our roasters' favourites, Howdia Estate returns for Harvest '26. It reminds us of a floral black tea, and is among the most delicate light roasts on our roster. Processed using the washed method, it brews cups with low bitterness, bright acidity, and a well-rounded mouthfeel. From the first whiff, it's florality comes through, giving way to a bright, tea-like sip with notes of coffee blossoms and orange marmalade, and a black tea-like finish. For a clean, nuanced cup, we recommend brewing this coffee black as a pour over or using an AeroPress. Recommended Resting Period: 10 days",https://bluetokaicoffee.com/products/howdia-estate,https://cdn.shopify.com/s/files/1/0738/1409/files/1.-Howdia-Estate__Front.jpg?v=1782107101,250g:850.00
Blue Tokai,St. Joseph Estate,₹700.0,INR,"Meet the first coffee from our newest partner farm, run by a community of Jesuit priests whose stewardship of the land spans generations. A washed coffee roasted medium-dark, it opens with warm brown spice aromatics. Each sip carries a syrupy mouthfeel and reminds of grapefruit, roasted almond, and toffee. Its medium-high body gives the cup a comforting depth, complemented by a chocolatey aftertaste. Our roasters recommend brewing it as an espresso, or using an AeroPress, Moka Pot, or French Press. A versatile brew, it pairs well with milk, and holds its own black. Recommended Resting Period: 11 Days",https://bluetokaicoffee.com/products/st-joseph-estate,https://cdn.shopify.com/s/files/1/0738/1409/files/1.-St.Joseph-Estate__Front_2.jpg?v=1764321548,250g:700.00; 500g:1300.00; 1kg:2380.00
Blue Tokai,Raxidi Lobo Estate - Anaerobic Natural,₹900.0,INR,"We've been excited to collaborate with Raxidi Lobo Estate since their debut with us last year. So, when we first tasted a sample of this anaerobic natural lot, we knew it had to be a part of Harvest '26 . To bring it to life, the producers started fermenting some of the season's best cherries. Introducing a specially curated yeast strain to the mix, they let the process go on for 48 hours. Finally, slow drying on raised beds for 21 days locked flavour. Roasted to a medium profile, the result is a cup that carries the sweet nostalgia of drinking mosambi juice in summer. It opens with berries and cherry on the nose, then settles into tart-sweet, bright notes of mosambi, green apple, and plum. The mouthfeel is velvety with a medium body, and the finish is long and tea-like. Our roasters recommend brewing it black, either as a pour over, or using an AeroPress. Recommended Resting Period: 11 Days Note: This coffee pack has limited availability and therefore cannot be included in a subscription plan.",https://bluetokaicoffee.com/products/raxidi-lobo-estate-anaerobic-naturals,https://cdn.shopify.com/s/files/1/0738/1409/files/1.-Raxidi-Lobo-Estate__Front_1f24d4f9-58d2-45c0-8266-c3767720de8d.jpg?v=1777466382,250g:900.00; 500g:1675.00; 1kg:3060.00
Blue Tokai,Kerehaklu Estate,₹850.0,INR,"Harvest '26 debuts with a bright, citrusy light roast. A Kerehaklu special, it shows Pranoy and Ajoy's sure hand with washed processing. Ripe red Selection 9 cherries collected by seasoned pickers marked the lot's foundation. The producers then used a starter made from the farm's local microbes to aid fermentation. Monitoring temperature and pH regularly, they finished within 37 hours. Next, the coffee was mechanically washed and dried in the shade for three days. Finally, 12 days of polyhouse drying on raised beds locked its flavour. This controlled, aerobic washed process built complexity while harnessing the bean's inherent character. Roasted to a light profile, the coffee delivers clean cups that open with the aroma of orange blossoms and brown sugar. Notes of orange, black tea, and green grapes follow, wrapped in a juicy mouthfeel. Expect low bitterness, medium-high acidity, and a lingering finish of orange marmalade. Our roasters recommend brewing it black, either as a pour over, or using an AeroPress. Recommended Resting Period: 12 Days Note: This coffee pack is a special release with limited availability and, therefore, cannot be included in a subscription plan.",https://bluetokaicoffee.com/products/kerehaklu-estate-light-1,https://cdn.shopify.com/s/files/1/0738/1409/files/1.-Kerehaklu-Estate__Front.jpg?v=1775204109,250g:850.00; 500g:1580.00; 1000g:2890.00
Blue Tokai,Sandalwood Estate,₹750.0,INR,"A beloved part of our perennial selection, Sandalwood Estate brews cups with tasting notes of rich dark chocolate, sweet prune and zesty orange marmalade. This washed coffee, with coffee beans of the Sarchimor variety, was grown at a lush coffee estate in Coorg. If you’ve tried our coffees from Attikan and Baarbara Estates, you’ll love the chocolatey flavour profile of this medium-dark roast. This heavy bodied coffee has a smooth, syrupy mouthfeel which can best be enjoyed when brewed as an espresso or using a Moka Pot or French Press. The long, sweet aftertaste of butter biscuits and dried fruit comes through beautifully when you allow the brew to cool down a little. Recommended Resting Period: 11 Days",https://bluetokaicoffee.com/products/sandalwood-estate,https://cdn.shopify.com/s/files/1/0738/1409/files/Sandalwood-Estate-Front.jpg?v=1734957649,250g:750.00; 500g:1395.00; 1kg:2550.00
Blue Tokai,Dhak Blend,₹650.0,INR,"Our Dhak Blend is an ode to one of our favourite Indian trees with its colorful flame-like flowers that signal the onset of Spring. The coffees used in this blend are naturally processed which means that the coffee beans are dried with the cherry, resulting in complex, fruity and sweet flavours. Roasted dark to bring out flavours of dark chocolate and fruit jam, this blend's heavy cocoa body leaves a smooth lingering aftertaste. Our roasting team recommends the Dhak Blend for espresso-based drinks as well as manual brews such as the Moka Pot and the French Press. Recommended Resting Period: 9 Days",https://bluetokaicoffee.com/products/dhak-blend,https://cdn.shopify.com/s/files/1/0738/1409/files/Dhak-Blend-Front.jpg?v=1734947063,250g:650.00; 500g:1200.00; 1kg:2210.00
