roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
Bombay Island,12-Pack Subscription,Rs. 495.00,INR,"Love India's finest artisanal coffees? 
 Subscribe for 12-packs and save up to 20% compared to buying single packs. 
  Why Choose Subscriptions?   
 
 No additional Delivery Charges 
 
 Get freshly roasted coffee every time 
 Order and forget - no need to keep a track of your coffee stock at home 
 Reschedule &amp; pause deliveries as needed 
 Customizable - change your coffee any time
[Meta Description]: Love India's finest artisanal coffees? Subscribe for 12-packs and save up to 20% compared to buying single packs. Why Choose Subscriptions? No additional Delivery Charges Get freshly roasted coffee every time Order and forget - no need to keep a track of your coffee stock at home Reschedule &amp; pause deliveries as ne",https://www.bombayisland.com/products/12-pack-subscription,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/12-packSubscription-CoverImage-BombayIsland.webp?v=1665733551,250 gm:495.00; 500 gm:914.50; 1000 gm:1683.00,
Bombay Island,4-Pack Subscription,Rs. 522.50,INR,"Love India's finest artisanal coffees? 
 Subscribe for 4-packs and save up to 15% compared to buying single packs. 
  Why Choose Subscriptions?   
 
 No additional Delivery Charges 
 
 Get freshly roasted coffee every time 
 Order and forget - no need to keep a track of your coffee stock at home 
 Reschedule &amp; pause deliveries as needed 
 Customizable - change your coffee any time
[Meta Description]: Love India's finest artisanal coffees? Subscribe for 4-packs and save up to 15% compared to buying single packs. Why Choose Subscriptions? No additional Delivery Charges Get freshly roasted coffee every time Order and forget - no need to keep a track of your coffee stock at home Reschedule &amp; pause deliveries as nee",https://www.bombayisland.com/products/4-pack-subscription,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/4-packSubscription-CoverImage-BombayIsland_fd15588f-46b2-4761-88d6-bf2b294d038d.webp?v=1665733399,250 gm:522.50; 500 gm:966.75; 1000 gm:1782.00,
Bombay Island,52 Deliveries - 1 per week for Vienna Roast,Rs. 44571.00,INR,"52 Deliveries - 2 per week for Vienna Roast - 1 pack of V60, 1 pack of whole beans
[Meta Description]: 52 Deliveries - 2 per week for Vienna Roast - 1 pack of V60, 1 pack of whole beans",https://www.bombayisland.com/products/52-deliveries-1-per-week-for-vienna-roast,,:44571.00,
Bombay Island,8-Pack Subscription,Rs. 508.75,INR,"Love India's finest artisanal coffees? 
 Subscribe for 8-packs and save up to 17.5% compared to buying single packs. 
  Why Choose Subscriptions?   
 
 No additional Delivery Charges 
 
 Get freshly roasted coffee every time 
 Order and forget - no need to keep a track of your coffee stock at home 
 Reschedule &amp; pause deliveries as needed 
 Customizable - change your coffee any time
[Meta Description]: Love India's finest artisanal coffees? Subscribe for 8-packs and save up to 17.5% compared to buying single packs. Why Choose Subscriptions? No additional Delivery Charges Get freshly roasted coffee every time Order and forget - no need to keep a track of your coffee stock at home Reschedule &amp; pause deliveries as n",https://www.bombayisland.com/products/8-pack-subscription,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/8-packSubscription-CoverImage-BombayIsland.webp?v=1665733470,250 gm:508.75; 500 gm:940.50; 1000 gm:1732.50,
Bombay Island,Assorted Taster Packs - (3 packs x 75 gm each) | 20% Off on Checkout,Rs. 480.00,INR,"﻿For the Coffee Enthusiast in you, here's a handpicked collection of the finest 100% Arabica coffees that we have to offer in all roast types.  
 Every Assorted Taster Set contains 3 packs of 75 gms each of: 
 
 
 Thogarihunkal Estate  - A Single Estate  Medium roast  coffee with taste notes of Citrus, Orange Blossom, and Candy. If you prefer subtle fruitiness and sweetness in your coffee, this one is for you.  
 
 
 Espresso  - This  Medium Dark  roast is blended perfectly and roasted to give you notes of Cocoa, Caramel, and Nut. With its balanced taste, this coffee can be brewed with all methods and comes out the best with Espresso, Moka Pot, South Indian Filter coffees.  
 
 
 Mysore Nuggets Extra Bold  - Strong and bold, this  Dark Roast  is one of the Specialty Coffees of India. Features taste notes of Spice, Dark Chocolate and Nut. It is good as both black coffee and with milk and best brewed with French Press or South Indian filter. 
 
 If you're looking to expand your coffee palette, the Assorted Taster Pack is a sure-shot yet safe way of discovering new coffees and flavour types.
[Meta Description]: ﻿For the Coffee Enthusiast in you, here's a handpicked collection of the finest 100% Arabica coffees that we have to offer in all roast types.  Every Assorted Taster Set contains 3 packs of 75 gms each of: Thogarihunkal Estate - A Single Estate Medium roast coffee with taste notes of Citrus, Orange Blossom, and Candy. ",https://www.bombayisland.com/products/assorted-taster-pack-75gm,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/AssortedTasterPack-20_Off-BombayIslandCoffeeCompany.jpg?v=1647845368,V60 Pour Over:480.00,
Bombay Island,Breakfast Blend - Medium Roast - Stoned fruits with caramel overtones,Rs. 550.00,INR,"Breakfast Blend is a Medium Roast, Naturally processed coffee which stands out with interesting fruity notes and sweet aroma in the cup.  
  We recommend this elegant &amp; refreshing coffee as the first cup in the morning &amp; so we named it as the “Breakfast Blend”.  
  Like all our other coffees this coffee too is proudly grown in India, on the farms of Chikamagalur at an altitude of 3000 ft above sea level.  
  Breakfast blend has very interesting Flavor profile with notes of Stoned Fruits and Caramel overtones giving a balanced mouthfeel and texture to the final cup.  
  It is best enjoyed as black with Pour Overs and Aeropress but it goes really well with milk based drink too!
[Meta Description]: Breakfast Blend is a Medium Roast, Naturally processed coffee which stands out with interesting fruity notes and sweet aroma in the cup. We recommend this elegant &amp; refreshing coffee as the first cup in the morning &amp; so we named it as the “Breakfast Blend”. Like all our other coffees this coffee too is proudly ",https://www.bombayisland.com/products/breakfast-blend,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/Medium-BreakfastBlend.jpg?v=1642151601,250 gm:550.00; 500 gm:1045.00; 1000 gm:1980.00; V60 Pour over:1980.00,
Bombay Island,"Bynemara Estate - Medium Dark Roast - Toffee, Chocolate & Nut",Rs. 600.00,INR,"Bynemara is a Specialty grade Single Estate coffee rooted to the Estate Bynemara in Chikmagalur, South India. 
 Bynemara is a Medium Dark Roast coffee with flavour notes of Toffee, Chocolate and Nut with rich texture and aroma. 
 It is 100% Arabica roasted coffee grown at an elevation of 3500 ft above sea level. 
 Bynemara is best suited with Moka pot and Espresso but It can also be enjoyed in French press and Cold Brews. 
 Bynemara is perfect for those who like their coffee to be balanced, low acidic and medium strong.
[Meta Description]: Bynemara is a Specialty grade Single Estate coffee rooted to the Estate Bynemara in Chikmagalur, South India. Bynemara is a Medium Dark Roast coffee with flavour notes of Toffee, Chocolate and Nut with rich texture and aroma. It is 100% Arabica roasted coffee grown at an elevation of 3500 ft above sea level. Bynemara i",https://www.bombayisland.com/products/bynemara-estate,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/MediumDark-Bynemera.jpg?v=1642151849,250 gm:600.00; 500 gm:1140.00; 1000 gm:2160.00; V60 Pour over:2160.00,
Bombay Island,Coffee Grinder,Rs. 3480.00,INR,"Freshly ground coffee unlocks flavors like no other. With our Portable Coffee Grinder, every cup is a masterpiece of your making. 
  Grind Fresh, Anywhere  Take your coffee ritual on the road with our Portable Coffee Grinder. Enjoy fresh, consistent grounds with every twist, anytime, anywhere. 
  Customizable Grind, Compact Design  Adjustable ceramic burrs let you fine-tune your grind size for espresso, pour-over, or French press. Built-in storage ensures effortless coffee adventures.
[Meta Description]: Freshly ground coffee unlocks flavors like no other. With our Portable Coffee Grinder, every cup is a masterpiece of your making. Grind Fresh, AnywhereTake your coffee ritual on the road with our Portable Coffee Grinder. Enjoy fresh, consistent grounds with every twist, anytime, anywhere. Customizable Grind, Compact De",https://www.bombayisland.com/products/coffee-grinder,https://cdn.shopify.com/s/files/1/0518/5801/4378/files/DSC00076_edit.jpg?v=1734497102,:3480.00,
Bombay Island,Cold Brew - 200 ml (Ready to Drink),Rs. 180.00,INR,"Exquisitely curated from our signature cold brew blend of 100% Arabica coffee. Bombay Island's cold brew coffee elevates every moment of your coffee experience.  
 Craft roasted in small batches, this luscious coffee is brewed overnight making an ideal refreshing drink. Let every sip invigorate your mind and kickstart your day.
[Meta Description]: Exquisitely curated from our signature cold brew blend of 100% Arabica coffee. Bombay Island's cold brew coffee elevates every moment of your coffee experience.  Craft roasted in small batches, this luscious coffee is brewed overnight making an ideal refreshing drink. Let every sip invigorate your mind and kickstart yo",https://www.bombayisland.com/products/cold-brew-200-ml-ready-to-drink,,:180.00,
Bombay Island,Cold Brew Blend - Medium Dark Roast - Cocoa & Berry,Rs. 600.00,INR,"Cold Brew Blend is 100% Arabica Coffee blended perfectly and craft roasted to give you the notes of Cocoa and Berry. 
 It is recommended to be used for brewing cold brews. However, one can use it for other brews like a French Press or Moka Pot as well. 
 This coffee is definitely for you if you like your coffee to give you a zesty taste.
[Meta Description]: Cold Brew Blend is 100% Arabica Coffee blended perfectly and craft roasted to give you the notes of Cocoa and Berry. It is recommended to be used for brewing cold brews. However, one can use it for other brews like a French Press or Moka Pot as well. This coffee is definitely for you if you like your coffee to give you",https://www.bombayisland.com/products/cold-brew-blend,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/MediumDark-ColdBrew.jpg?v=1642151258,250 gm:600.00; 500 gm:1140.00; 1000 gm:2160.00; V60 Pour over:2160.00,
Bombay Island,Cold Brew Maker,Rs. 1790.00,INR,"Discover smooth, rich cold brew with the Hario Mizudashi Coffee Maker. Brew, steep, and serve – all in one elegant design. 
  Effortless Cold Brewing  With its built-in mesh filter and 600ml capacity, crafting café-quality cold brew at home has never been easier or more refreshing. 
  Style Meets Functionality  Made with durable glass and a sleek design, it’s perfect for easy storage and stylish serving. Cold brew, made simple and sophisticated.
[Meta Description]: Discover smooth, rich cold brew with the Hario Mizudashi Coffee Maker. Brew, steep, and serve – all in one elegant design. Effortless Cold BrewingWith its built-in mesh filter and 600ml capacity, crafting café-quality cold brew at home has never been easier or more refreshing. Style Meets FunctionalityMade with durable",https://www.bombayisland.com/products/cold-brew-maker,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/coldbrewmakerimg1.jpg?v=1658996276,:1790.00,
Bombay Island,"Community Blend - Dark Roast - Dark Chocolate, Smoke & Wood",Rs. 550.00,INR,"Community Blend is 100% Arabica Coffee blended perfectly and craft roasted to give you notes of Smoke, Wood and Dark Chocolate. 
 It gives a very balanced taste and recommended for Espresso, Moka Pot, South Indian Filter coffees, French Press. However, one can use it for other brews as well. 
 This decently strong coffee is definitely for you if you like Dark Roasts.
[Meta Description]: Community Blend is 100% Arabica Coffee blended perfectly and craft roasted to give you notes of Smoke, Wood and Dark Chocolate. It gives a very balanced taste and recommended for Espresso, Moka Pot, South Indian Filter coffees, French Press. However, one can use it for other brews as well. This decently strong coffee i",https://www.bombayisland.com/products/community-blend,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/Dark-Communityblend.jpg?v=1642151496,250 gm:550.00; 500 gm:1045.00; 1000 gm:1980.00; V60 Pour over:1980.00,
Bombay Island,Dark Roast Taster Pack - (3 packs x 75 gm each) | 20% Off on Checkout,Rs. 480.00,INR,"Here's a handpicked collection of our finest 100% Arabica coffees for the Dark roast coffee enthusiasts.  
 Every Dark Roast Taster Pack contains 3 packs of 75 gms each of: 
 
 
 Mysore Nuggets Extra Bold  - A true-blue Indian Specialty coffee, the Mysore Nuggets is the preferred choice for lovers of the South Indian filter and French Press coffee lovers. It can be brewed with other methods as well and delivers a low-acidic and balanced cup of coffee, with notes of Spice, Dark Chocolate, and Nuts.    
 
 Community Blend  - Our proud ode to the community of farmers, traders, and partners who help us get the finest 100% Arabica coffee to you every day. Featuring notes of Smoke, Wood, and Dark Chocolate, the Community Blend delivers a well-rounded strong cup of coffee.  
 
 
 Vienna Roast  - The darkest of the coffees at Bombay Island, every cup of the Vienna Roast delivers ark Chocolate notes with a smoky aroma. Try this for a strong and bold cup of coffee. 
 
 
 Try the Dark-roast Taster range if you are looking for a diverse dark-roast experience.
[Meta Description]: Here's a handpicked collection of our finest 100% Arabica coffees for the Dark roast coffee enthusiasts.  Every Dark Roast Taster Pack contains 3 packs of 75 gms each of: Mysore Nuggets Extra Bold - A true-blue Indian Specialty coffee, the Mysore Nuggets is the preferred choice for lovers of the South Indian filter and",https://www.bombayisland.com/products/dark-roast-taster-pack,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/DarkRoastTasterPack_Setof3_-BombayIsland-Disc.jpg?v=1654069998,V60 Pourover:480.00,
Bombay Island,"Espresso Blend - Medium Dark Roast - Cocoa, Caramel & Nut",Rs. 550.00,INR,"Espresso Blend is 100% Arabica Coffee blended perfectly and craft roasted to give you notes of Cocoa, Caramel and Nut. 
 It gives a very balanced taste and recommended for Espresso, Moka Pot, South Indian Filter coffees. However, one can use it for other brews as well. This coffee is definitely for you if you like your coffee with hint of caramel notes.
[Meta Description]: Espresso Blend is 100% Arabica Coffee blended perfectly and craft roasted to give you notes of Cocoa, Caramel and Nut. It gives a very balanced taste and recommended for Espresso, Moka Pot, South Indian Filter coffees. However, one can use it for other brews as well. This coffee is definitely for you if you like your c",https://www.bombayisland.com/products/espresso-blend,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/MediumDark-Espressoblend.jpg?v=1642151534,250 gm:550.00; 500 gm:1045.00; 1000 gm:1980.00; V60 Pour over:1980.00,
Bombay Island,Filter Paper (For Pour Over Coffee),Rs. 495.00,INR,"Brew with confidence using Hario V60 Filter Paper. Designed to eliminate bitterness, it ensures clean, flavorful coffee in every cup.  Contains 100 filter papers  that can be used with V60 Pour Over Dripper. 
  Precision-Engineered for Perfection  Crafted for the iconic V60 dripper, these filters deliver optimal flow for balanced extraction. Biodegradable and eco-friendly, they’re good for your brew and the planet. 
  Effortless Brewing  With a pack of 100 filters, enjoy hassle-free brewing for weeks. Whether bold or mellow, every pour is perfectly filtered.
[Meta Description]: Brew with confidence using Hario V60 Filter Paper. Designed to eliminate bitterness, it ensures clean, flavorful coffee in every cup. Contains 100 filter papers that can be used with V60 Pour Over Dripper. Precision-Engineered for PerfectionCrafted for the iconic V60 dripper, these filters deliver optimal flow for bala",https://www.bombayisland.com/products/filter-paper,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/FilterPaper.png?v=1607940235,:495.00,
Bombay Island,French Press Classic Brewing Gift Set,Rs. 2390.00,INR,"Gift your loved one a classic french press coffee experience. The French Press Classic Brewing Set includes -   
 
 
 French Press  - An elegant wooden french press to brew the finest coffee at your leisure.  
 
 
 2 Packs of Signature Medium-dark &amp; Dark Roast Coffees  (250 gm each) - We've picked out 2 of our finest coffees. The coffees will be coarsely ground, perfect for brewing using french press. -  
 
 
 
 Medium-Dark Roast  - Espresso Blend - Cocoa, Caramel &amp; Nut 
 
 Dark Roast  - Mysore Nuggets Extra Bold - Spice, Dark Chocolate, Nuts  Note: Want a different coffee from the ones listed above? Please mention the name in order notes and we'll customize this accordingly.   
 
 
 Gift Box    - The coffee and French Press arrive bundled in our curated gift box and will make your loved one's eyes light up.   
 
 
 Gift Card  - Send your loved ones seasoned greetings of New Year.
[Meta Description]: Gift your loved one a classic french press coffee experience. The French Press Classic Brewing Set includes -   French Press - An elegant wooden french press to brew the finest coffee at your leisure. 2 Packs of Signature Medium-dark &amp; Dark Roast Coffees (250 gm each) - We've picked out 2 of our finest coffees. The",https://www.bombayisland.com/products/french-press-classic-brewing-gift-set,https://cdn.shopify.com/s/files/1/0518/5801/4378/files/NY2025-FrenchPressClassicBrewingGiftSet-1.1_a537fa09-8868-4480-8430-8c60f7597a82.jpg?v=1734778450,:2390.00,
Bombay Island,French Press Essentials Brewing Gift Set,Rs. 1940.00,INR,"Gift your loved one an exceptional french press coffee experience. The French Press Essentials Brewing Set includes - 
 
 
 French Press  - A timeless brewing companion, this wooden french press won't just look amazing. It's perfect to brew a fantastic cup of coffee with ease.    
 
 
 Assorted Pack of 3 Coffees (75 gm each)    - We've handpicked the finest of our medium, medium-dark, and dark-roast coffees for this. The coffees will be coarsely ground, perfect for brewing using french press.    
 
 
 
 Medium Roast    - Thogarihunkal Single Estate - Citrus, Orange Blossom &amp; Candy 
 
 Medium Dark    - Espresso Blend - Cocoa, Caramel &amp; Nut 
 
 Dark Roast    - Mysore Nuggets Extra Bold - Spice, Dark Chocolate &amp; Nuts   Note : Want a different coffee from the ones listed above? Please mention the name in order notes and we'll customize this accordingly.  
 
 
 
 Gift Box    - The coffee and French Press arrive bundled in our curated gift box and will make your loved one's eyes light up.  
 
 
 Gift Card  - Send your loved ones seasoned greetings of New Year.
[Meta Description]: Gift your loved one an exceptional french press coffee experience. The French Press Essentials Brewing Set includes - French Press - A timeless brewing companion, this wooden french press won't just look amazing. It's perfect to brew a fantastic cup of coffee with ease. Assorted Pack of 3 Coffees (75 gm each) - We've h",https://www.bombayisland.com/products/french-press-essentials-brewing-gift-set,https://cdn.shopify.com/s/files/1/0518/5801/4378/files/NY2025-FrenchPressClassicBrewingGiftSet-1_acb3324e-abda-4085-91e0-1abf78ccc21c.jpg?v=1734778462,:1940.00,
Bombay Island,French Press Ultimate Brewing Gift Set,Rs. 2490.00,INR,"Gift of exceptional coffee to start with the French Press brewing journey. This gift set includes -   
 
 
 French Press  - An elegant wooden french press to brew the finest coffee at your leisure.  
 
   6 Packs of Signature Coffees (75 gm each)  - We've picked out 2 packs each of our finest medium, medium-dark, and dark roast coffees. The coffees will be coarsely ground, perfect for brewing using french press.    
 
  Medium Roast  
 
  Thogarhunkal Estate - Citrus, Orange Blossom, Candy  
  Breakfast Blend - Stoned fruits with caramel overtones    
 
  Medium-dark Roast  
 
 Bynemara Estate - Toffee, Chocolate, Nut 
 Full City Roast - Gooseberry, Molasses, Roasted Hazelnuts  
 
 
   Dark Roast   
 
 Mysore Nuggets Extra Bold - Spice, Dark Chocolate, Nuts 
  Vienna Roast - Dark Chocolate, Bittersweet, Smoke    
 
 
 Note: Want a different coffee from the ones listed above? Please mention the name in order notes and we'll customize this accordingly.   
 
 
 
 Gift Box    - The coffee and French Press arrive bundled in our curated gift box and will make your loved one's eyes light up.  
 
 
 Gift Card  - Send your loved ones seasoned greetings of New Year.
[Meta Description]: Gift of exceptional coffee to start with the French Press brewing journey. This gift set includes -   French Press - An elegant wooden french press to brew the finest coffee at your leisure. 6 Packs of Signature Coffees (75 gm each) - We've picked out 2 packs each of our finest medium, medium-dark, and dark roast coffe",https://www.bombayisland.com/products/french-press-ultimate-brewing-gift-set,https://cdn.shopify.com/s/files/1/0518/5801/4378/files/NY2025-FrenchPressUltimateBrewingGiftSet-1.1.jpg?v=1734778477,:2490.00,
Bombay Island,French Press Wooden (350ml),Rs. 1390.00,INR,"A classic wooden French Press coffee maker is every coffee lover's go-to equipment. Perfect to brew a smooth, consistent, and easy cup of coffee. This one pairs timeless design with practicality.  
  
 You'll get a high-quality French Press with a sleek wooden finish. It's made using heat-resistant glass and has a stainless steel filter.  Made from wood, this elegant French Press champions eco-friendly brewing. Compact yet efficient, it’s perfect for solo or shared moments. 
 
 
 
 
 
  
 
 Capacity : 350 ml
[Meta Description]: A classic wooden French Press coffee maker that is every coffee lovers go-to Brewing equipment. Made of high quality, wooden finish , heat resistant glass and a stainless steel filter, for a smooth, consistent and easy cup of coffee. Perfect for black coffee.",https://www.bombayisland.com/products/french-press-wooden,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/frenchpressimg1.jpg?v=1771236239,:1390.00,
Bombay Island,"Full City Roast - Medium Dark Roast - Gooseberry, Molasses & Roasted Hazelnuts",Rs. 550.00,INR,"Welcome the newest coffee from our roastery -  the Full City Roast . Often considered the best of both worlds, this medium-dark roast coffee is a medley of fruity &amp; nutty flavour notes with a sweet aftertaste. 
 This coffee delivers a smooth &amp; medium acidic brew, and is perfect for both milk-based and black coffees. 
 The Full City Roast uses 100% Arabica Coffee, sourced from select coffee estates in Chikmagalur and roasted in-house in small batches for consistent taste &amp; quality.
[Meta Description]: Welcome the newest coffee from our roastery - the Full City Roast. Often considered the best of both worlds, this medium-dark roast coffee is a medley of fruity &amp; nutty flavournotes with a sweet aftertaste. This coffee delivers a smooth &amp; medium acidic brew, and is perfect for both milk-based and black coffees.",https://www.bombayisland.com/products/full-city-roast,https://cdn.shopify.com/s/files/1/0518/5801/4378/files/MediumDark-FullCityRoast.jpg?v=1699364741,250 gm:550.00; 500 gm:1045.00; 1000 gm:1980.00; V60 Pour over:1980.00,
Bombay Island,Gift Card (Digital),Rs. 445.00,INR,"Looking for a great gift for your coffee-loving friend? You've come to the right place. 
 With  Bombay Island Gift Cards *, introduce your loved ones to India's finest artisanal coffee.   
  What can I get with the gift card?  
 Anything from our Online Store. Use the gift card to purchase coffees, equipment, subscriptions, and workshop tickets. 
  How does it work?  
 
 Select the gift card denomination from below 
 Provide their contact details while checking out. And we're good to go! 
 
 We'll email them a Coupon Code associated with a Gift Card. The same can be redeemed while making purchases from our online store. 
 
 *  Note : To make gifting easy, quick, and better for the environment, gift cards are only available in digital formats right now. In case of queries, please contact us.
[Meta Description]: Looking for a great gift for your coffee-loving friend? You've come to the right place. With Bombay Island Gift Cards*, introduce your loved ones to India's finest artisanal coffee.  What can I get with the gift card? Anything from our Online Store. Use the gift card to purchase coffees, equipment, subscriptions, and w",https://www.bombayisland.com/products/gift-card,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/Gift_Card_-_445_-_Bombay_Island_Coffee_Company.jpg?v=1662123593,₹445:445.00; ₹800:800.00; ₹1200:1200.00; ₹1500:1500.00,
