roaster,name,price,currency,description,product_url,image_url
Vui,BIOCHAR,From Rs. 750,Rs.,"Biochar is a carbon-rich, natural soil conditioner. It is produced by heating plant-based biomass in an oxygen-limited environment. Technical Specifications 300 sqm/gm (Total Surface Area) 90 sqm/gm (Pore Surface Area) Cation Exchange Capacity : 300 cmol/kg",https://vuivui.in/products/biochar,
Vui,Black Honey (Medium - Dark),From Rs. 750,Rs.,"Indulge in the rich flavors of our Black Honey (Dark) coffee. Experience a unique process where coffee cherries are pulped, leaving a honey-like coating on the beans. Sun-dried to perfection, it delivers a balanced fruit-and-nut cup with high clarity and body. Brew it in Aeropress, Moka Pot, Espresso, French Press, or Filter Dabba.",https://vuivui.in/products/black-honey,
Vui,Carbonic Maceration (Medium),From Rs. 750,Rs.,"Discover the world of Carbonic Maceration (Medium) coffee by Vui Coffee Roasters. Our unique process involves CO2, which creates a temperature drop, eliminating unwanted microbes. This results in smooth, complex notes and a rounded finish. Enjoy it best with Pour Over, Aeropress, or French Press.",https://vuivui.in/products/carbonic-maceration,
Vui,Double Ferment (Light - Medium),From Rs. 750,Rs.,"Discover the exceptional Double Ferment (Light-Medium) coffee by Vui Coffee Roasters. Our unique process, using Lactobacilli and Yeast for fermentation, pushes the boundaries of coffee flavor. Enjoy a rich, velvety mouth-feel and a smooth finish reminiscent of wild honey. Brew it with Pour Over or Aeropress for a truly unique taste.",https://vuivui.in/products/double-ferment,
Vui,Espresso Blend (Dark),From Rs. 750,Rs.,"Introducing our Espresso Blend (Dark) - a carefully crafted blend of Washed Arabica and a touch of Robusta for intense aroma, creamy texture, and a delightful finish. Savor the consistency and high clarity in every cup of Espresso. Ideal for Moka Pot and Espresso brewing.",https://vuivui.in/products/espresso-blend,
Vui,Filter Blend (Dark),From Rs. 750,Rs.,"Indulge in the rich flavors of our Filter Blend (Dark) coffee. Experience a fusion of aroma and flavor from Washed Arabica with the nuttiness of high-altitude Robusta. Roasted dark for a strong body and a rich, smooth finish. Perfect for milk enthusiasts, and best brewed in a Moka Pot. Also suitable for Espresso and Filter Dabba brewing.",https://vuivui.in/products/filter-blend,
Vui,Lactic Ferment (Light-Medium),From Rs. 750,Rs.,"Try our Lactic Ferment (Medium) coffee, where a home-made culture of Lactobacilli works its magic on the coffee cherries' natural sugars. Our secret sauce and attention to detail result in complex acidity and a good body. Ideal for Pour Over brewing.",https://vuivui.in/products/lactic-ferment,
Vui,Lactic Ferment (Medium-Dark),From Rs. 750,Rs.,"Explore the Lactic Ferment (Medium-Dark) coffee by Vui Coffee Roasters. Our proprietary Lactobacilli culture ferments coffee cherries, delivering complex acidity and a good body. Enjoy it with Moka Pot, Espresso, Aeropress, or French Press brewing methods.",https://vuivui.in/products/lactic-ferment-medium-dark,
Vui,Naturals (Light-Medium),From Rs. 750,Rs.,"Experience the vibrant taste of Naturals (Medium) coffee from Vui Coffee Roasters. Our 'Naturals' process involves unique drying methods, resulting in intense fruity notes and natural sweetness. Enjoy it with Pour Over, Aeropress, or French Press brewing.",https://vuivui.in/products/naturals,
Vui,Naturals (Medium-Dark),From Rs. 750,Rs.,"Savor the bold flavors of Naturals (Medium-Dark) coffee by Vui Coffee Roasters. This 'Naturals' variant offers intense fruity notes and natural sweetness. Perfect for Aeropress, Moka Pot, Espresso, French Press, and Filter Dabba brewing methods.",https://vuivui.in/products/naturals-medium-dark,
Vui,Robusta (Dark),From Rs. 750,Rs.,"This coffee is for those who want strength in their cup. It’s bold, earthy, and packed with caffeine that keeps you awake and keeps you going. Perfect for making Vietnamese iced coffee at home, or whenever you need that extra push. Process The coffee cherries are put through the ‘Pulper’ and ‘Washer’, and the beans are",https://vuivui.in/products/robusta-to-do,
Vui,Washed (Dark),From Rs. 750,Rs.,"Discover the exceptional Washed (Dark) coffee by Vui Coffee Roasters. This coffee undergoes thorough processing with the 'Pulper' and 'Washer,' leaving the beans washed clean of all pulp. The result is nutty flavors with exceptional clarity and consistency. Ideal for Aeropress, Moka Pot, Espresso, French Press, or Filter Dabba brewing.",https://vuivui.in/products/washed,
Vui,Yellow Honey (Medium - Dark),From Rs. 750,Rs.,"Indulge in the rich and flavorful Yellow Honey (Dark) coffee from Vui Coffee Roasters. Similar to Black Honey, this coffee is processed with the 'Pulper' and 'Washer', resulting in a thin layer of pulp and rich nutty flavors with a hint of fruitiness in high clarity. Brew it to perfection in Aeropress, Moka Pot, Espresso, French Press, or Filter Dabba.",https://vuivui.in/products/yellow-honey,
