roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
Five Farms,Specialty coffees,,,"Experience the perfect blend of tradition and sustainability. Shade-grown specialty coffee from the estates of Coorg, a flavor profile that supports ecosystem",https://fivefarms.in/product-category/specialty-coffee/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",,
Five Farms,Single origin coffees,,,Experience the authentic taste of Coorg with our Single Origin Coffee. Sourced from Coorg’s lush landscapes and crafted with meticulous care.,https://fivefarms.in/product-category/specialty-coffee/single-origin-coffees/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",,
Five Farms,Limited editions,,,"Explore our exclusive collection of limited edition specialty coffees, sourced from Coorg. Perfect for coffee aficionados seeking exceptional experience",https://fivefarms.in/product-category/specialty-coffee/limited-edition/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",,
Five Farms,Filter coffee blends,,,Discover the rich flavors of traditional South Indian filter coffee. Our custom-roasted beans from Coorg create brews that offer an authentic experience.,https://fivefarms.in/product-category/specialty-coffee/filter-coffee-blends/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",,
Five Farms,Crystal Valley microlots,,,"Mulled naturals, Carbonic maceration and unique fermented coffees from pristine slopes of the Biligiri Hills in Coorg, India.",https://fivefarms.in/product-category/specialty-coffee/crystal-valley-microlots/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",,
Five Farms,The Artists' blends,,,"Discover The Artist’s Blends, innovative coffees from Coorg. Master crafted with unique processing, each blend offers complex flavors. Artistry in every cup.",https://fivefarms.in/product-category/specialty-coffee/the-artists-blends/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",,
Five Farms,,"Select an option Medium Roast Medium Dark roast Grind my coffee Select an option South Indian Filter Coffee Overnight steeping South Indian Filter Coffee 45 min quick steep French press Perculators Pour over or Drip machines Chemex Aeropress (3 min) Moka pots Turkish coffee Home espresso machines I'd like my coffee as cold brew pouches ( + ₹ 60.00 ) 1 box contains 5 pouches (50 g each). Each cold brew bag yields 500 ml to 1 litre of brew. Packed in our signature DE’YU branding. I'd like my coffee as drip coffee bags ( + ₹ 75.00 ) 10 single-serve drip bags (10g each), with each bag brewing one cup of coffee. Packed in two signature DE’YU boxes. This is a gift Message",₹,"Pi – premium peaberry coffee from Coorg, custom roasted and blended on order. Rare beans with vibrant acidity, silky body, and fresh small-batch flavor.",https://fivefarms.in/product/pi-peaberry-coffee/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",,
Five Farms,Custom roasted coffee,,,"Tailored flavor profiles for every coffee lover. A unique collection of custom roasted coffees from FiveFarms. Single estate beans roasted to your preference,",https://fivefarms.in/product-category/custom-roasted-coffee/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",,
Five Farms,,₹ 349.00 Original price was: ₹349.00. ₹ 249.00 Current price is: ₹249.00.,₹,"Discover Grey Hornbill, a curated collection of 10 exquisite flavored instant coffees. From bold and rich to fruity and sweet, experience, flavors in every cup.",https://fivefarms.in/product-category/instant-coffee/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",,
Five Farms,,₹ 549.00,₹,Experience the freshness and convenience of De’-yu Artisanal Brew Bags. The worlds only custom ordered pouches. For a perfect fresh brew every time.,https://fivefarms.in/product-category/deyu-artisanal-brew-bags/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",,
