roaster,name,price,currency,description,product_url,image_url,variants
Siolim,Kerehaklu Mosto Fermentation,₹1200.0,INR,"Grown at Kerehaklu Estate in the lush forests of Chikmagalur, this experimental lot undergoes an anoxic mosto fermentation that amplifies its vibrant fruit character while preserving the estate’s unique terroir. Expect a juicy cup layered with passion fruit, ripe blueberry, and red currant, balanced by a rounded body and lingering cocoa finish.",https://www.siolim.coffee/products/kerehaklu,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/K_K052621.png?v=1782218708,200g:1200.00
Siolim,Raxidi Lobo's P1 Natural,₹980.0,INR,"The finest coffee cherries were selectively picked, then thoroughly washed and placed in a stainless steel container. A P1 strain, a mix of yeast and bacteria, was then introduced to ferment the cherries in an anaerobic environment for 18 hours. Once fermentation was complete, the cherries were transferred to raised beds for slow drying over 21 days. Throughout the drying process, the temperature and humidity were carefully monitored to maintain a controlled environment.",https://www.siolim.coffee/products/raxidi-lobo-p1,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/SOF08698.jpg?v=1776236894,250g:980.00; 500g:1800.00; 1000g:3600.00
Siolim,Raxidi Lobo's W1 Natural,₹980.0,INR,"The finest coffee cherries were selectively picked, thoroughly washed, and placed in a stainless steel container. A W1 strain, a mix of yeast and bacteria, was then introduced to ferment the cherries in an anaerobic environment for 20 hours. Once fermentation was complete, the cherries were transferred to raised beds for slow drying over 21 days. Throughout the drying process, the temperature and humidity were carefully monitored to maintain a controlled environment.",https://www.siolim.coffee/products/raxidi-lobo-w1,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/SOF08660.jpg?v=1776236785,250g:980.00; 500g:1800.00; 1000g:3600.00
Siolim,Candolim Blend,₹790.0,INR,"The Candolim Blend combines washed single-origin coffees with peaberry to create a rich, layered profile. Nutty undertones meet the smooth sweetness of maple, while a hint of sweet spice adds intrigue. Balanced and full-bodied, this blend is well-suited for espresso or slow-brewed cups alike.",https://www.siolim.coffee/products/candolim-blend,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/Candolim_Blend_Corrected.png?v=1762240456,250g:790.00; 500g:1400.00; 1000g:2600.00
Siolim,Barista Series of 2-WayCup,₹2100.0,INR,"Introducing the Barista Series of 2-WayCup, expertly crafted for coffee shops and enthusiasts of both espresso and milk coffee. This innovative cup features an enhanced shape designed for maximum comfort, ensuring that every sip is a pleasure. With its unique 2-way drinking experience, we elevate the enjoyment of coffee to new heights. But it doesn’t stop there—this series is also ideal for milk-based drinks, allowing baristas to create stunning latte art with ease. Whether you’re savoring a rich espresso or a creamy latte, the Barista Series is designed to meet the needs of all coffee aficionados. Glazing Outside: Vertically glazed 50% colored and 50% transparent Inside: 100% transparent glaze Materials Porcelain Capacity 80 ml Usage: Single Espresso Colour: Orange / Pink / Purple / Yellow 160 ml Usage: Milk Coffee, Share Portion of Filter Coffee Colour: Milky Orange / Milky Pink / Milky Purple / Milky Yellow 240 ml Usage: Milk Coffee, Share Portion of Filter Coffee Colour: Milky Orange / Milky Pink / Milky Purple / Milky Yellow Remarks Microwave safe Oven safe 220° max Dishwasher safe Freezer safe Please note: this product is handmade and may exhibit minor variations, slight dents, glazing irregularities, or other natural imperfections. These characteristics are inherent to handmade items and do not constitute defects.",https://www.siolim.coffee/products/barista-series-of-2-waycup,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/SOF09239.jpg?v=1777357513,80ML / Purple:2100.00; 80ML / Pink:2100.00; 80ML / Orange:2100.00; 80ML / Yellow:2100.00; 160ML / Purple:2700.00; 160ML / Pink:2700.00; 160ML / Orange:2700.00; 160ML / Yellow:2700.00; 240ML / Purple:3100.00; 240ML / Pink:3100.00; 240ML / Orange:3100.00; 240ML / Yellow:3100.00
Siolim,Refined 2-WayCup for Specialty Coffee Brewing,₹2600.0,INR,"Why Choose the Refined 2-WayCup The Refined 2-WayCup is an advanced evolution of the original 2-WayCup, designed to elevate your specialty coffee experience. Created with insights from World Brewers Cup Champion Martin Wölfl (WBrC 2024), this cup delivers smoother sipping, improved aroma release, and exceptional comfort. Crafted from premium porcelain and finished with refined glazing, it is ideal for espresso, pour-over, and slow-brewed coffee. Why Choose the Refined 2-WayCup A) Champion-Approved Refinement: We’ve elevated the cup's design in collaboration with Martin Wölfl, WBrC 2024 Champion, ensuring an even better tasting experience. B) Smoother Drinking Experience: The enhanced rim finishing delivers an exceptionally smooth and comfortable drinking experience. C) Thoughtful Design Enhancements: Our new anti-slip and heatproof silicone sleeve (available exclusively for the 330ml version) ensures added safety and comfort. D) Elegant Aesthetic: Enjoy a more sophisticated look with our cup's even color painting, designed for a refined appearance. E) Esteemed Recognition: Our packaging proudly showcases the prestigious Red Dot Design Award, signifying our commitment to quality and design excellence. F) Vibrant New Color: We’re excited to introduce a striking blue variant, adding a fresh pop of color to your collection. Product Features & Specifications Glazing Outside: Vertically glazed 50% colored and 50% transparent Inside: 100% transparent glaze Materials Porcelain Available in two practical sizes to suit different coffee preferences. Capacity and Includes 330ml 2-Way Cup 330ml x1 Silicone Cup Sleeve x1 130ml 2-Way Cup 130ml x1 Remarks Microwave safe Oven safe 220° max Dishwasher safe Freezer safe Features of Silicone Cup Sleeve The silicone sleeve (included with the 330ml version) improves grip and protects hands from heat, making everyday use safer and more comfortable. Heat-resistance Anti-slip Durable and reusable Not easy damaged, flexible and comfortable g",https://www.siolim.coffee/products/refined-2-waycup,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/SOF09255.jpg?v=1777357763,Orange / 130ml:2600.00; Orange / 330ml - with Silicone Cup Sleeve:3600.00; Grey / 130ml:2600.00; Grey / 330ml - with Silicone Cup Sleeve:3600.00; Green / 130ml:2600.00; Green / 330ml - with Silicone Cup Sleeve:3600.00; Pink / 130ml:2600.00; Pink / 330ml - with Silicone Cup Sleeve:3600.00; Purple / 130ml:2600.00; Purple / 330ml - with Silicone Cup Sleeve:3600.00; Blue / 130ml:2600.00; Blue / 330ml - with Silicone Cup Sleeve:3600.00
Siolim,Excelsa,₹800.0,INR,"Excelsa — Mooleh Manay Estate, Coorg Origin Grown amidst the serene backwaters of the Harangi Reservoir in Coorg, Mooleh Manay Estate is a fourth- generation farm now led by Komal and Akshay Dashrath. With 75 acres of clay-loamy soil and 65 inches of annual rainfall, their approach blends data-driven precision with a deep respect for nature. Every cherry is selectively hand-picked, fermented with intent, and dried with patience each step reflecting the care and curiosity that define their craft. About the Producer The estate works closely with the South India Coffee Company (SICC)  a green coffee collective committed to transparency, traceability, and research. Through SICC Labs, the company explores low- intervention species and climate-resilient coffee farming, charting a sustainable future for Indian coffee. Why Excelsa While most of the world’s attention rests on Arabica and Robusta, Excelsa remains a quiet outlier. A rare coffee species that bridges intensity and intrigue. Once grown along farm borders in India, Excelsa trees tower high and challenge harvesters with their wild nature. Yet within their small, round beans lies an extraordinary spectrum of flavor — bright, juicy, and surprisingly complex. The Mooleh Manay Excelsa lot we roast has been DNA-verified by the Royal Botanic Gardens, Kew, and naturally carries a low caffeine content (0.9–0.98%) without compromising on depth. Even in milk-based brews, it retains its vivid fruit character, a rarity in the world of coffee. Processing This lot underwent an 84-hour yeast-inoculated natural fermentation, sealed in oxygen-restricted tanks to create a carbonic maceration environment. - Harvesting: Only fully ripe cherries - hand-picked one by one. - Sorting: Water flotation ensures uniform density and ripeness. - Fermentation: Controlled yeast fermentation deepens sweetness and clarity. - Drying: Slow, steady drying on raised beds within polyhouses. - Resting: After reaching 11–12% moisture, the coffee rests for",https://www.siolim.coffee/products/excelsa,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/CopyofSOF01508.jpg?v=1764317765,100g:800.00
Siolim,Wave Filter W-155,₹990.0,INR,"Description 100pcs Wave Filters – Designed for Solo Dripper and Kalita Wave 155 (1–2 cups) Eco-Friendly – Biodegradable, oxygen-bleached & chlorine-free paper Clean Taste – Ensures chemical-free coffee flavor every brew Balanced Extraction – Promotes smooth water flow & consistency",https://www.siolim.coffee/products/wave-coffee-filter-w-155,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/513BHy1OPiL._SX679.jpg?v=1759318166,
Siolim,Solo Dripper — Mazelab,₹5200.0,INR,"Designed by Jackie Tran (WBrC 2024 Finalist), the Solo Dripper is a compact pour-over brewer built for clarity, balance, and portability. Made from durable polypropylene, it’s lightweight enough to travel yet precise enough for competition-level brews. The Solo’s 40° angled walls, curved base, and central flow channel are engineered for clean, consistent extraction. Water moves smoothly through the coffee bed for faster flow, bright flavors, and well-rounded cups without over-extraction. Every detail — from geometry to flow rate — is intentional. Even saturation, minimal channeling, and repeatable results make it a brewer you can rely on anywhere — at home, in the café, or on the road. Why it stands out Bright, clean cups — faster flow highlights clarity and vibrancy. Balanced extraction — 40° angle + curved base ensures even saturation. Built for consistency — easy to control taste through grind and pour. Durable & portable — compact, travel-ready polypropylene design. Designed for brewers — created by a World Brewers Cup finalist. Details Capacity: 1–2 cups Material: Polypropylene (PP) Filter: Cake-shaped filter paper Angle: 40° Designed in Prague",https://www.siolim.coffee/products/solo-dripper,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/RR02-16.jpg?v=1758805114,GLOW | Carrot:5200.00; GLOW | Yolk:5200.00; GLOW | Booberry:5200.00; GLOW | Nephrite:5200.00; GLOW | Sakura:5200.00; TERRA | Natura:5200.00; SOLID | White:5200.00; GLOW | Black:5200.00
Siolim,Aarambol Blend,₹790.0,INR,"A lively fusion of naturals and washed single-origin coffees, the Aarambol Blend is both bold and expressive. Bursting with bright berry notes, it is rounded by smooth cocoa and the gentle sweetness of brown sugar. Fruity yet comforting, it’s a versatile blend for those who enjoy vibrant, characterful cups.",https://www.siolim.coffee/products/aarambol-blend,https://cdn.shopify.com/s/files/1/0804/4003/3597/files/Aarambol_Blend_New_Corrected.png?v=1762240608,250g:790.00; 500g:1400.00; 1000g:2600.00
