Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
Attikan Estate Red Honey,Corridor Seven,,1kg,,"Java Plum, Banana, Elderflower","Tastes Like - Java Plum, Banana, Elderflower Roasting Profile - Filter ( Light Roast ) Process -  Honey Sun Dried Varietal - Sl 9 Altitude - 1600-1700 MASL  Producer Name - Mrs. Hamsini Appadurai Harvest Year - 2024-2025 Coffee Producers Note - After pulping, the coffee cherries undergo a 27-hour anaerobic fermentation",https://corridorseven.coffee/products/attikhan-estate-red-honey,http://corridorseven.coffee/cdn/shop/files/Attikan_Red_Honey_147d6f20-6674-4934-96ef-538956bd8da0.jpg?v=1768460504
Attikan Estate Red Honey,Corridor Seven,,250g,,"Java Plum, Banana, Elderflower","Tastes Like - Java Plum, Banana, Elderflower Roasting Profile - Filter ( Light Roast ) Process -  Honey Sun Dried Varietal - Sl 9 Altitude - 1600-1700 MASL  Producer Name - Mrs. Hamsini Appadurai Harvest Year - 2024-2025 Coffee Producers Note - After pulping, the coffee cherries undergo a 27-hour anaerobic fermentation",https://corridorseven.coffee/products/attikhan-estate-red-honey,http://corridorseven.coffee/cdn/shop/files/Attikan_Red_Honey_147d6f20-6674-4934-96ef-538956bd8da0.jpg?v=1768460504
Attikan Estate Red Honey,Corridor Seven,,500g,,"Java Plum, Banana, Elderflower","Tastes Like - Java Plum, Banana, Elderflower Roasting Profile - Filter ( Light Roast ) Process -  Honey Sun Dried Varietal - Sl 9 Altitude - 1600-1700 MASL  Producer Name - Mrs. Hamsini Appadurai Harvest Year - 2024-2025 Coffee Producers Note - After pulping, the coffee cherries undergo a 27-hour anaerobic fermentation",https://corridorseven.coffee/products/attikhan-estate-red-honey,http://corridorseven.coffee/cdn/shop/files/Attikan_Red_Honey_147d6f20-6674-4934-96ef-538956bd8da0.jpg?v=1768460504
August Rush Blend,Corridor Seven,,1kg,Medium Roast,"Prunes, Soft Finish and Toasted Almonds ||","Tastes Like- Prunes, Soft Finish and Toasted Almonds || Roasting Profile- Espresso Profile ( Medium Roast ) || Varietal- SLN 795 &amp; SLN9 || Altitude- 1450-1524 MASL || Process- Blended || Harvest Year- 2024-25 || Location- India (various parts) || 100% Arabica   This is our in house blend that we have been working",https://corridorseven.coffee/products/august-rush,http://corridorseven.coffee/cdn/shop/products/Untitled-2_45c39a35-c7d8-44fb-b79b-5d188a7bffdc.jpg?v=1629981473
August Rush Blend,Corridor Seven,,250g,Medium Roast,"Prunes, Soft Finish and Toasted Almonds ||","Tastes Like- Prunes, Soft Finish and Toasted Almonds || Roasting Profile- Espresso Profile ( Medium Roast ) || Varietal- SLN 795 &amp; SLN9 || Altitude- 1450-1524 MASL || Process- Blended || Harvest Year- 2024-25 || Location- India (various parts) || 100% Arabica   This is our in house blend that we have been working",https://corridorseven.coffee/products/august-rush,http://corridorseven.coffee/cdn/shop/products/Untitled-2_45c39a35-c7d8-44fb-b79b-5d188a7bffdc.jpg?v=1629981473
August Rush Blend,Corridor Seven,,500g,Medium Roast,"Prunes, Soft Finish and Toasted Almonds ||","Tastes Like- Prunes, Soft Finish and Toasted Almonds || Roasting Profile- Espresso Profile ( Medium Roast ) || Varietal- SLN 795 &amp; SLN9 || Altitude- 1450-1524 MASL || Process- Blended || Harvest Year- 2024-25 || Location- India (various parts) || 100% Arabica   This is our in house blend that we have been working",https://corridorseven.coffee/products/august-rush,http://corridorseven.coffee/cdn/shop/products/Untitled-2_45c39a35-c7d8-44fb-b79b-5d188a7bffdc.jpg?v=1629981473
Baarbara Estate Washed Process,Corridor Seven,,1kg,,,Shopping coffee beans online have become easy with Corridor Seven Coffee Roasters. Choose coffee beans for your local café or your morning brew. Pay a visit to our online store now!,https://corridorseven.coffee/products/baarbara,http://corridorseven.coffee/cdn/shop/products/Untitled-2_91600dfb-3f44-4349-a9d4-43d73515f25c.jpg?v=1629980391
Baarbara Estate Washed Process,Corridor Seven,,250g,,,Shopping coffee beans online have become easy with Corridor Seven Coffee Roasters. Choose coffee beans for your local café or your morning brew. Pay a visit to our online store now!,https://corridorseven.coffee/products/baarbara,http://corridorseven.coffee/cdn/shop/products/Untitled-2_91600dfb-3f44-4349-a9d4-43d73515f25c.jpg?v=1629980391
Baarbara Estate Washed Process,Corridor Seven,,500g,,,Shopping coffee beans online have become easy with Corridor Seven Coffee Roasters. Choose coffee beans for your local café or your morning brew. Pay a visit to our online store now!,https://corridorseven.coffee/products/baarbara,http://corridorseven.coffee/cdn/shop/products/Untitled-2_91600dfb-3f44-4349-a9d4-43d73515f25c.jpg?v=1629980391
Barista Forte Blend,Corridor Seven,,1kg,Medium Roast,"Cacao, Nutmeg and traces of Bayleaf || Harvest Year- 2024-25 || Location- India (various parts) || 100% Arabica We have been working on this blend for a while now!This blend is any","Roasting Profile- Espresso Profile ( Medium Roast ) || Varietal- Washed || Altitude- 1450-1524 MASL || Process- Blended || Tastes Like- Cacao, Nutmeg and traces of Bayleaf || Harvest Year- 2024-25 || Location- India (various parts) || 100% Arabica   We have been working on this blend for a while now!This blend is any",https://corridorseven.coffee/products/barista-forte,http://corridorseven.coffee/cdn/shop/files/2_1.jpg?v=1692599920
Barista Forte Blend,Corridor Seven,,250g,Medium Roast,"Cacao, Nutmeg and traces of Bayleaf || Harvest Year- 2024-25 || Location- India (various parts) || 100% Arabica We have been working on this blend for a while now!This blend is any","Roasting Profile- Espresso Profile ( Medium Roast ) || Varietal- Washed || Altitude- 1450-1524 MASL || Process- Blended || Tastes Like- Cacao, Nutmeg and traces of Bayleaf || Harvest Year- 2024-25 || Location- India (various parts) || 100% Arabica   We have been working on this blend for a while now!This blend is any",https://corridorseven.coffee/products/barista-forte,http://corridorseven.coffee/cdn/shop/files/2_1.jpg?v=1692599920
Barista Forte Blend,Corridor Seven,,500g,Medium Roast,"Cacao, Nutmeg and traces of Bayleaf || Harvest Year- 2024-25 || Location- India (various parts) || 100% Arabica We have been working on this blend for a while now!This blend is any","Roasting Profile- Espresso Profile ( Medium Roast ) || Varietal- Washed || Altitude- 1450-1524 MASL || Process- Blended || Tastes Like- Cacao, Nutmeg and traces of Bayleaf || Harvest Year- 2024-25 || Location- India (various parts) || 100% Arabica   We have been working on this blend for a while now!This blend is any",https://corridorseven.coffee/products/barista-forte,http://corridorseven.coffee/cdn/shop/files/2_1.jpg?v=1692599920
Basankhan Estate,Corridor Seven,,1kg,Medium Roast,"Green Apple, Muskmelon and Rounded mouthfeel","Tastes Like - Green Apple, Muskmelon and Rounded mouthfeel Roasting Profile - Espresso profile (Medium Roast) Process -  Washed  Varietal - S 795 Altitude - 1470 MASL  Producer Name - Mr. Thouqeer Ahamed Harvest Year - 2024-2025 Coffee Producers Note - At our estate, every coffee bean carries the story of a season shap",https://corridorseven.coffee/products/basankhan-estate,http://corridorseven.coffee/cdn/shop/files/Basankhan_Estate_9a1e4fba-8870-4532-a579-511b5ebcfc74.jpg?v=1769580484
Basankhan Estate,Corridor Seven,,250g,Medium Roast,"Green Apple, Muskmelon and Rounded mouthfeel","Tastes Like - Green Apple, Muskmelon and Rounded mouthfeel Roasting Profile - Espresso profile (Medium Roast) Process -  Washed  Varietal - S 795 Altitude - 1470 MASL  Producer Name - Mr. Thouqeer Ahamed Harvest Year - 2024-2025 Coffee Producers Note - At our estate, every coffee bean carries the story of a season shap",https://corridorseven.coffee/products/basankhan-estate,http://corridorseven.coffee/cdn/shop/files/Basankhan_Estate_9a1e4fba-8870-4532-a579-511b5ebcfc74.jpg?v=1769580484
Basankhan Estate,Corridor Seven,,500g,Medium Roast,"Green Apple, Muskmelon and Rounded mouthfeel","Tastes Like - Green Apple, Muskmelon and Rounded mouthfeel Roasting Profile - Espresso profile (Medium Roast) Process -  Washed  Varietal - S 795 Altitude - 1470 MASL  Producer Name - Mr. Thouqeer Ahamed Harvest Year - 2024-2025 Coffee Producers Note - At our estate, every coffee bean carries the story of a season shap",https://corridorseven.coffee/products/basankhan-estate,http://corridorseven.coffee/cdn/shop/files/Basankhan_Estate_9a1e4fba-8870-4532-a579-511b5ebcfc74.jpg?v=1769580484
