Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Arabica | AAA Single Origin Chikmagalur Coffee |  Italian Artisan Roast |,Seven Beans,550.0,250g,,ginger and a smooth zesty finish,SHADE-GROWN coffee farms,Natural,"Dark:  A heavy-bodied coffee with smoky undertones.  
 
   
 
 
  Medium:  A light-bodied coffee with hints of ginger and a smooth zesty finish.     
 
 
 
          Roast:  Dark/Medium 
 
          Pairing:  Breads &amp; desserts           Notes:    Dark   - Smoked Oak &amp; Bitter Chocolate 
 
                      Medium   - Citrus &amp; Ginger 
          Coffee:  100% Arabica 
 
  Ecological harmony: Our coffee beans are directly sourced from SHADE-GROWN coffee farms. Our farms do not encroach on or disturb natural ecology, instead they exist in perfect symbiotic harmony among the plethora of naturally occurring flora &amp; fauna.  
  Suggested preparations: Decoction,Espresso, Americano, Cappuccino, Latte, Cold Coffee  
  Dante Cagliari: Our Rockstar Roastmaster is quintessentially Italian and is the man behind our pursuit of blending perfection ! His 4th generation legacy and 50 years of personal experience in coffee roasting ensures that every blend is, simply put, ""bella"" !  
  Roast: This bag of heavenly goodness is available in both a medium and dark roast, allowing the subtle nuances of the coffees to be enjoyed to the fullest.  
  The Real Deal: We sow, grow, pick, process, grade, blend, roast, grind, package and deliver your coffee OURSELVES. Enough said!
[Meta Description]: Dark: A heavy-bodied coffee with smoky undertones. Medium: A light-bodied coffee with hints of ginger and a smooth zesty finish.           Roast: Dark/Medium          Pairing: Breads &amp; desserts         Notes: Dark - Smoked Oak &amp; Bitter Chocolate                     Medium - Citrus &amp; Ginger         Coffee: 1",https://sevenbeans.co/products/seven-beans-100-arabica-single-origin-gourmet-indian-coffee,https://cdn.shopify.com/s/files/1/3099/9380/products/NewArabicaMediumFront.jpg?v=1644540601,Coffee
Bialetti® - Moka Express,Seven Beans,5000.0,3 Cup,,,,,"Enduring quality &amp; design   
 
 
      
  
 The Bialetti Moka celebrates more than 80 years of classic design elegance and technological simplicity. From the early 1950s to the present day, Bialetti has manufactured over 200 million coffee makers. In particular, the Moka Express has become iconic and has allowed millions of consumers to enjoy great Italian coffee. 
  
 The Moka produces a rich, authentic espresso in just minutes. The aluminum pot features Bialetti’s distinctive eight-sided shape that allows it to diffuse heat perfectly to enhance the aroma of your coffee. 
  
  Dispatch Time: 2-3 working days
[Meta Description]: Enduring quality &amp; design The Bialetti Moka celebrates more than 80 years of classic design elegance and technological simplicity. From the early 1950s to the present day, Bialetti has manufactured over 200 million coffee makers. In particular, the Moka Express has become iconic and has allowed millions of consumer",https://sevenbeans.co/products/bialetti®-moka-express,https://cdn.shopify.com/s/files/1/3099/9380/products/MokaPot-01.jpg?v=1602084124,Coffee
Bialetti® - Moka Express,Seven Beans,7300.0,6 Cup,,,,,"Enduring quality &amp; design   
 
 
      
  
 The Bialetti Moka celebrates more than 80 years of classic design elegance and technological simplicity. From the early 1950s to the present day, Bialetti has manufactured over 200 million coffee makers. In particular, the Moka Express has become iconic and has allowed millions of consumers to enjoy great Italian coffee. 
  
 The Moka produces a rich, authentic espresso in just minutes. The aluminum pot features Bialetti’s distinctive eight-sided shape that allows it to diffuse heat perfectly to enhance the aroma of your coffee. 
  
  Dispatch Time: 2-3 working days
[Meta Description]: Enduring quality &amp; design The Bialetti Moka celebrates more than 80 years of classic design elegance and technological simplicity. From the early 1950s to the present day, Bialetti has manufactured over 200 million coffee makers. In particular, the Moka Express has become iconic and has allowed millions of consumer",https://sevenbeans.co/products/bialetti®-moka-express,https://cdn.shopify.com/s/files/1/3099/9380/products/MokaPot-01.jpg?v=1602084124,Coffee
Bialetti® Coffee Press Preziosa,Seven Beans,5000.0,350ml,,,al symbol of quality and authenticity,,"The Bialetti French Press provides the simplest way of making quality, traditional coffee. It is made from 18/10 stainless steel with a glass cylinder and features a l’Omino (the little man) cutout, which is widely recognized as Bialetti’s original symbol of quality and authenticity. 
  Dispatch Time: 2-3 working days
[Meta Description]: The Bialetti French Press provides the simplest way of making quality, traditional coffee. It is made from 18/10 stainless steel with a glass cylinder and features a l’Omino (the little man) cutout, which is widely recognized as Bialetti’s original symbol of quality and authenticity. Dispatch Time: 2-3 working days ",https://sevenbeans.co/products/bialetti®-coffee-press-preziosa,https://cdn.shopify.com/s/files/1/3099/9380/products/Bialetti-01.jpg?v=1602084510,Coffee
Bialetti® Coffee Press Preziosa,Seven Beans,6300.0,1000ml,,,al symbol of quality and authenticity,,"The Bialetti French Press provides the simplest way of making quality, traditional coffee. It is made from 18/10 stainless steel with a glass cylinder and features a l’Omino (the little man) cutout, which is widely recognized as Bialetti’s original symbol of quality and authenticity. 
  Dispatch Time: 2-3 working days
[Meta Description]: The Bialetti French Press provides the simplest way of making quality, traditional coffee. It is made from 18/10 stainless steel with a glass cylinder and features a l’Omino (the little man) cutout, which is widely recognized as Bialetti’s original symbol of quality and authenticity. Dispatch Time: 2-3 working days ",https://sevenbeans.co/products/bialetti®-coffee-press-preziosa,https://cdn.shopify.com/s/files/1/3099/9380/products/Bialetti-01.jpg?v=1602084510,Coffee
Bialetti® Mini Express Set,Seven Beans,8000.0,,,,,,"Perfect for on-the-go   
 
 
 
 
 
 
 The Mini Express is the crowning achievement of Bialetti’s design and creativity. Its innovative system, in which coffee is directly dispensed into the cup, makes it possible to make a coffee that is always hot and ready to be served. Mini Express is a coffee maker designed for a truly special coffee getaway.  Coffee maker &amp; two cups included. 
 
  Dispatch Time: 2-3 working days
[Meta Description]:   Perfect for on-the-go The Mini Express is the crowning achievement of Bialetti’s design and creativity. Its innovative system, in which coffee is directly dispensed into the cup, makes it possible to make a coffee that is always hot and ready to be served. Mini Express is a coffee maker designed for a truly special c",https://sevenbeans.co/products/bialetti-mini-express,https://cdn.shopify.com/s/files/1/3099/9380/products/Bialetti-04.jpg?v=1602084420,Coffee
Cappuccino Cup & Saucer,Seven Beans,500.0,,,,,,"This porcelain cup set is the perfect companion to your morning coffee! Grab the morning newspaper and enjoy a cappuccino in these cups!
[Meta Description]: This porcelain cup set is the perfect companion to your morning coffee! Grab the morning newspaper and enjoy a cappuccino in these cups!",https://sevenbeans.co/products/cappuccino,https://cdn.shopify.com/s/files/1/3099/9380/products/cappuccino_cup.jpg?v=1595646091,Accessories
Combo - Eka with an Espresso Cup,Seven Beans,699.0,250g,,,,,nan,https://sevenbeans.co/products/eka-espresso-cup-set,https://cdn.shopify.com/s/files/1/3099/9380/products/EkaEspressoDeal.jpg?v=1601289764,Accessories
Eka - Cold Brew (Currently delivering within Bangalore only),Seven Beans,150.0,200ml,,,,,"A full-bodied brew, with rich flavour. Pairs well with savoury, strong flavours.   
 
 Cold Brew is a ready to drink caffeinated beverage. It is prepared by soaking coffee grounds in water for 12 – 24 hours and then filtered. Our signature Seven Beans Coffee cold brew has all the goodness of coffee without the acidity which makes it easier to identify flavour nuances. 
 Each 200 ml cold brew is estimated to be equivalent to 2 cups of coffee and is best had chilled. You can personalise your cold brew by adding milk and sugar to taste. It can be left at room temperature for up to 4 hours.
[Meta Description]: A full-bodied brew, with rich flavour. Pairs well with savoury, strong flavours. Cold Brew is a ready to drink caffeinated beverage. It is prepared by soaking coffee grounds in water for 12 – 24 hours and then filtered. Our signature Seven Beans Coffee cold brew has all the goodness of coffee without the acidity which ",https://sevenbeans.co/products/eka-cold-brew,https://cdn.shopify.com/s/files/1/3099/9380/products/image.jpg?v=1525961214,Coffee
Eka - Cold Brew (Currently delivering within Bangalore only),Seven Beans,300.0,500ml,,,,,"A full-bodied brew, with rich flavour. Pairs well with savoury, strong flavours.   
 
 Cold Brew is a ready to drink caffeinated beverage. It is prepared by soaking coffee grounds in water for 12 – 24 hours and then filtered. Our signature Seven Beans Coffee cold brew has all the goodness of coffee without the acidity which makes it easier to identify flavour nuances. 
 Each 200 ml cold brew is estimated to be equivalent to 2 cups of coffee and is best had chilled. You can personalise your cold brew by adding milk and sugar to taste. It can be left at room temperature for up to 4 hours.
[Meta Description]: A full-bodied brew, with rich flavour. Pairs well with savoury, strong flavours. Cold Brew is a ready to drink caffeinated beverage. It is prepared by soaking coffee grounds in water for 12 – 24 hours and then filtered. Our signature Seven Beans Coffee cold brew has all the goodness of coffee without the acidity which ",https://sevenbeans.co/products/eka-cold-brew,https://cdn.shopify.com/s/files/1/3099/9380/products/image.jpg?v=1525961214,Coffee
