Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Subminimal NanoFoamer - Lithium,Araku,5300.0,Black,,,,,"Experience the next evolution in coffee craftsmanship with the Subminimal Nanofoamer - Lithium. Crafted for the discerning coffee lover, this sleek, cutting-edge device uses advanced nanotechnology to transform your coffee into a luxurious experience. The velvety microfoam it creates elevates both flavor and aroma, bringing out the finest notes in every cup. Unlock your inner barista and nail perfect latte art with ease using the Nanofoamer. Designed with modern convenience in mind, it features a powerful lithium-ion battery, USB-C charging, whisper-quiet operation, and a minimalist, compact form that's easy to clean and even easier to love.",https://www.arakucoffee.in/products/subminimal-nanofoamer-lithium,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/Subminimal_nanofoamer_lithium_black.jpg?v=1782127349,Coffee
Subminimal NanoFoamer - Lithium,Araku,5300.0,White,,,,,"Experience the next evolution in coffee craftsmanship with the Subminimal Nanofoamer - Lithium. Crafted for the discerning coffee lover, this sleek, cutting-edge device uses advanced nanotechnology to transform your coffee into a luxurious experience. The velvety microfoam it creates elevates both flavor and aroma, bringing out the finest notes in every cup. Unlock your inner barista and nail perfect latte art with ease using the Nanofoamer. Designed with modern convenience in mind, it features a powerful lithium-ion battery, USB-C charging, whisper-quiet operation, and a minimalist, compact form that's easy to clean and even easier to love.",https://www.arakucoffee.in/products/subminimal-nanofoamer-lithium,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/Subminimal_nanofoamer_lithium_black.jpg?v=1782127349,Coffee
TIMEMORE Basic 3.0 Electronic Espresso Scale,Araku,5280.0,Black,,,,,"Brew with precision using the TIMEMORE Basic 3.0 Electronic Espresso Scale. Featuring 0.1g accuracy, real-time flow monitoring, USB-C charging, and a built-in timer for espresso and pour-over coffee. The TIMEMORE Basic 3.0 is designed for coffee enthusiasts who value consistency, accuracy, and control. Whether you're dialing in espresso or perfecting a pour-over recipe, the upgraded sensor system delivers fast and stable measurements with 0.1g precision. Built with TIMEMORE's minimalist design philosophy, the Basic 3.0 combines an ultra-clean interface with professional brewing performance, making it an essential tool for home brewers and café setups alike. The Basic 3.0 features a high-sensitivity weighing sensor, integrated timer, and real-time brewing feedback to help monitor extraction and pouring accuracy. Improved electromagnetic shielding ensures stable readings even around espresso machines and brewing equipment. Designed for espresso & pour over The Basic 3.0 features a high-sensitivity weighing sensor, integrated timer, and real-time brewing feedback to help monitor extraction and pouring accuracy. Improved electromagnetic shielding ensures stable readings even around espresso machines and brewing equipment.",https://www.arakucoffee.in/products/timemore-basic-3-0-electronic-espresso-scale,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/timemorebasic3.0_scale.png?v=1780042258,Accessories
Coffee L’Orange – Cold Brew Kombucha (Set of 3 Bottles),Araku,600.0,,Light Roast,"Inspired by the iconic Coffee L’Orange served at ARAKU cafés, Coffee Kombucha brings together ARAKU’s Micro Climate",Araku Valley,Natural,"Inspired by the iconic Coffee L’Orange served at ARAKU cafés, Coffee Kombucha brings together ARAKU’s Micro Climate Arabica cold brew, artisanal kombucha, and vibrant citrus notes for the ultimate summer refresher. Crafted in collaboration with Dad’s Hack, a Bengaluru-based kombucha brewery, this sparkling brew is light, layered, and deeply refreshing — balancing the richness of cold brew coffee with the gentle tang of naturally fermented kombucha. Low in sugar, preservative-free, and naturally rich in probiotics and vitamins, it’s designed to energise while being easy on the gut. INGREDIENTS: Organic Kombucha Tea (64.10%) ARAKU Cold Brew Coffee (32.05%) 100% Natural Orange Syrup (3.85%) As kombucha is a living fermented beverage, suspended culture strands may naturally occur as a result of fermentation. FLAVOUR PROFILE: Bright citrus • Roasted coffee depth • Gentle fermented tang NOTE: Please note that all Coffee Kombucha orders will be shipped directly by Dad’s Hack.",https://www.arakucoffee.in/products/araku-coffee-kombucha,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/ARAKU_coffee_kombucha.png?v=1779181204,Coffee
SOFI by Aaramse,Araku,3300.0,,,,,,"SOFI is among the most versatile brewers you’ll ever use. From a concentrated, espresso-like cup to a clean, paper-filtered pour-over, it adapts effortlessly to every brewing style. Inspired by the iconic South Indian Filter, SOFI elevates tradition with a contemporary design — precision-cut filter holes, airflow vents that prevent stalling, and uncompromising build quality. No longer limited to Kaapi alone, SOFI’s standardised size and shape make it compatible with industry-leading paper filters like Kalita 185, AeroPress XL, and Sibarist DISC 72. This opens up a world of shared recipes and experimentation.",https://www.arakucoffee.in/products/sofi-by-aaramse-indian-filter-coffee-maker,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/filter_coffee_maker.jpg?v=1773837886,Coffee
High Altitude,Araku,940.0,250g,Medium Roast,In Araku Valley’s Bakuru village,Araku Valley,Natural,"In Araku Valley’s Bakuru village, farmers Korra Chittibabu and Varalakshmi tend their coffee at elevations of 3,790 to 4,362 feet. Cool air, dark rocky soil, and a canopy of wild mango, jackfruit, and silver oak trees imbue this coffee with a quiet complexity. At this elevation, the coffee cherries ripen gradually, allowing sugars to concentrate and aromatic complexity to develop. The cherries are processed using the specialized black honey drying method, which preserves the natural sweetness of the bean, lending this coffee its rounded body and distinctive fruitiness. A medium roast coaxes out the full personality of the beans. The flavor opens with a gentle sweetness reminiscent of rose apple and buttercream cookies and is balanced by notes of caramel and baker's chocolate. Best enjoyed through slow brewing methods like pour-over or French press.",https://www.arakucoffee.in/products/high-altitude,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/HIGH_ALTITUDE.png?v=1777531472,Coffee
High Altitude,Araku,940.0,250g,Medium Roast,In Araku Valley’s Bakuru village,Araku Valley,Natural,"In Araku Valley’s Bakuru village, farmers Korra Chittibabu and Varalakshmi tend their coffee at elevations of 3,790 to 4,362 feet. Cool air, dark rocky soil, and a canopy of wild mango, jackfruit, and silver oak trees imbue this coffee with a quiet complexity. At this elevation, the coffee cherries ripen gradually, allowing sugars to concentrate and aromatic complexity to develop. The cherries are processed using the specialized black honey drying method, which preserves the natural sweetness of the bean, lending this coffee its rounded body and distinctive fruitiness. A medium roast coaxes out the full personality of the beans. The flavor opens with a gentle sweetness reminiscent of rose apple and buttercream cookies and is balanced by notes of caramel and baker's chocolate. Best enjoyed through slow brewing methods like pour-over or French press.",https://www.arakucoffee.in/products/high-altitude,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/HIGH_ALTITUDE.png?v=1777531472,Coffee
High Altitude,Araku,940.0,250g,Medium Roast,In Araku Valley’s Bakuru village,Araku Valley,Natural,"In Araku Valley’s Bakuru village, farmers Korra Chittibabu and Varalakshmi tend their coffee at elevations of 3,790 to 4,362 feet. Cool air, dark rocky soil, and a canopy of wild mango, jackfruit, and silver oak trees imbue this coffee with a quiet complexity. At this elevation, the coffee cherries ripen gradually, allowing sugars to concentrate and aromatic complexity to develop. The cherries are processed using the specialized black honey drying method, which preserves the natural sweetness of the bean, lending this coffee its rounded body and distinctive fruitiness. A medium roast coaxes out the full personality of the beans. The flavor opens with a gentle sweetness reminiscent of rose apple and buttercream cookies and is balanced by notes of caramel and baker's chocolate. Best enjoyed through slow brewing methods like pour-over or French press.",https://www.arakucoffee.in/products/high-altitude,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/HIGH_ALTITUDE.png?v=1777531472,Coffee
High Altitude,Araku,940.0,250g,Medium Roast,In Araku Valley’s Bakuru village,Araku Valley,Natural,"In Araku Valley’s Bakuru village, farmers Korra Chittibabu and Varalakshmi tend their coffee at elevations of 3,790 to 4,362 feet. Cool air, dark rocky soil, and a canopy of wild mango, jackfruit, and silver oak trees imbue this coffee with a quiet complexity. At this elevation, the coffee cherries ripen gradually, allowing sugars to concentrate and aromatic complexity to develop. The cherries are processed using the specialized black honey drying method, which preserves the natural sweetness of the bean, lending this coffee its rounded body and distinctive fruitiness. A medium roast coaxes out the full personality of the beans. The flavor opens with a gentle sweetness reminiscent of rose apple and buttercream cookies and is balanced by notes of caramel and baker's chocolate. Best enjoyed through slow brewing methods like pour-over or French press.",https://www.arakucoffee.in/products/high-altitude,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/HIGH_ALTITUDE.png?v=1777531472,Coffee
High Altitude,Araku,940.0,250g,Medium Roast,In Araku Valley’s Bakuru village,Araku Valley,Natural,"In Araku Valley’s Bakuru village, farmers Korra Chittibabu and Varalakshmi tend their coffee at elevations of 3,790 to 4,362 feet. Cool air, dark rocky soil, and a canopy of wild mango, jackfruit, and silver oak trees imbue this coffee with a quiet complexity. At this elevation, the coffee cherries ripen gradually, allowing sugars to concentrate and aromatic complexity to develop. The cherries are processed using the specialized black honey drying method, which preserves the natural sweetness of the bean, lending this coffee its rounded body and distinctive fruitiness. A medium roast coaxes out the full personality of the beans. The flavor opens with a gentle sweetness reminiscent of rose apple and buttercream cookies and is balanced by notes of caramel and baker's chocolate. Best enjoyed through slow brewing methods like pour-over or French press.",https://www.arakucoffee.in/products/high-altitude,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/HIGH_ALTITUDE.png?v=1777531472,Coffee
