roaster,name,price,currency,description,product_url,image_url,variants
Silk Road,Naturals,₹650.0,INR,"Natural coffee processing, also known as the dry process or sun-dried process, is another method used to process coffee at the farm. This method is characterized by allowing the coffee cherries to dry with the fruit still intact, imparting unique flavors to the beans.",https://silkroad.coffee/products/pkc-naturals,https://cdn.shopify.com/s/files/1/0728/7134/6471/files/PKC_NATURALS_Main_a81f02f9-f539-46a7-87ff-8f4a247f5813.jpg?v=1689848924,Aeropress:650.00; Channi Coffee:650.00; Espresso grind:650.00; French Press:650.00; Moka Pot:650.00; Pour-over/Chemex:650.00; Whole Bean:650.00
Silk Road,Friendship Blend,₹600.0,INR,Creating a blend is a challenging process. Not any coffee can be mixed with the other. After tasting hundreds of different samples only the most premium beans whose aromas & flavours compliment each other are blended to create a memorable coffee experience for your taste buds.,https://silkroad.coffee/products/friendship-blend,https://cdn.shopify.com/s/files/1/0728/7134/6471/files/Friendship-Blend_main.jpg?v=1689665753,Aeropress:600.00; Channi Coffee:600.00; Espresso grind:600.00; French Press:600.00; Moka Pot:600.00; Pour-over/Chemex:600.00; Whole Bean:600.00
Silk Road,Honey,₹610.0,INR,"The honey coffee process, also known as pulped natural or semi-washed process, is a method of coffee processing that combines elements of both the washed and natural processes. It is called ""honey"" due to the sticky texture of the mucilage that remains on the coffee beans during processing.",https://silkroad.coffee/products/pkc-kudiraipanjan-estate-coffee-honey,https://cdn.shopify.com/s/files/1/0728/7134/6471/files/Honey-Blend_Main.jpg?v=1689853197,Aeropress:610.00; Channi Coffee:610.00; Espresso grind:610.00; French Press:610.00; Moka Pot:610.00; Pour-over/Chemex:610.00; Whole Bean:610.00
Silk Road,Adventure Blend,₹600.0,INR,Creating a blend is a challenging process. Not any coffee can be mixed with the other. After tasting hundreds of different samples only the most premium beans whose aromas & flavours compliment each other are blended to create a memorable coffee experience for your taste buds.,https://silkroad.coffee/products/adventure-blend-espresso-roast,https://cdn.shopify.com/s/files/1/0728/7134/6471/files/Adventure-Blend_Main.jpg?v=1689852663,Aeropress:600.00; Channi Coffee:600.00; Espresso grind:600.00; French Press:600.00; Moka Pot:600.00; Pour-over/Chemex:600.00; Whole Bean:600.00
Silk Road,Pineapple Paradise,₹650.0,INR,"Pineapple fermentation coffee is produced by fermenting freshly picked coffee cherries inside a hollowed-out pineapple. The fermentation process adds fruity and floral flavors to the beans, resulting in a bright acidity and subtle sweetness. This specialty coffee is highly sought after by enthusiasts due to its unique and unusual flavor profile.",https://silkroad.coffee/products/pineapple-paradise,https://cdn.shopify.com/s/files/1/0728/7134/6471/files/Pineapple-Paradise_Main_db49b8ae-710f-44ce-ad7b-518a11b6d3c7.jpg?v=1689848112,Aeropress:650.00; Channi Coffee:650.00; French Press:650.00; Espresso grind:650.00; Moka Pot:650.00; Pour-over/Chemex:650.00; Whole Bean:650.00
Silk Road,Koppathur Estate,₹610.0,INR,"The anaerobic natural coffee process is a relatively newer and innovative method of coffee processing that combines elements of the natural process with anaerobic fermentation. This process involves creating a low-oxygen or oxygen-free environment during the fermentation stage, resulting in unique flavor profiles.",https://silkroad.coffee/products/koppathur-estate-coffee-anaerobic-natural,https://cdn.shopify.com/s/files/1/0728/7134/6471/files/Koppathur-Estate_main.jpg?v=1689853033,Aeropress:610.00; Channi Coffee:610.00; Espresso grind:610.00; French Press:610.00; Moka Pot:610.00; Pour-over/Chemex:610.00; Whole Bean:610.00
Silk Road,Silk Road Explorer Pack - Pack of 2,₹650.0,INR,,https://silkroad.coffee/products/silk-road-explorer-pack-pack-of-2,https://cdn.shopify.com/s/files/1/0728/7134/6471/files/Box-of-2.jpg?v=1689932169,Aeropress:650.00; Channi Coffee:650.00; Espresso grind:650.00; French Press:650.00; Moka Pot:650.00; Pour-over/Chemex:650.00; Whole Bean:650.00
Silk Road,Silk Road Explorer Pack - Pack of 3,₹1000.0,INR,,https://silkroad.coffee/products/adventure-box-the-perfect-coffee-sample-pack,https://cdn.shopify.com/s/files/1/0728/7134/6471/files/Box-of-3.jpg?v=1689585090,Aeropress:1000.00; Channi Coffee:1000.00; Espresso grind:1000.00; French Press:1000.00; Moka Pot:1000.00; Pour-over/Chemex:1000.00; Whole Bean:1000.00
Silk Road,Carbonic Maceration,₹750.0,INR,"Carbonic maceration coffee is made by fermenting ripe coffee cherries in a sealed container filled with carbon dioxide gas. This unique process encourages the cherries to release sugars, which are metabolized by yeast and bacteria to create distinctive aromatic compounds. The resulting coffee beans have a complex flavor profile with fruity and floral notes and bright acidity, making it a highly sought-after specialty coffee.",https://silkroad.coffee/products/carbonic-maceration,https://cdn.shopify.com/s/files/1/0728/7134/6471/files/Carbonic-Maceration_Main.jpg?v=1689852767,Aeropress:750.00; Channi Coffee:750.00; Espresso grind:750.00; French Press:750.00; Moka Pot:750.00; Pour-over/Chemex:750.00; Whole Bean:750.00
Silk Road,Fruit Punch,₹850.0,INR,,https://silkroad.coffee/products/fruit-punch,https://cdn.shopify.com/s/files/1/0728/7134/6471/files/Fruit-Punch_Main.jpg?v=1689575571,Aeropress:850.00; Channi Coffee:850.00; Espresso grind:850.00; French Press:850.00; Moka Pot:850.00; Pour-over/Chemex:850.00; Whole Bean:850.00
