Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Milk Frother with Free Caramel Instant Coffee,Country Bean,1999.0,,,it was just made at your favourite coffee shop,,Natural,"FEATURED IN THE EXPERIENCE Looking to upgrade the coffee at home? Our milk frother and caramel coffee combo will help you make café-like lattes, frappés and cappuccinos at home in minutes. DESCRIPTION Bring café-quality froth to your kitchen. Easily create a creamy foam that makes hot or iced coffee taste like it was just made at your favourite coffee shop. PRODUCTS INCLUDED : - Award-winning Milk Frother (400ml) - Caramel Coffee (50g) MILK FROTHER: Capacity : 400 ml Material : Stainless steel with mesh No electricity/batteries required Easy to use and clean CARAMEL COFFEE: Contains : 60% freeze-dried arabica coffee No added sugar No artificial additives Shelf life : 18 months Pure coffee powder, added natural and nature identical flavours HOW TO USE Fill the frother mug halfway with hot milk Close the lid and use the plunger to plunge the milk rapidly for 10-30 seconds Remove the lid and plunger. Pour hot foamy milk into your coffee cup and enjoy!",https://countrybean.in/products/milk-frother-caramel-60-arabica-coffee,https://cdn.shopify.com/s/files/1/1767/2123/files/57.jpg?v=1744178707,Quick Brews
Milk Frother with Free Original Instant Coffee,Country Bean,1999.0,,,it was just made at your favourite coffee shop,,Natural,"FEATURED IN THE EXPERIENCE Looking to upgrade the coffee at home? Our milk frother and caramel coffee combo will help you make café-like lattes, frappés and cappuccinos at home in minutes. DESCRIPTION Bring café-quality froth to your kitchen. Easily create a creamy foam that makes hot or iced coffee taste like it was just made at your favourite coffee shop. PRODUCTS INCLUDED : - Award-winning Milk Frother (400ml) - Caramel Coffee (50g) MILK FROTHER: Capacity : 400 ml Material : Stainless steel with mesh No electricity/batteries required Easy to use and clean CARAMEL COFFEE: Contains : 60% freeze-dried arabica coffee No added sugar No artificial additives Shelf life : 18 months Pure coffee powder, added natural and nature identical flavours HOW TO USE Fill the frother mug halfway with hot milk Close the lid and use the plunger to plunge the milk rapidly for 10-30 seconds Remove the lid and plunger. Pour hot foamy milk into your coffee cup and enjoy!",https://countrybean.in/products/milk-frother-original-60-arabica-coffee,https://cdn.shopify.com/s/files/1/1767/2123/files/55.jpg?v=1744178579,Quick Brews
Milk Frother with Free Hazelnut Instant Coffee,Country Bean,1999.0,,,it was just made at your favourite coffee shop,,Natural,"FEATURED IN THE EXPERIENCE Looking to upgrade the coffee at home? Our milk frother and hazelnut coffee combo will help you make café-like lattes, frappés and cappuccinos at home in minutes. DESCRIPTION Bring café-quality froth to your kitchen. Easily create a creamy foam that makes hot or iced coffee taste like it was just made at your favourite coffee shop. PRODUCTS INCLUDED : - Award-winning Milk Frother (400ml) - Hazelnut Coffee (50g) MILK FROTHER: Capacity : 400 ml Material : Stainless steel with mesh No electricity/batteries required Easy to use and clean HAZELNUT COFFEE: Contains : 60% freeze-dried arabica coffee No added sugar No artificial additives Shelf life : 18 months Pure coffee powder, added natural and nature identical flavours HOW TO USE Fill the frother mug halfway with hot milk Close the lid and use the plunger to plunge the milk rapidly for 10-30 seconds Remove the lid and plunger. Pour hot foamy milk into your coffee cup and enjoy!",https://countrybean.in/products/milk-frother-hazelnut-60-arabica-coffee,https://cdn.shopify.com/s/files/1/1767/2123/files/54.jpg?v=1744179884,Quick Brews
Award-winning Milk Frother,Country Bean,1999.0,,,it was just made at your favourite coffee shop,,,FEATURED IN THE EXPERIENCE Bring café-quality froth to your kitchen. Easily create a creamy foam that makes hot or iced coffee taste like it was just made at your favourite coffee shop. DESCRIPTION Capacity: 400 ml Material: Stainless Steel with Mesh No power/battery required to operate Easy to use and clean HOW TO USE Fill the frother mug halfway with hot/cold milk Close the lid and use the plunger to plunge the milk rapidly for 10-30 seconds Remove the lid and plunger. Pour hot/cold foamy milk into your coffee cup and enjoy! CARE INSTRUCTIONS Product should always be kept dry. Wash product after use and dry immediately.,https://countrybean.in/products/milk-frother,https://cdn.shopify.com/s/files/1/1767/2123/files/Swapnil_design_dump_71_6f05ef1c-91ff-40aa-8341-9f8de9f88198.png?v=1764573373,Accessories
Valentine's Day Combo,Country Bean,999.0,,,PRODUCTS INCLUDED: - Heart Shaped Glass mug 250 ml (Free personalization) - Strawberry Instant Coffee (50g) MATTE,,Natural,"FEATURED IN THE EXPERIENCE Sip in style with these heart shaped glass mug and Strawberry Instant coffee combo. Use it for your iced coffee, smoothies, hot cocoa and more. The mug is great to gift to your loved one. PRODUCTS INCLUDED: - Heart Shaped Glass mug 250 ml (Free personalization) - Strawberry Instant Coffee (50g) MATTE FINISH INSULATED BOTTLE: Capacity - 250 ML (17oz) Material - Borosilicate glass BPA-free and non-toxic Freezer safe ORIGINAL COFFEE: Contains : 60% freeze-dried arabica coffee No added sugar No artificial additives Shelf life : 18 months Pure coffee powder, added natural and nature identical flavours CARE INSTRUCTIONS Wash with water before your first use. Do not scrub it. Only wash and rinse with soap and water. Don’t microwave. Do not scrape the personalised name with your nail or use a scrubber on it.",https://countrybean.in/products/valentines-day-combo,https://cdn.shopify.com/s/files/1/1767/2123/files/Swapnil_Website_listing_images_19.png?v=1769759183,Coffee
Heart Shaped Glass Mug 250ml (Free Personalisation),Country Bean,738.0,,,,,,nan,https://countrybean.in/products/heart-shaped-glass-mug-250ml,https://cdn.shopify.com/s/files/1/1767/2123/files/Heart-shaped_glass_mug_1.jpg?v=1738146356,Accessories
Favourite Combo,Country Bean,999.0,,,PRODUCTS INCLUDED: - Double Walled Glass mug 350 ml (Free personalization) - Strawberry Instant Coffee (50g) MATTE,,Natural,"FEATURED IN THE EXPERIENCE Sip in style with these double walled glass mug and Strawberry Instant coffee combo. Use it for your iced coffee, smoothies, hot cocoa and more. The mug is great to gift to your loved one. PRODUCTS INCLUDED: - Double Walled Glass mug 350 ml (Free personalization) - Strawberry Instant Coffee (50g) MATTE FINISH INSULATED BOTTLE: Capacity - 350 ML (11.8oz) Material - Borosilicate glass BPA-free and non-toxic Freezer safe ORIGINAL COFFEE: Contains : 60% freeze-dried arabica coffee No added sugar No artificial additives Shelf life : 18 months Pure coffee powder, added natural and nature identical flavours CARE INSTRUCTIONS Wash with water before your first use. Do not scrub it. Only wash and rinse with soap and water. Don’t microwave. Do not scrape the personalised name with your nail or use a scrubber on it.",https://countrybean.in/products/favourite-combo,https://cdn.shopify.com/s/files/1/1767/2123/files/Swapnil_Product_ad_-_2026-02-05T123707.004.png?v=1770275564,Coffee
Double Wall Glass Mug  350ml (Free Personalisation),Country Bean,738.0,,,,,,nan,https://countrybean.in/products/double-walled-glass-mug-350ml,https://cdn.shopify.com/s/files/1/1767/2123/files/20_6be341ae-674e-49ec-85bc-073a00f28ea5.jpg?v=1720430483,Accessories
Nordic Tumbler with Free Personalisation,Country Bean,649.0,Grey,,"Capacity - 480 ml Dimensions - diameter: 6.6 cm, height: 18.2 cm Country of",,,"Capacity - 480 ml Dimensions - diameter: 6.6 cm, height: 18.2 cm Country of Origin: China",https://countrybean.in/products/glass-tumbler-with-lid,https://cdn.shopify.com/s/files/1/1767/2123/files/Swapnil_Websitelistingimages_17.png?v=1764573474,Accessories
Nordic Tumbler with Free Personalisation,Country Bean,649.0,Blue,,"Capacity - 480 ml Dimensions - diameter: 6.6 cm, height: 18.2 cm Country of",,,"Capacity - 480 ml Dimensions - diameter: 6.6 cm, height: 18.2 cm Country of Origin: China",https://countrybean.in/products/glass-tumbler-with-lid,https://cdn.shopify.com/s/files/1/1767/2123/files/Swapnil_Websitelistingimages_17.png?v=1764573474,Accessories
