Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
nan,Naivo,670.0,,,,,,nan,https://naivo.in/product-category/all-coffee/,https://naivo.in/wp-content/uploads/2024/09/AttikanWhiteMist.png,Coffee
nan,Naivo,670.0,,,,,,nan,https://naivo.in/product-category/all-coffee/espresso/,https://naivo.in/wp-content/uploads/2024/09/AttikanWhiteMist.png,Coffee
nan,Naivo,1635.0,,,,,,nan,https://naivo.in/product-category/all-coffee/exotic/,https://naivo.in/wp-content/uploads/2026/05/Finca-Las-Brisas-Geisha.png,Coffee
nan,Naivo,645.0,,,,,,nan,https://naivo.in/product-category/all-coffee/filter/,https://naivo.in/wp-content/uploads/2024/09/BalanoorChandragiriWashed-4.png,Coffee
nan,Naivo,725.0,,,,,,nan,https://naivo.in/product-category/all-coffee/omni/,https://naivo.in/wp-content/uploads/2025/12/Currant-Affairs.png,Coffee
nan,Naivo,855.0,,,,,,nan,https://naivo.in/product-category/all-coffee/ratnagiri-vault/,https://naivo.in/wp-content/uploads/2025/09/CultureNaturalsJasmine.png,Coffee
nan,Naivo,725.0,,,,,,nan,https://naivo.in/product-category/all-coffee/showcase/,https://naivo.in/wp-content/uploads/2025/12/Currant-Affairs.png,Coffee
nan,Naivo,530.0,,,,,,nan,https://naivo.in/product-category/fine-robustas/,https://naivo.in/wp-content/uploads/2024/09/HarleyKaapiRoyale.png,Coffee
Grind Size Chart,Naivo,670.0,250g,Medium-Dark Roast,,,,"The first phrase that graced the lips of our Q-Grader when she analyzed this coffee was – “Bold and Beautiful.” By pushing this roast into medium dark territory, we get a lovely plethora of dark chocolate notes harmoniously dancing with nutty aromas and a rounded cedar finish. It is ideal for espresso brewing but is sure to be a favourite for Moka Pot enthusiasts and French Press fanatics who love a bold cup with a classic taste profile.",https://naivo.in/product/attikan-white-mist/,https://naivo.in/wp-content/uploads/2024/09/AttikanWhiteMist.png,Coffee
Grind Size Chart,Naivo,645.0,250g,,The Chandragiri,Balanoor Estate,Washed,The Chandragiri varietal when put through the washed process is characterized by clean and bright acidity complemented by nutty and tangy notes and a very subtle floral aroma. This coffee comes from one of our earliest producer partners – Balanoor Plantations – who are pioneers of washed coffees in India and have been exporting some of the finest Arabicas to specialty markets in Europe for several decades.,https://naivo.in/product/balanoor-chandragiri-washed/,https://naivo.in/wp-content/uploads/2024/09/BalanoorChandragiriWashed-4.png,Coffee
Grind Size Chart,Naivo,680.0,250g,,"honeydew melon and golden raisins, this coffee yields a truly memorable cup",,,"With a delicate combination of silky texture, bright citrus blossom notes, and hints of honeydew melon and golden raisins, this coffee yields a truly memorable cup. The dedication and commitment of Mr. Ashok Kuriyan and his son Rohan are evident in every cup. As old friends and long-time collaborators, we have always enjoyed visiting their farms, working with them, and roasting their delightful coffees.",https://naivo.in/product/balanoor-vontekad/,https://naivo.in/wp-content/uploads/2024/09/BalanoorVontekad.png,Coffee
Grind Size Chart,Naivo,635.0,250g,,,Bababudan Giri,Washed,"Our search for the immaculate espresso began when we were embraced by the warm welcome of Ramdev and his parents Shantha and Nagesh as we drove through the gates of Bettadamalali Estate in early 2023. A pristine farm nestled in the Baba Budan Giri hills of Chikmagalur, this place is more than a commercial operation – it is a garden of nature’s best delights. With scientific approaches to farming complemented by highly structured operations, Bettadamalali produce some of the best washed Arabicas we have encountered in recent times. The farm has been a long-term partner to our sister enterprise Indcaffe – who have over the years exported several hundreds of tons of washed Arabica for them to specialty houses in Europe. We decided to grab our own little share of the treasure as we cycled through multiple lots to find this gem that would help us curate a delicious espresso.",https://naivo.in/product/bettadamalali-estate-washed/,https://naivo.in/wp-content/uploads/2024/09/BettadamalaliEstWashed.png,Coffee
Grind Size Chart,Naivo,725.0,250g,,"Discover Currant Affairs, a sweet and juicy single",Chikmagalur,,"Discover Currant Affairs, a sweet and juicy single estate coffee from Karadykan Estate, Chikmagalur—rich with black currant and blackberry notes.",https://naivo.in/product/currant-affairs-karadykan-naturals/,https://naivo.in/wp-content/uploads/2025/12/Currant-Affairs.png,Coffee
Grind Size Chart,Naivo,650.0,250g,,"A sweet, fruity coffee with nutty undertones and a memorable profile that is perfect for brewing with Pourover",,,"A sweet, fruity coffee with nutty undertones and a memorable profile that is perfect for brewing with Pourover, Cold Brew and Aeropress.",https://naivo.in/product/dunduga-estate-naturals/,https://naivo.in/wp-content/uploads/2024/11/Dunduga-Naturals.png,Coffee
Grind Size Chart,Naivo,625.0,250g,,,,,"A rich, bold and smoky coffee with a memorable profile that is perfect for brewing with Electric Drip Filter, Moka Pot and South Indian Filter.",https://naivo.in/product/dunduga-estate-washed/,https://naivo.in/wp-content/uploads/2024/11/Dunduga-Washed.png,Coffee
Grind Size Chart,Naivo,1635.0,125g,,,Colombia,,"Discover our Geisha Coffee microlot from Huila, Colombia—showcasing the clarity, elegance, and complexity of the Geisha varietal grown in volcanic soils.",https://naivo.in/product/finca-las-brisas-geisha-naturals/,https://naivo.in/wp-content/uploads/2026/05/Finca-Las-Brisas-Geisha.png,Coffee
Grind Size Chart,Naivo,530.0,250g,,In collaboration with the skilled,Sakleshpur,,"In collaboration with the skilled producers at Harley Estate, nestled in the picturesque region of Sakleshpur, renowned for its rich volcanic soil and unique microclimate, we proudly present India’s famed Robusta Kaapi Royale. This exquisite coffee showcases a perfect harmony of flavor and aroma. Meticulously handpicked at peak ripeness, only the finest Robusta beans are selected, guaranteeing an unparalleled level of quality and consistency.",https://naivo.in/product/harley-kaapi-royale-fine-robusta/,https://naivo.in/wp-content/uploads/2024/09/HarleyKaapiRoyale.png,Coffee
Grind Size Chart,Naivo,595.0,250g,,A delicious coffee from Kolli Berri,Mudigere,,"A delicious coffee from Kolli Berri Estate in Mudigere that offers a clean cup with bold flavors, perfect for your daily brew.",https://naivo.in/product/kolli-berri-washed/,https://naivo.in/wp-content/uploads/2025/09/Kolli-Berri-Washed.png,Coffee
Grind Size Chart,Naivo,640.0,250g,,,Malabar Coast,Monsooned,"Picture this: the thunder cracks, the rain pours down in torrents, and you’re nestled in a cozy corner, clutching a steaming cup of coffee that holds within it the essence of the monsoon season. Welcome to the world of Monsoon Malabar coffee, a truly captivating brew that doesn’t just tell a story; it transports you right into the heart of the South Indian monsoons with every sip.The origins of Monsoon Malabar lie in an age-old tale of shipping voyages and climatic alchemy. Back in the days when coffee was transported from India to Europe in wooden ships, the beans would undergo a metamorphosis during the monsoon months. The beans, exposed to the moist sea air and relentless monsoon winds, would swell up, turning pale gold and developing a unique flavour profile. This transformation was so beloved by coffee aficionados that a method was devised to replicate it on land, thus birthing the modern Monsoon Malabar.",https://naivo.in/product/monsoon-malabar-aa/,https://naivo.in/wp-content/uploads/2024/08/MonsoonMalabarAA-scaled.png,Coffee
