roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
First Crack Coffee,Aeropress clear,Rs. 5800.00,INR,,https://firstcrackcoffeeroasters.com/products/aeropress-clear,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Aeropressclear.png?v=1758186865,:5800.00,
First Crack Coffee,Aeropress Go,Rs. 4450.00,INR,,https://firstcrackcoffeeroasters.com/products/budan-french-press-350ml,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Aeropress_Go.png?v=1759458416,:4450.00,
First Crack Coffee,All Season,Rs. 450.00,INR,"A recommended coffee choice for your Americano, Cappuccino and Latte. A comforting classic, our All Seasons blend delivers rich notes of cloves, dark chocolate, and toasted nuts — perfectly balancing warmth and boldness in every sip. Crafted with medium roast, washed Arabica beans, it’s a go-to choice for any time of the year. Elevate your everyday coffee ritual with this versatile and flavour-packed brew.",https://firstcrackcoffeeroasters.com/products/all-season,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/AllSeason.png?v=1757931645,:450.00,
First Crack Coffee,Aloha,Rs. 725.00,INR,"Pineapple fermented arabica coffee from the region of Chikmagalur, a unique coffee that has crisp and bright acidity with long lasting sweetness. A unique coffee to make pour overs and Aeropress.",https://firstcrackcoffeeroasters.com/products/aloha,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Aloha.png?v=1757932899,:725.00,
First Crack Coffee,Barista Training & SOPs,,INR,,https://firstcrackcoffeeroasters.com/products/barista-training,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/BaristaTraining.png?v=1758184464,,
First Crack Coffee,Black French Press 350ml,Rs. 899.00,INR,,https://firstcrackcoffeeroasters.com/products/black-french-press-350ml,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/BlackFrenchPress350ml.png?v=1759468822,:899.00,
First Crack Coffee,Blossom,Rs. 625.00,INR,"From the lush folds of the Western Ghats, this coffee is nurtured under a canopy of shade trees at Hegbal Estate, tended with care by producer Mr. Menezes. A meticulous anaerobic natural process elevates the cup to reveal a delicate yet layered character.",https://firstcrackcoffeeroasters.com/products/blossom,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Blossom_7ec90be9-be6f-488d-bbb4-037b0de80327.png?v=1757931713,:625.00,
First Crack Coffee,Bubble 2 group,,INR,,https://firstcrackcoffeeroasters.com/products/bubble-2-group,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Bubble2group.png?v=1758181927,,
First Crack Coffee,Chestnut C3s manual hand grinder,Rs. 6199.00,INR,,https://firstcrackcoffeeroasters.com/products/chestnut-c3s-manual-hand-grinder,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/ChestnutC3smanualhandgrinder_65cb21f6-1e06-4e90-b7c2-6ddc31a067bb.png?v=1759472201,:6199.00,
First Crack Coffee,Clever Coffee Dripper,Rs. 2450.00,INR,,https://firstcrackcoffeeroasters.com/products/clever-coffee-dripper,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/CleverCoffeeDripper.png?v=1759472831,:2450.00,
First Crack Coffee,Coffee Selection & Procurement,,INR,,https://firstcrackcoffeeroasters.com/products/coffee-selection,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/CoffeeSelection.png?v=1758184164,,
First Crack Coffee,Cold Brew Summers,Rs. 725.00,INR,"A unique blend of two differently processed specialty arabica from Chikmagalur region, that gives a great mouthfeel to your coffee with sweet long lasting finish. The coffee start tasting with high citrus notes, a mellow sweet break while you gulp down the sip and lasts with dried fruits and chocolates notes.",https://firstcrackcoffeeroasters.com/products/cold-brew-summers,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/ColdBrewSummer.png?v=1757931772,:725.00,
First Crack Coffee,Concept Development,,INR,,https://firstcrackcoffeeroasters.com/products/concept-building,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/ConceptBuilding_d0c9461a-c040-41a7-9dad-03b0861cc099.png?v=1758184405,,
First Crack Coffee,Equipment Selection & Installation,,INR,,https://firstcrackcoffeeroasters.com/products/equipment-machine-setup,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Equipment_MachineSetup.png?v=1758184115,,
First Crack Coffee,Espresso Bench,Rs. 500.00,INR,"Our beautiful blending of specialty arabica and robusta beans, a unique combination to enhance the sweetness of the coffee, bright acidity and balanced bitterness with bold mouthfeel.",https://firstcrackcoffeeroasters.com/products/espresso-bench,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/EspressoBench.png?v=1757933292,:500.00,
First Crack Coffee,FCCR EARTH CUP 200 ml,Rs. 649.00,INR,"Beautifully handcrafted ceramic cups for your everyday coffee.   Its balanced size makes it perfect for both daily use and special occasions, adding a touch of timeless charm to your table.",https://firstcrackcoffeeroasters.com/products/fccr-earth-cup-200-ml,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/IMG_20260120_160235.jpg?v=1768905532,:649.00,
First Crack Coffee,FCCR Military Mugs,Rs. 650.00,INR,,https://firstcrackcoffeeroasters.com/products/fccr-military-mugs,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/FCCRMilitaryMug.png?v=1759473089,:650.00,
First Crack Coffee,FCCR Tote Bag,Rs. 650.00,INR,,https://firstcrackcoffeeroasters.com/products/fccr-tote-bag,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/FCCRToteBag.png?v=1759473371,:650.00,
First Crack Coffee,HC Buddy OD Grinder,,INR,,https://firstcrackcoffeeroasters.com/products/hc-buddy-od-grinder,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/HCBuddyODGrinder.png?v=1758181991,,
First Crack Coffee,J Max Manual Coffee Grinder,Rs. 19999.00,INR,,https://firstcrackcoffeeroasters.com/products/j-max-manual-coffee-grinder,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/JMaxManualCoffeeGrinder.png?v=1759472364,1Zpresso:19999.00,
First Crack Coffee,Jodhpur Blend,Rs. 500.00,INR,"Favourite from the baristas, a blend of naturals and washed specialty arabica that gives an extra premiumness to your milk based coffee beverages. The blend that gives an extra ordinary beauty to your espressos with heavy body, little complexity of chocolate and caramel, with aromatics of clove and dry spice.",https://firstcrackcoffeeroasters.com/products/jodhpur-blend,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/JodhpurBlend_aa6f297e-4579-4af6-bf7e-cd3994ce31c3.png?v=1757931987,:500.00,
First Crack Coffee,Jodhpur Jewel,Rs. 625.00,INR,"A rare fermentation that heightens brightness and clarity, revealing earthy whispers of cinnamon and clove. With a candy-like sweetness and nutty mouthfeel, this cup is as unique as it is inviting.",https://firstcrackcoffeeroasters.com/products/jodhpur-jewel,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/JodhpurJewel.png?v=1757933003,:625.00,
First Crack Coffee,Linea Mini,,INR,,https://firstcrackcoffeeroasters.com/products/linea-mini,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/LineaMini.png?v=1758181721,,
First Crack Coffee,Linea PB,,INR,,https://firstcrackcoffeeroasters.com/products/linea-pb,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/LineaPB.png?v=1758131215,,
First Crack Coffee,Mahlkonig,,INR,,https://firstcrackcoffeeroasters.com/products/mahlkonig,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/MahlkonigE65S.png?v=1758182038,,
First Crack Coffee,Menu Creation,,INR,,https://firstcrackcoffeeroasters.com/products/menu-creation,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/MenuCreation_7ca71a4b-1ef3-41e4-b463-491f5b71b5f1.png?v=1758184284,,
First Crack Coffee,Mizudashi cold brew maker 1000 ml,Rs. 2530.00,INR,,https://firstcrackcoffeeroasters.com/products/mizudashi-cold-brew-maker-1000-ml,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Mizudashicoldbrewmaker1000ml.png?v=1759472121,:2530.00,
First Crack Coffee,Moka Pot 2 cup,Rs. 999.00,INR,,https://firstcrackcoffeeroasters.com/products/moka-pot-2-cup,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Moka_Pot_2_cup.png?v=1759471659,:999.00,
First Crack Coffee,Moka pot 4 cup,Rs. 1399.00,INR,,https://firstcrackcoffeeroasters.com/products/moka-pot-4-cup,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Mokapot4cup.png?v=1759471918,:1399.00,
First Crack Coffee,Nectar,Rs. 725.00,INR,"Dive into a cup of pure indulgence with Nectar — a honey-sundried Arabica bursting with vibrant notes of cherry, blood orange, and golden honey. Naturally sweet and elegantly bright, this luxurious blend promises a refreshing coffee experience. Perfect for those who crave a fruity, smooth profile in every delicious sip.",https://firstcrackcoffeeroasters.com/products/nectar,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Nectar.png?v=1757931895,:725.00,
First Crack Coffee,Nectar 2.0,Rs. 625.00,INR,"Dripping with honeyed sweetness, crisp apple brightness, and lush stone fruit depth, this cup is pure indulgence. Silky-smooth with a 10/10 body, it’s a coffee that lingers long after the last sip.",https://firstcrackcoffeeroasters.com/products/nectar-2-0,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Nectar2.0_45d3a8a4-5595-4a87-b6d3-6739c11372af.png?v=1757931934,:625.00,
First Crack Coffee,Pulp sundried,Rs. 675.00,INR,"Ratnagiri means Pearl Mountains because of dense silver oak trees that gives a silvery hue to the hills and because of unique postioning the producers grows some of the best specialty coffee with fruit, floral and aromatic experience.",https://firstcrackcoffeeroasters.com/products/pulp-sundried,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/PulpSundried.png?v=1757933174,:675.00,
First Crack Coffee,Rancilio Classe 5,,INR,,https://firstcrackcoffeeroasters.com/products/rancilio-classe-7,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/RancilioClasse5.png?v=1758181785,,
First Crack Coffee,Rancilio Classe 7,,INR,,https://firstcrackcoffeeroasters.com/products/rancilio-classe-8,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/RancilioClasse7.png?v=1758181868,,
First Crack Coffee,Ratnagiri Gems,Rs. 675.00,INR,"Microlot masterpiece showcasing finest quality of Indian Specialty from Ratnagiri estate with a beautiful balance of acidity, body and flavours.",https://firstcrackcoffeeroasters.com/products/ratnagiri-gems,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/RatnagiriGems.png?v=1757933095,:675.00,
First Crack Coffee,Ratnagiri YB Naturals,Rs. 1400.00,INR,"The specialty coffee is processed with yeast and bacteria in anaerobic fermentation to develop unique flavours and highlight the fruity floral characteristics of the coffee. Recommended brewing methods are v60, aeropress and kalita.",https://firstcrackcoffeeroasters.com/products/ratnagiri-yb-naturals,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/DSC_2881.jpg?v=1768545305,:1400.00,
First Crack Coffee,Recipe Development,,INR,,https://firstcrackcoffeeroasters.com/products/recipe-development,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/RecipeDevelopment.png?v=1758184493,,
First Crack Coffee,Red Velvet,Rs. 650.00,INR,"Slow-crafted under the Western Ghats sun, this Arabica carries a natural sweetness and heady aromatics. Bold yet elegant, it’s a true sunshine coffee—perfect for a bright pour-over or a lively Aeropress brew.",https://firstcrackcoffeeroasters.com/products/red-forest,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/RedVelvet.png?v=1757931565,:650.00,
First Crack Coffee,Rum Barrel Aged Microlot,Rs. 1400.00,INR,"This coffee masterfully blends the character of specialty microlot coffee with the intense, bold undertones of rum. The brewed cup is a reflection of chivalrous desire - delivering a sensational burst of layered flavours that captivates the palate. Recommended brewing methods are pour-over for overall aromatic experience and cold brews for slow sipping and bold mouthfeel.",https://firstcrackcoffeeroasters.com/products/rum-barrel-aged-microlot,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/D22D5937-D0A9-4B50-AF84-A82511C1BE96_1_201_a.jpg?v=1768205075,:1400.00,
First Crack Coffee,Whiskey Barrel Aged,Rs. 800.00,INR,"Bold and sweet coffee, a unique trend where you try to bring the two most loved beverage flavours merged into one, specialty arabica fermented in whiskey barrels to have smooth sweet and funky cup of coffee",https://firstcrackcoffeeroasters.com/products/whiskey-barrel-aged,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/WhiskeyBarrelAged.png?v=1757933233,:800.00,
