roaster,name,price,currency,description,product_url,image_url,variants
Broot Coffee Roasters,ÉTOILE NOIR,₹950.0,INR,"ÉTOILE NOIR Champagne Fermented Canephora • Kaapikaadu Estate, Karnataka Not every coffee is meant to be familiar. Étoile Noir is the second release in our experimental robusta series, produced at Kaapi Kaadu Estate and processed using a champagne fermentation protocol that transforms canephora into something unexpectedly refined. The result is a cup that carries the elegance of sparkling fruit, layered sweetness, and a structure rarely associated with robusta. In the filter, it opens with bright notes of white grape, champagne, and candied pear. As the cup cools, the sweetness deepens and becomes increasingly expressive. Pulled as espresso, it shifts into richer territory with notes of demerara sugar, cacao nibs, and dried fig, supported by a dense, syrupy body. This is not a coffee trying to imitate arabica. It is a celebration of what exceptional robusta can become when grown with intent and processed without compromise. Filter Impression White Grape • Champagne • Candied Pear Espresso Impression Demerara Sugar • Cacao Nibs • Dried Fig Roast Profile Medium Light Origin Kaapi Kaadu Estate, Karnataka, India Process Champagne Fermented Varietal Canephora (Robusta) Brewing Recommendations Pour Over Coffee: 15g Water: 250g Temperature: 93°C Brew Time: 2:45–3:15 Espresso Dose: 18g Yield: 36–40g Time: 28–32 seconds Roaster’s Note The idea behind the robusta series has never been to prove a point. It has been to explore possibilities. Étoile Noir is one of the most expressive coffees we’ve tasted from this project, combining the sparkling character of its fermentation with the weight and sweetness that great canephora naturally possesses. Limited release. Roasted to order. Only while stocks last. ✨",https://brootcoffee.com/products/etoile-noir,https://cdn.shopify.com/s/files/1/0649/9516/4351/files/IMG-0688.png?v=1782207071,250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00
Broot Coffee Roasters,MALTLINE,₹950.0,INR,"MALTLINE Some coffees taste like coffee. MALTLINE tastes like someone accidentally left a pint of craft beer beside a brew bar and discovered something special. Produced at Kaapikaadu Estate, this lot underwent a Kölsch beer fermentation before drying, creating a cup that blurs the line between specialty coffee and brewing culture. The result isn't beer-flavoured coffee. It's coffee with an entirely different kind of sweetness, structure and complexity. Expect layers of malted biscuit, golden raisin and dark honey on filter. Pull it as espresso and it transforms into notes of toffee, stout cacao and brown sugar, wrapped in a syrupy body with remarkably low bitterness. This is the second release in our experimental robusta series and one of the most unusual coffees we've roasted to date. If you've never enjoyed robusta before, start here. IN THE CUP Filter Malted Biscuit • Golden Raisin • Dark Honey Espresso Toffee • Stout Cacao • Brown Sugar WHY IT'S DIFFERENT Most robustas are selected for caffeine and body. This one was selected for flavour. The Kölsch beer fermentation introduces a deeper sweetness and a rounded, malt-like character while preserving the heavy mouthfeel robusta is known for. The cup is rich, comforting and surprisingly refined, with almost no harshness and a long lingering finish. Fermentation, processing and roast all shape the final flavour experience in specialty coffee. COFFEE DETAILS Producer: Kaapikaadu Estate Region: Karnataka, India Process: Kölsch Beer Fermented Natural Species: Canephora (Robusta) Roast Level: Medium-Light Best For: Espresso, Moka Pot, AeroPress, French Press, Pour Over FOR PEOPLE WHO... ✓ Love dark beers, stouts and barrel-aged drinks ✓ Want a coffee with huge body and sweetness ✓ Think robusta deserves a second chance ✓ Enjoy coffees that start conversations Limited Release. Once this lot is gone, it's gone.",https://brootcoffee.com/products/maltline,https://cdn.shopify.com/s/files/1/0649/9516/4351/files/shopnow_c9fdfeb6-b145-4ccf-8138-4abb78fa7f5d.png?v=1781251206,250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00; 250g:950.00; 1kg:3200.00
Broot Coffee Roasters,OBSIDIAN,₹1200.0,INR,"Obsidian Ammikulavi Estate • 96hr Anaerobic Canephora • Medium Light Roast Some coffees impress you on the first sip. Obsidian makes you question everything you thought you knew about robusta. Sourced from the mist-covered hills of the Ammikulavi Estate, this 96-hour anaerobic lot is our first release in the Robusta Series. It is rich, fruit-forward, and remarkably refined, showcasing a side of robusta that most coffee drinkers never get to experience. In the filter, Obsidian opens with notes of black grape, aged rum, and dried fig, wrapped in a syrupy body that lingers long after the cup is empty. As espresso, it transforms into layers of molasses, dark cacao, and burnt sugar, producing a dense crema and a deeply satisfying finish. Roasted medium-light to preserve its fermentation character and natural sweetness, Obsidian delivers complexity without harshness and intensity without bitterness. This is not a coffee we launched because it's different. We launched it because it's genuinely delicious. Filter Impression Black Grape • Aged Rum • Dried Fig Espresso Impression Molasses • Dark Cacao • Burnt Sugar Origin Estate: Ammikulavi Estate Region: Tamil Nadu, India Elevation: 1300–1400 MASL Species: Canephora Process: 96hr Anaerobic Fermentation Roast Level: Medium Light Brew Guide Filter • AeroPress • Clever Dripper • French Press • Espresso Roaster's Note For decades, robusta has been judged by its worst examples. Obsidian is what happens when the species is treated with the same care, intention, and craftsmanship as the world's finest coffees. One sip is usually enough to change someone's mind. ☕️",https://brootcoffee.com/products/obsidian,https://cdn.shopify.com/s/files/1/0649/9516/4351/files/1_5b18dce7-fc48-464e-8a4d-b25cdb4a0f3a.png?v=1780300468,250g:1200.00; 1kg:4000.00; 250g:1200.00; 1kg:4000.00; 250g:1200.00; 1kg:4000.00; 250g:1200.00; 1kg:4000.00; 250g:1200.00; 1kg:4000.00; 250g:1200.00; 1kg:4000.00; 250g:1200.00; 1kg:4000.00; 250g:1200.00; 1kg:4000.00; 250g:1200.00; 1kg:4000.00; 250g:1200.00; 1kg:4000.00
Broot Coffee Roasters,AMBER BLAZE,₹855.0,INR,"Amber Blaze Origin & Components: Unnaki Estate, Kaimara Estate, Melkodige Estate Tasting Notes: Caramelized Honey, Almond Praline, Red Apple Process: Honey & Washed Elevation: 3400–4800 ft Description: Amber Blaze glows with character. Built on Unnaki’s syrupy dark honey process, it flows with golden sweetness. Kaimara adds a smooth cocoa body, while Melkodige brings gentle florals and spice. Expect a rounded cup that’s rich yet refined. Caramel, Almonds, and a touch of warmth that lingers long after your last sip.",https://brootcoffee.com/products/amber-blaze,https://cdn.shopify.com/s/files/1/0649/9516/4351/files/7_83980059-cf8e-423c-a5f2-1e3ca1461666.png?v=1766833959,250g:855.00; 1kg:2990.00; 250g:855.00; 1kg:2990.00; 250g:855.00; 1kg:2990.00; 250g:855.00; 1kg:2990.00; 250g:855.00; 1kg:2990.00; 250g:855.00; 1kg:2990.00; 250g:855.00; 1kg:2990.00; 250g:855.00; 1kg:2990.00; 250g:855.00; 1kg:2990.00; 250g:855.00; 1kg:2990.00
Broot Coffee Roasters,MOJITO,₹1170.0,INR,"This lot from Melkodige Estate is our kind of experiment done right. Ripe SL9 cherries were hand-picked, floated to remove lights, then submerged with EM5 microbes for a 74-hour anaerobic ferment. After that, the cherries were moved to raised wooden trays and dried under shade for 15 days. What this really means is flavor with layers: cocoa and raisin at the core, a lift of sweet lime, and a finish that hints at cacao nib and dried dates. It’s juicy without getting wild, sweet without tasting candy-like. We roast this medium-light to keep the lime sparkle and retain the chocolatey depth that makes the cup feel complete. If you’re into expressive naturals that still behave well on brew bar, this is the one. Taste Cocoa, raisin, sweet lime, cacao nib, dried dates. Brew guide Filter: 1:16, 92–94°C, 2:45–3:00 total (V60/Kalita/AeroPress). Light espresso: 1:2.3 in 30–34s; expect a syrupy shot with citrus pop. Specs Estate: Melkodige Estate, Chikmagalur, KA Variety: SL9 Process: EM5 anaerobic natural (74-hour submerged ferment) Drying: 15 days on raised, shaded beds Elevation: 4200 ft MSL Roast: Medium-Light Best for: Filter, pourover, AeroPress; adventurous light espresso Freshness: Roasted to order. Peak from day 7–28. Reseal tight.",https://brootcoffee.com/products/melkodige-em5,https://cdn.shopify.com/s/files/1/0649/9516/4351/files/4_13a3becc-fee7-49fa-8218-ee30738bb6b2.png?v=1766833852,250g:1170.00; 1kg:4095.00; 250g:1170.00; 1kg:4095.00; 250g:1170.00; 1kg:4095.00; 250g:1170.00; 1kg:4095.00; 250g:1170.00; 1kg:4095.00; 250g:1170.00; 1kg:4095.00; 250g:1170.00; 1kg:4095.00; 250g:1170.00; 1kg:4095.00; 250g:1170.00; 1kg:4095.00; 250g:1170.00; 1kg:4095.00
Broot Coffee Roasters,RATATONE,₹1249.0,INR,"A 54-hour culture-processed natural coffee from the legendary Ratnagiri Estate. Fermented with lactic acid bacteria to bring out intense sweetness and floral depth. Expect a layered cup — bright, aromatic, and full of character. Taste Fragrant rose and jasmine, pomegranate, peach, dragon fruit Brew Guide Filter: 1:16, 92–94°C, 2:45–3:00 total (V60/Kalita/AeroPress) Espresso: 1:2.3 in 30–33s for a syrupy, fruit-forward cup Specs Estate: Ratnagiri Estate, Chikmagalur, Karnataka Process: 54-hour Culture Natural (Lactic Fermentation) Variety: Catuai Elevation: 4300 ft Roast: Medium-Light",https://brootcoffee.com/products/ratnagiri-estate-culture-natural,https://cdn.shopify.com/s/files/1/0649/9516/4351/files/6_ca0bad45-663e-45ce-a25a-b32ccccee59a.png?v=1766833797,250g:1249.00; 1kg:4850.00; 250g:1249.00; 1kg:4850.00; 250g:1249.00; 1kg:4850.00; 250g:1249.00; 1kg:4850.00; 250g:1249.00; 1kg:4850.00; 250g:1249.00; 1kg:4850.00; 250g:1249.00; 1kg:4850.00; 250g:1249.00; 1kg:4850.00; 250g:1249.00; 1kg:4850.00; 250g:1249.00; 1kg:4850.00
Broot Coffee Roasters,Jam Jar,₹950.0,INR,"Jam Jar A naturally processed Typica from Lam Dong, Vietnam , roasted for both filter and espresso. Jam Jar is rich, composed, and fruit-forward. Built around depth rather than brightness, it delivers syrupy sweetness with a clean, elegant finish. Taste Profile Filter Juicy, jam-forward cup with honeyed sweetness and a refined cocoa finish. Espresso Strawberry jam and dark fudge, layered with panela sweetness and a soft floral lift on the finish. Brew Recipes V60 Coffee: 15 g Water: 240 ml Ratio: 1:16 Temperature: 92–94°C Grind: Medium Brew Time: 2:30–3:00 Results in a juicy, rounded cup with clear sweetness and a clean cocoa finish. Espresso Dose: 18 g Yield: 40–42 g Time: 28–32 seconds Ratio: ~1:2.2 Thick body, syrupy sweetness, jammy fruit upfront with a polished finish. Details Origin: Lam Dong, Vietnam Varietal: Typica Process: Natural Roast: Medium Brew: Filter & Espresso Bold without excess. Sweet without noise. Jam Jar is restraint, refined.",https://brootcoffee.com/products/jam-jar,https://cdn.shopify.com/s/files/1/0649/9516/4351/files/1_75155d80-1bf4-409e-9949-37b3b2202368.png?v=1766164967,250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00
Broot Coffee Roasters,CITRUS CIRCUS,₹950.0,INR,"Citrus Circus A red honey processed coffee from Koraput, Odisha, roasted as a true omni roast for both filter and espresso. Citrus Circus is playful but precise. Bright citrus sweetness meets jammy depth, balancing candy-like fruit with brown sugar warmth. It’s expressive without being loud, juicy without losing structure. Taste Profile Filter Orange candy and raisin jam upfront, layered with brown sugar sweetness and mixed berries. Soft citrus peel rounds the cup, finishing clean, juicy, and gently sweet like citrus candy. Espresso Thick marmalade sweetness with a brown sugar body. Jammy fruit carries through the shot, supported by soft berry acidity and a smooth, lingering finish. Brew Recipes V60 Coffee: 15 g Water: 240 ml Ratio: 1:16 Temperature: 92–94°C Grind: Medium Brew Time: 2:30–3:00 Results in a bright, candy-like cup with layered sweetness and a clean citrus finish. Espresso Dose: 18 g Yield: 38–40 g Time: 28–32 seconds Ratio: ~1:2.1 Juicy marmalade body with soft acidity and a rounded, sugar-sweetig sweetness. Details Origin: Koraput, Odisha Varietal: 795 Process: Red Honey Roast: Medium Omni Brew: Filter & Espresso Lively without chaos. Sweet without sharpness. Citrus Circus is controlled brightness, performed perfectly.",https://brootcoffee.com/products/citrus-circus,https://cdn.shopify.com/s/files/1/0649/9516/4351/files/16.png?v=1767095277,250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00; 250g:950.00; 1kg:3000.00
Broot Coffee Roasters,CANDY PARADOX,₹870.0,INR,"Crisp & Elegant – A Morning Symphony Tasting Notes: Spiced Caramel, Candied Jackfruit & Marshmallow Cream Origin: Kaimara Belt, Chikmagalur, India Producer: Samia Subhani Varietal: SLN 795 – AA Grade Processing: Fully Washed – Clean & Vibrant Roast Profile: Medium - Dark Brewing Recommendations: Pour-over | Chemex | French Press The Experience: From the pristine highlands of The Kaimara Belt , this washed AA-grade Arabica is a testament to purity and precision . A lively burst of citrusy brightness unfolds into delicate floral whispers, finishing with an elegant balance of sweet cocoa and golden honeydew . A perfect morning indulgence for those who savor clarity, crispness, and refined sweetness .",https://brootcoffee.com/products/the-kaimara-belt-washed-aa,https://cdn.shopify.com/s/files/1/0649/9516/4351/files/10_8e408c76-69cb-4fdf-b332-ce5e5998de74.png?v=1766834398,250g:870.00; 1kg:3465.00; 250g:870.00; 1kg:3465.00; 250g:870.00; 1kg:3465.00; 250g:870.00; 1kg:3465.00; 250g:870.00; 1kg:3465.00; 250g:870.00; 1kg:3465.00; 250g:870.00; 1kg:3465.00; 250g:870.00; 1kg:3465.00; 250g:870.00; 1kg:3465.00; 250g:870.00; 1kg:3465.00
Broot Coffee Roasters,GOLDEN TITAN,₹890.0,INR,"Golden Titan Chikamagalur, KA — 100% Specialty Arabica Tasting Notes: Honeycomb, Roasted Almonds, Cocoa Powder, Toffee Process: Washed & Natural Elevation: 3500–5000 ft Description: Crafted for those who enjoy richness without the bitterness, Golden Titan is a luxurious espresso blend bringing out the natural sweetness of Indian Arabica beans. With bold notes of honeycomb and roasted almonds, balanced by cocoa powder and a buttery toffee finish, this blend offers a smooth, velvety shot with just the right crema. Designed for espresso lovers seeking complexity and comfort in every sip.",https://brootcoffee.com/products/golden-titan-specialty-espresso-blend,https://cdn.shopify.com/s/files/1/0649/9516/4351/files/14.png?v=1766834284,250g:890.00; 1kg:3115.00; 250g:890.00; 1kg:3115.00; 250g:890.00; 1kg:3115.00; 250g:890.00; 1kg:3115.00; 250g:890.00; 1kg:3115.00; 250g:890.00; 1kg:3115.00; 250g:890.00; 1kg:3115.00; 250g:890.00; 1kg:3115.00; 250g:890.00; 1kg:3115.00; 250g:890.00; 1kg:3115.00
