roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
Marc's Coffee,Summer Smiles,"₹ 3,000.00",₹,"Flavour Notes:Citrus, Sweet Spice, Nutty ChocolateProducers:Sharan Gowda,Ashok Patre, Vishal MehtaEstates:Salawara, Ratnagiri & Tat Tvam AsiRegion:Karnataka, IndiaElevation:1000 – 1400 maslGenetics:100% ArabicaProcess:Rum Barrel Honey, Anaerobic Double-Washed & HoneyRoast Profile:Medium-DarkAgtron:60",https://coffeeideas.in/product/our-coffees/summer-smiles/,https://coffeeideas.in/media/2026/04/1-1.jpg,1kg,
Marc's Coffee,Mahseer’s Hope,"₹ 37,500.00",₹,"100% ArabicaCreating awareness of the humpback Mahseer and the unfortunate situation the species is in.Flavour Notes: Stone Fruits, Citrus, ChocolateProducer: Pranoy ThipaiahEstate: Kerehaklu, Chikkamagaluru, Karnataka, IndiaElevation: 1200 maslGenetics: Arabica, SL6Process: WashedRoast Profile: Omni, Agtron: 65",https://coffeeideas.in/product/our-coffees/marcs-single-estate-origin/light-roast-marcs-single-estate-orgin/the-mahseer/,https://coffeeideas.in/media/2023/04/Mahseers-Hope-1.jpg,1kg,
Marc's Coffee,Salawara Reserve,"₹ 4,700.00",₹,"100% ArabicaSalawara Estate employs sustainable irrigation techniques by collecting  Monsoon rain. This harmonious ecosystem beneath the soil enhances the coffee beans, imparting remarkable depth and flavorsweet aromas of Arabica, complex fragrances; fermented notes, milk chocolate, hazelnut, mild spices, and tamarind notesCertification:Rain Forest certifiedOrigin(s):District and EstateHassan, KarnatakaElevation:feet and masl3,281 ft (1000 – m)above sea levelProcessing methods:Red honey Fermented and barrel agedRoast level:and commentNew England / Light(192°C / 377.6 F MET)necessitates a gentle roast to effectively transform sucrose into complex aromas and rich flavors.Cultivars:ChandragiriGrade:A",https://coffeeideas.in/product/our-coffees/marcs-signature-blends/light-roast/salawara-estate/,https://coffeeideas.in/media/2021/11/FINAL-BEANS-scaled-e1756363241483.jpg,1kg,
Marc's Coffee,Old Kent Vienna,"₹ 300.00 – ₹ 3,000.00 Price range: ₹300.00 through ₹3,000.00",₹,"100% ArabicaFor those who enjoy a 100% Coorg arabica coffee from one of the oldest coffee plantationsAs any excellent Dark Roast cup of coffee, this single-estate coffee has the common, bold, smoky notes. This goes hand in hand with the cacao highlights. It’s touch of uniqueness lies in the spiced tones that come as an always pleasant surprise.Certification:noneOrigin(s):District and EstateCoorg, KarnatakaElevation:feet and masl3,609 ft (1100 m) above sea levelProcessing methods:Natural and WashedRoast level:and commentVienna/ Dark (227°C / 440 F MET)Bitter notes of dark-chocolate and caramel emerge.Cultivars:Chandragiri, Sl795, Sl9, KentGrade:AA",https://coffeeideas.in/product/our-coffees/marcs-signature-blends/dark-roast/old-kent-estate/,https://coffeeideas.in/media/2021/05/final1-1-scaled-e1756362553779.jpg,1kg,
Marc's Coffee,Kaveri Espresso,"₹ 300.00 – ₹ 3,000.00 Price range: ₹300.00 through ₹3,000.00",₹,"85% Arabica, 15% CanephoraFor those who enjoy a 100% Coorg arabica coffee from one of the oldest coffee plantationsOur Espresso Blend is composed of three different coffees, to produce a fragrant, sweet, aromatic, round bodied, and balanced cup. The quintessence of an Indian Espresso; complex notes of roasted nuts, caramel, warm spices, red fruits, and cacao.Certification:Rainforest and UTZOrigin(s):District and EstatePulney Hills, Tamil NaduElevation:feet and masl2500-4000 ft (750 – 1200 m)above sea levelProcessing methods:70% fully washed, 30 % sun-dried / naturalGives a mix of highlighting acidity, as well as the roundness and sweetness of sun-dried processingRoast level:and commentCity roast / Medium (217°C / 420 F MET)Balances the acidity and flavour notes with the strong caramels from darker roastsCultivars:Chandragiri, Sl795, Sl9, Cauvery and CXRGrade:AA, AB, PB",https://coffeeideas.in/product/our-coffees/marcs-signature-blends/medium-roast/kaveri-espresso-blend/,https://coffeeideas.in/media/2018/10/final-1-1-scaled-e1756362883430.jpg,1kg,
Marc's Coffee,Malabar Monsoon,"₹ 300.00 – ₹ 3,000.00 Price range: ₹300.00 through ₹3,000.00",₹,"100% ArabicaThis brew has a very unique fragrance due the “Monsooning” process. Mellow, soft and smooth body with hints of roasted malt and a nuttyfinish.Certification:UTZOrigin:Coorg, KarnatakaElevation:2500-3000 ft (750 – 900 m) above sea levelProcessing Method:Natural & MonsoonedMakes coffee smooth and mellow, India’s own specialty processing method.Roast:New England / Light Roast (200°C / 392 F MET)Puts the little acidity in Monsooned coffee forward to highlight the rare aromas.Grade:AA",https://coffeeideas.in/product/our-coffees/marcs-single-estate-origin/light-roast-marcs-single-estate-orgin/monsooned-malabar/,https://coffeeideas.in/media/2018/10/malabar-monsoon-option-1-scaled-e1756362922994.jpg,1kg,
Marc's Coffee,Malabar Blues,"₹ 200.00 – ₹ 2,000.00 Price range: ₹200.00 through ₹2,000.00",₹,"50% Arabica, 50% CanephoraMakes coffee smooth and mellow, India’s own specialty processing method.In short, this coffee is a culture and tradition in a cup. It holds the fine aromas of caramel and traces of spice. Its chocolate notes are bold and the tinge of vanilla tops the whole experience. The coffee has a silky smooth, yet full body.Certification:UTZOrigin(s):District and EstateKarnataka, ChikkamagaluruElevation:feet and masl2500-3000 ft (750 – 900 m)above sea levelProcessing methods:Natural & MonsoonedRoast level:and commentFull City/ Dark (225°C / 437 F MET)Smooth dark chocolate bitters and some natural sweetness.Cultivars:RobustaGrade:AA",https://coffeeideas.in/product/our-coffees/marcs-signature-blends/dark-roast/malabar-blues/,https://coffeeideas.in/media/2018/10/FINAL-1-1-1-scaled-e1756362977557.jpg,1kg,
Marc's Coffee,Buma Devi Breakfast,"₹ 750.00 – ₹ 3,000.00 Price range: ₹750.00 through ₹3,000.00",₹,"50% Arabica, 50% CanephoraBuma Devi represent The Wayanad forests one of the richest biodiversity hotspots in the worldThis combination in right proportions – of Robusta and Arabica beans – gives perfect parity between starkly contrasting notes. The aroma has a real earthy feel consisting of honey, caramel, piercing spices and black grapes, balanced out with a deep dark-bold vibe. It has a strong and round bodyCertification:Organically grownOrigin(s):District and EstateWaynad, KeralaElevation:feet and masl2500-3000 ft (750 – 900 m) above sea levelProcessing methods:NaturalRoast level:and commentFull City/ Dark (227°C / 440 F MET)Bitter notes of dark-chocolate and caramel emerge.Cultivars:Chandragiri, Cauvery and RobustaGrade:AB and PB",https://coffeeideas.in/product/our-coffees/marcs-signature-blends/dark-roast/buma-devi/,https://coffeeideas.in/media/2018/10/buma-devi-beans--scaled-e1756363443954.jpg,1kg,
Marc's Coffee,Julien Peak Forest,"₹ 400.00 – ₹ 4,000.00 Price range: ₹400.00 through ₹4,000.00",₹,"100% ArabicaThis brew’s aroma is an amalgamation of citrus notes, cinnamon, accompanied by the sweetness of molasses. When tasted, the floral citric notes come forward, with a juicy acidity, well-balanced by nutty notes of peanut brittle and sweet spices.Certification:UTZOrigin:Shevaroy Hills, Tamil NaduElevation:4000 – 5000 ft (1200-1500m) above sea levelProcessing Method:Washed / wet-processed (with a previous fermentation of 24 hours)Gives more acidic and floral aroma notes with less body than the natural dry process.Roast:New England Roast / Light Roast (207°C / 405 F MET)The subtle aromas of sweet cinnamon and citrus come forward.Cultivars:Selection 795, ChandragiriGrade:A",https://coffeeideas.in/product/our-coffees/marcs-single-estate-origin/light-roast-marcs-single-estate-orgin/julien-peak/,https://coffeeideas.in/media/2018/10/final-4-scaled-e1756363017390.jpg,1kg,
Marc's Coffee,Balmaadi Wild,₹ 300.00 – ₹ 750.00 Price range: ₹300.00 through ₹750.00,₹,"100% ArabicaThis is easily among the rarest and finest coffees our roastery has to offer.The brew’s aroma is best described with notes of dark chocolate, forest ripe fruits. Round and sweet body like  sultana syrup. It has an exquisite acidity that gives a lot of character to this lovely coffee.Certification:Organically grownOrigin(s): District and EstateNilgiris, Tamil NaduElevation: feet and masl4000-6000 ft (1200 – 1800 m) above sea levelProcessing methods:NaturalRoast level:   and commentCity Roast / Medium  (213°C / 415 F MET) Gives the perfect balance between the original and the roast characteristics to the coffee bean.Cultivars:Selection 795, Bourbon, Kents, CaturraGrade:Clean bulk",https://coffeeideas.in/product/our-coffees/marcs-single-estate-origin/medium-roast-marcs-single-estate-orgin/balmaadi/,https://coffeeideas.in/media/2018/10/balmadi-beans-3-scaled-e1704431407179.jpg,1kg,
