Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
AA ARABICA PLANTATION,Estate Monkey,450.0,,Medium Roast,"Shade-grown and washed coffee from the regions of Coorg, Karnataka Fresh single origin 100% Arabica coffee beans",s of Coorg,Washed,"Arabica beans are of premium quality. Shade-grown and washed coffee from the regions of Coorg, Karnataka  
  Fresh single origin 100% Arabica coffee beans, roasted in limited collection and with care  
  Roast Level - Medium  
  Coffee Notes - Cereally, Vanilla and Chocolate  
  Net Quantity - 200 grams",https://www.estatemonkeys.com/products/aa-arabica-plantation-200g,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/AAArabica200g.png?v=1715171760,Coffee
AAA ARABICA PLANTATION,Estate Monkey,475.0,,Medium Roast,,s of Coorg,Washed,"Arabica beans are of premium quality. Shade-grown and washed coffee from the regions of Coorg, Karnataka  
  Fresh single origin 100% Arabica coffee beans, roasted in limited collection and with care  
  Roast Level - Medium  
  Recommended Brewing Methods - Espresso, Aeropress, Moka Pot, Coffee Filter, South Indian Filter, French Press  
  Coffee Notes - Citrus and Hint of Spices  
  Net Quantity - 75 grams | 200 grams",https://www.estatemonkeys.com/products/aaa-arabica-plantation-200g,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/AAAArabica200g.png?v=1715172759,Coffee
ARABICA PEABERRY PLANTATION,Estate Monkey,450.0,,Medium Roast,,s of Somwarpet,Washed,"Arabica beans are of premium quality. Shade-grown and washed coffee from the regions of Somwarpet, Coorg.  
  Fresh single origin 100% Arabica coffee beans, roasted in limited collection and with care  
  Roast Level - Medium  
  Recommended Brewing Methods - Espresso, Aeropress, Moka Pot, Coffee Filter, South Indian Filter, French Press  
  Coffee Notes - Fruity, Citrus and slight Cereally  
  Net Quantity - 75 grams | 200 grams",https://www.estatemonkeys.com/products/peaberry-arabica-plantation-200g,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/Peaberryarabica200g.png?v=1715179683,Coffee
ARABICA | SINGLE ESTATE BOX,Estate Monkey,950.0,,Medium Roast,,Coorg,,"GI Tagged Arabica coffee estates of Coorg  
  Baragalli Estate &amp; Puttanna Koppalu Estate produce some of the finest Arabica coffees of Coorg  
  Fresh single estate 100% Arabica coffee beans, roasted in limited collection and with care  
  Roast Level - Medium  
  Recommended Brewing Methods - Espresso, Aeropress, Moka Pot, Coffee Filter, South Indian Filter, French Press  
  Net Quantity - 200 grams x 2 packs",https://www.estatemonkeys.com/products/single-estate-combo,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/1_4c88651b-b5ac-4021-9061-d91b27c87e8d.png?v=1713270019,Coffee
ARABICA | SINGLE ESTATE SMALL BOX,Estate Monkey,340.0,,Medium Roast,,Coorg,,"GI Tagged Arabica coffee estates of Coorg  
  Baragalli Estate &amp; Puttanna Koppalu Estate produce some of the finest Arabica coffees of Coorg  
  Fresh single estate 100% Arabica coffee beans, roasted in limited collection and with care  
  Roast Level - Medium  
  Recommended Brewing Methods - Espresso, Aeropress, Moka Pot, Coffee Filter, South Indian Filter, French Press  
  Net Quantity - 75 grams x 2 packs",https://www.estatemonkeys.com/products/arabica-single-estate-box,https://cdn.shopify.com/s/files/1/0244/5734/7152/products/SingleEstateCombocopy.png?v=1716976745,Coffee
ArRo 01,Estate Monkey,400.0,,Medium Roast,"Fresh single origin 100% coffee beans, roasted in limited collection and with care Roast Level - Medium Coffee Blend -",s of Coorg,,"Arabica and Robusta beans are of premium quality. Shade-grown coffee from the regions of Coorg.  
  Fresh single origin 100% coffee beans, roasted in limited collection and with care  
  Roast Level - Medium  
  Coffee Blend - Arabica Plantation AAA, Arabica Plantation Peaberry, Robusta Cherry  
  Net Quantity - 75 grams | 200 grams",https://www.estatemonkeys.com/products/arro-01-200g-1,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/ArRo01200g.png?v=1715178591,Coffee
ArRo 03,Estate Monkey,400.0,,Medium Roast,,s of Coorg,,"Arabica and Robusta beans are of premium quality. Shade-grown coffee from the regions of Coorg.  
  Fresh single origin 100% coffee beans, roasted in limited collection and with care  
  Roast Level - Medium  
  Coffee Blend - Arabica Plantation AA, Robusta Cherry  
  Net Quantity - 75 grams | 200 grams",https://www.estatemonkeys.com/products/arro-03-200g,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/ArRo03200g.png?v=1715179231,Coffee
BARAGALLI ESTATE,Estate Monkey,475.0,,,,s of Somwarpet,Washed,"Baragalli arabica beans are of premium quality. Shade-grown and washed coffee from the regions of Somwarpet, Coorg.  
  Fresh single estate 100% Arabica coffee beans, roasted in limited collection and with care  
  Recommended Brewing Methods - Espresso, Aeropress, Moka Pot, Coffee Filter, South Indian Filter, French Press  
  Coffee Notes - Orange, Hint of Spicy, Herbal  
  Net Quantity - 75 grams | 200 grams",https://www.estatemonkeys.com/products/baragalli-estate,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/Baragalliestate200g.png?v=1715179324,Coffee
COORG ARABICA | COFFEE BOX,Estate Monkey,1200.0,,Medium Roast,,Coorg,,"Arabicas of Coorg. Premium quality shade-grown coffee from the regions of Coorg  
  Fresh single origin 100% Arabica coffee beans, roasted in limited collection and with care  
  Roast Level - Medium  
  Coffee Packs - Arabica Plantation AAA, Arabica Plantation AA, Arabica Plantation Peaberry  
   Net Quantity -   200 grams x 3 pac",https://www.estatemonkeys.com/products/coorg-arabica-plantation-coffee-range-box,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/6copy.png?v=1715661870,Coffee
COORG ARABICA | COFFEE SMALL BOX,Estate Monkey,415.0,,Medium Roast,,Coorg,,"Arabicas of Coorg. Premium quality shade-grown coffee from the regions of Coorg  
  Fresh single origin 100% Arabica coffee beans, roasted in limited collection and with care  
  Roast Level - Medium  
  Coffee Packs - Arabica Plantation AAA, Arabica Plantation AA, Arabica Plantation Peaberry  
   Net Quantity - 75 grams x 3 packs",https://www.estatemonkeys.com/products/coorg-arabica-coffee-box,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/temp_d914d9a3-b662-49bd-8cac-dc974d87cc9e.png?v=1733743616,Coffee
