name,price,currency,availability,roast_level,process,tasting_notes,description,product_id,product_handle,url
Vienna Roast,650.0,INR,http://schema.org/InStock,Dark Roast,,,"The second darkest of our roasts, this blend, with coffee beans from Karnataka and Tamil Nadu, has great body, low acidity, and is a favourite choice for coffee drinkers who enjoy a strong cup, with the characteristic bittersweet notes. The Vienna Roast is best enjoyed with milk. 
We recommend brewing this as an espresso or using manual brewing equipment such as Moka Pot, French Press, or South Indian filter. ",410190640,vienna-roast,/collections/roasted-and-ground-coffee-beans/products/vienna-roast
The Rich & Bold Trio Pack-Coffee beans,700.0,INR,http://schema.org/InStock,,,,"
Introducing our Rich &amp; Bold Trio Pack of whole coffee beans or ground coffee, meticulously curated to help you explore our world of dark coffee wonders. Whether you're new to our brand or simply looking to diversify your coffee experience, this customisable mixed bag  is your gateway to discovering the ideal darker brews for your taste buds. 


Inside this carefully crafted sampler pack, you'll find three coffees: 


Vienna Roast: Rich and smoky notes with a perfect balance of boldness and smoothness. French Roast: For those who crave the deep, dark intensity of a very dark roast. Silver Oak: Celebrated for its complex flavours and versatility, this one is our own in-house cafe blend 


Each Sampler Pack will contain 75 g x 3 pouches. 
",6835135709239,the-rich-bold-trio-pack,/collections/roasted-and-ground-coffee-beans/products/the-rich-bold-trio-pack
Portable Drip Bags,350.0,INR,http://schema.org/InStock,,,,"Meet our new pack of portable drip bags that brew a fresh cup of your favourite coffee, anytime and anywhere, without equipment. Compatible with any ground coffee, these craft a delicious cup in four easy steps:
Simply anchor the bag onto a cup   
Add 11-13 gms (½ a bag) of any medium-fine ground coffee  
Pour hot water 2-3 times  
Wait for 2 minutes and enjoy delicious coffee!
",7099544993847,coffee-drip-bags,/products/coffee-drip-bags
Classic Bold,380.0,INR,http://schema.org/InStock,,,,"Our signature Classic Bold cold brew brings out delicious nutty and chocolatey notes. The Classic Bold flavour is the one we've always served in our cafes, and has been one of our most popular cold brews with its heavy body, low acidity and bittersweet finish. Drink as is or with milk. 
All our cold brews use 100% Arabica coffee beans,are sourced directly from India’s best farms and are roasted with precision for a unique flavour.
Ingredients:
Filtered water, 100% Arabica coffee
Nutritional Values (per 100ml):
Energy 12 cal,Carbs 1.2g, Natural Sugar 1.0g, Protein 0.9g, Total Fat 0.4g
Each can is 250ml.
This product contains no added sugars.
You can purchase this as a pack of 2 or 6. Save 12% when you purchase a pack of 6!",6619680735287,classic-bold-cold-brew-cans,/collections/you-may-also-like-1/products/classic-bold-cold-brew-cans
Kolli Berri Estate,700.0,INR,http://schema.org/InStock,Medium Dark Roast,,,"Our first coffee from Harvest ‘24 is a medium-dark roast with chocolatey and nutty flavours. This single-origin ground coffee hails from the beautiful Kolli Berri Estate, set in Chikmagalur, Karnataka. 
While brewing this one, you’ll notice the unique characteristics of the coffee beans, starting with the aroma of dried fruits, followed by a syrupy mouthfeel in every sip. With medium acidity and medium- high bitterness, it offers a full-bodied profile which is enhanced when brewed as an espresso or using an AeroPress, Moka Pot or a French Press. 
",6676414398519,kolli-berri-estate,/collections/roasted-and-ground-coffee-beans/products/kolli-berri-estate
St. Joseph Estate,700.0,INR,http://schema.org/InStock,Medium Dark Roast,,,"Meet the first coffee from our newest partner farm, run by a community of Jesuit priests whose stewardship of the land spans generations. 
A washed coffee roasted medium-dark, it opens with warm brown spice aromatics. Each sip carries a syrupy mouthfeel and reminds of grapefruit, roasted almond, and toffee. Its medium-high body gives the cup a comforting depth, complemented by a chocolatey aftertaste. 
Our roasters recommend brewing it as an espresso, or using an AeroPress, Moka Pot, or French Press. A versatile brew, it pairs well with milk, and holds its own black.
Recommended Resting Period: 10 Days",7284647002167,st-joseph-estate,/collections/roasted-and-ground-coffee-beans/products/st-joseph-estate
Kalledevarapura Estate - Pulp Sun Dried,700.0,INR,http://schema.org/InStock,Medium Roast,,,"Our all-time favourite pulp sun-dried coffee from Kalledevarapura Estate is back! This year’s harvest of Coffee beans boasts a medium body and a sweet mouthfeel, perfect for brewing as an espresso, a pour-over, with a Moka Pot, or an AeroPress. Enjoy the rich notes of brown sugar, roasted almond, and raisin—an ideal way to start your day!
",436795904,kalledevarapura-pulp-sun-dried,/collections/roasted-and-ground-coffee-beans/products/kalledevarapura-pulp-sun-dried
Basankhan Estate,700.0,INR,http://schema.org/InStock,Dark Roast,,,"We are thrilled to present our first ever single origin dark roast, with coffee beans sourced from a new partner farm— Estate in Chikmagalur, Karnataka. 
This coffee has a journey of rich, complex flavours that will leave you craving for more. As you take a sip, enjoy the velvety mouthfeel reminiscent of dark chocolate, which enhances the overall richness of this brew. The coffee’s body is heavy and round, creating a luscious and full-bodied experience that envelops your palate. If you’ve liked our dark roasts like Vienna and Dhak, you’ll love this one! The Basankhan Estate is a family-owned farm located in Chikmagalur, Karnataka with a rich history spanning over 100 years. In addition to coffee, the estate cultivates other crops such as black pepper, oranges, cardamom, lemons, and bananas.",6814187094071,basankhan-estate,/collections/roasted-and-ground-coffee-beans/products/basankhan-estate
5-in-1 Explorer Pack,1170.0,INR,http://schema.org/InStock,,,,"
Want to try different flavours before deciding which one to settle on? 


Order our 5-in-1 Explorer pack and find a new favourite!  


This pack is a curated collection of five different coffees with different flavour profiles from our wide range of Indian coffees: 



A balanced Silver Oak Blend 


A bold and bitter Vienna Roast 


A chocolatey and nutty coffee from Attikan Estate 


A chocolatey and nutty coffee from Monsoon Malabar 


A delicate and complex coffee from Seethargundu Estate


Each Sampler Pack will contain 75 g x 5 pouches of whole coffee beans or ground coffee.",6953214869559,5-in-1-explorer-pack,/collections/roasted-and-ground-coffee-beans/products/5-in-1-explorer-pack
Attikan Estate,700.0,INR,http://schema.org/InStock,Medium Dark Roast,,,"Attikan Estate's arabica coffee beans come from the Biligiriranga Hills in Karnataka and is make for one of our most popular coffees. Sweet with fruity overtones and balanced acidity, this is the darkest of our standard medium roasts and recommended for espresso lovers. It is a versatile coffee that also works for manual brewing such as Moka Pot, South Indian Filter and AeroPress. 
Located to the south of Mysore, the Biligiriranga Hills, or ‘white hills’ are named after the mist that hangs over the region. At 1650 meters, it is amongst the highest coffee growing regions in India and grows Selection 9, Selection 795, Cauvery and Kent varieties of Arabica, along with Silver Oaks, citrus, and fig trees.
",400881436,attikan-estate,/collections/roasted-and-ground-coffee-beans/products/attikan-estate
