Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL
"Gachatha AA Filter, KENYA",Curious Life,₹ 2300,,,,SL-28 & SL 34. Super bright with explosiveness of ripe citrus fruits. Light body with clean sweet finish. Exactly the way you would imagine a great Kenyan to be!,https://curiouslifecoffee.com/product/single-origin-kenya-filter/
"Shyira, RWANDA – Filter",Curious Life,₹ 1780,,,,Washed Red Bourbon. Sweet jaggery like aromatics with hint of dark chocolate and juicy tanginess of ripe gooseberries. Light body with clean sweet finish.,https://curiouslifecoffee.com/product/__trashed-4__trashed/
Gundikhan Natural Lot 15 & 57 – Filter,Curious Life,₹ 950,,,,"Natural Processed Chandragiri (Sarchimore). 
Aromatics of Prune and Apple. 
Sweet citrus brightness.",https://curiouslifecoffee.com/product/gundikhan-natural-lot-272-filter/
NILGIRIS – Filter,Curious Life,₹ 950,,,,"Washed SLN 9                                   Crisp and juicy with hint of spices, orange and black tea. Medium body and clean finish",https://curiouslifecoffee.com/product/nilgiris-filter-finest-indian-coffee/
"Shyira, RWANDA – Espresso",Curious Life,₹ 1780,,,,Washed Red Bourbon. Dark chocolate with hint of citrus fruits. Syrupy body and clean finish with pleasing remnants of cocoa. Almond and sweet chocolate notes are highlighted with a dash of milk.,https://curiouslifecoffee.com/product/rwanda-shyira-espresso/
"BISON, House Blend Espresso",Curious Life,₹ 850,,,,"Our House Blend since 2015. Contains 3-4 Indian Arabica coffees. It is a symphony of wild berries, cacao & tropical spices. Full bodied with a long lasting finish. Perfect for straight espresso or your morning cappuccinos and lattes.",https://curiouslifecoffee.com/product/bison-house-blend-2/
Honnametti Estate – Washed Espresso,Curious Life,₹ 830,,,,"Slightly dark roast with low acidity
Best suited for milk beverages and espresso |
Hint of spices, chocolate and ripe fruits",https://curiouslifecoffee.com/product/honnamatti-estate-washed-espresso/
Hario V60 Dripper 01 RED,Curious Life,₹ 700,,,,,https://curiouslifecoffee.com/product/cafe-press-slim/
AeroPress Coffee Maker,Curious Life,₹ 4100,,,,,https://curiouslifecoffee.com/product/aeropress-coffee-maker/
Fine Porcelain Coffee Mug 250ml,Curious Life,₹ 320,,,,,https://curiouslifecoffee.com/product/fine-porcelain-coffee-mug-250ml/
Fine Porcelain Coffee Mug 300ml,Curious Life,₹ 320,,,,,https://curiouslifecoffee.com/product/pair-of-coffee-mugs/
Fine Porcelain Espresso Cups (set of two),Curious Life,₹ 550,,,,,https://curiouslifecoffee.com/product/pair-of-espresso-cups/
