roaster,name,price,currency,description,product_url,image_url,variants
Agasthya Coffee,Aakankshe Estate (Organic),,,"Processing: Natural Sun-driedVarietals Grown: Arabica ( Chandragiri)Altitude: 900 m.a.s.lFlavour Notes: Citrus Blossom Aroma, Sweet Brown Spice, Red Berries, Pleasant Acidity With Good Body And Rounded MouthfeelRoast: Medium Roast Aakankshe estate is organically maintained space marked by a perennial spring, dotted with Black Dhup Tree and ancient Cluster Figs, the land is an old world charm. The father son duo that manage the estate love taking on experiments and learning for the joy of sharing good coffee. Their love for the soil and natural habitat speaks through this cup.",https://www.agastyacoffee.com/product-page/aakankshe-estate-organic,"https://static.wixstatic.com/media/55a314_29053318c1184a40ba0da68ea4357059~mv2.png/v1/fit/w_500,h_500,q_90/file.png",
Agasthya Coffee,Arecad Estate (Honey Processed),,,"Processing: Red Honey processed and sun-dried in raised beds.Varietals Grown: Arabica ( Chandragiri + S795)Altitude: 1000 mFlavour Notes: Intense floral &amp; honey dry aroma, juicy sweet mandarin, overall a refreshing cup with good body and lingering aftertaste.  Roast: Medium Roast The estate is located in the UNESCO World heritage site of Kodagu and forms a part of the elephant corridor.Honey processed coffee is a method where coffee cherries are pulped to remove their outer skin, but the sticky, sugary layer of fruit (called mucilage) is left on the bean while it dries. Because the beans absorb the sugars from the fruit, honey processed coffees features higher sweetness with distinct notes of honey, caramel, or brown sugar. It also has a balanced profile with a creamier, heavier body than washed coffees, but less intense fruitiness than natural coffees and more mellow taste.",https://www.agastyacoffee.com/product-page/arecad-estate,"https://static.wixstatic.com/media/55a314_4f4b459f5d564af6a10cc17eadac4f44~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",
Agasthya Coffee,Chowdi Range Estate (Micro-lot),,,"Grade: Speciality GradeProcessing: Naturals, Patio SundriedAltitude: 1000 m.a.s.lRoast: Medium- Dark RoastVarietals Grown: Arabica ( Chandragiri) Flavour Notes: Sweet Floral Aroma, Cane Sugar, Black Cardamom, Raisin, Watermelon, Full Bodied Coffee With Well Rounded Acidity And Hints Of Pink Grapefruit. A 117 year old family property, Chowdi Range holds the family’s history with memories etched in every corner. The abundance of fruit trees and flowers make it a living bouquet year round. One can expect the coffee to be well rounded and enlivening. Grown at an altitude of 1000 m, the beans reveal what one cannot see physically, the cradle that it comes from is one of love, intention and ecological harmony. This biodiverse estate is managed by Mr Mandepanda C Muthanna and his son Santosh Somanna.",https://www.agastyacoffee.com/product-page/chowdi-range-estate-micro-lot,"https://static.wixstatic.com/media/55a314_43db9bf749464f789e7e3972b0fb19ad~mv2.png/v1/fit/w_500,h_500,q_90/file.png",
Agasthya Coffee,Cold Brew Bags - Assorted Single Origins,,,"An assorted selection our Speciality Grade Single Origin Coffees specially curated by Agastya Coffee. Enjoy the distinct flavour notes of each coffee from the collection, crafted to showcase its unique terroir. Designed for convenience and excellence, our cold brew bags are very easy to brew, simply steep one bag in 150- 200 ml of cold water for 12-24 hours, then enjoy a refreshing, rich cold brew anytime. Refer to the Brew Guide for more details.",https://www.agastyacoffee.com/product-page/cold-brew-bags-assorted-single-origins,"https://static.wixstatic.com/media/55a314_fc6ab73837c9436cbdd20106e93749ed~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",
Agasthya Coffee,Cold Brew Bags - House Blend,,,"Experience the perfect balance of boldness and smoothness with House Blend Cold Brew Coffee Steep Bags, a carefully crafted combination of Arabica and Robusta coffee sourced from the premium single-origin plantations of Coorg, Western Ghats, India.This blend is specially curated by Agastya Coffee to deliver a fresh and strong brew.  Designed for convenience and excellence, our cold brew bags are very easy brew, simply steep one bag in 150- 200 ml of cold water for 12-24 hours, then enjoy a refreshing, rich cold brew anytime. Refer to the Brew Guide for more details.",https://www.agastyacoffee.com/product-page/cold-brew-bags-house-blend,"https://static.wixstatic.com/media/55a314_59ca4ca6765a40e382c040b1678eacbd~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",
Agasthya Coffee,Cold Brew Bags - Peaberry,,,"Peaberry Arabica - Cold Brew Steep BagsGrade: PeaberryProcessing: Fully Washed, Patio DriedRoast: Medium Dark RoastVarietals Grown: Arabica ( Mixed)Altitude: 1000 m.a.s.l (Coorg Region)Flavour Notes: Bright Citrus Acidity, Milk Chocolate, Caramel with Floral aroma and syrupy body Introducing our Peaberry Arabica, a rare and delightful coffee bean that is sure to elevate your coffee experience. These beans are sought after for their unique round shape, which allows for a more even roasting and results in a richer, more complex flavor. With only about 5% of coffee cherries producing Peaberry beans, this variety is truly a special find. The brightness and complexity of the flavor profile make this coffee a favorite among connoisseurs who appreciate a high-quality, unique cup of coffee. Experience the difference with our premium Peaberry Arabica roasted coffee beans. Designed for convenience and excellence, our cold brew bags are very easy brew, simply steep one bag in 150- 200 ml of cold water for 12-24 hours, then enjoy a refreshing, rich cold brew anytime. Refer to the Brew Guide for more details.",https://www.agastyacoffee.com/product-page/cold-brew-bags-peaberry,"https://static.wixstatic.com/media/55a314_82e9b8a728fc499aa0586fe3923a6d97~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",
Agasthya Coffee,Drip Filters - Kent Microlot,,,"Processing: Naturals, Patio DriedVarietals Grown: Arabica ( Kent)Altitude: 1000 m.a.s.lRoast: Medium RoastFlavour Notes:Flavour Notes: ORANGE CANDY AND BERRIES. An aromatic coffee with balanced, sparkling acidity and a fine body. It is believed that the Kent variety roots back to the first Bourbon seeds brought out of Yemen to India by Baba Budan in 1670. It originates from a selection made by Mr. L.P. Kent in 1911 from a single tree growing in his Doddengooda Estate in Mysore, South Western India. It was widely planted in India since the 1930s and became very well known for its excellent flavour profile. Slowly, due to its susceptibility to many pests and diseases, the Indian farms made a switch to hardier varieties of Arabica and Robusta. Kogilahalla Estate is one among the few estates which has managed to retain its Kent coffee plants. These old plants are specially tended to and a micro lot of ripe fruits are selectively handpicked every year. The berries are then sun dried on raised beds after a short pre-fermentation phase. With its naturally high sugar content, the pre-fermentation step lends the coffee its complex winey notes that complements the syrupy body and enhances aroma. One can easily say that Kent, hands down, is one among the most splendid Indian varieties of Arabica Coffee.",https://www.agastyacoffee.com/product-page/drip-filters-kent-microlot,"https://static.wixstatic.com/media/55a314_9710e07c57ef43e48eee5352bf704138~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",
Agasthya Coffee,Drip Filters - Palace Field Estate,,,"Palace Field Estate has come a long way and the coffee that we have sourced is so refreshingly good, they sure know how to turn adversities into advantage! This year we worked with the father son duo and bagged their washed Chandragiri lot. The estate in all its glory is summed up as a treasurable experience as you sip every note of this brew. As you wind down through the roads from Madikeri, you meet this hamlet of Haleri where the estate is located. The village was a stately place as it housed the palace of the erstwhile Haleri King and hence the estate was named as Palace Field Estate. More on Palace Field Estate. Processing: Fully Washed, Patio DriedVarietals Grown: Arabica ( Chandragiri)Altitude: 1000 m.a.s.lRoast: Medium RoastFlavour Notes: Spice like intense dry aroma, slight chocolaty at break.Tamarind like in flavour. The coffee is good bodied, balanced sweet acidity on a highernote. Overall, a well-balanced coffee.On cooling the fruity notes increases with a lemony sweet sharp acidity.",https://www.agastyacoffee.com/product-page/drip-filters-palace-field-estate,"https://static.wixstatic.com/media/55a314_df39e42465004294a9c8212045c4fc68~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",
Agasthya Coffee,Drip Filters - Sandalkad Estate,,,"Processing: Fermented, WashedVarietals Grown: Arabica ( Mixed)Altitude: 1170 m.a.s.lRoast: Medium RoastFlavour Notes: FLORAL AROMA, PLUM, MIXED BERRIES, CACAO NIBS,PLEASANT CITRIC ACIDITY WITH SWEET CARAMEL AFTER TASTE With a heritage spanning six generations and 170 years, Sandalkad Estate's deep commitment to coffee and the environment is evident. It is certified as Rain Forest Alliance and winner of TOP 5 Indian Coffees under FINE CUP INDIA COMPETITION organized by Coffee Board of India.Sandalkad has been pioneering unique coffee processing methods, educating local growers about the coffee trends  and conducting sustainability initiatives like eco-friendly farming and biodiversity conservation. Beyond education, they focus on conserving water and enhancing soil health. Experience the aromatic flavors of this estate coffee with our Drip Filters, a testament to centuries of dedication and sustainable practices.",https://www.agastyacoffee.com/product-page/drip-filters-sandalkad-estate,"https://static.wixstatic.com/media/55a314_203a6ef2c57649eb9fe8bb444fb8d97c~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",
Agasthya Coffee,Excelsa (Coffea Liberica),,,"Grade: SpecialtyProcessing: Naturals, Raised BedsRoast: Medium RoastVarietals Grown: Excelsa ( Coffea Liberica Var. Dewevrei.)Altitude: 1000 m.a.s.l (Coorg Region)Flavour Notes: Fruity (with tropical notes like Jackfruit, mango), good body, low caffeine. Excelsa, locally known as Mara(Tree) Coffee, is a rare and exquisite species cultivated in the pristine Coorg region of the Western Ghats. With its very limited crop, this premium single origin coffee is prized for its low caffeine content, rich body, and well-balanced fruity profile that offers a complex depth in every cup. Grown on towering coffee trees, Excelsa embodies the unique terroir and care that Agastya Coffee is committed to delivering. Our dedication to quality and sustainability ensures that each batch reflects the true character of this exceptional coffee. Experience the distinctive flavors of Mara Coffee, crafted for connoisseurs who value rarity and authenticity.",https://www.agastyacoffee.com/product-page/excelsa-coffea-liberica,"https://static.wixstatic.com/media/55a314_da65cee2e6bd40008f98af3f9e47094c~mv2.png/v1/fit/w_500,h_500,q_90/file.png",
