Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
72 Hour Fermented Washed,Caffeine Baar,650.0,250g,,,"Baarbara, Chikmagalur, Karnataka",Washed,"The Caffeine Baar presents its 72 hour fermented washed coffee. For this delightful offering, wet-processed coffee is fermented in stainless steel tanks for 72 hours till it offers a full-bodied flavour with every sip. 
   Origin - Baarbara, Chikmagalur, Karnataka   
   Altitude - 4500 ft - 5000 ft   
   Varietal - SLN 795   
   Roasted for - Espresso   
   Recommended Brewing Equipment -  Espresso, Cappuccino    
   Taste Notes -  Roasted Almonds, Cacao Nibs",https://www.thecaffeinebaar.com/products/72-hour-fermented-washed,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2_a6f1ef00-eb70-4d55-a896-6ad84634a4ea.jpg?v=1754046309,Coffee
72 Hour Fermented Washed,Caffeine Baar,2290.0,1kg,,,"Baarbara, Chikmagalur, Karnataka",Washed,"The Caffeine Baar presents its 72 hour fermented washed coffee. For this delightful offering, wet-processed coffee is fermented in stainless steel tanks for 72 hours till it offers a full-bodied flavour with every sip. 
   Origin - Baarbara, Chikmagalur, Karnataka   
   Altitude - 4500 ft - 5000 ft   
   Varietal - SLN 795   
   Roasted for - Espresso   
   Recommended Brewing Equipment -  Espresso, Cappuccino    
   Taste Notes -  Roasted Almonds, Cacao Nibs",https://www.thecaffeinebaar.com/products/72-hour-fermented-washed,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2_a6f1ef00-eb70-4d55-a896-6ad84634a4ea.jpg?v=1754046309,Coffee
72 Hour Fermented Washed Sample Packet,Caffeine Baar,200.0,Sample pack - 70 grams,,,"Baarbara, Chikmagalur, Karnataka",Washed,"The Caffeine Baar presents its 72 hour fermented washed coffee. For this delightful offering, wet-processed coffee is fermented in stainless steel tanks for 72 hours till it offers a full-bodied flavour with every sip. 
   Origin - Baarbara, Chikmagalur, Karnataka   
   Altitude - 4500 ft - 5000 ft   
   Varietal - SLN 795   
   Roasted for - Espresso   
   Recommended Brewing Equipment -  Espresso, Cappuccino    
   Taste Notes -  Roasted Almonds, Cacao Nibs",https://www.thecaffeinebaar.com/products/72-hour-fermented-washed-sample-packet,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2_a6f1ef00-eb70-4d55-a896-6ad84634a4ea.jpg?v=1754046309,Coffee
Frozen Cherry,Caffeine Baar,800.0,250g,,,"Baarbara, Chikmagalur, Karnataka",Natural,"The method takes inspiration from ingredients outside of coffee which develop amazing natural sweetness thanks to freezing temperatures. Inspired by the wine industry, whole cherries are fermented and put in a freezer in bags so the sugars accumulate. Further removed and slow dried on raised beds.    
   Origin - Baarbara, Chikmagalur, Karnataka   
   Altitude - 4500 ft - 5000 ft   
   Varietal - SLN 795   
   Roasted for - Filter    
   Recommended Brewing Equipment - Pour Over and Aeropress        
   Taste Notes - Juicy Mango, Mixed berries",https://www.thecaffeinebaar.com/products/frozen-cherry,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2_93508dd6-1bf5-4c11-8dec-e0698642d114.jpg?v=1754036955,Coffee
Frozen Cherry,Caffeine Baar,2820.0,1kg,,,"Baarbara, Chikmagalur, Karnataka",Natural,"The method takes inspiration from ingredients outside of coffee which develop amazing natural sweetness thanks to freezing temperatures. Inspired by the wine industry, whole cherries are fermented and put in a freezer in bags so the sugars accumulate. Further removed and slow dried on raised beds.    
   Origin - Baarbara, Chikmagalur, Karnataka   
   Altitude - 4500 ft - 5000 ft   
   Varietal - SLN 795   
   Roasted for - Filter    
   Recommended Brewing Equipment - Pour Over and Aeropress        
   Taste Notes - Juicy Mango, Mixed berries",https://www.thecaffeinebaar.com/products/frozen-cherry,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2_93508dd6-1bf5-4c11-8dec-e0698642d114.jpg?v=1754036955,Coffee
Frozen Cherry Sample Packet,Caffeine Baar,260.0,Sample pack - 70 grams,,,"Baarbara, Chikmagalur, Karnataka",Natural,"The method takes inspiration from ingredients outside of coffee which develop amazing natural sweetness thanks to freezing temperatures. Inspired by the wine industry, whole cherries are fermented and put in a freezer in bags so the sugars accumulate. Further removed and slow dried on raised beds.    
   Origin - Baarbara, Chikmagalur, Karnataka   
   Altitude - 4500 ft - 5000 ft   
   Varietal - SLN 795   
   Roasted for - Filter    
   Recommended Brewing Equipment - Pour Over and Aeropress        
   Taste Notes - Juicy Mango, Mixed berries",https://www.thecaffeinebaar.com/products/frozen-cherry-sample-packet,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2_93508dd6-1bf5-4c11-8dec-e0698642d114.jpg?v=1754036955,Coffee
Honey Sun Dried,Caffeine Baar,700.0,250g,,"For this fragrant offering, cherries are pulped and sun-dried with a thick layer of mucilage to ensure sweet and fruity","Baarbara, Chikmagalur, Karnataka",Natural,"Let The Caffeine Baar's Honey Sun Dried coffee beguile you. For this fragrant offering, cherries are pulped and sun-dried with a thick layer of mucilage to ensure sweet and fruity flavours with every sip. 
   
   Origin - Baarbara, Chikmagalur, Karnataka   
   Altitude - 4500 ft - 5000 ft   
   Varietal - SLN 795   
   Roasted for - Espresso     
   Recommended Brewing Equipment - Aeropress, Iced Coffee    
   Taste Notes -  Cherry, Orange Rind",https://www.thecaffeinebaar.com/products/honey-sun-dried,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2_c9f76844-ec8a-4536-ac3b-5c198274ecef.jpg?v=1754036256,Coffee
Honey Sun Dried,Caffeine Baar,2465.0,1kg,,"For this fragrant offering, cherries are pulped and sun-dried with a thick layer of mucilage to ensure sweet and fruity","Baarbara, Chikmagalur, Karnataka",Natural,"Let The Caffeine Baar's Honey Sun Dried coffee beguile you. For this fragrant offering, cherries are pulped and sun-dried with a thick layer of mucilage to ensure sweet and fruity flavours with every sip. 
   
   Origin - Baarbara, Chikmagalur, Karnataka   
   Altitude - 4500 ft - 5000 ft   
   Varietal - SLN 795   
   Roasted for - Espresso     
   Recommended Brewing Equipment - Aeropress, Iced Coffee    
   Taste Notes -  Cherry, Orange Rind",https://www.thecaffeinebaar.com/products/honey-sun-dried,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2_c9f76844-ec8a-4536-ac3b-5c198274ecef.jpg?v=1754036256,Coffee
Honey Sun Dried Sample Packet,Caffeine Baar,240.0,Sample pack - 70 grams,,"For this fragrant offering, cherries are pulped and sun-dried with a thick layer of mucilage to ensure sweet and fruity","Baarbara, Chikmagalur, Karnataka",Natural,"Let The Caffeine Baar's Honey Sun Dried coffee beguile you. For this fragrant offering, cherries are pulped and sun-dried with a thick layer of mucilage to ensure sweet and fruity flavours with every sip. 
   
   Origin - Baarbara, Chikmagalur, Karnataka   
   Altitude - 4500 ft - 5000 ft   
   Varietal - SLN 795   
   Roasted for - Espresso     
   Recommended Brewing Equipment - Aeropress, Iced Coffee    
   Taste Notes -  Cherry, Orange Rind",https://www.thecaffeinebaar.com/products/honey-sun-dried-sample-packet,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2_c9f76844-ec8a-4536-ac3b-5c198274ecef.jpg?v=1754036256,Coffee
Intenso Fermentation,Caffeine Baar,800.0,250g,,This nano-lot from Baarbara,Single,Whole Beans / 250 grams is backordered and will ship as soon as it is back in stock. This nano-lot from Baarbara,"This nano-lot from Baarbara Estate was produced by adding yeast to the ripened cherries in a controlled environment. The fermentation process results in notes of candied fruits and berries in the cup with a prominent acidity and complexity.   
  This is the first year we experiment with yeast fermentation. For this lot, we chose a yeast called Intenso (Saccharomyces cerevisiae), intended to increase fruity flavours, mouthfeel and general cup quality.   
  We found a floral aroma and notes of pomegranate, cherry, candied fruit and a hints of prunes supported by a smooth mouthfeel and the best way to enjoy this is to either brew a pour over or an iced coffee.   
  We have cupped this coffee multiple times in different stages of harvest and roast profiles. It can be strange and puzzling (in a nice way) because the flavours are constantly developing. It's like watching your favourite movie, that you've forgotten.    
   Origin - Single Origin    
   Altitude - 4500 ft - 5000 ft    
   Varietal - SLN 795    
   Roasted for - Filter    
   Best brewed as -Pour Over and Iced Coffees      
   Taste Notes - Pomegranate, Cherry, Candied Fruit &amp; Prunes",https://www.thecaffeinebaar.com/products/intenso-fermentation,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2.png?v=1754037338,Coffee
