roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
Devans,APPLE TEA,Rs. 225.00,INR,"The combination of black tea and fruit flavors creates an invigorating and refreshing drink, and is a delicious alternative to plain black tea. Featuring a range of flavours, each blend is made with our finest Assam Black tea. 
 This tea is infused with apple flavour to give you a smooth, fruity and a refreshing cup of tea. Makes an intense, dark brew, can be had hot or cold with a little sweetener.
[Meta Description]: The combination of black tea and fruit flavors creates an invigorating and refreshing drink, and is a delicious alternative to a plain black tea. Featuring a range of flavours, each blend is made with our finest Assam Fannings Black tea.",https://www.devans.in/products/apple-tea,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/032.jpg?v=1622198119,100g:225.00; 250g:560.00,
Devans,ARABICA FRENCH ROAST COFFEE,Rs. 525.00,INR,"ANIMAL PRINTED PACK IS AVAILABLE in 500 g ONLY.  
  Grown on the lush green hills of Chikmagalur, in Karnataka, this Arabica Plantation AA coffee represents one of the best quality coffee of India.¬† 
  Arabica Plantation-AA is given a longer roast for a strong brew. After roasting, the beans appear dark and oily. This coffee is perfect for those who will not settle for anything but the strongest.   
 Tasting Notes    
  French Roast coffee has an overpowering body, dark colour and is completely void of acidity. The dark roast gives it a bold smoky flavor, yet sweet notes intermingling with that smokiness.
[Meta Description]: Arabica plantation-AA is given a longer roast for a strong brew. After roasting, the beans appear quite oily. This coffee is perfect for those who will not settle for anything but the strongest. Tasting Notes An overpowering body, completely void of acidity. Bold flavor and dark color in the cup.",https://www.devans.in/products/arabica-coffee,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/Arabica_20French_20Roast_5000x_32a41cef-c377-47ab-92f0-b25629d94230.webp?v=1748871494,250g:525.00; 500g:1050.00,
Devans,ARABICA FRENCH ROAST COFFEE (WHOLE SALE),Rs. 17500.00,INR,"Stand up pouches with round bottom gusset. 1 kg Matt silver with zipper and with one way freshness valve. 
  Grown on the lush green hills of Chikmagalur, in Karnataka, this Arabica Plantation AA coffee represents one of the best quality coffee of India.¬† 
  Arabica Plantation-AA is given a longer roast for a strong brew. After roasting, the beans appear dark and oily. This coffee is perfect for those who will not settle for anything but the strongest.   
 Tasting Notes    
  French Roast coffee has an overpowering body, dark colour and is completely void of acidity. The dark roast gives it a bold smoky flavor, yet sweet notes intermingling with that smokiness.
[Meta Description]: Arabica plantation-AA is given a longer roast for a strong brew. After roasting, the beans appear quite oily. This coffee is perfect for those who will not settle for anything but the strongest. Tasting Notes An overpowering body, completely void of acidity. Bold flavor and dark color in the cup.",https://www.devans.in/products/arabica-french-roast-coffee-wholesale,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/Untitleddesign_45_ebb36956-0486-4f32-aafe-2ea9b50c74cd.png?v=1758721023,10 Kgs:17500.00,
Devans,ARABICA PEABERRY COFFEE,Rs. 500.00,INR,"ANIMAL PRINTED PACKS AVAILABLE IN 500 g ONLY 
  Indian coffees are home to the best shade grown coffees in the world. It grows Arabica and Robusta coffees in the southern states where lush coffee plantations are heavily inter cropped with black pepper and ginger that bustle with honeybees and yield the finest coffee beans.  
  Peaberry coffees are rare, comprising only 3-7% of the total crop. These pea-shaped, natural formations of the coffee bean are thought to form when several pistils get knocked off the coffee flower, causing only one seed to form inside the coffee fruit rather than two.  
  Normally coffee beans grow two to a cherry, flat against each other but in about five percent of the worlds coffee a bean is found to be solo that's Peaberry.  
  Because there's no way to tell from looking at the cherry whether there's a single or double bean inside, as a result Peaberry beans are hand picked and processed to be enjoyed separately.  
 Tasting notes:    
  At Devans, Arabica Peaberry is roasted in a way to create a mild strength of coffee, that is soft, smooth, highly aromatic and flavorful . If you like milder coffees, go for this lighter bodied and a clean cup of coffee. It’s ideal when made in a French Press or a pour over.
[Meta Description]: Normally coffee beans grow two to a cherry, flat against each other but in about five percent of the worlds coffee a bean is found to be solo that's Peaberry. Because there's no way to tell from looking at the cherry whether there's a single or double bean inside as a result Peaberry beans are hand picked and processed to be enjoyed separately. Tasting Notes Arabica Peaberry is roasted in a way to create a mild strength. This coffee is our mildest and a delicate coffee that is soft, smooth, highly aromatic and flavorful . If you like milder coffees, go for this lighter bodied and a clean cup of coffee.",https://www.devans.in/products/peaberry-coffee,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410115129_1.jpg?v=1736165164,250g:500.00; 500g:1000.00,
Devans,ARABICA PEABERRY DARK ROAST COFFEE,Rs. 525.00,INR,"ANIMAL PRINTED PACKS AVAILABLE IN 500 g ONLY.  
   Baba Budangiri, is home to the finest coffee plantations of India. Indian Arabica Peaberry is a hand-selected, pulped, and fully washed coffee. Separating the peaberries from the rest of the coffee beans requires the use of special screens and adds time and effort to the grading process. The resulting peaberry coffee is very dense and uniform, resulting in a very focused and consistent flavor.   
  Expertly roasted in small batches for optimal taste and quality. Arabica Peaberry is given a longer roast for a strong brew. After roasting, the beans appear quite oily. This coffee is perfect for those who are looking to have that ""coffee-kick"" without the need to have an espresso.  
  Tasting Notes  
  Floral aroma, bright medium to full bodied coffee, completely void of acidity, with a chocolaty finish and dark color in the cup.
[Meta Description]: Arabica Peaberry is given a longer roast for a strong brew. After roasting, the beans appear quite oily. This coffee is perfect for those who are looking to have that ""coffee-kick"" without the need to have an espresso. Tasting Notes An overpowering body, completely void of acidity. Bold flavor and dark color in the cup.",https://www.devans.in/products/arabica-peaberry-dark-roast-coffee,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410115512_4.jpg?v=1736164648,250g:525.00; 500g:1050.00,
Devans,ARABICA PLANTATION - AA COFFEE,Rs. 500.00,INR,"Coffee plants come in two main varieties- Arabica, which grows well in higher elevations, and Robusta, which grows at lower levels.  
  Grown on the lush green hills of Chikmagalur, in Karnataka, this Arabica Plantation AA coffee represents one of the best quality coffee of India. The beans are large, uniform and have clean polished appearance. This Arabica coffee has a hint of Indian spice and some flowers which is exceptional in the cup.  
  Tasting Notes  
  Medium roast of Arabica Plantation ""AA"" brings out the full compliment of aromas and results in a coffee that has moderate acidity, tangy flavor with a combination of full body and good strength.
[Meta Description]: Grown on the lush green hills of Chikmagalur, in Karnataka, this coffee represents best quality coffee of India. The beans are large, uniform and have clean polished appearance. This Arabica coffee has a hint of Indian spice and some flowers which is exceptional in the cup. Tasting Notes Medium roast of Plantation ""AA"" brings out the full compliment of aromas and results in a coffee that has moderate acidity, tangy flavor and good strength.",https://www.devans.in/products/arabica-plantation-coffee-1,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410124737-01.jpg?v=1736165950,250g:500.00; 500g:1000.00,
Devans,ARABICA PLANTATION -AAA - Mysore Nuggets Extra Bold,Rs. 550.00,INR,"ANIMAL PRINTED PACKS AVAILABLE IN 500 g ONLY. 
  Speciality coffee of India prepared from washed Arabicas, beans are very large, uniform bluish green, with a clean polished appearance.   
  This coffee is a product of the birthplace of coffee in India - Baba Budangiri hills, nurtured under shade at an elevation of 1750 metres. Ripening slowly in the mild climate these arabica beans are handpicked and processed, one of the finest coffees in our collection.  
  Tasting Notes:  
  The magical transformation of the green beans takes place when it’s roasted - the aroma and flavours get released and turn into a sensory delight. So is this medium roasted coffee which has malty overtones with buttery smoothness, full body, medium acidity, and a striking aroma with a note of chocolate in the cup.
[Meta Description]: Mysore Nuggets Extra Bold Speciality coffee of India prepared from washed Arabicas. Beans are large, uniform bluish green, with a clean polished appearance. Tasting Notes Malty overtones with buttery Smoothness exhibits full aroma, good body, good acidity and a fine flavour.",https://www.devans.in/products/arabica-plantation-coffee,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410120157_1.jpg?v=1736165243,250g:550.00; 500g:1100.00,
Devans,ARABICA PLANTATION -AAA COFFEE (Dark Roast),Rs. 550.00,INR,"ANIMAL PRINTED PACKS AVAILABLE IN 500 g ONLY. 
 Arabica Plantation -AAA is given a longer roast for a strong brew. After roasting, the beans appear oily. This is a speciality Arabica Coffee from Bababudangiris in Chikkamagaluru. Fine bold beans of washed Arabica, screen 19 grading. 
 Tasting Notes: 
 Dark Malty notes with a buttery smoothness, exhibits slight nutty aroma, with a medium body and is mildly acidic.
[Meta Description]: Arabica Plantation-AAA (Dark Roast) Arabica Plantation -AAA is given a longer roast for a strong brew. After roasting, the beans appear oily. This is a speciality Arabica Coffee from Bababudangiris in Chikkamagaluru. Fine bold beans of washed Arabica, screen 19 grading. Tasting Notes Dark Malty notes with a buttery smoothness, exhibits slight nutty aroma, with a medium body and is mildly acidic.",https://www.devans.in/products/arabica-plantation-coffee-dark-roast,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410120157_1.jpg?v=1736165243,250g:550.00; 500g:1100.00,
Devans,ASSAM CLASSIC TEA (Granular),Rs. 250.00,INR,"Assam CTC Classic Tea   
 Black Tea Summer Harvest 2025.  
 The second flush Assam CTC is regarded as the best CTC tea in the world.    
  CTC means the tea has been processed in a "" Cut, Tear, and Curl"" machine. Tea leaves are shoved in the top, totally destroyed and then reformed into pellets. These pellets turn brown (oxidize ) very quickly. This makes for the super-brisk tea.  
 This tea is CTC Assam, only for those who enjoy a rich, dark liquor and malty flavor. It's best when boiled with milk.
[Meta Description]: This tea is CTC Assam, only for those who enjoy a rich, dark liquor and malty flavor. It's best when boiled with milk.",https://www.devans.in/products/assam-classic-tea,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/IMG_2546.jpg?v=1624261576,250g:250.00; 500g:500.00,
Devans,ASSAM GREEN TEA (Whole Leaf Tea),Rs. 200.00,INR,"The only tea in the world to have Elephant friendly certification, the Assam Whole Leaf Green Tea spells flavors of a classic vegetal green tea. The liquor is full bodied, with notes of vegetal and wood from the very first sip.  
   Light, delicate and subtle, a cup of green tea is a very pleasant alternative to a regular black tea. This pale olive cup is light and layered, packed with antioxidants with fresh, floral, flavour making it a delicious and refreshing choice for a drink.
[Meta Description]: Light, delicate and subtle, a cup of green tea is a very pleasant alternative to a regular black tea.",https://www.devans.in/products/green-assam-tea,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/027.jpg?v=1622198393,100g:200.00; 250g:500.00,
