Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
75gms - Baarbara Sampler,Tulum,210.0,,,"TAN, BAARBARA",Baarbara Estate,,"TAN | BAARBARA ESTATE 
 
   *This 75gms coffee will only be available for purchase if you have purchased a 250gms or 500gms packet of any of our coffees. 
 ** The grind size for this coffee will be the same as the one you have selected for the 250gms or the 500gms pack. If you would like a different grind size you can add a note in the cart, or email us at business@tulum.coffee.",https://www.tulum.coffee/products/100gms-udayagiri-sampler,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/4.jpg?v=1698224961,Coffee
Baarbara HSD - Hazelnutty,Tulum,685.0,250g,Medium-Dark Roast,Hazelnut • Grape • Cocoa • Orange,"Bababudangiri, Chikmagalur",Honey Sun Dried,"Tan | Baarbara Estate  
 
   This Baarbara estate coffee is hazelnutty. This single-origin coffee is light-bodied and is roasted to a medium dark to give you the perfect kick in the morning. It is complex in its flavour with a lingering aftertaste. The bitterness is controlled and the fruitiness brings in bright acidity with natural sweetness.     
   100% Arabica  
 
 
 
  Flavour Notes  
 
 Hazelnut • Grape • Cocoa • Orange 
 
 
 
  Location  
 
 Bababudangiri, Chikmagalur 
 
 
 
 
   Process 
 
 Honey Sun Dried 
 
 
  Roast Level  
 
   Medium-Dark 
 
 
 
  Altitude  
 
   3850 - 5350ft 
 
 
 
 
   Suggested equipment 
 
 
 Filter Coffee, Espresso, French Press, Cold Brew 
 
 
 
   
  *Cloth bags are only included for the 250g variant. 
  *No added sugar, honey, fruit, flavour, chicory, or preservatives.  
    Tulum ® -  Specialty Coffee Roasters",https://www.tulum.coffee/products/baarbara,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Tan.webp?v=1749978742,Coffee
Baarbara HSD - Hazelnutty,Tulum,945.0,350g,Medium-Dark Roast,Hazelnut • Grape • Cocoa • Orange,"Bababudangiri, Chikmagalur",Honey Sun Dried,"Tan | Baarbara Estate  
 
   This Baarbara estate coffee is hazelnutty. This single-origin coffee is light-bodied and is roasted to a medium dark to give you the perfect kick in the morning. It is complex in its flavour with a lingering aftertaste. The bitterness is controlled and the fruitiness brings in bright acidity with natural sweetness.     
   100% Arabica  
 
 
 
  Flavour Notes  
 
 Hazelnut • Grape • Cocoa • Orange 
 
 
 
  Location  
 
 Bababudangiri, Chikmagalur 
 
 
 
 
   Process 
 
 Honey Sun Dried 
 
 
  Roast Level  
 
   Medium-Dark 
 
 
 
  Altitude  
 
   3850 - 5350ft 
 
 
 
 
   Suggested equipment 
 
 
 Filter Coffee, Espresso, French Press, Cold Brew 
 
 
 
   
  *Cloth bags are only included for the 250g variant. 
  *No added sugar, honey, fruit, flavour, chicory, or preservatives.  
    Tulum ® -  Specialty Coffee Roasters",https://www.tulum.coffee/products/baarbara,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Tan.webp?v=1749978742,Coffee
Baarbara HSD - Hazelnutty,Tulum,1280.0,500g,Medium-Dark Roast,Hazelnut • Grape • Cocoa • Orange,"Bababudangiri, Chikmagalur",Honey Sun Dried,"Tan | Baarbara Estate  
 
   This Baarbara estate coffee is hazelnutty. This single-origin coffee is light-bodied and is roasted to a medium dark to give you the perfect kick in the morning. It is complex in its flavour with a lingering aftertaste. The bitterness is controlled and the fruitiness brings in bright acidity with natural sweetness.     
   100% Arabica  
 
 
 
  Flavour Notes  
 
 Hazelnut • Grape • Cocoa • Orange 
 
 
 
  Location  
 
 Bababudangiri, Chikmagalur 
 
 
 
 
   Process 
 
 Honey Sun Dried 
 
 
  Roast Level  
 
   Medium-Dark 
 
 
 
  Altitude  
 
   3850 - 5350ft 
 
 
 
 
   Suggested equipment 
 
 
 Filter Coffee, Espresso, French Press, Cold Brew 
 
 
 
   
  *Cloth bags are only included for the 250g variant. 
  *No added sugar, honey, fruit, flavour, chicory, or preservatives.  
    Tulum ® -  Specialty Coffee Roasters",https://www.tulum.coffee/products/baarbara,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Tan.webp?v=1749978742,Coffee
Baarbara HSD - Hazelnutty,Tulum,2425.0,1kg,Medium-Dark Roast,Hazelnut • Grape • Cocoa • Orange,"Bababudangiri, Chikmagalur",Honey Sun Dried,"Tan | Baarbara Estate  
 
   This Baarbara estate coffee is hazelnutty. This single-origin coffee is light-bodied and is roasted to a medium dark to give you the perfect kick in the morning. It is complex in its flavour with a lingering aftertaste. The bitterness is controlled and the fruitiness brings in bright acidity with natural sweetness.     
   100% Arabica  
 
 
 
  Flavour Notes  
 
 Hazelnut • Grape • Cocoa • Orange 
 
 
 
  Location  
 
 Bababudangiri, Chikmagalur 
 
 
 
 
   Process 
 
 Honey Sun Dried 
 
 
  Roast Level  
 
   Medium-Dark 
 
 
 
  Altitude  
 
   3850 - 5350ft 
 
 
 
 
   Suggested equipment 
 
 
 Filter Coffee, Espresso, French Press, Cold Brew 
 
 
 
   
  *Cloth bags are only included for the 250g variant. 
  *No added sugar, honey, fruit, flavour, chicory, or preservatives.  
    Tulum ® -  Specialty Coffee Roasters",https://www.tulum.coffee/products/baarbara,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Tan.webp?v=1749978742,Coffee
Pulneys - Dark Roast - Cacao Nibs,Tulum,685.0,250g,Dark Roast,Cacao Nibs • Brown Sugar •Dark Chocolate • Full Bodied • Lingering aftertaste,"Pachalur, Pulney region",Semi Washed,"Grey | Pulneys - 100% Organic Coffee   
 
  
 
 Indulge in the rich, chocolatey flavour of Mr. H.R. Iyer’s Organic Dark Roast, a coffee that stands out for its depth and complexity. This artisanal coffee, grown with care on an  organic farm , offers a harmonious blend of bittersweet notes—think  Cacao Nibs, Brown Sugar, caramel and Dark Chocolate—that come together in a velvety, syrup-like body.  
 Perfectly balanced, this dark roast pairs beautifully with milk and/or sugar, making it an excellent choice for a variety of preparations. Whether you’re crafting a comforting Vietnamese coffee with condensed milk or a comforting mocha, this coffee elevates every sip. Brew it in a Moka pot, French press, espresso machine, or a South Indian filter to unlock its rich aroma and flavour. 
 Crafted by the skilled hands of Mr. H.R. Iyer, this coffee is more than just a drink; it’s a moment of indulgence. Treat yourself to the warmth and depth of a truly exceptional coffee experience, and let each cup be a reminder of the craftsmanship and passion behind it. 
  100% Arabica   
 
 
 
 
 
   Flavour Notes   
 
 Cacao Nibs • Brown Sugar •  Dark Chocolate • Full Bodied • Lingering aftertaste 
 
 
   Location   
 
   P  achalur, Pulney region  
 
 
 
   Process   
 
   Semi Washed 
 
 
 
   Roast Level   
 
 Dark 
 
 
 
   Altitude   
 
 4900+ft 
 
 
 
 
    Suggested equipment   
 
 
  Filter Coffee, Espresso, French Press, Cold Brew 
 
 
 
 
 Farm Name  
 
 Laks Farm 
 
 
  Planters Name  
 Mr. H.R. Iyer 
 
 
 
   
 *Cloth bags are only included for the 250g variant. 
  *No added sugar, honey, fruit, flavour, chicory, or preservatives.  
    Tulum ® -  Specialty Coffee Roasters",https://www.tulum.coffee/products/pulneys-100-organic-coffee,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Grey.webp?v=1715501722,Coffee
Pulneys - Dark Roast - Cacao Nibs,Tulum,945.0,350g,Dark Roast,Cacao Nibs • Brown Sugar •Dark Chocolate • Full Bodied • Lingering aftertaste,"Pachalur, Pulney region",Semi Washed,"Grey | Pulneys - 100% Organic Coffee   
 
  
 
 Indulge in the rich, chocolatey flavour of Mr. H.R. Iyer’s Organic Dark Roast, a coffee that stands out for its depth and complexity. This artisanal coffee, grown with care on an  organic farm , offers a harmonious blend of bittersweet notes—think  Cacao Nibs, Brown Sugar, caramel and Dark Chocolate—that come together in a velvety, syrup-like body.  
 Perfectly balanced, this dark roast pairs beautifully with milk and/or sugar, making it an excellent choice for a variety of preparations. Whether you’re crafting a comforting Vietnamese coffee with condensed milk or a comforting mocha, this coffee elevates every sip. Brew it in a Moka pot, French press, espresso machine, or a South Indian filter to unlock its rich aroma and flavour. 
 Crafted by the skilled hands of Mr. H.R. Iyer, this coffee is more than just a drink; it’s a moment of indulgence. Treat yourself to the warmth and depth of a truly exceptional coffee experience, and let each cup be a reminder of the craftsmanship and passion behind it. 
  100% Arabica   
 
 
 
 
 
   Flavour Notes   
 
 Cacao Nibs • Brown Sugar •  Dark Chocolate • Full Bodied • Lingering aftertaste 
 
 
   Location   
 
   P  achalur, Pulney region  
 
 
 
   Process   
 
   Semi Washed 
 
 
 
   Roast Level   
 
 Dark 
 
 
 
   Altitude   
 
 4900+ft 
 
 
 
 
    Suggested equipment   
 
 
  Filter Coffee, Espresso, French Press, Cold Brew 
 
 
 
 
 Farm Name  
 
 Laks Farm 
 
 
  Planters Name  
 Mr. H.R. Iyer 
 
 
 
   
 *Cloth bags are only included for the 250g variant. 
  *No added sugar, honey, fruit, flavour, chicory, or preservatives.  
    Tulum ® -  Specialty Coffee Roasters",https://www.tulum.coffee/products/pulneys-100-organic-coffee,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Grey.webp?v=1715501722,Coffee
Pulneys - Dark Roast - Cacao Nibs,Tulum,1280.0,500g,Dark Roast,Cacao Nibs • Brown Sugar •Dark Chocolate • Full Bodied • Lingering aftertaste,"Pachalur, Pulney region",Semi Washed,"Grey | Pulneys - 100% Organic Coffee   
 
  
 
 Indulge in the rich, chocolatey flavour of Mr. H.R. Iyer’s Organic Dark Roast, a coffee that stands out for its depth and complexity. This artisanal coffee, grown with care on an  organic farm , offers a harmonious blend of bittersweet notes—think  Cacao Nibs, Brown Sugar, caramel and Dark Chocolate—that come together in a velvety, syrup-like body.  
 Perfectly balanced, this dark roast pairs beautifully with milk and/or sugar, making it an excellent choice for a variety of preparations. Whether you’re crafting a comforting Vietnamese coffee with condensed milk or a comforting mocha, this coffee elevates every sip. Brew it in a Moka pot, French press, espresso machine, or a South Indian filter to unlock its rich aroma and flavour. 
 Crafted by the skilled hands of Mr. H.R. Iyer, this coffee is more than just a drink; it’s a moment of indulgence. Treat yourself to the warmth and depth of a truly exceptional coffee experience, and let each cup be a reminder of the craftsmanship and passion behind it. 
  100% Arabica   
 
 
 
 
 
   Flavour Notes   
 
 Cacao Nibs • Brown Sugar •  Dark Chocolate • Full Bodied • Lingering aftertaste 
 
 
   Location   
 
   P  achalur, Pulney region  
 
 
 
   Process   
 
   Semi Washed 
 
 
 
   Roast Level   
 
 Dark 
 
 
 
   Altitude   
 
 4900+ft 
 
 
 
 
    Suggested equipment   
 
 
  Filter Coffee, Espresso, French Press, Cold Brew 
 
 
 
 
 Farm Name  
 
 Laks Farm 
 
 
  Planters Name  
 Mr. H.R. Iyer 
 
 
 
   
 *Cloth bags are only included for the 250g variant. 
  *No added sugar, honey, fruit, flavour, chicory, or preservatives.  
    Tulum ® -  Specialty Coffee Roasters",https://www.tulum.coffee/products/pulneys-100-organic-coffee,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Grey.webp?v=1715501722,Coffee
Pulneys - Dark Roast - Cacao Nibs,Tulum,2425.0,1kg,Dark Roast,Cacao Nibs • Brown Sugar •Dark Chocolate • Full Bodied • Lingering aftertaste,"Pachalur, Pulney region",Semi Washed,"Grey | Pulneys - 100% Organic Coffee   
 
  
 
 Indulge in the rich, chocolatey flavour of Mr. H.R. Iyer’s Organic Dark Roast, a coffee that stands out for its depth and complexity. This artisanal coffee, grown with care on an  organic farm , offers a harmonious blend of bittersweet notes—think  Cacao Nibs, Brown Sugar, caramel and Dark Chocolate—that come together in a velvety, syrup-like body.  
 Perfectly balanced, this dark roast pairs beautifully with milk and/or sugar, making it an excellent choice for a variety of preparations. Whether you’re crafting a comforting Vietnamese coffee with condensed milk or a comforting mocha, this coffee elevates every sip. Brew it in a Moka pot, French press, espresso machine, or a South Indian filter to unlock its rich aroma and flavour. 
 Crafted by the skilled hands of Mr. H.R. Iyer, this coffee is more than just a drink; it’s a moment of indulgence. Treat yourself to the warmth and depth of a truly exceptional coffee experience, and let each cup be a reminder of the craftsmanship and passion behind it. 
  100% Arabica   
 
 
 
 
 
   Flavour Notes   
 
 Cacao Nibs • Brown Sugar •  Dark Chocolate • Full Bodied • Lingering aftertaste 
 
 
   Location   
 
   P  achalur, Pulney region  
 
 
 
   Process   
 
   Semi Washed 
 
 
 
   Roast Level   
 
 Dark 
 
 
 
   Altitude   
 
 4900+ft 
 
 
 
 
    Suggested equipment   
 
 
  Filter Coffee, Espresso, French Press, Cold Brew 
 
 
 
 
 Farm Name  
 
 Laks Farm 
 
 
  Planters Name  
 Mr. H.R. Iyer 
 
 
 
   
 *Cloth bags are only included for the 250g variant. 
  *No added sugar, honey, fruit, flavour, chicory, or preservatives.  
    Tulum ® -  Specialty Coffee Roasters",https://www.tulum.coffee/products/pulneys-100-organic-coffee,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Grey.webp?v=1715501722,Coffee
The Lumen Blend - Light Roast,Tulum,685.0,250g,Light Roast,,,,"Lumen Blend – Light, Bright &amp; Fruity Coffee  
 The  Lumen Blend  is made with  100% Arabica  coffee, combining three amazing coffees from different regions of India. This special blend brings out the best flavors from each origin, creating a smooth and flavorful cup. 
  Light-Medium Roast  Roasted to a  light-medium level , this coffee has the perfect balance of  sweetness and acidity , making it easy to enjoy. 
   Flavor Profile  Expect a lively,  fruity  cup with notes of  orange and berries , complemented by a  medium body . The result is a refreshingly complex coffee with a smooth, lingering finish. 
  Perfect for Manual Brew Method  Whether you enjoy  pour-over, AeroPress or French press , the Lumen Blend adapts effortlessly, offering a consistently delicious experience. 
 Discover a coffee that shines with every sip – the  Lumen Blend , a tribute to India’s finest specialty coffees. 
  100% Arabica  
  *No added sugar, honey, fruit, flavour, chicory, or preservatives.",https://www.tulum.coffee/products/lumen,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Lumen-Blend.jpg?v=1766821234,Coffee
