roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
Humble Bean,Cappuccino Blend,,INR,"Processing:  Washed + Unwashed Arabicas, Unwashed Robusta  Tasting Notes:  Caramel, strong cocoa, dark chocolate, with a velvety finish.  Brewing recommendation : Moka Pot | Bean to Cup machine  Net Weight : 250g  Varietal : SLN 795 + Peridinial  Altitude : 1200MSL Chikmagalur, 1000MSL Coorg 
   
 Our Cappuccino blend brings out the best of both worlds – where two coffee beans combine for an intoxicating brew with a Malty, Raisin-like, and buttery aroma. Single-origin Arabicas and Single-origin Robustas undergo a mix of processing techniques, resulting in a delicious combination of beans that complement each other. 
 This Medium-Dark Roast blend reveals itself with every mouthful. A tango of flavour – salty- sweet Caramel, strong Cocoa, smooth dark chocolate, come together and end in a perfect velvety finish. The flavours of this blend are enhanced when complemented by milk, best brewed through a Moka Pot, or Bean to Cup machine.",https://humblebean.com/products/cappuccino-blend,https://cdn.shopify.com/s/files/1/0699/2841/9608/products/Cappucino.jpg?v=1676292144,,
Humble Bean,Cold Brew Blend,,INR,"Processing : Washed + Unwashed Arabicas, Unwashed Robusta  Tasting Notes:  Strong cocoa, dark chocolate, creamy mouthfeel  Brewing recommendation : Drip method | Immersion method  Net Weight : 250g  Varietal : SLN 795 + Peridinial  Altitude : 1200MSL Chikmagalur, 1000MSL Coorg 
   
 Our Cold brew blend is an exquisite mix of single-origin Arabica beans and Robusta beans, processed with washed and unwashed techniques, for maximum aroma and a full body.  
 This Medium-dark roasted blend has whiffs of maple and honey while offering notes of strong Cocoa &amp;amp; dark chocolate, finishing off with a creamy, well-rounded mouthfeel. Best steeped slowly over time using the Drip or Immersion technique.",https://humblebean.com/products/cold-brew-blend,https://cdn.shopify.com/s/files/1/0699/2841/9608/products/ColdBrew.jpg?v=1676293088,,
Humble Bean,"Coorg, Naturals (100% Arabica)",,INR,"Why You'll Love This Coffee  
  Rich, Naturally Sweet:  Sun-dried in its fruit to unlock vibrant notes of ripe strawberry, cherry, and tropical fruit, this coffee is perfectly balanced with hazelnut, cocoa, and warm spice. The syrupy texture and naturally sweet profile make it an exceptional brew. 
  Crafted for Manual Brewing:  Choose any manual brewing style—pour over, French press, AeroPress, Siphon, or Chemex—and it will work wonderfully. Each coffee’s distinct flavor profile is brought to life, delivering a rich and aromatic cup that highlights its unique complexity.  
  Freshly Roasted for You:  Roasted in small batches and shipped within 1–2 business days to ensure the freshest flavor possible. 
  Quick Details  
 
 
 Tasting Notes:  Ripe strawberry, cherry, tropical fruits, hazelnut, cocoa, warm spice 
 
 Best For:  Pour Over, French Press, AeroPress, Chemex, Siphon 
 
 Origin:  Coorg, Karnataka 
 
 Net Weight:  250g 
 
 Altitude:  900 Meters above sea level 
 
 Process:  Naturals 
 
 Varietal:  SLN-795 
 
 Roast Level:  Medium 
 
  What Makes This Limited Edition Unique?  
 
 
 Single-Origin Excellence:  These limited edition coffees are single-origin, crafted from unique regions, specific processes, and carefully selected farms. Each one offers a distinct flavor profile that reflects its origin and craftsmanship. 
 
 Commitment to Freshness:  We roast to order, ensuring your bag lands fresh, aromatic, and full of flavor. 
 
 Sustainability Matters:  Sourced directly, supporting regenerative farming and environmental stewardship. 
 
  Estate Information - Ponnathmotte Estate  
 A 20 km drive from the scenic Madikeri town of the Coorg district in Karnataka leads you to the sprawling Ponnathmotte Estate, where the rich aroma of coffee beans engulfs you. The word ‘Ponnathmotte’ means ‘Golden Hills’ in the local language. The estate was started over 80 years ago and is now looked after by the owners’ third generation. The region is blessed with adequate rainfall, rich soil, and an ideal climate suited to growing coffee. 
 Thanks to its elevation of 3,600 ft. (1,100 m), Ponnathmotte Estate produces superior quality of Robusta &amp; Arabica coffee seeds, as well as a special blend of hybrid variety known as CxR(Coffea congenisis and Robusta) . The estate’s immense tree canopy attracts a wide variety of migratory birds from long distances and provides a natural habitat for insects and honeybees. These factors help in better cross-pollination thus increasing the yield of Robusta. Also, thanks to the natural farming techniques employed, the coffee beans produced meet the highest quality standards. 
 Another specialty is the good number of rosewood trees that thrive in the estate and provide filter shade which is necessary for coffee plants. Cluster fig trees can be seen as well around the plantation, which not only provide shade, but its fruit cultivation is known to improve the coffee taste. Ponnathmotte Estate employs a full-time labour force who are provided individual quarters within the estate. The estate also grows other spices such as cardamom, pepper, and a few selections of fruits.",https://humblebean.com/products/coorg-naturals-100-arabica-1,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/2.png?v=1759828242,,
Humble Bean,"Coorg, Naturals (100% Liberica)",,INR,"Why You'll Love This Coffee  
  Exotic and Lush:  Ripe plum and red-fruit sweetness meet mild woody tones and nutty undertones—culminating in a bold, full-bodied cup with mellow acidity and a syrupy, chewy texture. 
  Crafted for Manual Brewing:  Choose any manual brewing style—pour over, French press, AeroPress, Siphon, or Chemex—and it will work wonderfully. Each coffee’s distinct flavor profile is brought to life, delivering a rich and aromatic cup that highlights its unique complexity. 
   Freshly Roasted for You:   Roasted in small batches and shipped within 1–2 business days to ensure the freshest flavor possible. 
  Quick Details  
 
 
 Tasting Notes:  Plum,Raisin, Cedar, Roasted nut. 
 
 Best For:  Pour Over, French Press, AeroPress, Chemex, Siphon. 
 
 Origin : Coorg, Karnataka 
 
 Net Weight:  250gm 
 
 Altitude:  900 Meters Above sea level 
 
 Process: Naturals 
 
 Varietal:  Liberica 
 
 Roast Level : Medium 
 
  What Makes This Limited Edition Unique?  
 
 
 Single-Origin Excellence:  These limited edition coffees are single-origin, crafted from unique regions, specific processes, and carefully selected farms. Each one offers a distinct flavor profile that reflects its origin and craftsmanship. 
 
   
 
 
 Commitment to Freshness:  We roast to order, ensuring your bag lands fresh, aromatic, and full of flavor. 
 
   
 
 
 Sustainability Matters:  Sourced directly, supporting regenerative farming and environmental stewardship.",https://humblebean.com/products/coorg-naturals-100-liberica-1,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/8.png?v=1760517735,,
Humble Bean,"Coorg, Naturals (100% Robusta)",,INR,"Why You'll Love This Coffee  
  Full-Bodied and Creamy:  This coffee offers a creamy, full-bodied cup with dark dried fruit sweetness, layered with notes of molasses, roasted nut, and bittersweet cocoa. Its gentle spice and woody undertones linger in a smooth, yet satisfying finish. 
  Crafted for Manual Brewing:  Choose any manual brewing style—pour over, French press, AeroPress, Siphon, or Chemex—and it will work wonderfully. Each coffee’s distinct flavor profile is brought to life, delivering a rich and aromatic cup that highlights its unique complexity. 
  Freshly Roasted for You:  Roasted in small batches and shipped within 1–2 business days to ensure the freshest flavor possible. 
  Quick Details  
 
 
 Tasting Notes:  Dried fruit sweetness, molasses, roasted nut, bittersweet cocoa, spice, woody undertones. 
 
 Best For:  Pour Over, French Press, AeroPress, Chemex, Siphon 
 
 Origin:  Coorg, Karnataka 
 
 Net Weight:  250g 
 
 Altitude:  1250 Meters above sea level 
 
 Process:  Naturals 
 
 Varietal:  Old Peredinya 
 
 Roast Level:  Medium 
 
  What Makes This Limited Edition Unique?  
 
 
 Single-Origin Excellence:  These limited edition coffees are single-origin, crafted from unique regions, specific processes, and carefully selected farms. Each one offers a distinct flavor profile that reflects its origin and craftsmanship. 
 
 Commitment to Freshness:  We roast to order, ensuring your bag lands fresh, aromatic, and full of flavor. 
 
 Sustainability Matters:  Sourced directly, supporting regenerative farming and environmental stewardship. 
 
 
 Region Information (As planter hasn't given information) 
 Coorg (Kodagu), in the heart of Karnataka, is famed as the coffee capital of India. 
 Its lush hills grow some of the finest Arabica and Robusta beans under natural shade.The cool climate and rich soil create the perfect conditions for flavorful coffee Spices like pepper and cardamom grow alongside, adding a distinct aroma to the beans.",https://humblebean.com/products/coorg-papaya-fermented-naturals-100-arabica,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/1.png?v=1759828295,,
Humble Bean,"Coorg, Red Honey Sun Dried (100% Robusta)",,INR,"Why You'll Love This Coffee  
  Bold Yet Refined:  This medium roast Robusta offers a syrupy body with deep, natural sweetness. Layers of dried fig, raisin, and black cherry meet molasses, roasted walnut, and dark cocoa, resulting in a rich and lingering finish. A bold yet refined Robusta with unexpected sweetness and depth. 
  Crafted for Manual Brewing:  Choose any manual brewing style—pour over, French press, AeroPress, Siphon, or Chemex—and it will work wonderfully. Each coffee’s distinct flavor profile is brought to life, delivering a rich and aromatic cup that highlights its unique complexity. 
  Freshly Roasted for You:  Roasted in small batches and shipped within 1–2 business days to ensure the freshest flavor possible. 
  Quick Details  
 
 
 Tasting Notes:  Dried fig, raisin, black cherry, molasses, roasted walnut, dark cocoa 
 
 Best For:  Pour Over, French Press, AeroPress, Chemex, Siphon 
 
 Origin:  Coorg, Karnataka 
 
 Net Weight:  250g 
 
 Altitude:  900 Meters Above sea level 
 
 Process:  HSD (Honey Sun-dried) 
 
 Varietal:  CXR 
 
 Roast Level:  Medium 
 
  What Makes This Limited Edition Unique?  
 
 
 Single-Origin Excellence:  These limited edition coffees are single-origin, crafted from unique regions, specific processes, and carefully selected farms. Each one offers a distinct flavor profile that reflects its origin and craftsmanship. 
 
 Commitment to Freshness:  We roast to order, ensuring your bag lands fresh, aromatic, and full of flavor. 
 
 Sustainability Matters:  Sourced directly, supporting regenerative farming and environmental stewardship. 
 
  Estate Information - Ponnathmotte Estate   
 A 20 km drive from the scenic Madikeri town of the Coorg district in Karnataka leads you to the sprawling Ponnathmotte Estate, where the rich aroma of coffee beans engulfs you. The word ‘Ponnathmotte’ means ‘Golden Hills’ in the local language. The estate was started over 80 years ago and is now looked after by the owners’ third generation. The region is blessed with adequate rainfall, rich soil, and an ideal climate suited to growing coffee.Thanks to its elevation of 3,600 ft. (1,100 m), Ponnathmotte Estate produces superior quality of Robusta &amp; Arabica coffee seeds, as well as a special blend of hybrid variety known as CxR (Coffea congenisis and Robusta)The estate’s immense tree canopy attracts a wide variety of migratory birds from long distances and provides a natural habitat for insects and honeybees. 
 These factors help in better cross-pollination thus increasing the yield of Robusta. Also, thanks to the natural farming techniques employed, the coffee beans produced meet the highest quality standards. Another specialty is the good number of rosewood trees that thrive in the estate and provide filter shade which is necessary for coffee plants. Cluster fig trees can be seen as well around the plantation, which not only provide shade, but its fruit cultivation is known to improve the coffee taste. Ponnathmotte Estate employs a full-time labour force who are provided individual quarters within the estate. The estate also grows other spices such as cardamom, pepper, and a few selections of fruits.",https://humblebean.com/products/coorg-red-honey-sun-dried-100-robusta-1,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/3.png?v=1759828336,,
Humble Bean,"Coorg, Washed Whiskey Barrel Aged (100% Arabica)",,INR,"Why You'll Love This Coffee  
  Bold and Refined:  Premium Arabica beans are aged in authentic whiskey barrels to create a smooth, rich, and indulgent cup. Bright fruit notes meet warm vanilla, toasted oak, and a whisper of spice, culminating in a full-bodied coffee with a lingering, boozy warmth, all without any alcohol content. 
  Crafted for Manual Brewing:  Choose any manual brewing style—pour over, Frenchpress, AeroPress, Siphon, or Chemex—and it will work wonderfully. Each coffee’s distinct flavor profile is brought to life, delivering a rich and aromatic cup that highlights its unique complexity. 
   Freshly Roasted for You:   Roasted in small batches and shipped within 1–2 business days to ensure the freshest flavor possible. 
  Quick Details  
 
 
 Tasting Notes:  Bright fruit, vanilla, toasted oak, spice, boozy warmth 
 
 Best For : Pour Over, French Press, AeroPress, Chemex,Siphon 
 
 Origin:  Coorg, Karnataka 
 
 Net Weight:  250g 
 
 Altitude:  900 Meters Above sea level 
 
 Process:  Whiskey Barrel Aged (Washed) 
 
 Varietal:  Chandragiri 
 
 Roast Level:  Medium 
 
  What Makes This Limited Edition Unique?  
 
 
 Single-Origin Excellence:  These limited edition coffees are single-origin, crafted from unique regions, specific processes, and carefully selected farms. Each one offers a distinct flavor profile that reflects its origin and craftsmanship. 
 
 Commitment to Freshness:  We roast to order, ensuring your bag lands fresh, aromatic, and full of flavor. 
 
 Sustainability Matters:  Sourced directly, supporting regenerative farming and environmental stewardship. 
 
 
 Region Information (As planter hasnt given information) 
 Coorg (Kodagu), in the heart of Karnataka, is famed as the coffee capital of India. 
 Its lush hills grow some of the finest Arabica and Robusta beans under natural shade.The cool climate and rich soil create the perfect conditions for flavorful coffee.Spices like pepper and cardamom grow alongside, adding a distinct aroma to the beans.",https://humblebean.com/products/chikmagalur-washed-whiskey-barrel-aged-100-arabica,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/7.png?v=1759828389,,
Humble Bean,Espresso Blend,,INR,"Why You'll Love This Coffee   
  •  Bold, Balanced, and Brew-Ready:  A rich blend of washed and unwashed Arabicas from Chikmagalur and Coorg, designed for depth and versatility, It is equally delicious as a straight espresso or in milk-based drinks. 
 •  Source You Can Trust:  Ethically grown at high altitudes by small and medium farms dedicated to sustainable, responsible practices. 
  •  Roasted Fresh, Delivered Fast:  Roasted in micro-lots and shipped within 1–2 business days to ensure peak flavor and freshness. 
    Quick Details   
   Tasting Notes  - Toffee, cocoa, dark chocolate  Best For  - Flair, Moka Pot, Bean to Cup Machines, All types of Espresso Machines  Origin  - Chikmagalur, Coorg  Net Weight  -  250g  Altitude  - 900–1,200m  Process  - Washed + Unwashed Arabicas  Roast Level  - Medium-Dark  Varietal  -   Traditional Arabica Cultivars 
   What Makes Our Espresso Blend Unique?   
  •  Optimized for Extraction:  Roasted to unlock rich crema, dense body, and aromatic complexity, this blend thrives under pressure. •  Milk-Friendly, Yet Bold Solo:  Its strong structure holds up beautifully with milk but is equally satisfying as a straight espresso or Moka Pot brew. •  Freshness You Can Taste:  We roast to order and ship quickly to deliver a full-bodied, aromatic experience in every cup.",https://humblebean.com/products/espresso-blend,https://cdn.shopify.com/s/files/1/0699/2841/9608/files/Gemini_Generated_Image_kj8cwikj8cwikj8c.png?v=1770893797,,
Humble Bean,House Blend - Light Roast,,INR,"Processing : Washed + Unwashed Arabicas  Tasting Notes : Fruity &amp; berry notes with a light body.  Brewing recommendation : Aero Press | Pour-Over | Chemex  Net Weight : 250g  Varietal : SLN 795  Altitude : 1000MSL 
 Our house blend is a carefully curated mix of single-origin 100% Arabica coffees grown from single regions in Coorg. Two techniques are employed to process these Arabica cherries – Washed and fermented, Unwashed and naturally sun-dried. This mix of processing techniques is a blender’s delight resulting in a delicious combination of beans that complement each other. 
 This innovative mix of beans when lightly roasted offers distinctive fruit &amp; berry notes with a light, clarified body, and a berry-tea rose aroma. With a slightly higher caffeine content, this light roast house blend is perfect for a drip technique using a Pour-Over or a Chemex.",https://humblebean.com/products/house-blend-light-roast,https://cdn.shopify.com/s/files/1/0699/2841/9608/products/LightRoast.jpg?v=1676292384,,
Humble Bean,House Blend - Medium Roast,,INR,"Processing  : Washed + Unwashed Arabicas   Tasting Notes  : Nutty, dark chocolate notes with a balanced body.     Brewing recommendation  : French Press | Pour Over  Net Weight : 250g    Altitude:   1000- 1200 MSL   Varietal:   Mix   
 
   Our house blend is a carefully curated mix of single-origin 100% Arabica coffees grown from single regions in Coorg. Two techniques are employed to process these Arabica cherries – Washed and fermented, Unwashed and naturally sun-dried. This mix of processing techniques is a blender’s delight resulting in a delicious combination of beans that complement each other.  
 This medium roasted blend emanates a beautiful aroma of Lemongrass and walnuts, evocative of its natural surroundings. It has full bodied, dark chocolate notes that linger and finishes off with a smooth, Nutty aftertaste. Our medium roast blend is perfect for a Pour Over or a French Press.",https://humblebean.com/products/house-blend-medium-roast,https://cdn.shopify.com/s/files/1/0699/2841/9608/products/MediumRoast.jpg?v=1676293274,,
