roaster,name,price,currency,description,product_url,image_url
Koffee Genetics,Blossom Naturals - 72hrs Culture Process,Regular price Rs. 991.00 Regular price Sale price Rs. 991.00 Unit price / per Sale Sold out,Rs.,"Java Apple | Rambutan | Mangosteen | Rose | Honey Varietal: SLN9 Roast: Light-Medium SCA Cup Score: 87.25 Process: 72Hrs Culture Process Fermentation: Lactic & Yeast Culture Origin: Pearl Mountain, Athigiri Elevation: Elevation | 1300-1400M",https://genetics.coffee/products/blossom-naturals,//genetics.coffee/cdn/shop/files/Blossom-Naturals.png?v=1738924842&width=1946
Koffee Genetics,Blossom Naturals - 72hrs Culture Process,Regular price Rs. 991.00 Regular price Sale price Rs. 991.00 Unit price / per Sale Sold out,Rs.,"Java Apple | Rambutan | Mangosteen | Rose | Honey Varietal: SLN9 Roast: Light-Medium SCA Cup Score: 87.25 Process: 72Hrs Culture Process Fermentation: Lactic & Yeast Culture Origin: Pearl Mountain, Athigiri Elevation: Elevation | 1300-1400M",https://genetics.coffee/products/blossom-naturals#judgeme_product_reviews,//genetics.coffee/cdn/shop/files/Blossom-Naturals.png?v=1738924842&width=1946
Koffee Genetics,Blossom Washed - 90Hrs Sequential yeast Culture,Regular price Rs. 910.00 Regular price Sale price Rs. 910.00 Unit price / per Sale Sold out,Rs.,"Tastes like : Passion Fruit | Rose | Tangerine | Wild Honey | Litchi Varietal: Red Catuai Roast: Light-Medium SCA Cup Score: 87 Process: Carbonic Washed Origin: Pearl Mountain, Athigiri Elevation: 1300-1400M Fermentation: 90Hrs Sequential Yeast Culture",https://genetics.coffee/products/blossom-washed-90hrs-sequential-yeast-culture,//genetics.coffee/cdn/shop/files/Blossom__Washed.png?v=1732263648&width=1946
Koffee Genetics,Blossom Washed - 90Hrs Sequential yeast Culture,Regular price Rs. 910.00 Regular price Sale price Rs. 910.00 Unit price / per Sale Sold out,Rs.,"Tastes like : Passion Fruit | Rose | Tangerine | Wild Honey | Litchi Varietal: Red Catuai Roast: Light-Medium SCA Cup Score: 87 Process: Carbonic Washed Origin: Pearl Mountain, Athigiri Elevation: 1300-1400M Fermentation: 90Hrs Sequential Yeast Culture",https://genetics.coffee/products/blossom-washed-90hrs-sequential-yeast-culture#judgeme_product_reviews,//genetics.coffee/cdn/shop/files/Blossom__Washed.png?v=1732263648&width=1946
Koffee Genetics,Decaf,Regular price Rs. 850.00 Regular price Sale price Rs. 850.00 Unit price / per Sale Sold out,Rs.,"Frosted Dark Chocolate | Nuts | Molasses | Earthy Roast: Medium Varietal: Mixed Process: Natural Co2 Decaffeination Origin: Chikmaglur, Karnataka Elevation: 1100-1200M",https://genetics.coffee/products/decaf,//genetics.coffee/cdn/shop/files/Decaf.jpg?v=1761807774&width=1946
Koffee Genetics,Excelsa Naturals - 110Hrs Sequential Fermented,Regular price Rs. 892.00 Regular price Sale price Rs. 892.00 Unit price / per Sale Sold out,Rs.,"Dried Prunes | Black Raisins  | Nougat | Dark Berries Varietal: Exelsa Roast: Light-Medium SCA Cup Score: 86 Process: 110Hrs Culture Process Fermentation: Yeast & Lactic Culture Origin: Dimbada Estate, Sakleshpur Elevation: Elevation | 900-1100M",https://genetics.coffee/products/exelsa-naturals,//genetics.coffee/cdn/shop/files/Excelsa_Naturals.png?v=1762773363&width=1946
Koffee Genetics,GORI GESHA - Ethiopia,"Regular price Rs. 2,300.00 Regular price Sale price Rs. 2,300.00 Unit price / per Sale Sold out",Rs.,"Peach, Strawberry, Apricot, Honey Suckle Roast: light Varietal: Gori Gesha Process: Naturals Origin: Gesha, Ethiopia Elevation: 1900-2050 M.A.S.L",https://genetics.coffee/products/gori-gesha-ethiopia,//genetics.coffee/cdn/shop/files/image.png?v=1762752445&width=1946
Koffee Genetics,House Blend,Regular price Rs. 700.00 Regular price Sale price Rs. 700.00 Unit price / per Sale Sold out,Rs.,"Tasting Notes Milk Chocolate, Caramel, Orange Peel, Date Processing Washed Roast: Medium Variety Mixed Origin: Karnataka Altitude: 1200-1500M",https://genetics.coffee/products/house-blend,//genetics.coffee/cdn/shop/files/Houseblend.png?v=1726212915&width=1946
Koffee Genetics,House Blend,Regular price Rs. 700.00 Regular price Sale price Rs. 700.00 Unit price / per Sale Sold out,Rs.,"Tasting Notes Milk Chocolate, Caramel, Orange Peel, Date Processing Washed Roast: Medium Variety Mixed Origin: Karnataka Altitude: 1200-1500M",https://genetics.coffee/products/house-blend#judgeme_product_reviews,//genetics.coffee/cdn/shop/files/Houseblend.png?v=1726212915&width=1946
Koffee Genetics,Jack Sparrow - Rum Barrel Aged Coffee,"Regular price Rs. 1,250.00 Regular price Sale price Rs. 1,250.00 Unit price / per Sale Sold out",Rs.,"Tasting Notes: Dark Raisin , Molasses , Oak Barrel , Spiced Rum Process: Rum Barrel Aged Producer D.M Purnesh Origin Sakleshpur Altitude 950-1050 MASL Specie 100% Arabica",https://genetics.coffee/products/jack-sparrow,//genetics.coffee/cdn/shop/files/jack.jpg?v=1702709049&width=1946
