roaster,name,price,currency,description,product_url,image_url,variants
Caarabi,"Thailand, Huay Krai Village",₹1599.0,INR,"Strawberry. Apricot. White Floral. A bright, fruit-forward cup with a delicate tea-like finish. Origin Huay Krai Village, Thailand Process Natural Roast Medium-Light Roast Varietal Yellow Bourbon, Typica Tasting Notes Strawberry, apricot, white floral, tea-like. A clean and expressive profile with soft fruit sweetness, gentle florals, and a refined light-bodied finish.",https://caarabicoffee.com/products/thailand-huay-krai-village,https://cdn.shopify.com/s/files/1/0573/7188/5721/files/thailandnepal_1.webp?v=1782983125,250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00
Caarabi,"Parbat, Nepal",₹1599.0,INR,"Apricot. Gooseberry. Sugarcane. A clean, bright cup with dried fruit sweetness and a refined finish. Origin Parbat, Nepal Process Washed Roast Medium Roast Varietal Red Bourbon Tasting Notes Apricot, gooseberry, sugarcane, dried fruits. A balanced washed coffee with gentle fruit acidity, natural sugarcane sweetness, and a clean medium-roast structure.",https://caarabicoffee.com/products/parbat-nepal,https://cdn.shopify.com/s/files/1/0573/7188/5721/files/prabat_nepal_1.webp?v=1782983162,250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00; 250g:1599.00
Caarabi,"Kaski, Nepal",₹1599.0,INR,"Peach. Red Berries. Jackfruit. A vibrant, winey cup with tropical fruit sweetness and bright berry complexity. Origin Kaski, Nepal Process Anaerobic Natural Roast Medium-Light Roast Varietal Red Bourbon, Typica, Caturra Tasting Notes Peach, red berries, jackfruit, winey. A lively anaerobic natural coffee with juicy stone-fruit sweetness, layered berry notes, tropical depth, and a refined wine-like finish.",https://caarabicoffee.com/products/kaski-nepal,https://cdn.shopify.com/s/files/1/0573/7188/5721/files/kaskinepal_1.webp?v=1782983197,200g:1599.00; 200g:1599.00; 200g:1599.00; 200g:1599.00; 200g:1599.00; 200g:1599.00; 200g:1599.00; 200g:1599.00; 200g:1599.00; 200g:1599.00; 200g:1599.00; 200g:1599.00; 200g:1599.00
Caarabi,Ratnagiri Washed AAA,₹900.0,INR,"Washed Plantation Arabica Milk Chocolate. Blackcurrant. Peanut. Toffee. A quintessential washed coffee with bright acidity, big chocolate body and deep toffee sweetness. There is something exceptional about the coffee grown at Ratnagiri Estate. Its superior genetics and consistent processing have made it one of the washed coffees we keep coming back to. This lot is dried on raised beds, giving it remarkable uniformity and clarity in the cup. The AAA screen size helps support even roasting, allowing the coffee’s sweetness, acidity and body to develop with balance. Roasted to a medium level, this coffee brings bright blackcurrant acidity, a big milk chocolate body, soft peanut-like nuttiness and deep, rich toffee sweetness. Fantastic as a clean black coffee, and equally satisfying with milk. Estate Ratnagiri Estate Region Chikmagalur, Karnataka Producer Ashok Patre Varietal Catuai Elevation 3850–5350 ft ASL Harvest November to February Process Washed Plantation Arabica Roast Level Medium Roast Tasting Notes Milk Chocolate, Blackcurrant, Peanut, Toffee Best Brewed With Espresso, AeroPress, French Press, Moka Pot, V60 Cup Character Clean, chocolatey and beautifully balanced. Blackcurrant brings bright washed acidity, milk chocolate creates a rounded body, peanut adds gentle nuttiness, and toffee gives the finish a deep, rich sweetness. Roaster’s Select Recipe Espresso A rich, balanced shot with chocolate body, toffee sweetness and blackcurrant brightness. Dose Use 21g of coffee. Yield Extract 40g out. Time Target: 28–31 seconds. Filter Recipe V60 A clean and balanced brew for highlighting blackcurrant acidity, chocolate body and toffee sweetness. Coffee Use 18g of coffee. Water Pour 240g of brew water. Time Target: 2m 25s – 2m 35s. ```",https://caarabicoffee.com/products/ratnagiri-washed-aaa,https://cdn.shopify.com/s/files/1/0573/7188/5721/files/doublewashedaaa1.webp?v=1782980225,200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00
Caarabi,Katila Wave Style Up 185 - Red,₹5500.0,INR,"The Kalita Style UP pour-over coffee set features Kalita's patented wave design that reduces contact between the brewing space and the filter for a more balanced extraction and a flavorful, full-bodied cup of coffee every time. The design of the dripper and filter together helps create a pool of water on top of the coffee bed, controlling agitation and maintaining uniform extraction. Kalita Style Up Set Includes: Kalita Wave Glass Dripper , Size 185 Kalita Wave Paper Filters , Size 185 (25 pieces) Kalita Glass Server with Silicone Wrap , Size 500ml Kalita Silicone Dripper Stand Features: The wave's flat bottom design ensures an even coffee bed, allowing water to permeate and exit evenly through three holes. Ideal for home brewers and professionals, delivering a great cup every time. The dripper and filter combination helps control agitation, ensuring a consistent and smooth extraction. Made by Kalita, Japan.",https://caarabicoffee.com/products/kalita-wave-style-up-185,https://cdn.shopify.com/s/files/1/0573/7188/5721/files/KM_P03_768x_4e3e2366-19ff-4fe0-979e-2e9f5a7d77c8.webp?v=1782286557,
Caarabi,French Press - White,₹1180.0,INR,"Elevate your morning routine with the iconic Classic French Press, a staple for home-brewers seeking rich, full-bodied coffee. Key Features : - Heat-resistant glass and durable stainless steel construction - Easy-clean filter mesh with rubber lining for added protection - Brews up to 4 cups (600ml) of velvety-smooth coffee - Grounds-free brewing for a perfectly balanced cup The Perfect Brewing Companion Experience the classic French Press difference, delivering consistent, heavy-bodied black coffee with every pour.",https://caarabicoffee.com/products/french-press-white,https://cdn.shopify.com/s/files/1/0573/7188/5721/files/Timemorefrenchpresswhite.webp?v=1782200521,
Caarabi,Aeropress clear- Purple,₹5500.0,INR,"Add a Pop of Colour to Your Brew with the AeroPress Clear Purple Coffee Maker , the perfect blend of style and performance for coffee enthusiasts. Key Features Vibrant Aesthetic: Features a stunning transparent purple design that adds a touch of personality to your coffee setup. 3-in-1 Brewing Technology: Combines the best of French Press, Pour-Over, and Espresso methods for a versatile brewing experience. Durable Construction: Made from shatterproof Tritan™, ensuring longevity and resilience for both home and travel use. Quick and Easy Brewing: Prepares a rich, full-bodied cup in under two minutes with minimal bitterness. Compact and Portable: Lightweight design makes it ideal for on-the-go brewing, whether at home, work, or outdoor adventures. The Perfect Brewing Companion Experience the AeroPress Clear Purple difference, delivering consistently smooth, flavourful coffee with every press—stylish, durable, and ready for any adventure.",https://caarabicoffee.com/products/aeropress-clear-purple,https://cdn.shopify.com/s/files/1/0573/7188/5721/files/AP_Clear_Purple_PDP_ATF_1_800x-Photoroom_0e34e484-a699-46e1-85b3-2f8ad63dd18b.webp?v=1782200368,
Caarabi,Mokapot 6(Cup),₹5500.0,INR,"Brew rich, aromatic coffee at home with the Mokapot 6(Cup) , the iconic Italian stovetop coffee maker inspired by traditional brewing since 1933. Known for its signature eight-sided design, it allows heat to distribute evenly, helping extract a bold, full-bodied, espresso-style brew in just a few minutes. Made in Italy from high-quality food-grade aluminum, this classic moka pot is designed for everyday brewing. Its sturdy nylon handle and knob stay comfortable to hold, while the built-in safety valve ensures secure and reliable use. Perfect for those who enjoy strong, flavourful coffee, the Moka Express pairs beautifully with Caarabi’s freshly roasted coffees ground for moka pot brewing. Why You’ll Love It Classic Italian stovetop coffee maker Brews rich, bold and aromatic espresso-style coffee Eight-sided design for even heat distribution Made from durable food-grade aluminum Stay-cool nylon handle and knob for easy handling Built-in safety valve for secure brewing Ideal for daily home brewing and slow coffee rituals How to Use Fill the bottom chamber with water up to the safety valve. Add espresso-ground or moka pot-ground coffee to the filter basket. Assemble the moka pot and place it on the stovetop over gentle heat. Once the coffee rises into the top chamber, remove from heat and serve fresh. Specifications Material: Aluminum body with nylon handle and knob Origin: Made in Italy Brewing Style: Stovetop moka pot Recommended Grind: Fine to medium-fine / moka pot grind Cup Sizes & Dimensions Cup Size Brewed Coffee Volume Height Base Width 3 Cup 130 ml 16.0 cm 9.0 cm 6 Cup 250 ml 21.5 cm 10.5 cm Note: Cup sizes are based on traditional espresso-style servings of approximately 30 ml each.",https://caarabicoffee.com/products/moka-express,https://cdn.shopify.com/s/files/1/0573/7188/5721/files/moka_express_768x_d726ea79-71b4-4bf4-8052-7bb20d504e09.webp?v=1782199309,
Caarabi,YC Culture Naturals — Ratnagiri Estate,₹1350.0,INR,"Limited Microlot Jasmine. Orange Blossom. Banana. Cascara. Peppermint. Floral, lifted and gently fruit-forward with a cool, refreshing finish. From the elevated, shade-grown landscapes of Ratnagiri Estate comes a coffee shaped by experimentation and careful cultivation. YC Culture Naturals is an exclusive microlot, produced in limited quantities, where controlled fermentation and precision processing come together to create a distinct and expressive cup. Processed as a culture natural, this lot uses selected yeast cultures during fermentation to enhance aromatics and build layered flavour complexity. The result is floral, lifted and gently fruit-forward, while still maintaining clarity and structure. In the cup, expect jasmine and orange blossom florals, followed by soft banana sweetness and cascara-like fruit character, with a subtle peppermint coolness in the finish. Expressive, experimental and deeply intentional — this is Ratnagiri innovation in a cup. Estate Ratnagiri Estate Region Bababudangiri, Karnataka Producer Ashok Patre Harvest November to February Lot RT-YC-01/6 Roast Level Light Roast Process YC Culture Naturals Tasting Notes Jasmine, Orange Blossom, Banana, Cascara, Peppermint Best Brewed With Espresso, AeroPress, Pour Over Cup Character Aromatic, balanced and distinctive. Jasmine and orange blossom lead the aromatics, banana adds soft sweetness, cascara brings fruit depth, and peppermint gives the finish a subtle cooling lift. Roaster’s Select Recipe Inverted AeroPress A compact recipe for a round, aromatic cup with soft fruit sweetness and a clean finish. Coffee Use 17g of coffee. Water Add 220ml of water using the inverted method. Steep Let it steep for 2 minutes. Press Press slowly for 30 seconds. Alternate Recipe Pour Over A clean and expressive brew for highlighting florals, cascara-like fruit and peppermint clarity. Coffee Use 18g of coffee. Water Pour 270ml of water over a medium grind. Time Target: 2m 30s – 2m 45s. ```",https://caarabicoffee.com/products/yc-culture-naturals-ratnagiri-estate,https://cdn.shopify.com/s/files/1/0573/7188/5721/files/ycnaturals1.webp?v=1782979389,200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00
Caarabi,Baarbara Whiskey Barrel Aged,₹1350.0,INR,"Sweet Cereal. Cacao Nibs. Oak. Pecan. Winey. Not your usual cup. Estate Baarbara Estate Origin Chikmagalur, Karnataka Roast Medium Roast Process Whisky Barrel Aged This coffee is for you if You enjoy bold, spirit-forward coffees. You like deeper, oakier flavour profiles. You want a coffee that feels a little indulgent. Recommended Brew The Classic Press Recipe Heavy body, dark cacao, warming finish. 0:00 Add 250g of water and stir gently. 0:30 Place the lid on and let it steep. 4:00 Press slowly and serve immediately. Time Target: 4m 00s – 4m 30s. Alternate Brew The 3-Pour Recipe Cleaner cup with oak, pecan and winey sweetness coming through. 0:00 Bloom: Pour 50g of water. Wait 45 seconds. 0:45 Pour up to 160g. 1:30 Final pour up to 250g. Time Target: 2m 45s – 3m 00s.",https://caarabicoffee.com/products/baarbara-whiskey-barrel-aged,https://cdn.shopify.com/s/files/1/0573/7188/5721/files/whiskeybarrelaged2.webp?v=1782978209,200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00
Caarabi,Baarbara Brandy Barrel Aged,₹1350.0,INR,"Boozy Berry. Oak. Caramelised Finish. Like dessert and a nightcap in the same cup. Estate Baarbara Estate Origin Chikmagalur, Karnataka Roast Medium Roast Process Brandy Barrel Aged This coffee is for you if You like rich coffees with a boozy edge. You enjoy dark fruit and dessert-like sweetness. You want something bold, smooth and slightly wild. Recommended Brew The Classic Press Recipe Jammy berries, oak and a deep caramel finish. 0:00 Add 250g of water and stir gently. 0:30 Place the lid on and let it steep. 4:00 Press slowly and serve immediately. Time Target: 4m 00s – 4m 30s. Alternate Brew The Inverted AeroPress Recipe Rounder body, boozy sweetness, softer finish. 0:00 Add 220g of water and stir gently. 0:30 Attach the cap and let it steep. 2:00 Flip and press slowly for 30 seconds. Time Target: 2m 30s.",https://caarabicoffee.com/products/baarbara-brandy-barrel-aged,https://cdn.shopify.com/s/files/1/0573/7188/5721/files/brandybarrelaged2.webp?v=1782978183,200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00; 200g:1350.00
