Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
Excelsa,Ainmane,310.0,,,Excelsa coffee is classified under the Liberica variant and has a unique flavour profile of being tart and fruity.These coffee beans are more rounded in appearance and has more flavour compared to Arabica.,Excelsa coffee is classified under the Liberica variant and has a unique flavour profile of being tart and fruity.These coffee beans are more rounded in appearance and has more flavour compared to Arabica.,https://www.ainmane.com/excelsa.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/0/6/061224_c1_ainmane_-_080.jpg
Coffee Combo Pack,Ainmane,910.0,,,,"LightRoast
Coffee combo pack put together with our best blends.",https://www.ainmane.com/coffee-combo-pack.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/a/i/ainmane-exotic-coffees.jpeg
South Indian Blend,Ainmane,400.0,,,,"A traditional mix of Arabica and Robusta coffee beans, Ainmane's chicory free strong blend will refresh your senses. The taste, the aroma and the flavour of the great, classical south Indian filter coffee.",https://www.ainmane.com/south-indian-blend-1.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/s/o/south_1.jpeg
Premium Blend,Ainmane,460.0,,,,"With each coffee fruit handpicked, sun-dried and graded from selected estates in Coorg, Ainmane's chicory free Premium Blend is a connoisseur's delight. Pure, traditional filter coffee.",https://www.ainmane.com/premium-blend.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/p/r/premium-blend.jpeg
Honey Processed,Ainmane,310.0,,,,"Honey Process for Ainmane's Coffee is done at the farm level. Ripe coffee cherry is processed & dried with some amount of thin layer of mucilage left on the beans. This retains balanced acidity & body in the coffee, with intense fruit sweetness.",https://www.ainmane.com/honey-processed.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/0/6/061224_c1_ainmane_-_089.jpg
Anaerobic Liberica,Ainmane,360.0,,,Ainmane's Anaerobic Liberica Coffee cherry has undergone fermentation in sealed tanks to develop distinct acids that create its unique fruity flavor profile.,Ainmane's Anaerobic Liberica Coffee cherry has undergone fermentation in sealed tanks to develop distinct acids that create its unique fruity flavor profile. The coffee is then dried in a natural process.,https://www.ainmane.com/anaerobic-liberica.html,https://www.ainmane.com/pub/static/frontend/AutomatDigital/ainmane_custom/en_US/Magento_Catalog/images/product/placeholder/image.jpg
Arabica Naturals,Ainmane,310.0,,,,"Ainmane's Arabica Naturals coffee is sustainably processed with minimal water to remove any under-ripe or overripe coffee cherries. The sorted cherries are sun-dried, hulled and roasted. The process retains maximum flavour and has a low carbon footprint.",https://www.ainmane.com/arabica-naturals.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/0/6/061224_c1_ainmane_-_087.jpg
Anaerobic Naturals,Ainmane,310.0,,,Ainmane's Anaerobic Naturals Coffee cherry has undergone fermentation in sealed tanks to develop distinct acids that create its unique fruity flavor profile.,Ainmane's Anaerobic Naturals Coffee cherry has undergone fermentation in sealed tanks to develop distinct acids that create its unique fruity flavor profile. The coffee is then dried in a natural process.,https://www.ainmane.com/anaerobic-naturals.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/0/6/061224_c1_ainmane_-_085.jpg
Skandapuri Estate - Arabica,Ainmane,500.0,,,"Skandapuri-Magarat Estate located at the Modur Village is situated at an elevation of 3200ft close to Madikeri, Coorg, .These arabica beans tend to have a sweeter & softer profile with tones of citrus fruits and sharp acidity.","Skandapuri-Magarat Estate located at the Modur Village is situated at an elevation of 3200ft close to Madikeri, Coorg, .These  arabica beans tend to have a sweeter & softer profile with tones of citrus fruits and sharp acidity. Ainmane has exclusive access to this plantation to witness the lifecycle of the beans being grown and harvested. This bag of single origin beans is completely based on the 'Crop to Cup' concept.",https://www.ainmane.com/skandapuri-estate-arabica.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/1/_/1_2_2.jpeg
Hardoor Estate Filter Coffee,Ainmane,570.0,,,,"Hardoor estate in Suntikoppa Coorg, is home to over a hundred spices of indigenous trees growing in harmony with Arabica & Robusta Coffees.The 200-acre hotspot of diversity lies in a valley neighboring the Hardoor river, a tributary of the mighty Kaveri. Certified as bird-friendly and completely organic,the estates have been lovingly nurtured by five generations of agriculture entrepreneurs. This is a Single Origin Organic Filter Coffee blend created from organic Arabica & Robusta beans for a pure filter coffee experience without any added chicory. The coffee has a moderate body & mouthfeel, mildly bitter with a long lasting after taste.",https://www.ainmane.com/hardoor-estate-filter-coffee.html,https://www.ainmane.com/pub/media/catalog/product/cache/95da668ac1bacfccaaf0df939dd185e5/_/d/_dsc5787.jpg
