Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
Attikan Estate Dual Fermented Washed,Corridor Seven,,,Light Roast,"Ripe Banana, Brown Butter and Clove Finish","Tastes Like - Ripe Banana, Brown Butter and Clove Finish Roasting Profile - Filter ( Light Roast ) Process -  Dual Fermented Washed Varietal - CATIMOR Altitude - 1570-1700 MASL Producer Name - Mrs. Hamsini Appadurai Harvest Year - 2024-2025 Coffee Producers Note -  After selective hand-picking, the coffees are fermente",https://corridorseven.coffee/products/attikan-estate-dual-fermented-washed,
Attikan Estate Red Honey,Corridor Seven,,,Light Roast,"Java Plum, Banana, Elderflower","Tastes Like - Java Plum, Banana, Elderflower Roasting Profile - Filter ( Light Roast ) Process -  Honey Sun Dried Varietal - Sl 9 Altitude - 1600-1700 MASL  Producer Name - Mrs. Hamsini Appadurai Harvest Year - 2024-2025 Coffee Producers Note - After pulping, the coffee cherries undergo a 27-hour anaerobic fermentation",https://corridorseven.coffee/products/attikhan-estate-red-honey,
Basankhan Estate,Corridor Seven,,,Medium Roast,"Green Apple, Muskmelon and Rounded mouthfeel","Tastes Like - Green Apple, Muskmelon and Rounded mouthfeel Roasting Profile - Espresso profile (Medium Roast) Process -  Washed  Varietal - S 795 Altitude - 1470 MASL  Producer Name - Mr. Thouqeer Ahamed Harvest Year - 2024-2025 Coffee Producers Note - At our estate, every coffee bean carries the story of a season shap",https://corridorseven.coffee/products/basankhan-estate,
BR!M Blend,Corridor Seven,,,,"White Chocolate, Hint Of Clove And Caramel","Our relation with this estate goes back to the days when our founder (with literally no money) hopped on to bikes and traveled to this estate just to establish a strong direct and transparent bond. Roasting Profile: Espresso Tastes Like: White Chocolate, Hint Of Clove And Caramel Harvest Year: 2018-19",https://corridorseven.coffee/products/brim-blend,
Gungegiri Estate Culture Naturals,Corridor Seven,,,Light Roast,"Sour Cherry, Stone Fruits, Sweet finish","Tastes Like - Sour Cherry, Stone Fruits, Sweet finish Roasting Profile - Filter ( Light Roast ) Process -  Naturals Varietal - SLN 795 Altitude - 1350-1400 MASL Producer Name - Mrs. Hamsini Appadurai Harvest Year - 2024-2025 Coffee Producers Note - After selective hand-picking, the coffees are fermented with a culture",https://corridorseven.coffee/products/gungegiri-estate-culture-naturals,
Kuchally Estate Washed,Corridor Seven,,,Medium Roast,"Toasted Cashews, Betel leaf and Cloves","Tastes Like - Toasted Cashews, Betel leaf and Cloves Roasting Profile - Espresso profile (Medium Roast) Process -  Washed Varietal - Chandragiri Altitude - 1150 MASL  Producer Name - Mr. Roshan Divaker Harvest Year - 2024-2025 Coffee Producers Note - This washed Chandragiri lot was selectively hand-picked at peak ripen",https://corridorseven.coffee/products/kuchally-estate-washed,
Melkodige Estate Saccharomyces 72hrs Naturals,Corridor Seven,,,Light Roast,"Pomegranate, Pink Guava and Golden Raisins","Tastes Like - Pomegranate, Pink Guava and Golden Raisins Roasting Profile - Filter ( Light Roast ) Process -  Saccharomyces 72hrs Naturals Varietal - Sl 9 Altitude - 1280 MASL   Producer Name - Aveen and Yogita Rodrigues  Harvest Year - 2024-2025 Coffee Producers Note - Red, fully ripe cherries with a Brix level above",https://corridorseven.coffee/products/melkodige-estate,
Salawara Estate Bioreactor Naturals,Corridor Seven,,,Light Roast,"Spiced Mandarin Tea , Dried Apple and Cranberry","Tastes Like - Spiced Mandarin Tea , Dried Apple and Cranberry  Roasting Profile - Filter ( Light Roast ) Process -  Naturals Varietal - SL 795 Altitude - 1050 MASL Producer Name - Mr. Sharan Gowda Harvest Year - 2024-2025 Coffee Producers Note - This lot was fermented in our newly introduced bioreactor, a state-of-the-",https://corridorseven.coffee/products/salawara-estate-bioreactor-naturals,
Salawara Estate Carbonic Maceration,Corridor Seven,,,Light Roast,"Watermelon, Orange Blossom, and Damson Plum","Tastes Like - Watermelon, Orange Blossom, and Damson Plum Roasting Profile - Filter ( Light Roast ) Process -  Carbonic Maceration Naturals  Varietal - SL 795 + SL 6 Altitude - 1050 MASL Producer Name - Mr. Sharan Gowda Harvest Year - 2024-2025 Coffee Producers Note - Ripe coffee cherries are carefully handpicked from",https://corridorseven.coffee/products/salawara-estate-carbonic-maceration,
UFO – Coffee Drip Bags (August Rush Blend),Corridor Seven,,,,,"Meet UFO Fresh coffee. Zero equipment. Anywhere.Introducing UFO by Corridor Seven Coffee Roasters - a smart, single-serve coffee drip bag designed to brew great coffee wherever you are. No machine, no tools, no drama. Just really good coffee, made ridiculously easy. Each box contains 5 UFO drip of one coffee. Each UFO",https://corridorseven.coffee/products/ufo-coffee-drip-bags-august-rush-blend,
UFO – Coffee Drip Bags (Ratnagiri Estate 80hr Culture Natural Process),Corridor Seven,,,,,"Meet UFO Fresh coffee. Zero equipment. Anywhere.Introducing UFO by Corridor Seven Coffee Roasters - a smart, single-serve coffee drip bag designed to brew great coffee wherever you are. No machine, no tools, no drama. Just really good coffee, made ridiculously easy. Each box contains 5 UFO drip of one coffee. Each UFO",https://corridorseven.coffee/products/ufo-coffee-drip-bags-ratnagiri-estate-80hr-culture-natural-process,
UFO – Coffee Drip Bags (Ratnagiri Estate Washed Process),Corridor Seven,,,,,"Meet UFO Fresh coffee. Zero equipment. Anywhere.Introducing UFO by Corridor Seven Coffee Roasters - a smart, single-serve coffee drip bag designed to brew great coffee wherever you are. No machine, no tools, no drama. Just really good coffee, made ridiculously easy. Each box contains 5 UFO drip of one coffee. Each UFO",https://corridorseven.coffee/products/ufo-coffee-drip-bags-ratnagiri-estate-washed-process,
