Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Aeropress,Handcrafted,,,,,,,"Simple to use, aasy to clean and travel Friendly, it delviers a clean cup of coffee that gets brewed quickly with minimum efforts with various different recipes to try and experiment. Contains:1 Aeropress Coffee Brewer Set1 Pack Filters (350 filters)",https://www.cafehandcrafted.com/product-page/aeropress,"https://static.wixstatic.com/media/f620c7_0d2e34e774f74711bef0449e35d2c7cc~mv2.png/v1/fit/w_500,h_500,q_90/file.png",Accessories
Baarbara Frozen Cherry,Handcrafted,,,,,Baarbara Estate,Anaerobic,"Continuing the tradition having frozen cherry fermented coffees in our collection, this year we have Baarbara estate with their anaerobic frozen cherry processed coffee lot! This coffee is pleasantly rich with notes of dried berries, red wine tannins and finishes off with syrupy honey like mouthfeel. The flavours don't shout unlike other experimental lots, instead this one lingers with a subtle punch.",https://www.cafehandcrafted.com/product-page/baarbara-frozen-cherry,"https://static.wixstatic.com/media/f620c7_ede92c2e399641d986f272dff2f853f0~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",Coffee
Bison Valley Estate,Handcrafted,,,,,Bison Valley Estate,,nan,https://www.cafehandcrafted.com/product-page/bison-valley-estate,"https://static.wixstatic.com/media/f620c7_09c7cc096a6a46abb2301d3fa6138916~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",Coffee
Gemblary anaerobic naturals,Handcrafted,,,,,,,nan,https://www.cafehandcrafted.com/product-page/gemblary-estate,"https://static.wixstatic.com/media/f620c7_ecb18c1e18c941519b1213e99998927d~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",Coffee
Gowri Estate,Handcrafted,,,,,,,"Gowri estate is a rare gem! Very hard to find, sensitive to roast but a phenominally beautiful coffee! We once had a customer who almost kissed our barista's hands after they had ""iced"" Gowri estate made on a Chemex!  Yes, it's that good!",https://www.cafehandcrafted.com/product-page/gowri,"https://static.wixstatic.com/media/f620c7_24fe1399a7ed45929721287319b62ae5~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",Coffee
Handcrafted Ceramic Cup | Red,Handcrafted,,,,"Handcrafted wherever you want, enjoy your beverages in this beautiful cup",,,"We got this made from a potter friend of ours and we've got so many people asking if we're selling this? So why not? Get a taste of Handcrafted wherever you want, enjoy your beverages in this beautiful cup! (You can buy this under one condition, you shall never drink instant coffee in it).",https://www.cafehandcrafted.com/product-page/handcrafted-ceramic-cup,"https://static.wixstatic.com/media/f620c7_bcf75c6eb79c4a738cd2a68a70411850~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",Accessories
Handcrafted Ceramic Cup | Baby Pink,Handcrafted,,,,"Handcrafted wherever you want, enjoy your beverages in this beautiful baby pink cup",,,"We got this made from a potter friend of ours and we've got so many people asking if we're selling this? So why not? Get a taste of Handcrafted wherever you want, enjoy your beverages in this beautiful baby pink cup! (You can buy this under one condition, you shall never drink instant coffee in it).",https://www.cafehandcrafted.com/product-page/handcrafted-ceramic-cup-baby-pink,"https://static.wixstatic.com/media/f620c7_74504a40cced46ceab76d5b135e3caaa~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",Accessories
Hario V60 Coffee Server Set 02,Handcrafted,,,,,,,"One of the simplest and the most effective pourover brewing tool in market, the Hario V60 is the go-to tool for all those who enjoy a nice cup of pourover coffee.This set includes:	V60 Brewer	Coffee Server (700ml)	Spoon	Filter Pack (100 Filters)",https://www.cafehandcrafted.com/product-page/hario-v60-coffee-server-set-02,"https://static.wixstatic.com/media/f620c7_5cd051143fcf4183ba5d91020356ed15~mv2.jpeg/v1/fit/w_500,h_500,q_90/file.jpg",Accessories
Orchardale Estate,Handcrafted,,,,,Yercaud,,"Grown in the beautiful hills of Yercaud, Tamil Nadu, hailing from the prestigious MSP Coffee group of estates, Orchardale estate has been a remarkable discovery for us!  The flavours are a result of mixing two different processing methods, one half is slow fermented &amp; slow dried to impart deep rich flavours while the other half undergoes shorter fermentation and faster drying to impart brightness and crisp mouthfeel.",https://www.cafehandcrafted.com/product-page/orchardale-estate,"https://static.wixstatic.com/media/f620c7_ecb18c1e18c941519b1213e99998927d~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",Coffee
Stanmore Estate,Handcrafted,,,,Good high quality specialty coffee beans from the prestigious Stanmore,,,"Good high quality specialty coffee beans from the prestigious Stanmore estate. The overall floavour, aroma and taste makes it a great choice for all coffee lovers.",https://www.cafehandcrafted.com/product-page/stanmore-estate,"https://static.wixstatic.com/media/f620c7_caadbd18ef0241cbb8a40d2da261b0b4~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",Coffee
