roaster,name,price,currency,description,product_url,image_url,variants
Fraction 9,Microlot + Value Microlots 75 g X 5 Sampler box ( Temporary Product ) | Auto Discounted | No Codes,₹1150.0,INR,"Fraction 9 Microlot Sampler Box – 5 Exclusive Coffees Experience the depth and diversity of Indian specialty coffee through a curated selection of five exceptional lots—featuring both experimental microlots and outstanding value microlots. Each coffee showcases a unique processing philosophy, fermentation style, and flavor profile, offering a complete journey through modern specialty coffee. ☕ Roast Profile: Light Plus 📦 Includes 5 Variants (3 Microlots + 2 Value Microlots) 1. Kerehaklu Nocturne – 76 Hr Anoxic Natural A carefully controlled anoxic natural fermentation delivering vibrant fruit expression, layered sweetness, and remarkable clarity. Tasting Notes: Black Grapes, Blueberry, Peach, Sugarcane, Hibiscus Finish 2. Ratnagiri Jasmine Royale – Culture Process Co-Ferment An elegant floral co-ferment designed to highlight the aromatic beauty of jasmine while maintaining balance and cup clarity. Tasting Notes: Mogra Jasmine, Pink Rose, Cardamom Honey, Earl Grey Tea, Vanilla Cream 3. Kalyancool Maharani – Oro Yeast Rose Petal Fermentation A luxurious experimental microlot fermented with rose petals and specialty yeast, creating a richly aromatic and dessert-like profile. Tasting Notes: Rose Petals, Marigold, Sugarcane, Date Syrup, Cacao Nibs, Spiced Finish 4. Twilight Theory – Cost Efficient Naturals (Value Microlot) A fruit-forward natural coffee offering exceptional value while preserving the sweetness and complexity expected from specialty-grade naturals. Tasting Notes: Black Grapes, Star Fruit, Brown Sugar, Dark Chocolate, Pomelo 5. Washed Gold (Navees Farm) – Cima Yeast Lactic Fermentation (Value Microlot) A clean and structured washed coffee enhanced through controlled lactic fermentation, emphasizing sweetness, clarity, and balance. Tasting Notes: Raisin, Butter Cookie, Musk Melon, Roasted Almond, Cocoa Why This Box? This sampler is designed for those who want to explore the full spectrum of modern coffee processing—from floral co-ferments and yeast-driven f",https://www.fraction9coffee.com/products/sampler-box-75g-5-variants,https://cdn.shopify.com/s/files/1/0310/5678/9644/files/whatsappbroadcast.png?v=1748508880,Pick an Option:1150.00; Coffee Filter Powder:1150.00; Home Espresso machine:1150.00; South Indian Filter ( Cylindrical ):1150.00; Moka Pot:1150.00; French Press:1150.00; Drip machine:1150.00; Strainer ( Channi ) Coarse:1150.00; Inverted Aeropress:1150.00; Aeropress:1150.00; Cold Brew:1150.00; Turkish:1150.00; Pour Over:1150.00; Commercial Espresso machine:1150.00; Whole Beans ( Beans will look non uniform in roast due to special fermentation process. Coffee quality to be judged purely on tasting notes by customers):1150.00
Fraction 9,WASHED GOLD - LACTIC FERMENT - Value | Auto Discounted | No Codes,₹705.0,INR,"Washed Gold – 72-Hour Lactic Washed ☕ Roast Profiles Available: Light Plus (Black Coffee Only) Designed to highlight maximum clarity, delicate fruit sweetness, and the nuanced character of this lactic-washed process. Medium (Suitable for Black & Milk Coffee) Developed to deliver greater sweetness, body, and chocolate richness while preserving the clean, elegant profile of the coffee. Please Note: This is a clean lactic-washed coffee and not a fruit-forward anaerobic natural. While controlled fermentation contributes complexity and sweetness, the cup remains elegant, structured, and clean. Customers seeking intense wine-like, boozy, or heavily fermented fruit characteristics may prefer our anaerobic natural offerings instead. This lot was intentionally processed to highlight the clarity, sweetness, balance, and nuanced character that premium washed coffees can offer when fermentation is used as a tool to enhance quality rather than dominate the cup. Crafted for coffee drinkers who value clarity, balance, and sweetness rather than intense fruit-forward or funky fermentation characteristics. Washed Gold is a refined lactic-washed microlot produced at Navees Farm by Nirikshith A N, a modern coffee producer balancing a corporate career with a passion for farming and continuous innovation. With a strong focus on farm automation and quality-driven processing, this lot showcases how thoughtful fermentation can enhance sweetness and complexity while maintaining a clean cup. The cherries are de-pulped and inoculated with Lalcafé Cima yeast, followed by approximately 72 hours of controlled lactic fermentation. The coffee is then hand-washed to halt fermentation at the desired stage, resulting in a cup that is expressive yet remarkably clean. Grown at elevations above 4,000 feet ASL, the coffee expresses itself differently depending on the roast profile. Light Plus opens with the sweet, refreshing character of musk melon. As the cup develops, gentle raisin-like fruit notes emer",https://www.fraction9coffee.com/products/washed-gold,https://cdn.shopify.com/s/files/1/0310/5678/9644/files/product_images_25.png?v=1782874838,250g:705.00; 340g:911.00
Fraction 9,TWILIGHT THEORY – NATURALS - Value | Auto Discounted | No Codes,₹640.0,INR,"Twilight Theory – 48-Hour Anaerobic Naturals. ☕ Roast Profile Available: Light Plus Twilight Theory is a fruit-forward anaerobic natural crafted in our estate. The cherries undergo a carefully controlled 48-hour anaerobic fermentation before natural drying, resulting in a cup that is expressive, layered, and vibrant. Grown at an elevation of 1,300 MASL in the hills of Chikmagalur, this lot opens with rich black grape sweetness, followed by the bright, juicy character of star fruit. As the coffee cools, notes of brown sugar bring warmth and structure, while pomelo-like citrus adds a lively sweet-bitter complexity. The finish is long and satisfying, carried by a smooth layer of dark chocolate that ties the profile together. 📍 Kalyancool Estate – Chikmagalur 🌿 Varietals: Chandragiri & Selection 795 | Elevation: 1,300 MASL 🔒 Process: 48-Hour Anaerobic Natural Tasting Notes: 🍇 Black Grapes ⭐ Star Fruit 🍯 Brown Sugar 🍫 Dark Chocolate 🍊 Pomelo A vibrant anaerobic natural where dark fruit sweetness, citrus complexity, and chocolate depth come together in a cup that continues to reveal new layers from the first sip to the last.",https://www.fraction9coffee.com/products/twilight-theory-naturals-value-auto-discounted-no-codes,https://cdn.shopify.com/s/files/1/0310/5678/9644/files/productimages_22.png?v=1780314261,250g:640.00; 340g:827.00
Fraction 9,KALYANCOOL MAHARANI,₹799.0,INR,"👑 Kalyancool Maharani 🌹 One of the most distinctive microlots produced at Kalyancool Estate this year. Crafted through extended anaerobic fermentation, organic rose gulkand, and our proprietary Mélange Split Roast Technique, Maharani is an experimental microlot that explores a uniquely Indian expression of specialty coffee. Built around patience rather than intensity, this lot delivers delicate florals, layered sweetness, and a refined spice-driven finish that unfolds gradually with every sip. 🌹 Rose Character Disclaimer ⚠️ Please read before ordering Maharani is not a traditional cultured coffee where microbial cultures are extracted directly from rose petals to create highly intense floral characteristics. For this lot, we used standardized Lalcafé Oro yeast as the primary fermentation culture. Organic rose gulkand was introduced into the anaerobic fermentation environment to contribute additional floral complexity and aromatic compounds. As a result, the rose character in the cup is elegant and integrated rather than overtly perfumed or dominant. 🌹 Rose Intensity: 2/5 Expect subtle rose petal aromatics that complement the coffee's natural sweetness and complexity rather than an intensely floral ""rose-forward"" cup. ☕ Bean Appearance Disclaimer ⚠️ Some beans may exhibit slight surface oils despite being roasted at a light roast level. This is completely normal for this lot. Only extremely ripe red cherries were selected for processing, followed by an extended 120-hour anaerobic fermentation . The combination of high fruit maturity and prolonged fermentation may cause certain beans to develop a slight oily sheen even when roasted around first crack. 🔥 This is not a sign of darker roasting. Customers are encouraged to judge quality by: ✅ Aroma ✅ Sweetness ✅ Acidity ✅ Cup Clarity ✅ Overall Taste Experience rather than bean appearance. ☕ Roast Profile Available 🔥 Mélange Split Roast – Light Plus 🌱 100% Arabica 🔥 The Mélange Split Roast Technique Maharani is roasted usi",https://www.fraction9coffee.com/products/maharani,https://cdn.shopify.com/s/files/1/0310/5678/9644/files/3_maharani_pi.png?v=1780231636,250g:799.00
Fraction 9,Ratnagiri – JASMINE ROYALE - Co-Ferment  | Auto Discounted | No Codes,₹875.0,INR,"Ratnagiri Estate Jasmine Royale 🌸 Process: Jasmine Flower Co-Fermented Natural with Culture Fermentation Ratnagiri Jasmine Royale is a transparent co-fermented microlot created to explore intense floral aromatics, elegant sweetness, and tea-like clarity through controlled culture fermentation and jasmine flower integration. ☕ Roast Profile Available: Light Plus 100% Arabica This microlot is produced from selectively harvested ripe cherries grown at Ratnagiri Estate at an elevation of 4400 feet. The coffee comes from the GODOWN Patte block and uses the SLN 9 varietal, known for producing structured cups with excellent clarity and refined acidity. The cherries were harvested at a Brix level of 25.4, indicating strong sugar concentration and excellent ripeness potential. After harvest, only the ripest cherries were selected and floaters were removed before processing. This is a jasmine flower co-fermented coffee. During fermentation, lactic acid bacteria and specially cultivated microbes extracted and developed from jasmine flowers were introduced into sealed bio fermenters along with the coffee cherries. The coffee then underwent a 56-hour Culture Process natural fermentation in a carbon dioxide rich environment, allowing the floral microbial culture to deeply influence aroma development and cup complexity. After fermentation, the cherries were transferred directly onto raised beds for slow drying. To further intensify and preserve the floral character, jasmine flowers were also introduced during the drying stage. The coffee was then dried slowly for 29 days with constant stirring, enabling stable moisture reduction and gradual flavor development while retaining aromatic elegance. The beans are roasted Light Plus to preserve the floral expression, layered sweetness, and delicate tea-like structure of the cup. The cup opens with an intense mogra jasmine aroma, immediately followed by elegant pink rose florals and silky cardamom honey sweetness. As the coffee cools, ref",https://www.fraction9coffee.com/products/ratnagiri-jasmine-royale-co-ferment-auto-discounted-no-codes,https://cdn.shopify.com/s/files/1/0310/5678/9644/files/Mogra-productimage.png?v=1779958563,250g:875.00
Fraction 9,KEREHAKLU NOCTURNE - Anoxic Naturals | Auto Discounted | No Codes,₹859.0,INR,"Kerehaklu Nocturne ☕ Roast Profile Available: Mélange Split Roast (Light Plus Roast) From the renowned Kerehaklu Estate in the Aldur region of Chikmagalur, Kerehaklu Nocturne is an experimental anoxic natural microlot crafted to showcase layered fruit complexity through both advanced fermentation and roast architecture. This microlot undergoes a carefully controlled 76-hour anoxic natural fermentation using fully ripened handpicked cherries, allowing deep fruit development while preserving clarity and elegance in the cup. The cherries are then slowly dried to stabilize sweetness and structure while retaining vibrant aromatics. What makes Nocturne truly distinctive is our proprietary Mélange Split Roast Technique. Instead of a single roast profile, this coffee is crafted by blending two slightly varied light roast developments of the same microlot: • Roast Profile 1: Dropped at the beginning of first crack to highlight vibrant acidity, black grape richness, and blueberry-like fruit intensity. • Roast Profile 2: Developed till the end of first crack to enhance sugarcane sweetness, peach softness, and rounder mouthfeel. The final cup is a precise 50:50 blend of these two roast expressions—bringing together brightness, sweetness, structure, and complexity in a way a single roast curve cannot achieve. Due to this split roast technique, the beans may appear slightly uneven in colour. This is intentional and is a hallmark of the Mélange roast architecture. The result is a deeply expressive cup with layered fruit character, wine-like depth, and a floral finish that evolves beautifully as the coffee cools. 📍 Kerehaklu Estate – Aldur Region, Chikmagalur, Karnataka 🌿 Varietal: Selection 5B ⛰ Altitude: 1125 MASL 🕒 76h Anoxic Natural Fermentation 🔥 Mélange Split Roast Technique (Dual Light Roast Blend) Tasting Notes: 🍇 Black Grapes 🫐 Blueberry 🍑 Peach 🎋 Sugarcane Juice Sweetness 🌺 Hibiscus Finish Experience Kerehaklu Nocturne—a modern Indian microlot where advanced fermentation ",https://www.fraction9coffee.com/products/kerehaklu-nocturne-anoxic-naturals,https://cdn.shopify.com/s/files/1/0310/5678/9644/files/kerePI_1f4561e8-0f2f-44f0-bae0-7676fef86e45.png?v=1779871787,250g:859.00
Fraction 9,CT Estate – Caramelized Lychee (Yellow Honey Process),₹765.0,INR,"CT Estate – Caramelized Lychee (Yellow Honey Process) ☕ Roast Profile Available: Light Plus Nestled in the rich coffee-growing belt of Chikmagalur, CT Estate , under the careful stewardship of Mr. Sufyan , presents Caramelized Lychee —a refined and expressive microlot crafted with a strong focus on quality and precision. Known for his meticulous approach to cultivation and processing, Sufyan has been consistently producing clean, character-driven coffees that highlight both terroir and innovation. This lot undergoes a carefully controlled Yellow Honey process , where a portion of the mucilage is retained during drying to enhance sweetness and clarity. The result is a beautifully clean yet layered cup, where delicate florals meet fruit-forward brightness. In the cup, expect a graceful and aromatic profile led by floral tea-like notes , complemented by the soft juiciness of mulberry and the smooth sweetness of honeyed sugar . A gentle lychee brightness ties the profile together, creating a cup that is both elegant and refreshing. 📍 CT Estate – Chikmagalur, Karnataka 🌿 Varietals: Chandragiri & 5B | Elevation: 3600–3900 ft 🕒 Yellow Honey Process 🌞 Carefully Shade-Dried for Optimal Sweetness Tasting Notes: 🍵 Floral Tea 🍇 Mulberry 🍯 Honey Sugar 🍈 Lychee Experience the delicate sophistication of Caramelized Lychee , where floral clarity and fruit sweetness come together in a light, refined, and highly drinkable cup. Resting Period = Minimum 10 days. 📞 Produced by Mr. Sufyan – CT Estate Roasters looking for exceptional green lots can connect directly: 9886565221",https://www.fraction9coffee.com/products/ct-estate-yellow-honey,https://cdn.shopify.com/s/files/1/0310/5678/9644/files/CTYELLOW_c09a7fb0-7dc2-4dba-83f0-ebf8a1f2d587.png?v=1777723193,250g:765.00
Fraction 9,Frozen Cherry Imperial - Jannapura Estate,₹890.0,INR,"Jannapura Estate – Frozen Cherry Imperial ☕ Roast Profile Available: Light Plus Perched in the lush highlands of Chikmagalur, Jannapura Estate presents Frozen Cherry Imperial —a bold and experimental nanolot that redefines fruit-forward coffee through precision processing and controlled fermentation. This lot begins with carefully handpicked, fully ripened coffee cherries that are frozen in an industrial freezer for 48 hours . This freezing step enhances cellular breakdown, allowing deeper infusion of flavours during the next stage. The cherries are then anaerobically fermented with yeast , developing a complex and layered profile, before being slowly dried on raised beds for 18 days to lock in clarity and sweetness. The result is a strikingly expressive cup—vivid, structured, and deeply aromatic. Expect a unique interplay of tea-like elegance and dark fruit intensity, with a profile that stands apart in both complexity and character. 📍 Jannapura Estate – Chikmagalur, Karnataka 🌿 Varietals: Selection 795 | Elevation: 3600–3900 ft 🕒 48h Cryo (Frozen) + Anaerobic Fermentation 🌞 18 Days Raised Bed Drying Tasting Notes: 🍒 Cherry-forward sweetness 🍵 Earl Grey tea elegance 🥤 Cola-like depth 🍎 Apple brightness 🍇 Dry berries & raisin richness Experience the intensity of Frozen Cherry Imperial , where controlled freezing meets fermentation to create a cup that is both innovative and unmistakably premium. Resting Period = Minimum 10 days.",https://www.fraction9coffee.com/products/frozen-cherry-2026,https://cdn.shopify.com/s/files/1/0310/5678/9644/files/FROZENCHERRY_3.png?v=1777682600,250g:890.00
Fraction 9,RUM Barrel (No. 9) Aged Coffee - Kalathgiri Estate - Intense Aromatics,₹985.0,INR,"Kalathgiri Estate Rum Barrel No. 9 – Spirit Driven This is one of the most intense barrel-aged coffees we have roasted this year—crafted to showcase deep rum aromatics while maintaining structure, balance, and clarity in the cup. ☕ Roast Profile Available: Light Plus 100% Arabica Sourced from Kalathgiri Estate in Chikmagalur , this microlot explores how rum barrel maturation can elevate coffee intensity and depth while preserving a clean and refined structure. Carefully selected ripe cherries are processed using a washed + honey combination process , then dried to the ideal moisture level. Once stabilized, the green beans are transferred into seasoned rum barrels that previously held matured rum. The beans are then rested inside the barrels for a controlled duration, allowing the porous green coffee to absorb concentrated rum aromatics and oak-driven complexity . During this maturation period, the beans develop pronounced spirit-like depth, woody structure, and layered sweetness , while maintaining clarity in the cup due to the controlled processing approach. Once the desired infusion is achieved, the beans are removed and roasted Light Plus , ensuring the barrel character remains bold, integrated, and clean without roast interference . ☕ Cup Profile The cup opens with a rich, rum-forward aroma , deep and warming with a strong spirit presence. This is followed by a nutty sweetness of salted pistachio , adding texture and roundness. A clean apple juice brightness brings balance and lift, preventing the profile from becoming heavy. As the coffee develops, rosewood-like woody notes emerge, adding structure and depth, finishing with a smooth dark berry nuance . This is a bold, spirit-driven coffee , where rum barrel influence leads the experience, supported by structured sweetness and controlled fruit. 📍 Details 📍 Estate: Kalathgiri Estate, Chikmagalur Varietal: S795 🌿 Process: Washed + Honey Process with Rum Barrel Aging 🪵 Barrel: Seasoned Rum Barrels 🕒 Barrel Aging: C",https://www.fraction9coffee.com/products/rum-barrel-aged-coffee,https://cdn.shopify.com/s/files/1/0310/5678/9644/files/productimages_19.png?v=1777614378,250g:985.00
Fraction 9,Ratnagiri – Brown Sugar Reserve - Value | Auto Discounted | No Codes,₹799.0,INR,"Ratnagiri Estate Terroir Fermentation – Brown Sugar Reserve. 🌱 Process: Anaerobic Natural with Native Terroir Microbes This is a beautifully balanced microlot from Ratnagiri Estate , showcasing how terroir-driven fermentation can produce deep sweetness and layered fruit complexity while maintaining clarity in the cup. ☕ Roast Profile Available: Light Plus 100% Arabica Sourced from a single lot at Ratnagiri Estate , this coffee is crafted from carefully harvested ripe cherries with a Brix level of 23.8 , indicating excellent fruit maturity and sugar development. The cherries come from Block 5/1 of the 17 Acres Patte section , planted with the Catuai varietal , known for its clean structure and ability to express terroir-driven sweetness. After harvest, only the ripest cherries are selected and the floaters are removed. The cherries are then transferred into bio-fermenters where they undergo a controlled 48-hour anaerobic fermentation using native terroir microbes naturally present on the fruit . This process allows the estate’s unique microbial environment to shape the flavor development of the coffee. Following fermentation, the cherries are dried slowly on raised beds for approximately 29 days , completing the process as a natural coffee . The slow drying stabilizes the sugars and enhances the development of caramel-like sweetness and fruit complexity. The beans are then roasted Light Plus , preserving the coffee’s natural sweetness and aromatic structure. The cup opens with a rich brown sugar sweetness , smooth and caramel-like, forming the foundation of the profile. This is followed by subtle layers of mulberry, grapes, and guava , adding gentle fruit complexity. As the coffee cools, softer notes of banana and delicate black tea appear, bringing a refined, elegant finish with a lingering sweetness. This is a terroir-focused coffee that highlights how native microbial fermentation and slow natural drying can produce a clean yet deeply sweet cup. 📍 Estate: Ratnagir",https://www.fraction9coffee.com/products/ratnagiri-brown-sugar-reserve,https://cdn.shopify.com/s/files/1/0310/5678/9644/files/productimages_16.png?v=1773139371,250g:799.00
