Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Budan Moka Pot - 2 Cup Coffee Maker,Home Blend,899.0,,,,,,"Budan Moka Pot 
 This elegant Moka Pot can be used to brew black coffee, filter coffee and tea. The unit offers a pressurized extraction for optimal brewing. The Moka Pot is easy to use and is compatible with all types of stoves thanks to its unique base design. It is engineered from high quality stainless steel for a robust build and has a pressure relief valve for safety. The Anti Scald Handle makes handling the unit comfortable.",https://homeblendcoffee.com/products/budan-moka-pot-2-cup,https://cdn.shopify.com/s/files/1/0047/4795/2199/products/BudanMokaPot.jpg?v=1681735444,Accessories
Cask Reserve Barrel Aged Coffee - Medium Roast,Home Blend,480.0,150g,,soaked up from the barrels,Chikmagalur,allows the beans to soak in the,"Cask Reserve Barrel Aged Coffee - Medium Roast 
 
  Medium Roast, freshly roasted, Speciality Blend Wine Barrel Aged with Sweet, Soft Spice and Cocoa flavours  
  Notes: Heady aroma with sweet nuances of fine malt and grapes  
  Processing: Washed  
  Altitude: 3000 ft  
  Origin: Chikmagalur  
 
 
 
 
 
  Our Latest Barrel-Aged Coffees are an experimental lot of specialty coffee beans from the highest peaks of Chikmagalur aged to perfection in the finest French Wine Cask Barrels. The resultant coffee is a cup that has a heady aroma complementing the sweet nuances of fine malt and grapes. We recommend a paper-based Aeropress or Pour Over brew method to really bring out the crisp inherent notes of this treasure!  
   Barrel-aged coffee is the process of rolling coffee beans in an aged barrel once used for aging wine or whiskey. This rolling process allows the beans to soak in the flavor and aromas of the barrel. The coffee beans are then roasted. This process gives the coffee flavour notes soaked up from the barrels",https://homeblendcoffee.com/products/wine-cask-coffee,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/Home_Blend_Coffee_Roasters_-_Cask_Reserve_Wine_Fermented_Coffee_-_250g.jpg?v=1754318229,Coffee
Cask Reserve Barrel Aged Coffee - Medium Roast,Home Blend,760.0,250g,,soaked up from the barrels,Chikmagalur,allows the beans to soak in the,"Cask Reserve Barrel Aged Coffee - Medium Roast 
 
  Medium Roast, freshly roasted, Speciality Blend Wine Barrel Aged with Sweet, Soft Spice and Cocoa flavours  
  Notes: Heady aroma with sweet nuances of fine malt and grapes  
  Processing: Washed  
  Altitude: 3000 ft  
  Origin: Chikmagalur  
 
 
 
 
 
  Our Latest Barrel-Aged Coffees are an experimental lot of specialty coffee beans from the highest peaks of Chikmagalur aged to perfection in the finest French Wine Cask Barrels. The resultant coffee is a cup that has a heady aroma complementing the sweet nuances of fine malt and grapes. We recommend a paper-based Aeropress or Pour Over brew method to really bring out the crisp inherent notes of this treasure!  
   Barrel-aged coffee is the process of rolling coffee beans in an aged barrel once used for aging wine or whiskey. This rolling process allows the beans to soak in the flavor and aromas of the barrel. The coffee beans are then roasted. This process gives the coffee flavour notes soaked up from the barrels",https://homeblendcoffee.com/products/wine-cask-coffee,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/Home_Blend_Coffee_Roasters_-_Cask_Reserve_Wine_Fermented_Coffee_-_250g.jpg?v=1754318229,Coffee
Cold Brew Blend + Free Reusable Brew Bag Combo - Pack of 3 x 75g - Makes 15 Cups,Home Blend,600.0,,,"Dark chocolate, Grapes Toffee",Chikmagalur,Medium Dark,"Cold Brew Blend - Pack of 250g  
 
 
 
 
  Our Summer Specialty - Cold Brew Blend is roasted medium-dark that gives you a full bodied glass of refreshing cold brew. The coffee has very little acidity and a bittersweet finish or aftertaste Tasting Notes: Dark chocolate, Grapes Toffee, Roasted nuts, Specialty Grade: 100% Arabica Roast Level: Medium Dark Altitude: 1000 - 1500M Location: Chikmagalur Processing: Wet. Cold Brew Coffee can be prepared without a filter - Just keep it in cold water and strain it over a Thin Cloth, Sieve or Channi / Strainer. Alternatively, one can use our re-usable cotton Cold Brew Bags or other equipment such as the Hario cold brew bottle or any other convenient brewing equipment (s) available The Cold Brew once made, can be stored and consumed up to 1 week in your refrigerator  
 
 
 
 
 
 
   Medium-Dark Roast that Gives You a Full Bodied Glass of Refreshing Cold Brew 
 
  Notes:  Dark chocolate, Grapes, Toffee and Roasted nuts   
  Processing: Washed  
  Altitude:    1000 - 1500M   
  Origin: Chikmagalur  
 
  Cold Brew Blend - 100% Freshly Roasted Specialty Arabica Coffee with a distinct, rich, and bold chocolatey flavour promises a smooth cup of cold brew coffee with a hint of natural sweetness that comes from the brewing process  
 Medium Dark Roast - It is essential to get the right roast to enhance the inherent flavours of even the best coffee while keeping bitterness away. To ensure our coffee reacts perfectly, we roast our beans in small batches and maintain high standards throughout. Our Bold Cold Brew Blend is roasted medium-dark that gives a full bodied glass of refreshing cold brew 
  Freshly Roasted &amp; Freshly Ground! - Our coffee is ground fresh and immediately sealed for dispatch after roasting, every single day. This process locks in all the freshness, aroma, and flavour for a great cup of coffee that tastes delicious when you brew it at home 
 Preparation - Cold Brew Coffee can be prepared without a filter - Just keep it in cold water and strain it over a Thin Cloth, Sieve or Channi / Strainer. Alternatively, you can use our Re-Usable Cotton Cold Brew Bags or other equipment such as the Hario cold brew bottle or any other convenient brewing equipment (s) available",https://homeblendcoffee.com/products/cold-brew-3-pack-combo,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/Cold-Brew-Blend-3-Pack-Combo-Home-Blend-Coffee-Roasters.jpg?v=1692276376,Accessories
Cold Brew Blend + Reusable Brew Bag Combo - Pack of 250g,Home Blend,600.0,,,"Dark chocolate, Grapes Toffee",Chikmagalur,Medium Dark,"Cold Brew Blend - Pack of 250g  
 
 
 
 
  Our Summer Specialty - Cold Brew Blend is roasted medium-dark that gives you a full bodied glass of refreshing cold brew. The coffee has very little acidity and a bittersweet finish or aftertaste Tasting Notes: Dark chocolate, Grapes Toffee, Roasted nuts, Specialty Grade: 100% Arabica Roast Level: Medium Dark Altitude: 1000 - 1500M Location: Chikmagalur Processing: Wet. Cold Brew Coffee can be prepared without a filter - Just keep it in cold water and strain it over a Thin Cloth, Sieve or Channi / Strainer. Alternatively, one can use our re-usable cotton Cold Brew Bags or other equipment such as the Hario cold brew bottle or any other convenient brewing equipment (s) available The Cold Brew once made, can be stored and consumed up to 1 week in your refrigerator  
 
 
 
 
 
 
   Medium-Dark Roast that Gives You a Full Bodied Glass of Refreshing Cold Brew 
 
  Notes:  Dark chocolate, Grapes, Toffee and Roasted nuts   
  Processing: Washed  
  Altitude:    1000 - 1500M   
  Origin: Chikmagalur  
 
  Cold Brew Blend - 100% Freshly Roasted Specialty Arabica Coffee with a distinct, rich, and bold chocolatey flavour promises a smooth cup of cold brew coffee with a hint of natural sweetness that comes from the brewing process  
 Medium Dark Roast - It is essential to get the right roast to enhance the inherent flavours of even the best coffee while keeping bitterness away. To ensure our coffee reacts perfectly, we roast our beans in small batches and maintain high standards throughout. Our Bold Cold Brew Blend is roasted medium-dark that gives a full bodied glass of refreshing cold brew 
  Freshly Roasted &amp; Freshly Ground! - Our coffee is ground fresh and immediately sealed for dispatch after roasting, every single day. This process locks in all the freshness, aroma, and flavour for a great cup of coffee that tastes delicious when you brew it at home 
 Preparation - Cold Brew Coffee can be prepared without a filter - Just keep it in cold water and strain it over a Thin Cloth, Sieve or Channi / Strainer. Alternatively, you can use our Re-Usable Cotton Cold Brew Bags or other equipment such as the Hario cold brew bottle or any other convenient brewing equipment (s) available",https://homeblendcoffee.com/products/cold-brew-bag-combo,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/Cold-Brew-Blend-Reusable-Brew-Bag-Combo-Home-Blend-Coffee-Roasters.jpg?v=1692274716,Coffee
Cold Brew Blend - Pack of 250g,Home Blend,550.0,,,"Dark chocolate, Grapes Toffee",Chikmagalur,Medium Dark,"Cold Brew Blend - Pack of 250g  
 
 
 
 
  Our Summer Specialty - Cold Brew Blend is roasted medium-dark that gives you a full bodied glass of refreshing cold brew. The coffee has very little acidity and a bittersweet finish or aftertaste Tasting Notes: Dark chocolate, Grapes Toffee, Roasted nuts, Specialty Grade: 100% Arabica Roast Level: Medium Dark Altitude: 1000 - 1500M Location: Chikmagalur Processing: Wet. Cold Brew Coffee can be prepared without a filter - Just keep it in cold water and strain it over a Thin Cloth, Sieve or Channi / Strainer. Alternatively, one can use our re-usable cotton Cold Brew Bags or other equipment such as the Hario cold brew bottle or any other convenient brewing equipment (s) available. The Cold Brew once made, can be stored and consumed up to 1 week in your refrigerator  
 
 
 
 
 
 
   Medium-Dark Roast that Gives You a Full Bodied Glass of Refreshing Cold Brew 
 
  Notes:  Dark chocolate, Grapes, Toffee and Roasted nuts   
  Processing: Washed  
  Altitude:    1000 - 1500M   
  Origin: Chikmagalur  
 
  Cold Brew Blend - 100% Freshly Roasted Specialty Arabica Coffee with a distinct, rich, and bold chocolatey flavour promises a smooth cup of cold brew coffee with a hint of natural sweetness that comes from the brewing process  
 Medium Dark Roast - It is essential to get the right roast to enhance the inherent flavours of even the best coffee while keeping bitterness away. To ensure our coffee reacts perfectly, we roast our beans in small batches and maintain high standards throughout. Our Bold Cold Brew Blend is roasted medium-dark that gives a full bodied glass of refreshing cold brew 
  Freshly Roasted &amp; Freshly Ground! - Our coffee is ground fresh and immediately sealed for dispatch after roasting, every single day. This process locks in all the freshness, aroma, and flavour for a great cup of coffee that tastes delicious when you brew it at home 
 Preparation - Cold Brew Coffee can be prepared without a filter - Just keep it in cold water and strain it over a Thin Cloth, Sieve or Channi / Strainer. Alternatively, you can use our Re-Usable Cotton Cold Brew Bags or other equipment such as the Hario cold brew bottle or any other convenient brewing equipment (s) available",https://homeblendcoffee.com/products/cold-brew,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/Home_Blend_Coffee_Roasters_-_Cold_Brew_Blend_-_250g.jpg?v=1754307873,Coffee
Custom Roast - Aluminium Coffee Pods / Capsules  - 10 Pack,Home Blend,450.0,,,"The Coffee Has A Smooth Body With Mild Acidity, Balanced Flavour And Sizeable Crema",Chikmagalur,Washed,"Custom Roast (Medium Dark Roast) 100% Arabica - Aluminium Coffee Capsules 
 
 
 
 
 Round &amp; Balanced   Roast Level : Medium Dark   Intensity : 7 - 8   Suited For : Espresso, Lungo, Americano, Macchiato &amp; Mild Cappuccino   Tasting Notes:    The Coffee Has A Smooth Body With Mild Acidity, Balanced Flavour And Sizeable Crema   Altitude : 1100-1500M   Processing : Washed   Location : Chikmagalur  Plantation ‘AAA’ is also referred to as Mysore Nuggets Extra Bold is the finest Arabica from India  Our slightly bolder Robusta compliments the fruity arabica to bring out a balanced cup with balanced flavours, mouthfeel and body  
 
  Disclaimer: “www.homeblendcoffee.com is not affiliated with, endorsed or sponsored by Nespresso. Nespresso® is a registered trademark of Société des Produits Nestlé S.A.”",https://homeblendcoffee.com/products/coffee-pods-capsules-custom-roast,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/CustomRoast-CoffeePodsCapsuleNespressoCompatibleHomeBlendCoffeeRoasters.png?v=1734031740,Coffee
Dark Roast Coffee Sampler Pack - Pack of 3 x 75g,Home Blend,540.0,,Dark Roast,,Coorg,Washed,"Home Blend - Specialty Coffee Assorted Trial Sampler Pack - Pack of 3 x 75g  
 
  Try Our Range Of Dark Roasts Before You Zero In On Your Favourite!  
  Our Dark Roast Coffee Assortment Pack Consists of 3 Packs of 75g Each -  Vienna Roast (75g), French Roast (75g), Italian Roast (75g)  
  All Our Coffees Have A Smooth Body With Cocoa, Oaky, Bitter Sweet, Strong Flavours  
  All Our Dark Roasts Best Are Best Suited For Very Bold Black Cups or More Preferably Milk-Based Brews  
  If You’re Looking To Add Milk and Still Retain a Definite Bite, This Assorted Pack is a Great Choice To Begin With!  
  Processing: Washed | Location: Coorg &amp; Chikmangalur  
  Altitude: 1100-1500M",https://homeblendcoffee.com/products/dark-roast-sampler-pack,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/Dark-Roast-Trial-Sampler-Pack-Home-Blend-Coffee-Roasters.png?v=1692702704,Coffee
Dark Roast Coffee Sampler Pack - Pack of 3 x 75g,Home Blend,540.0,,Dark Roast,,Coorg,Washed,"Home Blend - Specialty Coffee Assorted Trial Sampler Pack - Pack of 3 x 75g  
 
  Try Our Range Of Dark Roasts Before You Zero In On Your Favourite!  
  Our Dark Roast Coffee Assortment Pack Consists of 3 Packs of 75g Each -  Vienna Roast (75g), French Roast (75g), Italian Roast (75g)  
  All Our Coffees Have A Smooth Body With Cocoa, Oaky, Bitter Sweet, Strong Flavours  
  All Our Dark Roasts Best Are Best Suited For Very Bold Black Cups or More Preferably Milk-Based Brews  
  If You’re Looking To Add Milk and Still Retain a Definite Bite, This Assorted Pack is a Great Choice To Begin With!  
  Processing: Washed | Location: Coorg &amp; Chikmangalur  
  Altitude: 1100-1500M",https://homeblendcoffee.com/products/dark-roast-sampler-pack,https://cdn.shopify.com/s/files/1/0047/4795/2199/files/Dark-Roast-Trial-Sampler-Pack-Home-Blend-Coffee-Roasters.png?v=1692702704,Coffee
Drip Coffee Bags | Mandheling | Medium Roast | Pack of 10,Home Blend,799.0,,Medium Roast,,,,"Filters And Coffee Grounds Are Completely Biodegradable And Compostable 
 Freshly Roasted Artisanal Coffee By Home Blend Coffee Roasters 
 A Single Drip Bag Brews 180 ml 
 100% Specialty Grade Arabica 
 This is a Vegetarian Product",https://homeblendcoffee.com/products/dripcoffee-mandheling,https://cdn.shopify.com/s/files/1/0047/4795/2199/products/MYSOREFINAL_69c6ac01-20ad-42a4-95eb-62667433269f.jpg?v=1587739154,Coffee
