Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
"Ballerina - Royal Jasmine, Juniper Spice, Blossom Honey",Coffee Circus,400.0,,Light Roast,"Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir &",Ratnagiri Estate,Naturals Arabica - Experimental Process,"Product Ballerina Roast Profile Light Roast Tasting Notes Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir & Process Naturals Arabica - Experimental Process Varietal -  Selection 9 Elevation - 1100 m.a.s.l Origin Ratnagiri Coffee Estate QGrader's Impression ""Royal Jasmine on the nose, Blossom honey like sweetness on the palate. Reminds of Vanilla Bean sweetness, a lingering juniper spice makes the coffee feel like elegance in a cup. Very clean mouthfeel, delicate citrus, short aftertaste""",https://www.thecoffeecircus.com/products/ballerina-jasmine-blossom-honey-juniper-berry-delicate-citrus,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Drip_Coffee_bag_2.jpg?v=1764241215,Coffee
"Ballerina - Royal Jasmine, Juniper Spice, Blossom Honey",Coffee Circus,80.0,30g,Light Roast,"Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir &",Ratnagiri Estate,Naturals Arabica - Experimental Process,"Product Ballerina Roast Profile Light Roast Tasting Notes Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir & Process Naturals Arabica - Experimental Process Varietal -  Selection 9 Elevation - 1100 m.a.s.l Origin Ratnagiri Coffee Estate QGrader's Impression ""Royal Jasmine on the nose, Blossom honey like sweetness on the palate. Reminds of Vanilla Bean sweetness, a lingering juniper spice makes the coffee feel like elegance in a cup. Very clean mouthfeel, delicate citrus, short aftertaste""",https://www.thecoffeecircus.com/products/ballerina-jasmine-blossom-honey-juniper-berry-delicate-citrus,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Drip_Coffee_bag_2.jpg?v=1764241215,Coffee
"Ballerina - Royal Jasmine, Juniper Spice, Blossom Honey",Coffee Circus,80.0,30g,Light Roast,"Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir &",Ratnagiri Estate,Naturals Arabica - Experimental Process,"Product Ballerina Roast Profile Light Roast Tasting Notes Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir & Process Naturals Arabica - Experimental Process Varietal -  Selection 9 Elevation - 1100 m.a.s.l Origin Ratnagiri Coffee Estate QGrader's Impression ""Royal Jasmine on the nose, Blossom honey like sweetness on the palate. Reminds of Vanilla Bean sweetness, a lingering juniper spice makes the coffee feel like elegance in a cup. Very clean mouthfeel, delicate citrus, short aftertaste""",https://www.thecoffeecircus.com/products/ballerina-jasmine-blossom-honey-juniper-berry-delicate-citrus,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Drip_Coffee_bag_2.jpg?v=1764241215,Coffee
"Ballerina - Royal Jasmine, Juniper Spice, Blossom Honey",Coffee Circus,80.0,30g,Light Roast,"Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir &",Ratnagiri Estate,Naturals Arabica - Experimental Process,"Product Ballerina Roast Profile Light Roast Tasting Notes Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir & Process Naturals Arabica - Experimental Process Varietal -  Selection 9 Elevation - 1100 m.a.s.l Origin Ratnagiri Coffee Estate QGrader's Impression ""Royal Jasmine on the nose, Blossom honey like sweetness on the palate. Reminds of Vanilla Bean sweetness, a lingering juniper spice makes the coffee feel like elegance in a cup. Very clean mouthfeel, delicate citrus, short aftertaste""",https://www.thecoffeecircus.com/products/ballerina-jasmine-blossom-honey-juniper-berry-delicate-citrus,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Drip_Coffee_bag_2.jpg?v=1764241215,Coffee
"Ballerina - Royal Jasmine, Juniper Spice, Blossom Honey",Coffee Circus,80.0,30g,Light Roast,"Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir &",Ratnagiri Estate,Naturals Arabica - Experimental Process,"Product Ballerina Roast Profile Light Roast Tasting Notes Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir & Process Naturals Arabica - Experimental Process Varietal -  Selection 9 Elevation - 1100 m.a.s.l Origin Ratnagiri Coffee Estate QGrader's Impression ""Royal Jasmine on the nose, Blossom honey like sweetness on the palate. Reminds of Vanilla Bean sweetness, a lingering juniper spice makes the coffee feel like elegance in a cup. Very clean mouthfeel, delicate citrus, short aftertaste""",https://www.thecoffeecircus.com/products/ballerina-jasmine-blossom-honey-juniper-berry-delicate-citrus,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Drip_Coffee_bag_2.jpg?v=1764241215,Coffee
"Ballerina - Royal Jasmine, Juniper Spice, Blossom Honey",Coffee Circus,850.0,250g,Light Roast,"Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir &",Ratnagiri Estate,Naturals Arabica - Experimental Process,"Product Ballerina Roast Profile Light Roast Tasting Notes Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir & Process Naturals Arabica - Experimental Process Varietal -  Selection 9 Elevation - 1100 m.a.s.l Origin Ratnagiri Coffee Estate QGrader's Impression ""Royal Jasmine on the nose, Blossom honey like sweetness on the palate. Reminds of Vanilla Bean sweetness, a lingering juniper spice makes the coffee feel like elegance in a cup. Very clean mouthfeel, delicate citrus, short aftertaste""",https://www.thecoffeecircus.com/products/ballerina-jasmine-blossom-honey-juniper-berry-delicate-citrus,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Drip_Coffee_bag_2.jpg?v=1764241215,Coffee
"Ballerina - Royal Jasmine, Juniper Spice, Blossom Honey",Coffee Circus,850.0,250g,Light Roast,"Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir &",Ratnagiri Estate,Naturals Arabica - Experimental Process,"Product Ballerina Roast Profile Light Roast Tasting Notes Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir & Process Naturals Arabica - Experimental Process Varietal -  Selection 9 Elevation - 1100 m.a.s.l Origin Ratnagiri Coffee Estate QGrader's Impression ""Royal Jasmine on the nose, Blossom honey like sweetness on the palate. Reminds of Vanilla Bean sweetness, a lingering juniper spice makes the coffee feel like elegance in a cup. Very clean mouthfeel, delicate citrus, short aftertaste""",https://www.thecoffeecircus.com/products/ballerina-jasmine-blossom-honey-juniper-berry-delicate-citrus,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Drip_Coffee_bag_2.jpg?v=1764241215,Coffee
"Ballerina - Royal Jasmine, Juniper Spice, Blossom Honey",Coffee Circus,850.0,250g,Light Roast,"Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir &",Ratnagiri Estate,Naturals Arabica - Experimental Process,"Product Ballerina Roast Profile Light Roast Tasting Notes Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir & Process Naturals Arabica - Experimental Process Varietal -  Selection 9 Elevation - 1100 m.a.s.l Origin Ratnagiri Coffee Estate QGrader's Impression ""Royal Jasmine on the nose, Blossom honey like sweetness on the palate. Reminds of Vanilla Bean sweetness, a lingering juniper spice makes the coffee feel like elegance in a cup. Very clean mouthfeel, delicate citrus, short aftertaste""",https://www.thecoffeecircus.com/products/ballerina-jasmine-blossom-honey-juniper-berry-delicate-citrus,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Drip_Coffee_bag_2.jpg?v=1764241215,Coffee
"Ballerina - Royal Jasmine, Juniper Spice, Blossom Honey",Coffee Circus,850.0,250g,Light Roast,"Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir &",Ratnagiri Estate,Naturals Arabica - Experimental Process,"Product Ballerina Roast Profile Light Roast Tasting Notes Royal Jasmine, Juniper, Blossom Honey, Pears Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir & Process Naturals Arabica - Experimental Process Varietal -  Selection 9 Elevation - 1100 m.a.s.l Origin Ratnagiri Coffee Estate QGrader's Impression ""Royal Jasmine on the nose, Blossom honey like sweetness on the palate. Reminds of Vanilla Bean sweetness, a lingering juniper spice makes the coffee feel like elegance in a cup. Very clean mouthfeel, delicate citrus, short aftertaste""",https://www.thecoffeecircus.com/products/ballerina-jasmine-blossom-honey-juniper-berry-delicate-citrus,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Drip_Coffee_bag_2.jpg?v=1764241215,Coffee
"Hopscotch - Vanilla, Persimmons, Pink Rose Apple",Coffee Circus,400.0,,Light Roast,"Vanilla bean, White Rose, Jasmine, Persimmons, Rose-apple Sweetness Intensity Soft Balanced Strong Intensity",Ratnagiri Estate,Naturals Arabica - Experimental Process,"Product Hopscotch Roast Profile Light Roast Tasting Notes Vanilla bean, White Rose, Jasmine, Persimmons, Rose-apple Sweetness Intensity Soft Balanced Strong Intensity Level:(4/5) Terroir & Process Naturals Arabica - Experimental Process Varietal -  Selection 795 Elevation - 1100 m.a.s.l Origin Ratnagiri Coffee Estate Q Grader's Impression ""A very bold fragrant coffee. Its tough to get floral notes in roasted coffee, However this coffee has captured true floral character in the cup. Aroma is soothing Jasmine, chamomile, Sweet Rose-Apples. Nuanced tealike brightness, sweet persimmon fruit flavours, Crisp rose apple like mouthfeel and medium to long aftertaste. All the characters to say its not coffee. Its a beautifully processed luxury tea like fragrant coffee""",https://www.thecoffeecircus.com/products/hopscotch,https://cdn.shopify.com/s/files/1/0574/8270/7031/files/Drip_Coffee_bag_2.jpg?v=1764241215,Coffee
