roaster,name,price,currency,description,product_url,image_url,variants
Araku,Subminimal NanoFoamer - Lithium,₹5300.0,INR,"Experience the next evolution in coffee craftsmanship with the Subminimal Nanofoamer - Lithium. Crafted for the discerning coffee lover, this sleek, cutting-edge device uses advanced nanotechnology to transform your coffee into a luxurious experience. The velvety microfoam it creates elevates both flavor and aroma, bringing out the finest notes in every cup. Unlock your inner barista and nail perfect latte art with ease using the Nanofoamer. Designed with modern convenience in mind, it features a powerful lithium-ion battery, USB-C charging, whisper-quiet operation, and a minimalist, compact form that's easy to clean and even easier to love.",https://www.arakucoffee.in/products/subminimal-nanofoamer-lithium,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/Subminimal_nanofoamer_lithium_black.jpg?v=1782127349,Black:5300.00; White:5300.00
Araku,TIMEMORE Basic 3.0 Electronic Espresso Scale,₹5280.0,INR,"Brew with precision using the TIMEMORE Basic 3.0 Electronic Espresso Scale. Featuring 0.1g accuracy, real-time flow monitoring, USB-C charging, and a built-in timer for espresso and pour-over coffee. The TIMEMORE Basic 3.0 is designed for coffee enthusiasts who value consistency, accuracy, and control. Whether you're dialing in espresso or perfecting a pour-over recipe, the upgraded sensor system delivers fast and stable measurements with 0.1g precision. Built with TIMEMORE's minimalist design philosophy, the Basic 3.0 combines an ultra-clean interface with professional brewing performance, making it an essential tool for home brewers and café setups alike. The Basic 3.0 features a high-sensitivity weighing sensor, integrated timer, and real-time brewing feedback to help monitor extraction and pouring accuracy. Improved electromagnetic shielding ensures stable readings even around espresso machines and brewing equipment. Designed for espresso & pour over The Basic 3.0 features a high-sensitivity weighing sensor, integrated timer, and real-time brewing feedback to help monitor extraction and pouring accuracy. Improved electromagnetic shielding ensures stable readings even around espresso machines and brewing equipment.",https://www.arakucoffee.in/products/timemore-basic-3-0-electronic-espresso-scale,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/timemorebasic3.0_scale.png?v=1780042258,Black:5280.00
Araku,Coffee L’Orange – Cold Brew Kombucha (Set of 3 Bottles),₹600.0,INR,"Inspired by the iconic Coffee L’Orange served at ARAKU cafés, Coffee Kombucha brings together ARAKU’s Micro Climate Arabica cold brew, artisanal kombucha, and vibrant citrus notes for the ultimate summer refresher. Crafted in collaboration with Dad’s Hack, a Bengaluru-based kombucha brewery, this sparkling brew is light, layered, and deeply refreshing — balancing the richness of cold brew coffee with the gentle tang of naturally fermented kombucha. Low in sugar, preservative-free, and naturally rich in probiotics and vitamins, it’s designed to energise while being easy on the gut. INGREDIENTS: Organic Kombucha Tea (64.10%) ARAKU Cold Brew Coffee (32.05%) 100% Natural Orange Syrup (3.85%) As kombucha is a living fermented beverage, suspended culture strands may naturally occur as a result of fermentation. FLAVOUR PROFILE: Bright citrus • Roasted coffee depth • Gentle fermented tang NOTE: Please note that all Coffee Kombucha orders will be shipped directly by Dad’s Hack.",https://www.arakucoffee.in/products/araku-coffee-kombucha,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/ARAKU_coffee_kombucha.png?v=1779181204,
Araku,SOFI by Aaramse,₹3300.0,INR,"SOFI is among the most versatile brewers you’ll ever use. From a concentrated, espresso-like cup to a clean, paper-filtered pour-over, it adapts effortlessly to every brewing style. Inspired by the iconic South Indian Filter, SOFI elevates tradition with a contemporary design — precision-cut filter holes, airflow vents that prevent stalling, and uncompromising build quality. No longer limited to Kaapi alone, SOFI’s standardised size and shape make it compatible with industry-leading paper filters like Kalita 185, AeroPress XL, and Sibarist DISC 72. This opens up a world of shared recipes and experimentation.",https://www.arakucoffee.in/products/sofi-by-aaramse-indian-filter-coffee-maker,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/filter_coffee_maker.jpg?v=1773837886,
Araku,High Altitude,₹940.0,INR,"In Araku Valley’s Bakuru village, farmers Korra Chittibabu and Varalakshmi tend their coffee at elevations of 3,790 to 4,362 feet. Cool air, dark rocky soil, and a canopy of wild mango, jackfruit, and silver oak trees imbue this coffee with a quiet complexity. At this elevation, the coffee cherries ripen gradually, allowing sugars to concentrate and aromatic complexity to develop. The cherries are processed using the specialized black honey drying method, which preserves the natural sweetness of the bean, lending this coffee its rounded body and distinctive fruitiness. A medium roast coaxes out the full personality of the beans. The flavor opens with a gentle sweetness reminiscent of rose apple and buttercream cookies and is balanced by notes of caramel and baker's chocolate. Best enjoyed through slow brewing methods like pour-over or French press.",https://www.arakucoffee.in/products/high-altitude,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/HIGH_ALTITUDE.png?v=1777531472,250g:940.00; 250g:940.00; 250g:940.00; 250g:940.00; 250g:940.00
Araku,Micro Climate Cold Brew Can,₹1040.0,INR,"ARAKU's Micro Climate Cold Brew, now in a can—fruity, smooth, and built for an Indian summer. Sourced from the riverine island of Baankubedda in Araku valley, ARAKU Micro Climate coffee is cultivated by a small community of farmers across gently sloping, diversely shaded microplots. Surrounded by water and shaped by steady winds, these farms are defined by rich biodiversity and mineral-dense soil. Steeped for 16 hours, the flavour of this cold brew opens with notes of dried cherry, fig, and plum. Smooth and full-bodied, with a hint of natural sweetness, this cold brew is as refreshing as it is complex.",https://www.arakucoffee.in/products/araku-cold-brew-cans,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/Cold_Brew_Can.png?v=1777959599,Pack of 4:1040.00
Araku,AeroPress Coffee Maker with Selection,₹5020.0,INR,"The AeroPress Coffee Maker Set with Selection Coffee is designed to make great coffee simple, bringing together one of the world's most beloved brewers with ARAKU's full-bodied Selection Coffee. Ideal for everyday use and thoughtful gifting, this set gives you everything you need to brew café-quality coffee at home. The AeroPress Coffee Maker is designed to bring out depth and clarity in your coffee. Using air pressure and micro-filtration, it extracts a clean, smooth cup in under two minutes. Simply add coffee, pour hot water, stir, and press. The AeroPress’ ability to extract bold flavours is what makes it especially well suited to ARAKU Selection coffee. Named for the carefully chosen plots from which it is sourced, Selection is grown in dark, rocky soil under a canopy of fruit trees. With notes of dark chocolate and caramel, balanced by the mellow sweetness of sugarcane and honey, it is a coffee with a depth and richness that the AeroPress brings to life. This set includes the AeroPress Coffee Maker and 500g of ARAKU Selection Coffee. Your coffee will be finely ground by default for best results with the AeroPress Coffee Maker. To request a different grind size, add a note at checkout.",https://www.arakucoffee.in/products/aeropress-coffee-maker-set-with-selection-coffee,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/aeropress_coffee_maker_and_selection_pouch.png?v=1780928032,
Araku,Hario V60 Arm Stand Glass Dripper Set,₹7360.0,INR,"An elegant and one-stop solution to your V60 brewing needs - this set by HARIO includes the V60 Dripper, Caraffe, Arm Stand, Drip Tray, Filter Papers, and a Measuring Spoon.",https://www.arakucoffee.in/products/hario-v60-arm-stand-glass-dripper-set,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/Hario_V60_Dripper_Set.png?v=1777532527,
Araku,Brewista X Series Glass Server (400ML),₹2800.0,INR,"Inspired by wine decanters, the Brewista X Series Glass Server applies to coffee what the wine world has long known: how a drink is aerated shapes how it tastes. The server’s distinctive polygonal shape isn't just striking to look at, but also promotes even oxygenation as coffee flows in, bringing balance and depth without any need to swirl. The wide base traps aroma and holds heat, while the thick-rimmed, precision-curved spout gives you clean, controlled pours from the first cup to the last. Made from heat-resistant borosilicate glass and fitted with a sealed lid, the server keeps your coffee warm until you are ready to pour.",https://www.arakucoffee.in/products/brewista-x-series-glass-server-400ml,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/imgi_80_XSeriesGlassServer3_1000x_5590bc4c-3ecc-4a79-997b-9b941ed00852.webp?v=1774423110,
Araku,Fellow Stagg EKG PRO Electric Kettle – 0.9L,₹30800.0,INR,"The Fellow Stagg EKG Pro is a precision pour-over electric kettle built for coffee enthusiasts who want to fine-tune every aspect of their brew. Its variable temperature control allows adjustment to the degree, while the gooseneck spout delivers consistent, precise flow so every cup comes out just right. What sets the Pro apart is how seamlessly it fits into your morning routine. With its programmable features, you can schedule your kettle to heat automatically when you wake up and maintain your ideal temperature until you are ready to pour.",https://www.arakucoffee.in/products/fellow-stagg-ekg-pro-electric-kettle-0-9l,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/imgi_140_FellowStaggEKGPROBlack1.webp?v=1775816437,
