Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
"1 Coffee Mug 300 ML + 1 Coaster | Made from Coffee Residue [Husk, Unused Coffee Grounds/ Bean] | Available in Pack of 1",Mokka Farms,325.0,,,,"Made from MokkaFarms’ Own Coffee Residue     [ Bean Husk, Roast Husk, Unused Coffee Bean/ Grounds ],  our Combo of 1 Coffee Mug 300 ML + 1 Coaster has a varied set of unique characteristics: 
 
  Lightweight yet Durable/ Unbreakable* [ Normal Floor Drops ]  
  Natural Coffee Colour [ No Artificial Colours ]  
  Permitted for Food Usage [ Formaldehyde Free, BPA Free ]  
  Heat Resistant* [ UV Protection, FMVSS 302, UL 94, ISO 3795 Flammability ]  
  Microwave Safe, Dishwasher Safe, 100% Recyclable  
 
  Proudly Made in India!    
  #Sustainable #ZeroResidueGoals #MokkaFarms",https://www.mokkafarms.com/products/coffeemugcoastercombo,https://cdn.shopify.com/s/files/1/0644/7199/0455/files/Coffee_Mug_Coaster_1.webp?v=1767083785
"1 Dinner Bowl 160ML + 1 Water Glass/ Cup 250ML | Made from Coffee Residue [Husk, Unused Coffee Grounds/ Bean] | Available in Pack of 2 or Pack of 4",Mokka Farms,230.0,Pack of 2,,,"Made from MokkaFarms’ Own Coffee Residue     [ Bean Husk, Roast Husk, Unused Roasted Coffee Bean/ Grounds ],  our Combo of 1 Dinner Bowl 160ML + 1 Water Glass/ Cup 250ML has a varied set of unique characteristics: 
 
  Lightweight yet Durable/ Unbreakable* [ Normal Floor Drops ]  
  Natural Coffee Colour [ No Artificial Colours ]  
  Permitted for Food Usage [ Formaldehyde Free, BPA Free ]  
  Heat Resistant* [ UV Protection, FMVSS 302, UL 94, ISO 3795 Flammability ]  
  Microwave Safe, Dishwasher Safe, 100% Recyclable  
 
  Proudly Made in India!    
  #Sustainable #ZeroResidueGoals #MokkaFarms",https://www.mokkafarms.com/products/combobowlcup,https://cdn.shopify.com/s/files/1/0644/7199/0455/files/CupBowlPk1_-_4inW_x_4inH_-_100_pcs.png?v=1765689627
"1 Dinner Bowl 160ML + 1 Water Glass/ Cup 250ML | Made from Coffee Residue [Husk, Unused Coffee Grounds/ Bean] | Available in Pack of 2 or Pack of 4",Mokka Farms,370.0,Pack of 4,,,"Made from MokkaFarms’ Own Coffee Residue     [ Bean Husk, Roast Husk, Unused Roasted Coffee Bean/ Grounds ],  our Combo of 1 Dinner Bowl 160ML + 1 Water Glass/ Cup 250ML has a varied set of unique characteristics: 
 
  Lightweight yet Durable/ Unbreakable* [ Normal Floor Drops ]  
  Natural Coffee Colour [ No Artificial Colours ]  
  Permitted for Food Usage [ Formaldehyde Free, BPA Free ]  
  Heat Resistant* [ UV Protection, FMVSS 302, UL 94, ISO 3795 Flammability ]  
  Microwave Safe, Dishwasher Safe, 100% Recyclable  
 
  Proudly Made in India!    
  #Sustainable #ZeroResidueGoals #MokkaFarms",https://www.mokkafarms.com/products/combobowlcup,https://cdn.shopify.com/s/files/1/0644/7199/0455/files/CupBowlPk1_-_4inW_x_4inH_-_100_pcs.png?v=1765689627
"100% Arabica | Freshly Roast, A/ AA Whole Coffee Beans",Mokka Farms,1600.0,1kg,,"India's finest Arabica coffee, crafted with care to elevate your coffee moments","MokkaFarms Premium Arabica Coffee Beans  
 Experience the richness of  100% pure, estate-grown Arabica coffee beans  from the lush  Coorg and Chikmagalur regions  of Karnataka, India. Handpicked and graded  A and AA , these beans promise unmatched quality and freshness. 
   
 Each batch is  small-batch roasted to perfection , tailored to your preferred roast level and pack size. The result? A  smooth, balanced cup  with a  unique flavor profile —mild, fruity notes paired with a hint of chocolate, delivering an aromatic and gratifying coffee experience. 
   
  Versatile &amp; Flavorful  Perfect for both hot and cold brews, these beans bring out a full-bodied flavor that suits every coffee style—from a bold black coffee to a creamy latte. Whatever your preference, our premium Arabica beans ensure every cup satisfies your cravings. 
  Proudly Made in India  Indulge in the authentic taste of India's finest Arabica coffee, crafted with care to elevate your coffee moments.",https://www.mokkafarms.com/products/bean100ara,https://cdn.shopify.com/s/files/1/0644/7199/0455/files/6.webp?v=1774596810
"100% Arabica | Freshly Roast, A/ AA Whole Coffee Beans",Mokka Farms,285.0,100g,,"India's finest Arabica coffee, crafted with care to elevate your coffee moments","MokkaFarms Premium Arabica Coffee Beans  
 Experience the richness of  100% pure, estate-grown Arabica coffee beans  from the lush  Coorg and Chikmagalur regions  of Karnataka, India. Handpicked and graded  A and AA , these beans promise unmatched quality and freshness. 
   
 Each batch is  small-batch roasted to perfection , tailored to your preferred roast level and pack size. The result? A  smooth, balanced cup  with a  unique flavor profile —mild, fruity notes paired with a hint of chocolate, delivering an aromatic and gratifying coffee experience. 
   
  Versatile &amp; Flavorful  Perfect for both hot and cold brews, these beans bring out a full-bodied flavor that suits every coffee style—from a bold black coffee to a creamy latte. Whatever your preference, our premium Arabica beans ensure every cup satisfies your cravings. 
  Proudly Made in India  Indulge in the authentic taste of India's finest Arabica coffee, crafted with care to elevate your coffee moments.",https://www.mokkafarms.com/products/bean100ara,https://cdn.shopify.com/s/files/1/0644/7199/0455/files/6.webp?v=1774596810
"100% Arabica | Freshly Roast, A/ AA Whole Coffee Beans",Mokka Farms,450.0,250g,,"India's finest Arabica coffee, crafted with care to elevate your coffee moments","MokkaFarms Premium Arabica Coffee Beans  
 Experience the richness of  100% pure, estate-grown Arabica coffee beans  from the lush  Coorg and Chikmagalur regions  of Karnataka, India. Handpicked and graded  A and AA , these beans promise unmatched quality and freshness. 
   
 Each batch is  small-batch roasted to perfection , tailored to your preferred roast level and pack size. The result? A  smooth, balanced cup  with a  unique flavor profile —mild, fruity notes paired with a hint of chocolate, delivering an aromatic and gratifying coffee experience. 
   
  Versatile &amp; Flavorful  Perfect for both hot and cold brews, these beans bring out a full-bodied flavor that suits every coffee style—from a bold black coffee to a creamy latte. Whatever your preference, our premium Arabica beans ensure every cup satisfies your cravings. 
  Proudly Made in India  Indulge in the authentic taste of India's finest Arabica coffee, crafted with care to elevate your coffee moments.",https://www.mokkafarms.com/products/bean100ara,https://cdn.shopify.com/s/files/1/0644/7199/0455/files/6.webp?v=1774596810
"100% Arabica | Freshly Roast, A/ AA Whole Coffee Beans",Mokka Farms,850.0,500g,,"India's finest Arabica coffee, crafted with care to elevate your coffee moments","MokkaFarms Premium Arabica Coffee Beans  
 Experience the richness of  100% pure, estate-grown Arabica coffee beans  from the lush  Coorg and Chikmagalur regions  of Karnataka, India. Handpicked and graded  A and AA , these beans promise unmatched quality and freshness. 
   
 Each batch is  small-batch roasted to perfection , tailored to your preferred roast level and pack size. The result? A  smooth, balanced cup  with a  unique flavor profile —mild, fruity notes paired with a hint of chocolate, delivering an aromatic and gratifying coffee experience. 
   
  Versatile &amp; Flavorful  Perfect for both hot and cold brews, these beans bring out a full-bodied flavor that suits every coffee style—from a bold black coffee to a creamy latte. Whatever your preference, our premium Arabica beans ensure every cup satisfies your cravings. 
  Proudly Made in India  Indulge in the authentic taste of India's finest Arabica coffee, crafted with care to elevate your coffee moments.",https://www.mokkafarms.com/products/bean100ara,https://cdn.shopify.com/s/files/1/0644/7199/0455/files/6.webp?v=1774596810
100% Pure Arabica | Pure Filter Coffee,Mokka Farms,240.0,100g,,South India with MokkaFarms’ 100% Arabica filter coffee powder,"MokkaFarms Premium South Indian Filter Coffee Powder  
 Indulge in the authentic taste of South India with MokkaFarms’  100% Arabica filter coffee powder . Crafted using the  finest quality coffee beans , this blend is  roasted to perfection  to deliver a rich, aromatic coffee with a distinct and traditional South Indian flavor. 
   
  Why Choose MokkaFarms Filter Coffee?  
 
 
 PURE &amp; NATURAL : Made with  100% natural ingredients , free from preservatives and artificial additives. 
 
 RICH &amp; AROMATIC : A traditional blend offering a bold yet smooth flavor that coffee lovers cherish. 
 
 CUSTOMIZABLE BREW : Adjust the quantity to suit your taste—strong and bold or mild and smooth. 
 
  Long-Lasting Freshness  Our coffee powder is carefully packaged in an  airtight container , preserving its  freshness, aroma, and flavor . Enjoy a freshly brewed cup any time, with the quality and care that only MokkaFarms provides. 
  Proudly Made in India  Celebrate the tradition of South Indian filter coffee with every sip of our premium-quality coffee powder, made with love and dedication.",https://www.mokkafarms.com/products/100arabica,https://cdn.shopify.com/s/files/1/0644/7199/0455/files/1_6f84d33f-8a5e-4ca7-90d9-5fab0fadad21.webp?v=1774600105
100% Pure Arabica | Pure Filter Coffee,Mokka Farms,365.0,250g,,South India with MokkaFarms’ 100% Arabica filter coffee powder,"MokkaFarms Premium South Indian Filter Coffee Powder  
 Indulge in the authentic taste of South India with MokkaFarms’  100% Arabica filter coffee powder . Crafted using the  finest quality coffee beans , this blend is  roasted to perfection  to deliver a rich, aromatic coffee with a distinct and traditional South Indian flavor. 
   
  Why Choose MokkaFarms Filter Coffee?  
 
 
 PURE &amp; NATURAL : Made with  100% natural ingredients , free from preservatives and artificial additives. 
 
 RICH &amp; AROMATIC : A traditional blend offering a bold yet smooth flavor that coffee lovers cherish. 
 
 CUSTOMIZABLE BREW : Adjust the quantity to suit your taste—strong and bold or mild and smooth. 
 
  Long-Lasting Freshness  Our coffee powder is carefully packaged in an  airtight container , preserving its  freshness, aroma, and flavor . Enjoy a freshly brewed cup any time, with the quality and care that only MokkaFarms provides. 
  Proudly Made in India  Celebrate the tradition of South Indian filter coffee with every sip of our premium-quality coffee powder, made with love and dedication.",https://www.mokkafarms.com/products/100arabica,https://cdn.shopify.com/s/files/1/0644/7199/0455/files/1_6f84d33f-8a5e-4ca7-90d9-5fab0fadad21.webp?v=1774600105
100% Pure Arabica | Pure Filter Coffee,Mokka Farms,675.0,500g,,South India with MokkaFarms’ 100% Arabica filter coffee powder,"MokkaFarms Premium South Indian Filter Coffee Powder  
 Indulge in the authentic taste of South India with MokkaFarms’  100% Arabica filter coffee powder . Crafted using the  finest quality coffee beans , this blend is  roasted to perfection  to deliver a rich, aromatic coffee with a distinct and traditional South Indian flavor. 
   
  Why Choose MokkaFarms Filter Coffee?  
 
 
 PURE &amp; NATURAL : Made with  100% natural ingredients , free from preservatives and artificial additives. 
 
 RICH &amp; AROMATIC : A traditional blend offering a bold yet smooth flavor that coffee lovers cherish. 
 
 CUSTOMIZABLE BREW : Adjust the quantity to suit your taste—strong and bold or mild and smooth. 
 
  Long-Lasting Freshness  Our coffee powder is carefully packaged in an  airtight container , preserving its  freshness, aroma, and flavor . Enjoy a freshly brewed cup any time, with the quality and care that only MokkaFarms provides. 
  Proudly Made in India  Celebrate the tradition of South Indian filter coffee with every sip of our premium-quality coffee powder, made with love and dedication.",https://www.mokkafarms.com/products/100arabica,https://cdn.shopify.com/s/files/1/0644/7199/0455/files/1_6f84d33f-8a5e-4ca7-90d9-5fab0fadad21.webp?v=1774600105
