roaster,name,price,currency,description,product_url,image_url,variants
Estate Monkey,"arabica estate, PUTTANA KOPPALU",₹500.0,INR,"The Arabica Select collection is for discerning coffee drinkers who appreciate authentic, specialty-grade Indian coffee, expertly blended from farms with heritage and recognition — delivering the genuine flavours of Coorg straight from estate to cup. MELLOW is a refined, citrus-forward blend uniquely sourced from the Puttana Koppalu Estate — another GI-tagged gem of Coorg and AAA-grade Arabica cherries, all treated through a washed process for clarity and vibrancy. MELLOW delights with subtle orange notes, a supple and silky body, and an uplifting aroma that instantly transports you to the lush landscapes of Coorg. The blend is thoughtfully created for those seeking a gentle, nuanced filter coffee with bright yet balanced acidity. Origin: Single-origin, Coorg (Puttana Koppalu Estate + Arabica Cherry AAA) Packaged in a 250g pack, our coffee is freshly roasted and sealed to preserve its aroma and flavour. Brew it strong, enjoy it black, or pair it with frothy milk for the ultimate South Indian filter coffee experience.",https://www.estatemonkeys.com/products/arabica-estate-puttana-koppalu,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/9_774af685-ef3a-4953-a98d-cbb5eb98512a.png?v=1777989694,
Estate Monkey,"arabica estate, BARAGALLI",₹500.0,INR,"The Arabica Select collection is for discerning coffee drinkers who appreciate authentic, specialty-grade Indian coffee, expertly blended from farms with heritage and recognition — delivering the genuine flavours of Coorg straight from estate to cup. MELLOW is a refined, citrus-forward blend uniquely sourced from the Puttana Koppalu Estate — another GI-tagged gem of Coorg and AAA-grade Arabica cherries, all treated through a washed process for clarity and vibrancy. MELLOW delights with subtle orange notes, a supple and silky body, and an uplifting aroma that instantly transports you to the lush landscapes of Coorg. The blend is thoughtfully created for those seeking a gentle, nuanced filter coffee with bright yet balanced acidity. Origin: Single-origin, Coorg (Puttana Koppalu Estate + Arabica Cherry AAA) Packaged in a 250g pack, our coffee is freshly roasted and sealed to preserve its aroma and flavour. Brew it strong, enjoy it black, or pair it with frothy milk for the ultimate South Indian filter coffee experience.",https://www.estatemonkeys.com/products/arabica-estate-baragalli,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/8_832f140f-3449-4bcd-a7ee-b36cd2196ca1.png?v=1777989695,
Estate Monkey,"arabica classic, CHERRY AAA",₹500.0,INR,"The Arabica Select collection is for discerning coffee drinkers who appreciate authentic, specialty-grade Indian coffee, expertly blended from farms with heritage and recognition — delivering the genuine flavours of Coorg straight from estate to cup. MELLOW is a refined, citrus-forward blend uniquely sourced from the Puttana Koppalu Estate — another GI-tagged gem of Coorg and AAA-grade Arabica cherries, all treated through a washed process for clarity and vibrancy. MELLOW delights with subtle orange notes, a supple and silky body, and an uplifting aroma that instantly transports you to the lush landscapes of Coorg. The blend is thoughtfully created for those seeking a gentle, nuanced filter coffee with bright yet balanced acidity. Origin: Single-origin, Coorg (Puttana Koppalu Estate + Arabica Cherry AAA) Packaged in a 250g pack, our coffee is freshly roasted and sealed to preserve its aroma and flavour. Brew it strong, enjoy it black, or pair it with frothy milk for the ultimate South Indian filter coffee experience.",https://www.estatemonkeys.com/products/arabica-classic-cherry-aaa,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/7_85b6bf3d-e3b9-488c-99ad-2a287d7a5741.png?v=1777989695,
Estate Monkey,"arabica classic, MYSORE NUGGETS",₹500.0,INR,"The Arabica Select collection is for discerning coffee drinkers who appreciate authentic, specialty-grade Indian coffee, expertly blended from farms with heritage and recognition — delivering the genuine flavours of Coorg straight from estate to cup. MELLOW is a refined, citrus-forward blend uniquely sourced from the Puttana Koppalu Estate — another GI-tagged gem of Coorg and AAA-grade Arabica cherries, all treated through a washed process for clarity and vibrancy. MELLOW delights with subtle orange notes, a supple and silky body, and an uplifting aroma that instantly transports you to the lush landscapes of Coorg. The blend is thoughtfully created for those seeking a gentle, nuanced filter coffee with bright yet balanced acidity. Origin: Single-origin, Coorg (Puttana Koppalu Estate + Arabica Cherry AAA) Packaged in a 250g pack, our coffee is freshly roasted and sealed to preserve its aroma and flavour. Brew it strong, enjoy it black, or pair it with frothy milk for the ultimate South Indian filter coffee experience.",https://www.estatemonkeys.com/products/arabica-classic-mysore-nuggets,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/5_9b7c174d-6013-48bb-a98f-b9a9baa98f4e.png?v=1777989694,
Estate Monkey,"arabica classic, PEABERRY BOLD",₹500.0,INR,"The Arabica Select collection is for discerning coffee drinkers who appreciate authentic, specialty-grade Indian coffee, expertly blended from farms with heritage and recognition — delivering the genuine flavours of Coorg straight from estate to cup. MELLOW is a refined, citrus-forward blend uniquely sourced from the Puttana Koppalu Estate — another GI-tagged gem of Coorg and AAA-grade Arabica cherries, all treated through a washed process for clarity and vibrancy. MELLOW delights with subtle orange notes, a supple and silky body, and an uplifting aroma that instantly transports you to the lush landscapes of Coorg. The blend is thoughtfully created for those seeking a gentle, nuanced filter coffee with bright yet balanced acidity. Origin: Single-origin, Coorg (Puttana Koppalu Estate + Arabica Cherry AAA) Packaged in a 250g pack, our coffee is freshly roasted and sealed to preserve its aroma and flavour. Brew it strong, enjoy it black, or pair it with frothy milk for the ultimate South Indian filter coffee experience.",https://www.estatemonkeys.com/products/arabica-classic-peaberry-bold,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/6_fb7bb4e8-d4e2-472c-bf52-b5b4c0a25acd.png?v=1777989694,
Estate Monkey,"arabica select, MELLOW",₹500.0,INR,"The Arabica Select collection is for discerning coffee drinkers who appreciate authentic, specialty-grade Indian coffee, expertly blended from farms with heritage and recognition — delivering the genuine flavours of Coorg straight from estate to cup. MELLOW is a refined, citrus-forward blend uniquely sourced from the Puttana Koppalu Estate — another GI-tagged gem of Coorg and AAA-grade Arabica cherries, all treated through a washed process for clarity and vibrancy. MELLOW delights with subtle orange notes, a supple and silky body, and an uplifting aroma that instantly transports you to the lush landscapes of Coorg. The blend is thoughtfully created for those seeking a gentle, nuanced filter coffee with bright yet balanced acidity. Origin: Single-origin, Coorg (Puttana Koppalu Estate + Arabica Cherry AAA) Packaged in a 250g pack, our coffee is freshly roasted and sealed to preserve its aroma and flavour. Brew it strong, enjoy it black, or pair it with frothy milk for the ultimate South Indian filter coffee experience.",https://www.estatemonkeys.com/products/arabica-select-mellow-1,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/3_f3780ec5-3c66-45cb-a433-44dba2b0af6b.png?v=1777989694,
Estate Monkey,"arabica select, DAWN",₹500.0,INR,"The Arabica Select collection is for discerning coffee drinkers who appreciate authentic, specialty-grade Indian coffee, expertly blended from farms with heritage and recognition — delivering the genuine flavours of Coorg straight from estate to cup. MELLOW is a refined, citrus-forward blend uniquely sourced from the Puttana Koppalu Estate — another GI-tagged gem of Coorg and AAA-grade Arabica cherries, all treated through a washed process for clarity and vibrancy. MELLOW delights with subtle orange notes, a supple and silky body, and an uplifting aroma that instantly transports you to the lush landscapes of Coorg. The blend is thoughtfully created for those seeking a gentle, nuanced filter coffee with bright yet balanced acidity. Origin: Single-origin, Coorg (Puttana Koppalu Estate + Arabica Cherry AAA) Packaged in a 250g pack, our coffee is freshly roasted and sealed to preserve its aroma and flavour. Brew it strong, enjoy it black, or pair it with frothy milk for the ultimate South Indian filter coffee experience.",https://www.estatemonkeys.com/products/arabica-select-dawn-1,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/2_8d087923-7d30-4838-83ce-74b254123d6a.png?v=1777989694,
Estate Monkey,"arabica select, SHADOW",₹500.0,INR,"The Arabica Select collection is for discerning coffee drinkers who appreciate authentic, specialty-grade Indian coffee, expertly blended from farms with heritage and recognition — delivering the genuine flavours of Coorg straight from estate to cup. MELLOW is a refined, citrus-forward blend uniquely sourced from the Puttana Koppalu Estate — another GI-tagged gem of Coorg and AAA-grade Arabica cherries, all treated through a washed process for clarity and vibrancy. MELLOW delights with subtle orange notes, a supple and silky body, and an uplifting aroma that instantly transports you to the lush landscapes of Coorg. The blend is thoughtfully created for those seeking a gentle, nuanced filter coffee with bright yet balanced acidity. Origin: Single-origin, Coorg (Puttana Koppalu Estate + Arabica Cherry AAA) Packaged in a 250g pack, our coffee is freshly roasted and sealed to preserve its aroma and flavour. Brew it strong, enjoy it black, or pair it with frothy milk for the ultimate South Indian filter coffee experience.",https://www.estatemonkeys.com/products/arabica-select-shadow,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/4_e934ee6a-9297-46fe-a876-79b5e3ed4e70.png?v=1777989757,
Estate Monkey,"arabica select, DUSK",₹500.0,INR,"The Arabica Select collection is for discerning coffee drinkers who appreciate authentic, specialty-grade Indian coffee, expertly blended from farms with heritage and recognition — delivering the genuine flavours of Coorg straight from estate to cup. MELLOW is a refined, citrus-forward blend uniquely sourced from the Puttana Koppalu Estate — another GI-tagged gem of Coorg and AAA-grade Arabica cherries, all treated through a washed process for clarity and vibrancy. MELLOW delights with subtle orange notes, a supple and silky body, and an uplifting aroma that instantly transports you to the lush landscapes of Coorg. The blend is thoughtfully created for those seeking a gentle, nuanced filter coffee with bright yet balanced acidity. Origin: Single-origin, Coorg (Puttana Koppalu Estate + Arabica Cherry AAA) Packaged in a 250g pack, our coffee is freshly roasted and sealed to preserve its aroma and flavour. Brew it strong, enjoy it black, or pair it with frothy milk for the ultimate South Indian filter coffee experience.",https://www.estatemonkeys.com/products/arabica-select-dusk,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/1_d679f8b8-88bf-4893-b7e7-969243b52ef4.png?v=1777989694,
Estate Monkey,COORG ARABICA | COFFEE SMALL BOX,₹415.0,INR,"Arabicas of Coorg. Premium quality shade-grown coffee from the regions of Coorg Fresh single origin 100% Arabica coffee beans, roasted in limited collection and with care Roast Level - Medium Coffee Packs - Arabica Plantation AAA, Arabica Plantation AA, Arabica Plantation Peaberry Net Quantity - 75 grams x 3 packs",https://www.estatemonkeys.com/products/coorg-arabica-coffee-box,https://cdn.shopify.com/s/files/1/0244/5734/7152/files/temp_d914d9a3-b662-49bd-8cac-dc974d87cc9e.png?v=1733743616,VERRRY FINE - Turkish / Espresso:415.00; JUST FINE - Aeropress / Moka Pot / Coffee Filter / South Indian Filter:415.00; COARSE - Pourover / French Press:415.00; VERRRY COARSE - Cold Brew:415.00; ROASTED BEANS:415.00
