roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type,origin,tasting_notes,process
Roastery,C & T Estate,"₹ 750.00 – ₹ 2,900.00 Price range: ₹750.00 through ₹2,900.00",₹,"At Roastery, every coffee begins with a story of land, people, and purpose.Chikkashalavara and Tharigudde Estate (C&T Estates), nestled in the lush Western Ghats of Chikmagalur, is one such origin that speaks quietly yet deeply through the cup. With a legacy of over a century, this estate is not just growing coffee—it is nurturing an ecosystem where nature and craft exist in balance.The estate breathes biodiversity—avocados, black pepper, and arecanut grow alongside coffee, creating a living system that influences both the land and the flavour. This natural harmony reflects in the cup, adding depth and a subtle complexity that cannot be replicated.At Roastery, we value coffees that are not just high in quality, but honest in their journey. C&T Estates follows practices that respect the land—preserving natural vegetation, supporting biodiversity, and ensuring that every harvest gives back as much as it takes.Processing – Anoxic Fermented WashedAltitude – 900 -1200 MASLVarietal – SLN 795Roast Level – Light to MediumAcidity Level-MediumBitterness Level-LowBody- MediumFlavour Profile – Mix Berries, Orange Zest, Milk ChocolateLocation-Chikmangalur KA.",https://roasterycoffee.co.in/product/c-t-estate/,https://roasterycoffee.co.in/wp-content/uploads/2026/05/c-t-estate-website-launch.png,1kg,Light to Medium Acidity Level-Medium Bit,Roastery Coffee House Skip to the content Free Shipping All,,Anoxic Fermented Washed Altitude – 900 -1200 MASL Varietal –
Roastery,RAXIDI LOBO ESTATE,"₹ 950.00 – ₹ 3,700.00 Price range: ₹950.00 through ₹3,700.00",₹,"Every cup begins with intention. Only the finest, ripest cherries are handpicked at peak maturity, ensuring the foundation of exceptional quality. These cherries are gently washed and placed into stainless steel tanks, where they undergo a 48-hour anaerobic fermentation using a unique P1 culture—a carefully selected blend of yeast and bacteria that brings depth and character to the coffee. Once fermentation is complete, the cherries are laid out on raised beds to dry slowly over 21 days. During this time, temperature and humidity are closely monitored, allowing the coffee to develop gracefully and express its full potential—resulting in a cup that is both complex and beautifully balanced.Processing – Anerobic NaturalsOrigin – Coorg. KAAltitude – 950 – 1000 MASLVarietal – 5B BlockRoast Level – MediumAcidity Level-MediumBitterness Level-LowBody- MediumFlavour Profile – Dark Breeris, Plum, GrapefruitLocation-Chikmangalur KA.",https://roasterycoffee.co.in/product/raxidi-lobo-estate/,https://roasterycoffee.co.in/wp-content/uploads/2026/05/raxidi-lobo-website-launch.png,1kg,Medium Acidity Level-Medium Bitterness L,Roastery Coffee House Skip to the content Free Shipping All,,Anerobic Naturals Origin – Coorg. KA Altitude – 950 – 1000 M
Roastery,Mooleh Manay Estate-Excelsa,"₹ 950.00 – ₹ 3,700.00 Price range: ₹950.00 through ₹3,700.00",₹,"Mooleh Manay Estate is managed by komal and Akshay and took over from 4th genration coffee planter,Ms. G. G. Padmashree. Mooleh Manay estate is located near the beautiful backwater of the harangi reservior in Coorg, Karnataka. The producer take a data driven approach to farming and coffee processing,believing that data is essential for optimizing agricultural practicesand ensuring the highest quality coffee production. The farm cultivates a variety of coffee species, including Arabica, Robusta & Excelsa, and uses meticulous processing methods to bring out the best the coffee has to offer.Processing – NaturalOrigin – Coorg. KAAltitude – 900- 1200 MASLVarietal – ExcelsaRoast Level – MediumFlavour Profile – Fruity, Dark Berries, CitrusRecommended for – Pour over, Aeropress , French press",https://roasterycoffee.co.in/product/mooleh-manay-estate-excelsa/,https://roasterycoffee.co.in/wp-content/uploads/2026/01/MOOLEH-MANAY-EXCLESA.png,1kg,Medium Flavour Profile – Fruity,Excelsa – Roastery Coffee House Skip to the content Free Shi,,Natural Origin – Coorg. KA Altitude – 900- 1200 MASL Varieta
Roastery,Mooleh Manay Estate-SLN 795,"₹ 750.00 – ₹ 2,900.00 Price range: ₹750.00 through ₹2,900.00",₹,"Mooleh Manay Estate is managed by komal and Akshay and took over from 4th genration coffee planter,Ms. G. G. Padmashree. Mooleh Manay estate is located near the beautiful backwater of the harangi reservior in Coorg, Karnataka. The producer take a data driven approach to farming and coffee processing,believing that data is essential for optimizing agricultural practicesand ensuring the highest quality coffee production. The farm cultivates a variety of coffee species, including Arabica, Robusta & Excelsa, and uses meticulous processing methods to bring out the best the coffee has to offer.Processing – Natural- Carbonic MaceratedOrigin – Coorg. KAAltitude – 1000 MASLVarietal – SLN 795Roast Level – Light to MediumFlavour Profile – Strawberry, Green Grapes, Brown SugarRecommended for – Pour over, Aeropress , French press",https://roasterycoffee.co.in/product/mooleh-manay-estate/,https://roasterycoffee.co.in/wp-content/uploads/2026/01/MOOLEH-MANAY-SLN-795.png,1kg,Light to Medium Flavour Profile – Strawb,SLN 795 – Roastery Coffee House Skip to the content Free Shi,,Natural- Carbonic Macerated Origin – Coorg. KA Altitude – 10
Roastery,SUMMER CAPPUCCINO BLEND,"₹ 650.00 – ₹ 2,500.00 Price range: ₹650.00 through ₹2,500.00",₹,"This is Roastery’s first house blend and was created to be a traditional style milk coffee.Origin – ChikmagalurRoast Type – Espresso RoastTasting Notes – Milk chocolate, Cocoa and JaggeryRecommended for – Espresso and French press milk coffee",https://roasterycoffee.co.in/product/espresso-milk-blend/,https://roasterycoffee.co.in/wp-content/uploads/2025/12/summer-cappuccino-website-launch.png,1kg,Espresso Roast Tasting Notes – Milk choc,Chikmagalur Roast Type – Espresso Roast Tasting Notes – Milk,"Milk chocolate, Cocoa and Jaggery Recommended for – Espresso and French press milk coffee Pack Size Choose an option 250 gms 500 gms 1 kg Grind Size C",
Roastery,Mandalkhan Estate,"₹ 650.00 – ₹ 2,500.00 Price range: ₹650.00 through ₹2,500.00",₹,"Mandalkhan Estate has been a Roastery star for eight years. Grown at 4,500 ft on the inner slopes of Baba Budan Giri, this clean washed coffee is known for its clarity, balance and everyday consistency. A perfect choice if you enjoy a simple, clean and reliable cup — every single day.Origin – ChikmagalurProcessing – WashedAltitude – 1340-1400 MASLVarietal – Selection- 795Roast Level – MediumFlavour Profile – Caramel, Chocolate, Orange BerryRecommended for – Pour over, Aeropress , French press",https://roasterycoffee.co.in/product/mandalkhan-estate-2/,https://roasterycoffee.co.in/wp-content/uploads/2024/07/1-750x943-1.png-1.png,1kg,Medium Flavour Profile – Caramel,Roastery Coffee House Skip to the content Free Shipping All,,Washed Altitude – 1340-1400 MASL Varietal – Selection- 795 R
Roastery,Baarbara Estate-Frozen Cherry,"₹ 850.00 – ₹ 3,300.00 Price range: ₹850.00 through ₹3,300.00",₹,"The method takes inspiration from ingredients outside of coffee which develops amazing sweetness. Inspired by wine industry, whole cherries are fermented and put it in freezer in bag so the sugars accumulate further removed and slow dried on raised beds.Processing – Frozen CherryOrigin – ChikmagalurAltitude – 4500- 5000ftVarietal – Selection- 795Roast Level – MediumFlavour Profile – Mixed berries, Mango, DatesRecommended for – Pour over, Aeropress , French press",https://roasterycoffee.co.in/product/baarbara-estate-frozen-cherry/,https://roasterycoffee.co.in/wp-content/uploads/2025/12/1-12.png,1kg,Medium Flavour Profile – Mixed berries,Frozen Cherry – Roastery Coffee House Skip to the content Fr,,Frozen Cherry Origin – Chikmagalur Altitude – 4500- 5000ft V
Roastery,Baarbara Estate-HSD,"₹ 720.00 – ₹ 2,780.00 Price range: ₹720.00 through ₹2,780.00",₹,"Honey sun-dried coffee is a beautifully balanced processing style where the coffee cherries are de-pulped but dried with part of the sticky, sweet mucilage still clinging to the beans. As they dry slowly under the sun, this natural sweetness infuses into the seeds, creating a cup that is smooth, syrupy, and vibrant.Expect flavours of ripe fruit, caramel-like sweetness, and a round, creamy body, all while maintaining a gentle acidity. This method highlights both the terroir and the careful craftsmanship of the producer making honey sun-dried coffees a favourite in the speciality world.Processing – Honey Sun DriedOrigin – ChikmagalurAltitude – 1370-1525 MASLVarietal – Selection- 795Roast Level – MediumFlavour Profile – SWEET LIME ,ORANGE, CACAORecommended for – Pour over, Aeropress , French press",https://roasterycoffee.co.in/product/baarbara-estate/,https://roasterycoffee.co.in/wp-content/uploads/2024/11/1-1.png,1kg,Medium Flavour Profile – SWEET LIME,HSD – Roastery Coffee House Skip to the content Free Shippin,,Honey Sun Dried Origin – Chikmagalur Altitude – 1370-1525 MA
Roastery,Baarbara Estate Pineapple,"₹ 780.00 – ₹ 3,020.00 Price range: ₹780.00 through ₹3,020.00",₹,"Roastery Coffee House is proud to present its most innovative offering, for which pulped coffee is fermented with fresh pineapple till the fruit and cherries break down into delicious flavours. This process is so unique that no two batches of coffee taste the same.Origin – ChikmagalurFlavour – Pineapple, Dried Apricot, HoneyRoast Level – MediumAcidity Level – MediumBitterness Level – LowBody – MediumAltitude -1300-1500 MASLProcessing – Pineapple FermentationVarietal – SLN 795Location -Chikmagalur",https://roasterycoffee.co.in/product/baarbara-estate-pineapple/,https://roasterycoffee.co.in/wp-content/uploads/2025/12/baarbara-estate-pineapple.png,1kg,Medium Acidity Level – Medium Bitterness,Chikmagalur Flavour – Pineapple,,Pineapple Fermentation Varietal – SLN 795 Location -Chikmaga
Roastery,Ratnagiri Estate-Amara Rose,"₹ 850.00 – ₹ 3,300.00 Price range: ₹850.00 through ₹3,300.00",₹,"This is a 48-hour CULTURE PROCESS natural processed coffee. It is from the SLN 9 varietal grown at 4400 feet from the block called GODOWN Patte. The Brix of the coffee cherries was 25.4 when harvested and they were put in the Bio fermenters after floater removal. Lab Culture microbes and lactic acid bacteria was added to the coffee in the fermenters and allowed to ferment for 48 hours in a carbon dioxide rich environment. After removing the coffee, they were directly put on raised beds for slow drying. The coffee was then dried slowly with constant stirring over the next 29 days.Flavour- Rose, Orange Blossom, LycheeRoast Level-Light PlusAcidity Level-MediumBitterness Level-LowBody- MediumAltitude-1450 MASLProcessing- Culture process NaturalVarietal-SLN 7Location-Chikmagalur",https://roasterycoffee.co.in/product/ratnagiri-estate-amara-rose/,https://roasterycoffee.co.in/wp-content/uploads/2025/12/new.png,1kg,Light Plus Acidity Level-Medium Bitterne,Amara Rose – Roastery Coffee House Skip to the content Free,,Culture process Natural Varietal-SLN 7 Location-Chikmagalur
