roaster,name,price,currency,description,product_url,image_url,variants
Tulum,Burundi Washed - Indian Origin Arabica Coffee,₹685.0,INR,"Burundi Washed A unique Indian specialty coffee processed using the traditional Burundi-style washed method , known for producing exceptionally clean, sweet, and vibrant cups. Extended fermentation and soaking help create a coffee with remarkable clarity, balanced sweetness, and a smooth, lingering finish. With high sweetness, medium acidity, tea- like notes and a silky body , this coffee is especially well suited for espresso , while also performing beautifully in a moka pot and French press . Best enjoyed 10+ days after roasting , allowing the coffee to degas and develop greater sweetness, balance, and complexity. About the Process Unlike a traditional washed coffee, which is typically fermented and washed once before drying, a Burundi-style washed coffee undergoes additional soaking and washing steps after fermentation. This extra care helps remove more of the fruit material from the bean, resulting in a cleaner, sweeter, and more vibrant cup. The process is known for enhancing flavour clarity, highlighting delicate characteristics, and creating a coffee with a smooth body, balanced sweetness, and a bright yet approachable acidity.",https://www.tulum.coffee/products/burundi-washed-indian-origin-arabica-coffee,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Burundi-Washed.jpg?v=1781852572,250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00
Tulum,Magnetic Hook | Stainless Steel [Pack of 4],₹269.0,INR,"No Screws. No Drilling. No Sticky Surfaces. No Fuss. A small accessory that makes a big difference. The Tulum Magnetic Hook is designed to bring order to your coffee setup, workspace or kitchen. Featuring a powerful magnetic base and a solid stainless steel hook, it attaches instantly to any metal surface—no drilling, screws, or adhesives required. Use it to hang pour overs, barista cloths, cleaning brushes, brew tools, keys, towels, scissors, cables, and more. Whether mounted on an espresso machine, refrigerator, metal shelf, or toolbox, it provides a convenient storage solution exactly where you need it. Crafted from durable stainless steel and built for everyday use, it's a simple upgrade for anyone who appreciates a clean, organised setup. • Strong magnetic base • Solid stainless steel construction • No drilling or installation required • Rust-resistant and durable • Ideal for coffee stations, kitchens, workshops, and offices Designed to organise. Built to last.",https://www.tulum.coffee/products/pour-over-paglu-badge-copy,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Magnetic-hook.jpg?v=1780903963,
Tulum,Tulum Barista Cloth | Microfiber | XL | Quick dry |,₹219.0,INR,"Tulum Barista Cloth | Microfiber | XL | Quick Dry Built for everyday coffee work, the Tulum Barista Cloth is designed to handle everything from espresso cleanups to general bar maintenance—without slowing you down. Made from high-quality microfiber , this cloth absorbs moisture instantly and wipes surfaces clean without leaving lint or streaks behind. The XL size gives you more surface area to work with, so you’re not constantly reaching for a fresh cloth mid-service. What really sets it apart is its quick-dry capability —it dries fast between uses, helping maintain hygiene and preventing that damp-cloth smell most baristas hate. The built-in nylon loop makes it easy to hang anywhere—on your machine, hook, or workstation—so it’s always within reach when you need it. Why you’ll love it: Highly absorbent microfiber for efficient cleaning XL size for better coverage and fewer swaps Quick-drying to stay fresh throughout the day Durable and reusable for long-term use Nylon loop for easy hanging and convenience Whether you’re behind the bar or brewing at home, this is a simple upgrade that makes your workflow smoother.",https://www.tulum.coffee/products/tulum-barista-cloth-microfiber-xl-quick-dry,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Baristacloth1.jpg?v=1779433204,1 / No Add on:219.00; 1 / 1 x Magnetic Hook [Recommeded](+ 70):289.00; 2 / No Add on:389.00; 2 / 1 x Magnetic Hook [Recommeded](+ 70):459.00; 4 / No Add on:700.00; 4 / 1 x Magnetic Hook [Recommeded](+ 70):770.00
Tulum,The Sol Blend - Medium Roast - Mellow,₹685.0,INR,"The Sol Blend – Medium, Mellow & Bright Hello, Summer Limited edition - Limited quantities Flavour Profile Coconut Water Natural Sweetness Light Citrus Brightness Clean, Smooth Finish What to Expect The Sol Blend is designed to feel like summer in its simplest form: light, mellow, and effortlessly refreshing. Expect delicate coconut water-like notes, a soft natural sweetness, and a clean, smooth finish that keeps you coming back for another sip. This is not a heavy or intense coffee. It’s easygoing, balanced, and incredibly drinkable - the kind of cup you can enjoy any time of the day without overthinking it. Best Brewed As Iced Coffee Cold Brew Pour Over Light Espresso (Works beautifully black, but also holds up well with a splash of milk.) Quick Details Roast Level: Medium Process: Washed + HSD + Burundi Washed Origin: Chikmagalur, Karnataka 100% Arabica",https://www.tulum.coffee/products/the-sol-blend-medium-roast-mellow,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/The_Sol_Blend.jpg?v=1778479309,250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00
Tulum,Pour-Over Paglu Badge,₹99.0,INR,,https://www.tulum.coffee/products/pour-over-paglu-badge,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Pour-over-paglu-badge-image.jpg?v=1776939748,
Tulum,RDT Spray Bottle | Matte Black | 30ml,₹243.0,INR,"Say goodbye to messy coffee grounds with a quick spray before grinding. Our RDT bottle reduces static, ensuring a smooth and tidy grind every time. By spraying your beans once before grinding, you’ll reduce static, prevent coffee grounds from clinging to surfaces, and keep your station neat. No more frustration, just a clean, effortless grind that lets you focus on brewing the perfect cup. Mess-Free Grinding: Reduces static, so your coffee grounds flow smoothly and stay where they belong. Elegant Design: Available in matte black or amber, this glass bottle adds a touch of style to your coffee setup. Easy to Use: Simply spray your beans once – that's all it takes to achieve a cleaner, more efficient grind.",https://www.tulum.coffee/products/rdt-spray-bottle-matte-black-30ml,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/1_ebf09d0d-5779-4b11-afd3-5692215249f7.webp?v=1727085400,Matte Black:243.00; Amber:243.00
Tulum,The Lumen Blend - Light Roast,₹685.0,INR,"Lumen Blend – Light, Bright & Fruity Coffee The Lumen Blend is made with 100% Arabica coffee, combining three amazing coffees from different regions of India. This special blend brings out the best flavors from each origin, creating a smooth and flavorful cup. Light-Medium Roast Roasted to a light-medium level , this coffee has the perfect balance of sweetness and acidity , making it easy to enjoy. Flavor Profile Expect a lively, fruity cup with notes of orange and berries , complemented by a medium body . The result is a refreshingly complex coffee with a smooth, lingering finish. Perfect for Manual Brew Method Whether you enjoy pour-over, AeroPress or French press , the Lumen Blend adapts effortlessly, offering a consistently delicious experience. Discover a coffee that shines with every sip – the Lumen Blend , a tribute to India’s finest specialty coffees. 100% Arabica *No added sugar, honey, fruit, flavour, chicory, or preservatives.",https://www.tulum.coffee/products/lumen,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Lumen-Blend.jpg?v=1766821234,250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00
Tulum,The Saigon Blend,₹685.0,INR,"The Saigon Blend It's a Good Morning, Vietnam Inspired by the rich culture, traditions, and flavours of Vietnam, The Saigon Blend is a tribute to the vibrant coffee heritage of this Southeast Asian gem. Crafted from premium Indian Arabica beans, this dark roast is meticulously balanced to offer a harmonious experience of bitterness, sweetness, and acidity. Flavour Profile: Toasted Nuts: Warm, inviting, and reminiscent of traditional Vietnamese coffee. Cacao: A deep, rich chocolatey undertone that adds a velvety smoothness to every sip. Roast Level: Dark Perfect For: Iced manual brew, Vietnamese-style coffee, a hot cappuccino, or an iced black coffee Tasting Notes: Despite its dark roast, the flavours remain well-balanced, never overpowering, ensuring an enjoyable cup every time. The nuanced bitterness is complemented by a subtle sweetness, making it versatile for various brewing methods. The complex acidity rounds out the flavour, providing a full-bodied experience that lingers pleasantly on the palate. Whether you're craving the boldness of a hot cappuccino or the refreshing chill of an iced brew, The Saigon Blend offers a taste of Vietnam in every cup. Embrace the morning with the rich, satisfying flavours of The Saigon Blend—because every day should start with a touch of Vietnam.",https://www.tulum.coffee/products/the-saigon-blend-specialty-blend,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Saigon-Blend-Product-image.jpg?v=1766821234,250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00
Tulum,The Swell Blend,₹685.0,INR,"The Swell Blend Discover the Perfect Harmony in Every Sip Introducing The Swell Blend, our first-ever coffee blend, crafted with precision and passion. This blend combines 100% Arabica beans sourced exclusively from the renowned coffee region of Chikmagalur. Flavour Profile: Chocolatey: Rich and indulgent, providing a comforting and familiar base. Nutty: Subtle undertones of nuts add depth and complexity. Fruity: Hints of fruit bring a delightful brightness to the cup. Roast Level: Medium Perfect For: Filter coffee and all manual brewing methods Tasting Notes: Balanced and smooth, with a mild acidity that enhances the flavour without overpowering. Low bitterness ensures a pleasant and enjoyable drinking experience. Great sweetness that lingers on the palate, making each sip a delightful treat. Whether you're starting your day or enjoying a quiet moment, The Swell Blend promises a memorable coffee experience, celebrating the rich heritage of Chikmagalur coffee. 100% Arabica",https://www.tulum.coffee/products/the-swell-blend-specialty-blend,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Swell-Blend.jpg?v=1766821234,250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00; 1kg:2425.00
Tulum,Thogarihunkal Washed,₹685.0,INR,"Red | Thogarihunkal Washed This Thogarihunkal-washed coffee is Truly chocolatey. It is sweet and Medium-heavy-bodied with low acidity. We really like this as an Espresso due to its Cocoa notes, and as Cold Brew, due to its natural sweetness. With the Aroma and sweetness of jaggery, this one has a finish of Peanut Brittle notes. This one is an all-rounder coffee. works perfectly as a black coffee or with milk. Brews a delicious manual/ filter brew as well. It is our loyal one. 100% Arabica Flavour Notes Chocolate • Jaggery • Peanut Chikki Location Chikmagalur, Karnataka Altitude 3800 - 4200ft Varietal Chandragiri Roast level Medium Process Washed *Cloth bags are only included for the 250g variant. *No added sugar, honey, fruit, flavour, chicory, or preservatives. Tulum ® -  Specialty Coffee Roasters",https://www.tulum.coffee/products/thogarihunkal-medium-roasted-coffee,https://cdn.shopify.com/s/files/1/0473/6974/8631/files/Red.webp?v=1715501708,250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 250g:685.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 350g:945.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 500g:1280.00; 1 Kilo / Whole Beans:2425.00; 1 Kilo / Espresso:2425.00; 1 Kilo / Moka Pot:2425.00; 1 Kilo / AeroPress:2425.00; 1 Kilo / Pour Over:2425.00; 1 Kilo / Filter Coffee:2425.00; 1 Kilo / Drip Brewer:2425.00; 1 Kilo / Inverted AeroPress:2425.00; 1 Kilo / Channi (Tea Strainer):2425.00; 1 Kilo / Chemex:2425.00; 1 Kilo / French Press:2425.00; 1 Kilo / Cold Brew:2425.00
