Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
Customised Sampler Pack,Blue Tokai,,,,,"Our assorted sampler pack is for those who want to try      our         coffee beans      , wheth      er as       whole beans or  ground coffee ,      but   don't   know where to start. This customizable mixed bag of coffee beans allows you to choose between three different coffees to discover which ones work best for you.      
 
 
   Each Sampler Pack will   contain   75 g x 3 pouches.",https://bluetokaicoffee.com/products/customised-sampler-pack,https://cdn.shopify.com/s/files/1/0738/1409/files/1SamplerPack__Front.jpg?v=1707393228
The Rich & Bold Trio Pack-Coffee beans,Blue Tokai,,,Dark Roast,three coffees: Vienna Roast : Rich and smoky notes with a perfect balance of boldness and smoothness,"Introducing our Rich &amp; Bold Trio Pack   of          whole       coffee beans             or  ground coffee      , meticulously curated to help you explore our world of dark coffee wonders. Whether   you're   new to our brand or simply looking to diversify your coffee experience, this   customisable   mixed bag            is your gateway to discovering the ideal darker brews for your taste buds.      
 
 
   Inside this carefully crafted sampler pack,   you'll   find three coffees:      
 
 
     Vienna Roast  : Rich and smoky notes with a perfect balance of boldness and smoothness.          French Roast  : For those who crave the deep, dark intensity of a very dark roast.          Silver Oak  : Celebrated for its complex   flavours   and versatility, this one is our own in-house cafe blend      
 
 
   Each Sampler Pack will   contain   75 g x 3 pouches.",https://bluetokaicoffee.com/products/the-rich-bold-trio-pack,https://cdn.shopify.com/s/files/1/0738/1409/files/Sampler_201224.jpg?v=1750764829
5-in-1 Explorer Pack,Blue Tokai,,,Vienna Roast,,"Want to try different flavours before deciding which one to settle on?   
 
 
  Order our 5-in-1 Explorer pack and find a new favourite!    
 
 
  This pack is a curated collection of five different coffees with different   flavour   profiles from our wide range of Indian coffees:   
 
 
 
  A balanced Silver Oak Blend   
 
 
  A bold and bitter Vienna Roast   
 
 
  A chocolatey and nutty coffee from Attikan Estate   
 
 
  A chocolatey and nutty coffee from Baarbara Estate   
 
 
    A balanced Amaltas Blend  
 
 
 Each Sampler Pack will contain 75 g x 5 pouches    of       whole        coffee beans  or        ground coffee .",https://bluetokaicoffee.com/products/5-in-1-explorer-pack,https://cdn.shopify.com/s/files/1/0738/1409/files/Sampler_240625.jpg?v=1750762835
Winter Blend,Blue Tokai,750.0,250g,Medium Roast,"cinnamon, cacao, roasted almonds, and raisins, and tying everything together nicely is a chocolatey aftertaste","Meet the blend our roasters look forward to crafting each winter. Pairing well with milk, it is also a solid base for all those winter recipes you've been saving. 
 We've created it using a careful mix of natural and washed lots from St. Joseph Estate and Attikan Estate. Opening with the aroma of brown spices, this coffee has a medium body and a syrupy, round mouthfeel. You’ll be able to taste cinnamon, cacao, roasted almonds, and raisins, and tying everything together nicely is a chocolatey aftertaste. 
 We recommend brewing it as an espresso, or with a Moka Pot or French Press. 
  Recommended Resting Period:  10 Days",https://bluetokaicoffee.com/products/winter-blend-1,https://cdn.shopify.com/s/files/1/0738/1409/files/1.-Winter-Blend-_Front.jpg?v=1765780034
Winter Blend,Blue Tokai,1395.0,500g,Medium Roast,"cinnamon, cacao, roasted almonds, and raisins, and tying everything together nicely is a chocolatey aftertaste","Meet the blend our roasters look forward to crafting each winter. Pairing well with milk, it is also a solid base for all those winter recipes you've been saving. 
 We've created it using a careful mix of natural and washed lots from St. Joseph Estate and Attikan Estate. Opening with the aroma of brown spices, this coffee has a medium body and a syrupy, round mouthfeel. You’ll be able to taste cinnamon, cacao, roasted almonds, and raisins, and tying everything together nicely is a chocolatey aftertaste. 
 We recommend brewing it as an espresso, or with a Moka Pot or French Press. 
  Recommended Resting Period:  10 Days",https://bluetokaicoffee.com/products/winter-blend-1,https://cdn.shopify.com/s/files/1/0738/1409/files/1.-Winter-Blend-_Front.jpg?v=1765780034
Winter Blend,Blue Tokai,2550.0,1000g,Medium Roast,"cinnamon, cacao, roasted almonds, and raisins, and tying everything together nicely is a chocolatey aftertaste","Meet the blend our roasters look forward to crafting each winter. Pairing well with milk, it is also a solid base for all those winter recipes you've been saving. 
 We've created it using a careful mix of natural and washed lots from St. Joseph Estate and Attikan Estate. Opening with the aroma of brown spices, this coffee has a medium body and a syrupy, round mouthfeel. You’ll be able to taste cinnamon, cacao, roasted almonds, and raisins, and tying everything together nicely is a chocolatey aftertaste. 
 We recommend brewing it as an espresso, or with a Moka Pot or French Press. 
  Recommended Resting Period:  10 Days",https://bluetokaicoffee.com/products/winter-blend-1,https://cdn.shopify.com/s/files/1/0738/1409/files/1.-Winter-Blend-_Front.jpg?v=1765780034
Half - Caff,Blue Tokai,450.0,100g,,"roasted hazelnuts and malt, followed by a long, nutty finish","Our first-ever single-origin, specialty Half-Caff comes from Yelnoorkhan Estate. We selected their S795, washed processed coffee to create a complex and distinctive cup.   
 To reduce caffeine by 55%, we used CO₂ decaffeination, a chemical-free, minimal-waste generating method that is conscious in its water and energy usage. We chose it because the other decaffeination methods available to us in India came with a catch. In removing all the caffeine, they also took away the depth that makes a cup memorable. Adding artificial flavours was not something we wanted to do, never mind the fact that many of these methods also used far too much water.   
 The result is a cup with a gentler kick that holds its own in terms of flavour. You’ll first notice chocolate biscuits on the nose as well as your palate. A silky mouthfeel then reveals notes of roasted hazelnuts and malt, followed by a long, nutty finish.  
 For the best experience, brew this coffee using an espresso machine. It tastes great black and is equally suited to milk-based beverages. 
  Recommended Resting Period:    5    Days  
   Note:    This coffee pack is a special release with limited availability and, therefore, cannot be included in a subscription plan.",https://bluetokaicoffee.com/products/half-caff,https://cdn.shopify.com/s/files/1/0738/1409/files/1.-Half-Caff__Front_b6fd7e82-a892-4233-9e4b-744783a97b6d.jpg?v=1763722998
Half - Caff,Blue Tokai,800.0,200g,,"roasted hazelnuts and malt, followed by a long, nutty finish","Our first-ever single-origin, specialty Half-Caff comes from Yelnoorkhan Estate. We selected their S795, washed processed coffee to create a complex and distinctive cup.   
 To reduce caffeine by 55%, we used CO₂ decaffeination, a chemical-free, minimal-waste generating method that is conscious in its water and energy usage. We chose it because the other decaffeination methods available to us in India came with a catch. In removing all the caffeine, they also took away the depth that makes a cup memorable. Adding artificial flavours was not something we wanted to do, never mind the fact that many of these methods also used far too much water.   
 The result is a cup with a gentler kick that holds its own in terms of flavour. You’ll first notice chocolate biscuits on the nose as well as your palate. A silky mouthfeel then reveals notes of roasted hazelnuts and malt, followed by a long, nutty finish.  
 For the best experience, brew this coffee using an espresso machine. It tastes great black and is equally suited to milk-based beverages. 
  Recommended Resting Period:    5    Days  
   Note:    This coffee pack is a special release with limited availability and, therefore, cannot be included in a subscription plan.",https://bluetokaicoffee.com/products/half-caff,https://cdn.shopify.com/s/files/1/0738/1409/files/1.-Half-Caff__Front_b6fd7e82-a892-4233-9e4b-744783a97b6d.jpg?v=1763722998
Krishnagiri Estate,Blue Tokai,700.0,250g,Dark Roast,"oak, toasted walnuts, and malt","A single origin dark roast, this coffee comes from a Rainforest Alliance Certified farm. The producers used a custom-designed pulper to process this washed lot, minimising water usage.   
 In the cup, you'll first notice the aroma of brown spices. The brew, characterised by mellow acidity, a heavy body, and a velvety mouthfeel, reminds of oak, toasted walnuts, and malt. A bittersweet finish lingers between sips.   
 We recommend brewing this coffee as an espresso, using a Moka Pot, French Press, or an AeroPress. It is rich enough to enjoy black, and also pairs well with milk. 
  Recommended Resting Period:    7  Days",https://bluetokaicoffee.com/products/krishnagiri-estate-dark,https://cdn.shopify.com/s/files/1/0738/1409/files/1.KrishnagiriEstate__Front.jpg?v=1750769967
Krishnagiri Estate,Blue Tokai,1300.0,500g,Dark Roast,"oak, toasted walnuts, and malt","A single origin dark roast, this coffee comes from a Rainforest Alliance Certified farm. The producers used a custom-designed pulper to process this washed lot, minimising water usage.   
 In the cup, you'll first notice the aroma of brown spices. The brew, characterised by mellow acidity, a heavy body, and a velvety mouthfeel, reminds of oak, toasted walnuts, and malt. A bittersweet finish lingers between sips.   
 We recommend brewing this coffee as an espresso, using a Moka Pot, French Press, or an AeroPress. It is rich enough to enjoy black, and also pairs well with milk. 
  Recommended Resting Period:    7  Days",https://bluetokaicoffee.com/products/krishnagiri-estate-dark,https://cdn.shopify.com/s/files/1/0738/1409/files/1.KrishnagiriEstate__Front.jpg?v=1750769967
Krishnagiri Estate,Blue Tokai,2380.0,1kg,Dark Roast,"oak, toasted walnuts, and malt","A single origin dark roast, this coffee comes from a Rainforest Alliance Certified farm. The producers used a custom-designed pulper to process this washed lot, minimising water usage.   
 In the cup, you'll first notice the aroma of brown spices. The brew, characterised by mellow acidity, a heavy body, and a velvety mouthfeel, reminds of oak, toasted walnuts, and malt. A bittersweet finish lingers between sips.   
 We recommend brewing this coffee as an espresso, using a Moka Pot, French Press, or an AeroPress. It is rich enough to enjoy black, and also pairs well with milk. 
  Recommended Resting Period:    7  Days",https://bluetokaicoffee.com/products/krishnagiri-estate-dark,https://cdn.shopify.com/s/files/1/0738/1409/files/1.KrishnagiriEstate__Front.jpg?v=1750769967
