roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type,origin,tasting_notes,process
Kappi Kottai,Hamsanādam,Rs. 950.00,INR,"We have a new washed coffee and it's a revelation! 
  Perumpallam is a village on the northern  side of the lower Kodaikanal hills. The high altitude of the place is very conducive for growing complex arabicas.  
 We have been fascinated by how complex the Kodaikanal region is as a coffee growing area and have been especially curious about  the higher elevation small holder farms there. 
  The good folks at Ram estate helped us procure this interesting community arabica lot from Perumpallam. The varietal is chandragiri and the processing is a simple traditional washed. This simplicity allows the plant care and the terroir to really shine in the cup. 
  We took our time dialling in the roast of this lot but once we figured out a profile that worked, the cup really started to shine. There is oodles of milk chocolate sweetness that is punctuated by a lemon candy like acidity and marigold florals. The coffee does take some time to peak but once there we also started noticing raspberry like fruitiness too!  This complex effervescence reminded our roaster of the rāga hamsanādam. 
 Hamsanādam the coffee is a delight across all manual brews but especially the v60 , 12 days post date of roast. It also makes for a more-ish shot of espresso 24 days post date of roast! We hope to source more frequently from this high altitude corner of the Kodaikanal hills!",https://kapikottai.coffee/products/hamsanadam,https://cdn.shopify.com/s/files/1/0476/2281/5906/files/Hamsanadam4.jpg?v=1778242043,250 g:950.00; 1 kg:3390.00,,,,
Kappi Kottai,Kāpikottai Samplers,Rs. 650.00,INR,Try our customisable sampler set if you want to savour our coffees but aren't sure where to start.   Each set consists of 3 seventy five gram packs and you can choose any coffee from our entire range!,https://kapikottai.coffee/products/kapikottai-samplers,https://cdn.shopify.com/s/files/1/0476/2281/5906/products/black-coffee-surrounded-by-flowers.jpg?v=1684043883,75 g (each):650.00,,,,
Kappi Kottai,Kilpauk Standard,Rs. 650.00,INR,Our house blend that does pretty much everything you ask. From the south Indian filter right down to a pour-over.,https://kapikottai.coffee/products/kilpauk-standard,https://cdn.shopify.com/s/files/1/0476/2281/5906/files/KilpaukStandard13.jpg?v=1726316930,250 g:650.00; 1 kg:2300.00,,,,
Kappi Kottai,Mōhanakalyāni,Rs. 720.00,INR,"Our sweetest washed coffee is back! 
 Sourced from Krishnagiri estate ,high up in the Chandra drona hills(a.k.a the Giris) of Chikmagalur, this lot of washed arabica fascinated us with its bean density and versatility(traits we have come to associate with the coffee from Krishnagiri estate). 
 Ripe cherries of the Chandrigiri varietal have been selected for this lot and the estate has tweaked their standard washed process to eke more out of the coffee.  
 The final cup is very sweet , prominently sweet lime-esqe and floral towards the end. Those hibiscus like florals really surprised us in testing and remind us of the rāga Mohanakalyāni. This coffee is the designated daily driver at kāpikottai HQ. We have been guzzling litres of this lot as an iced pourover and it never disappoints 
 Mohanakalyāni the coffee, is a delight across all manual brews 9 days from date of roast  and also makes for a sweet sweet shot of espresso 18 days from date of roast.",https://kapikottai.coffee/products/mohanakalyani,https://cdn.shopify.com/s/files/1/0476/2281/5906/files/Mohanakalyani2_d875e59f-a438-49bb-8aa0-69d8b0b0c14f.jpg?v=1779558358,250 g:720.00; 1 kg:2590.00,,,,
Kappi Kottai,Nalinakānti,Rs. 999.00,INR,"Last season's hit from Ram estate is back! 
 Located in the village of Kamanur near Thandigudi, Ram estate (called Rothaikadu by locals ) posseses a unique microclimate that is idealfor growing complex arabicas  and the folks there  have been processing top notch coffees from year one of their foray into the  speciality scene. 
   This particular lot consists only of  selectively picked SLN 09 arabica from the estate's highest portion. We had a hand in fine tuning the processing this lot and we thank Ram estate for listening to our suggestions. While the total fermentation time was 160 hrs, this was split between pre and post pulping. The cherries were fermented in a steel barrel with CO2 being pumped in. They were then taken out, pulped and then fermented again in similar conditionstill a total time of 160 hrs was reached.  
   The resulting cup is very aromatic ,very  tropical  and very sweet, but also shockingly 'clean' tasting ; without much fermenty notes. This is party a result of the aforementioned microclimate and partly because of careful monitoring of the cherries during fermentation and the slow drying.  The acidity tastes of lychee with a lingering raisin like sweetness and a subtle rosewater undercurrent which we find very refreshing, like the rāga nalinakānti. 
 Nalinakānti the coffee is a very sweet , complex, sippable brew  and is a delight across all manual brew methods 10 days post roasting. It makes a fruity shot of espresso 20 days post date of roast.",https://kapikottai.coffee/products/nalinakanti,https://cdn.shopify.com/s/files/1/0476/2281/5906/files/Nalinakanti6.jpg?v=1778243258,200 g:999.00; 1 kg:4620.00,,,,
Kappi Kottai,Subscribe - 12 Coffees Delivery,Rs. 7935.00,INR,Schedule 12 coffee deliveries in one click and save up to 12% on your order.,https://kapikottai.coffee/products/subscribe-12-coffees-delivery,https://cdn.shopify.com/s/files/1/0476/2281/5906/products/IMG_20210823_135708_Bokeh_1_9888c66e-a4a6-4b7b-ad8e-9b6830160a25.jpg?v=1642265514,250 g:7935.00,,,,
Kappi Kottai,Subscribe - 24 Coffees Delivery,Rs. 14450.00,INR,Schedule 24 coffee deliveries in one click and save up to 14% on your order.,https://kapikottai.coffee/products/coffeesubscription24,https://cdn.shopify.com/s/files/1/0476/2281/5906/products/morning-pour-over-flat-lay_1_5f913a74-7705-4c33-a041-324bbe8e3edf.jpg?v=1640796749,250 g:14450.00,,,,
Kappi Kottai,Subscribe - 3 Coffees Delivery,Rs. 1935.00,INR,Schedule 3 coffee deliveries in one click and save up to 8% on your order.,https://kapikottai.coffee/products/subscribe-3-coffees-delivery,https://cdn.shopify.com/s/files/1/0476/2281/5906/products/nathan-dumlao-pnmRtTHWqDM-unsplash_b20b400b-c78a-43b6-9207-6f4e0d628983.jpg?v=1642251016,250 g:1935.00,,,,
Kappi Kottai,Subscribe - 6 Coffees Delivery,Rs. 3780.00,INR,Schedule 6 coffee deliveries in one click and save up to 10% on your order.,https://kapikottai.coffee/products/subscribe-6-coffees-delivery,https://cdn.shopify.com/s/files/1/0476/2281/5906/products/iced-latte-at-coffee-shop-window_2.jpg?v=1642251567,250 g:3780.00,,,,
Kappi Kottai,Tōdi,Rs. 720.00,INR,"Our bold dark roast is back! 
 Sourced from Krishnagiri estate ,high up in the Chandra drona hills(a.k.a the Giris) of Chikmagalur, this lot of washed arabica fascinated us with its bean density and versatility(traits we have come to associate with the coffee from Krishnagiri estate). 
 Ripe cherries of the Chandrigiri varietal have been selected for this lot and the estate has tweaked their standard washed process to eke more out of the coffee. 
 Just like last year, we decided to a more developed roast apart from the medium roast; taking the beans close to second crack but stopping short of that that point. This makes the coffee stand up to milk better but retains some origin character which manifests this year and faint raspberry like fruitiness 
 The boldness of this coffee reminds us of the rāga tōdi and is our go to for milk based drinks. 
 Tōdi the coffee is a delight on the espresso machine14 days post date of roast and also works very well for  moka pot , south-indian filter and immersion brewers like French press and Aeropress.",https://kapikottai.coffee/products/todi,https://cdn.shopify.com/s/files/1/0476/2281/5906/files/Todi2_144fb994-6b52-435c-84b4-e510295f54d8.jpg?v=1779558122,250 g:720.00; 1 kg:2590.00,,,,
