Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Ratna Raga Competition Lot,Marc's Coffee,5000.0,,Medium Roast,Caramel with a hint of spice blood orange and rose.Aftertaste – Medium-to-high intensity,,ing,"Ratna Raga Competition LotPrecision, Passion, and Discipline.Welcome to the highest-scoring coffee from India’s National Brewers Cup 2026, featuring a Ratnagiri YB culture blend with double-fermented washed processing.Get a free Mineral concentrate to mimic the recipe Edén Uriel used on stage.Aroma – Medium intensity. Caramel with a hint of spice, then blood orange and rose.Flavour – Medium-to-high intensity. Caramel with a hint of spice blood orange and rose.Aftertaste – Medium-to-high intensity, like a rose.Acidity – Medium intensity, like blood orange.Sweetness – Medium intensity, of caramel-jaggery.Mouthfeel – Medium intensity, like syrup.Overall structured, complex, clear, and transparent",https://coffeeideas.in/product/our-coffees/limited-edition/ratna-raga-nbc-competition-coffee/,https://coffeeideas.in/media/2026/03/1826b90e-804e-4a18-9bf6-0e973b59bf23.jpg,Events
Mahseer’s Hope,Marc's Coffee,37500.0,1kg,Omni-Roast,"Stone Fruits, Citrus, Chocolate",Kerehaklu,Washed,"100% ArabicaCreating awareness of the humpback Mahseer and the unfortunate situation the species is in.Flavour Notes: Stone Fruits, Citrus, ChocolateProducer: Pranoy ThipaiahEstate: Kerehaklu, Chikkamagaluru, Karnataka, IndiaElevation: 1200 maslGenetics: Arabica, SL6Process: WashedRoast Profile: Omni, Agtron: 65",https://coffeeideas.in/product/our-coffees/marcs-single-estate-origin/light-roast-marcs-single-estate-orgin/the-mahseer/,https://coffeeideas.in/media/2023/04/Mahseers-Hope-1.jpg,Coffee
Salawara Reserve,Marc's Coffee,4700.0,1kg,Light Roast,,Hassan,,"100% ArabicaSalawara Estate employs sustainable irrigation techniques by collecting  Monsoon rain. This harmonious ecosystem beneath the soil enhances the coffee beans, imparting remarkable depth and flavorsweet aromas of Arabica, complex fragrances; fermented notes, milk chocolate, hazelnut, mild spices, and tamarind notesCertification:Rain Forest certifiedOrigin(s):District and EstateHassan, KarnatakaElevation:feet and masl3,281 ft (1000 – m)above sea levelProcessing methods:Red honey Fermented and barrel agedRoast level:and commentNew England / Light(192°C / 377.6 F MET)necessitates a gentle roast to effectively transform sucrose into complex aromas and rich flavors.Cultivars:ChandragiriGrade:A",https://coffeeideas.in/product/our-coffees/marcs-signature-blends/light-roast/salawara-estate/,https://coffeeideas.in/media/2021/11/FINAL-BEANS-scaled-e1756363241483.jpg,Coffee
Old Kent Vienna,Marc's Coffee,200.0,1kg,,dark-chocolate and caramel emerge,coffee has the common,Natural,"100% ArabicaFor those who enjoy a 100% Coorg arabica coffee from one of the oldest coffee plantationsAs any excellent Dark Roast cup of coffee, this single-estate coffee has the common, bold, smoky notes. This goes hand in hand with the cacao highlights. It’s touch of uniqueness lies in the spiced tones that come as an always pleasant surprise.Certification:noneOrigin(s):District and EstateCoorg, KarnatakaElevation:feet and masl3,609 ft (1100 m) above sea levelProcessing methods:Natural and WashedRoast level:and commentVienna/ Dark (227°C / 440 F MET)Bitter notes of dark-chocolate and caramel emerge.Cultivars:Chandragiri, Sl795, Sl9, KentGrade:AA",https://coffeeideas.in/product/our-coffees/marcs-signature-blends/dark-roast/old-kent-estate/,https://coffeeideas.in/media/2021/05/final1-1-scaled-e1756362553779.jpg,Coffee
Sandalkad Estate,Marc's Coffee,300.0,1kg,Medium-Dark Roast,"100% CanephoraThis fine Canephora thrives among rows of arecanut trees, intertwined with climbing vines of pepper",Coorg,Washed,"100% CanephoraThis fine Canephora thrives among rows of arecanut trees, intertwined with climbing vines of pepper, cardamom, and vanilla.This coffee has a deep and sweet fragrance of chocolate and spices. It is robust in body, smooth to the tongue and has a rich and lingering aftertaste.Certification:Rain Forest AllianceOrigin(s):District and EstateCoorg, KarnatakaElevation:feet and masl4,495 ft (1370 – m)above sea levelProcessing methods:WashedRoast level:and commentFull City/ Medium-dark(223°C / 433.4 F MET)Dense Canephora beans require intense heat to break down their complex compounds,Cultivars:CXRGrade:Clean bulk",https://coffeeideas.in/product/our-coffees/marcs-single-estate-origin/medium-dark-roast/sandalkad/,https://coffeeideas.in/media/2019/10/option-a-3-scaled-e1756362823283.jpg,Coffee
Kaveri Espresso,Marc's Coffee,300.0,1kg,City Roast,with the strong caramels from darker,Pulney Hills,ing,"85% Arabica, 15% CanephoraFor those who enjoy a 100% Coorg arabica coffee from one of the oldest coffee plantationsOur Espresso Blend is composed of three different coffees, to produce a fragrant, sweet, aromatic, round bodied, and balanced cup. The quintessence of an Indian Espresso; complex notes of roasted nuts, caramel, warm spices, red fruits, and cacao.Certification:Rainforest and UTZOrigin(s):District and EstatePulney Hills, Tamil NaduElevation:feet and masl2500-4000 ft (750 – 1200 m)above sea levelProcessing methods:70% fully washed, 30 % sun-dried / naturalGives a mix of highlighting acidity, as well as the roundness and sweetness of sun-dried processingRoast level:and commentCity roast / Medium (217°C / 420 F MET)Balances the acidity and flavour notes with the strong caramels from darker roastsCultivars:Chandragiri, Sl795, Sl9, Cauvery and CXRGrade:AA, AB, PB",https://coffeeideas.in/product/our-coffees/marcs-signature-blends/medium-roast/kaveri-espresso-blend/,https://coffeeideas.in/media/2018/10/final-1-1-scaled-e1756362883430.jpg,Coffee
Malabar Monsoon,Marc's Coffee,300.0,1kg,Light Roast,roasted malt and a nuttyfinish,Coorg,ing method,"100% ArabicaThis brew has a very unique fragrance due the “Monsooning” process. Mellow, soft and smooth body with hints of roasted malt and a nuttyfinish.Certification:UTZOrigin:Coorg, KarnatakaElevation:2500-3000 ft (750 – 900 m) above sea levelProcessing Method:Natural & MonsoonedMakes coffee smooth and mellow, India’s own specialty processing method.Roast:New England / Light Roast (200°C / 392 F MET)Puts the little acidity in Monsooned coffee forward to highlight the rare aromas.Grade:AA",https://coffeeideas.in/product/our-coffees/marcs-single-estate-origin/light-roast-marcs-single-estate-orgin/monsooned-malabar/,https://coffeeideas.in/media/2018/10/malabar-monsoon-option-1-scaled-e1756362922994.jpg,Coffee
Malabar Blues,Marc's Coffee,200.0,1kg,Dark Roast,It holds the fine aromas of caramel and traces of spice,Karnataka,ing method,"50% Arabica, 50% CanephoraMakes coffee smooth and mellow, India’s own specialty processing method.In short, this coffee is a culture and tradition in a cup. It holds the fine aromas of caramel and traces of spice. Its chocolate notes are bold and the tinge of vanilla tops the whole experience. The coffee has a silky smooth, yet full body.Certification:UTZOrigin(s):District and EstateKarnataka, ChikkamagaluruElevation:feet and masl2500-3000 ft (750 – 900 m)above sea levelProcessing methods:Natural & MonsoonedRoast level:and commentFull City/ Dark (225°C / 437 F MET)Smooth dark chocolate bitters and some natural sweetness.Cultivars:RobustaGrade:AA",https://coffeeideas.in/product/our-coffees/marcs-signature-blends/dark-roast/malabar-blues/,https://coffeeideas.in/media/2018/10/FINAL-1-1-1-scaled-e1756362977557.jpg,Coffee
Buma Devi Breakfast,Marc's Coffee,750.0,1kg,Dark Roast,dark-chocolate and caramel emerge,Waynad,Natural,"50% Arabica, 50% CanephoraBuma Devi represent The Wayanad forests one of the richest biodiversity hotspots in the worldThis combination in right proportions – of Robusta and Arabica beans – gives perfect parity between starkly contrasting notes. The aroma has a real earthy feel consisting of honey, caramel, piercing spices and black grapes, balanced out with a deep dark-bold vibe. It has a strong and round bodyCertification:Organically grownOrigin(s):District and EstateWaynad, KeralaElevation:feet and masl2500-3000 ft (750 – 900 m) above sea levelProcessing methods:NaturalRoast level:and commentFull City/ Dark (227°C / 440 F MET)Bitter notes of dark-chocolate and caramel emerge.Cultivars:Chandragiri, Cauvery and RobustaGrade:AB and PB",https://coffeeideas.in/product/our-coffees/marcs-signature-blends/dark-roast/buma-devi/,https://coffeeideas.in/media/2018/10/buma-devi-beans--scaled-e1756363443954.jpg,Coffee
Julien Peak Forest,Marc's Coffee,300.0,1kg,Light Roast,peanut brittle and sweet spices,Shevaroy Hills,Natural,"100% ArabicaThis brew’s aroma is an amalgamation of citrus notes, cinnamon, accompanied by the sweetness of molasses. When tasted, the floral citric notes come forward, with a juicy acidity, well-balanced by nutty notes of peanut brittle and sweet spices.Certification:UTZOrigin:Shevaroy Hills, Tamil NaduElevation:4000 – 5000 ft (1200-1500m) above sea levelProcessing Method:Washed / wet-processed (with a previous fermentation of 24 hours)Gives more acidic and floral aroma notes with less body than the natural dry process.Roast:New England Roast / Light Roast (207°C / 405 F MET)The subtle aromas of sweet cinnamon and citrus come forward.Cultivars:Selection 795, ChandragiriGrade:A",https://coffeeideas.in/product/our-coffees/marcs-single-estate-origin/light-roast-marcs-single-estate-orgin/julien-peak/,https://coffeeideas.in/media/2018/10/final-4-scaled-e1756363017390.jpg,Coffee
