roaster,name,price,currency,description,product_url,image_url,variants
Rossette,Attikan Shade Barrel Fermented Washed,₹800.0,INR,"One of our favourite estates to work with, Attikan brings us another standout lot this season. Nestled in the Biligiriranga Hills of Karnataka and run by the Sangameshwar Group, Attikan has long been a source of expressive, high-quality coffees that we’re always excited to roast. This year’s release is a 22-hour shade barrel fermented washed coffee, roasted by Rossette as a medium roast to bring out both complexity and balance. In the cup, expect layered notes of plum, black grapes, prune, molasses, and milk chocolate. It’s a beautifully structured single-origin Arabica that shines equally well as a black coffee and with milk, where its sweetness and milk chocolate character come forward even more clearly. With medium acidity and a rich, smooth profile, this is a coffee that feels both elegant and comforting. Whether you brew it as espresso, moka pot, AeroPress, or cold brew, Attikan is a must-try for anyone who loves sweet, fruit-forward coffees with depth and character.",https://rossettecoffee.com/products/attikan-shade-barrel-fermentation-washed,https://cdn.shopify.com/s/files/1/0660/1438/0248/files/attikanshadebarrelwashed.png?v=1780230069,200g:800.00; 200g:800.00; 200g:800.00; 200g:800.00; 200g:800.00; 200g:800.00; 200g:800.00; 200g:800.00; 200g:800.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00
Rossette,Harley Whiskey Barrel Aged (SCA 87+),₹1250.0,INR,"Grown at elevation of 1050 MASL in the Sakleshpur region of Karnataka, these washed coffee’s from Harley Estate undergo a barrel ageing process in single malt whiskey barrels sourced from Amrut Distillers. This produces a cup which is fruity, boozy and sweet with notes of irish cream, green apple, stone fruit and hints of spice. The coffee is roasted to a medium level to increase the sweetness and balance the body & mallic acidity of the coffee. This coffee is suitable for espresso, pourover, aeropress and French press.",https://rossettecoffee.com/products/harley-whiskey-barrel-aged-sca-87,https://cdn.shopify.com/s/files/1/0660/1438/0248/files/baileys_tropical_spices_vanilla_bean_granny_smith.jpg?v=1755938616,200g:1250.00; 200g:1250.00; 200g:1250.00; 200g:1250.00; 200g:1250.00; 200g:1250.00; 200g:1250.00; 200g:1250.00; 200g:1250.00; 200g:1250.00; 200g:1250.00
Rossette,4th Birthday Blend,₹900.0,INR,"Rossette 4th Birthday Blend Celebrate 4 years with a cup that tastes like party: a warm, indulgent blend made from two microlots from Ratnagiri Estate,that opens with tiramisu-soaked cocoa and rounded hazelnut, drifts into soft vanilla sweetness, and finishes with a playful rum-ball warmth. Medium roasted to highlight clarity across brewing styles, this balanced blend brings medium sweetness, medium acidity, and medium body—designed to shine from espresso to pour-over, AeroPress to drip. It’s our cake in a cup: familiar, celebratory, and crafted for every ritual that made Rossette what it is today.",https://rossettecoffee.com/products/4th-birthday-blend-sca-87,https://cdn.shopify.com/s/files/1/0660/1438/0248/files/birthdayblend.png?v=1781524278,200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00; 200g:900.00
Rossette,Ratnagiri Jasmine Co-Fermented Naturals (SCA 88+),₹1000.0,INR,"This limited-release Ratnagiri Jasmine Co fermented naturals is a floral-focused co-ferment our fourth from Ratnagiri but intentionally separate from the fruit co-ferment series, roasted light for black-coffee lovers who’ve yet to try floral coffees: it opens with an expressive bouquet of jasmine and magnolia, unfolds into dessert-like sweetness of vanilla bean and custard apple, and finishes bright and clean with a lemon candy lift; very high on sweetness with medium acidity and a very low body, it shines when brewed as a pourover, AeroPress, cold brew, or americano, Brewed right will reward you with its delicate clarity.",https://rossettecoffee.com/products/ratnagiri-jasmine-co-fermented-naturals,https://cdn.shopify.com/s/files/1/0660/1438/0248/files/JASMINE_1_3a5db6f1-c603-4f5f-b313-5f3c73a6ef67.png?v=1781377489,200g:1000.00
Rossette,Ratnagiri Strawberry Co-Fermented Naturals (SCA 88+),₹1000.0,INR,"Strawberry Co-Ferment is the third release in our Fruit Ferment Series and our highest-scoring coffee yet, rated 88+ on the SCA scale. Processed at Ratnagiri Estate as a yeast-inoculated natural co-fermented with strawberry, this light roast is built to capture the taste of summer in a cup. Expect vibrant notes of strawberry, cotton candy, bubblegum, and cherry blossom, with a profile that evokes strawberry iced tea juicy, playful, and unmistakably funky. Best suited for drinkers who enjoy bold fruity character over clean, traditional cups. Best consumed black.",https://rossettecoffee.com/products/ratnagiri-strawberry-co-fermented-naturals-sca-88,https://cdn.shopify.com/s/files/1/0660/1438/0248/files/strawberry_bloom.png?v=1779084286,200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00
Rossette,Ratnagiri Watermelon Co-Fermented Naturals (SCA 87+),₹1000.0,INR,"Ratnagiri Watermelon Co-Ferment is a light roast from our new Fruit Co-Ferment Series, crafted to taste like summer in every cup. Processed at Ratnagiri Estate in Chikmagalur, South India by producer Mr. Ashok Patre, this coffee is bold, tropical, and intensely expressive. Expect watermelon, bubblegum, Jolly Rancher candy, purple grapes, and raspberries with high sweetness and bright acidity. Best enjoyed black, hot or iced. This is not a coffee for those seeking a clean cup ,it’s for drinkers who want extra funk, character, and a truly unforgettable profile.",https://rossettecoffee.com/products/ratnagiri-watermmelon-co-fermented-naturals-sca-87,https://cdn.shopify.com/s/files/1/0660/1438/0248/files/watermelonglow_2.png?v=1779084498,200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:1000.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00; 200g:3800.00
Rossette,Gungegiri Dark Honey,₹800.0,INR,"We are thrilled to introduce the highly anticipated Gungegiri Dark Honey Coffee , a single-origin specialty from the renowned Gungegiri Estate in Chikmaglur, India. Grown at an elevation of 4,600 feet. Dark Honey processing leaves a generous amount of sticky, fruit-rich mucilage on the coffee bean during drying. This slow, shade-dried approach allows natural fruit sugars to deeply ferment and absorb into the seed, resulting in an exceptionally full-bodied cup with a heavy, viscous mouthfeel. The coffee is a symphony of flavour that draws you in with its rich, dessert-like profile, reminiscent of a warm slice of banana bread enfolded with the sweetness of jaggery. The coffee's vibrant essence  of clementine and a subtle whisper of kiwi like finish",https://rossettecoffee.com/products/gungegiri-dark-honey,https://cdn.shopify.com/s/files/1/0660/1438/0248/files/GUNGEGIRIDARKHONEY.png?v=1779697044,200g:800.00; 200g:800.00; 200g:800.00; 200g:800.00; 200g:800.00; 200g:800.00; 200g:800.00; 200g:800.00; 200g:800.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00; 1kg:3600.00
Rossette,Yelnoorkhan Yeast Anaerobic Honey (SCA 85+),₹850.0,INR,"Yelnoorkhan Anaerobic Honey coffee is produced using a method that combines anaerobic fermentation with honey processing. In this process, the coffee cherries are fermented in an oxygen-free environment, which enhances their fruity acidity and aromatic complexity. Following this, the beans are pulped and dried with some of the sticky mucilage (the 'honey') still attached, further enriching the coffee's sweetness and body. The resulting brew is lauded for its vibrant, grapes-like brightness, layered fruit notes, and a rich, raisin-like sweetness. These characteristics create a smooth and rounded mouthfeel, highlighting both the precision of controlled fermentation and the inherent qualities of the coffee's origin. This coffee is roasted to a medium-light level which allows us to brew it for both manual brews and complex espressos.",https://rossettecoffee.com/products/yelnoorkhan-honey-sca-85,https://cdn.shopify.com/s/files/1/0660/1438/0248/files/Yelnoorkhanhsd_1.png?v=1779694366,200g:850.00; 200g:850.00; 200g:850.00; 200g:850.00; 200g:850.00; 200g:850.00; 200g:850.00; 200g:850.00; 200g:850.00; 200g:3200.00; 200g:3200.00; 200g:3200.00; 200g:3200.00; 200g:3200.00; 200g:3200.00; 200g:3200.00; 200g:3200.00; 200g:3200.00
Rossette,Robusta Kaapi Royale (Vienna),₹600.0,INR,"Discover the bold elegance of Robusta Kaapi Royale Vienna Roast , an R19-certified Robusta masterpiece from the lush Magundi region of Karnataka. Sourced exclusively from Sethuraman Estate and masterfully produced by Nishant Gujer, this double-fermented, washed-processed gem is roasted to a rich Vienna level right here at Rossette Coffee Lab. Expect an explosion of indulgent flavours: creamy vanilla, warm spices, crunchy cocoa nibs, and toasted roasted almonds. Its full body and low acidity make it versatile for multiple brews like espresso, french press, south indian filter etc.",https://rossettecoffee.com/products/robusta-kaapi-royale-vienna,https://cdn.shopify.com/s/files/1/0660/1438/0248/files/robustakaapiroyalvienna_1de5e98a-1561-40ca-8a67-629d3abcd0dd.jpg?v=1776071939,200g:600.00; 200g:600.00; 200g:600.00; 200g:600.00; 200g:600.00; 200g:600.00; 200g:600.00; 200g:600.00; 200g:600.00; 200g:600.00; 200g:600.00; 1kg:2600.00; 1kg:2600.00; 1kg:2600.00; 1kg:2600.00; 1kg:2600.00; 1kg:2600.00; 1kg:2600.00; 1kg:2600.00; 1kg:2600.00; 1kg:2600.00; 1kg:2600.00
Rossette,Basankhan Fermented Washed,₹700.0,INR,"Discover the rich, indulgent profile of Basankhan Estate Fermented Washed SLN 795 , a chocolatey, sweet, and citrus-forward washed coffee from the renowned Basankhan Estate in Karnataka's Chikmagalur region, profile roasted to a medium-dark profile by Rossette, perfect for espresso lovers craving depth and balance. This standout lot, crafted through a 48-hour fermented washed process, unlocks exceptional high sweetness, low acidity, and a heavy velvety body, with natural tasting notes of tangerine, prune, cane syrup, and cocoa that layer beautifully on the palate. Whether you're brewing it in a moka pot, espresso machine, French press, cold brew, or Aeropress, this versatile coffee shines brightest with milk—think creamy lattes or cappuccinos where its chocolatey sweetness takes centre stage for an elevated, everyday indulgence.",https://rossettecoffee.com/products/basankhan-fermented-wash,https://cdn.shopify.com/s/files/1/0660/1438/0248/files/basankhan_1.png?v=1777735506,200g:700.00; 200g:700.00; 200g:700.00; 200g:700.00; 200g:700.00; 200g:700.00; 200g:700.00; 200g:700.00; 200g:700.00; 1kg:3300.00; 1kg:3300.00; 1kg:3300.00; 1kg:3300.00; 1kg:3300.00; 1kg:3300.00; 1kg:3300.00; 1kg:3300.00; 1kg:3300.00
