Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
Baarbara Estate,Dancing Goat,,1kg,Dark,,"Enjoy the finest farm-to-cup specialty coffee from one of India's oldest and most renowned coffee estates, and revel in the flavour and history of a century-old legacy. Shade grown at an altitude of 1500 masl in the lush Bababudangiri hills, this coffee is a sensory journey through rich dark chocolate, bittersweet cara",https://www.dancinggoatcoffee.in/products/baarbara-estate/2037129000003624001,https://www.dancinggoatcoffee.in/product-images/BE+1.png/2037129000003624167/1100x1100
Baarbara Estate,Dancing Goat,,250g,Dark,,"Enjoy the finest farm-to-cup specialty coffee from one of India's oldest and most renowned coffee estates, and revel in the flavour and history of a century-old legacy. Shade grown at an altitude of 1500 masl in the lush Bababudangiri hills, this coffee is a sensory journey through rich dark chocolate, bittersweet cara",https://www.dancinggoatcoffee.in/products/baarbara-estate/2037129000003624001,https://www.dancinggoatcoffee.in/product-images/BE+1.png/2037129000003624167/1100x1100
Blossom,Dancing Goat,,1kg,Medium Roast,,"Enjoy the delicate complexity of “Blossom”, a light medium roast that beautifully showcases the vibrant flavours of this coffee. Grown near Bababudangiri, this coffee is processed with care to highlight its naturally fruity and floral qualities. The result is a cup brimming with the fragrance of white flowers, a zesty",https://www.dancinggoatcoffee.in/products/blossom/2037129000000679385,https://www.dancinggoatcoffee.in/product-images/slide+01.png/2037129000001087061/1100x1100
Blossom,Dancing Goat,,250g,Medium Roast,,"Enjoy the delicate complexity of “Blossom”, a light medium roast that beautifully showcases the vibrant flavours of this coffee. Grown near Bababudangiri, this coffee is processed with care to highlight its naturally fruity and floral qualities. The result is a cup brimming with the fragrance of white flowers, a zesty",https://www.dancinggoatcoffee.in/products/blossom/2037129000000679385,https://www.dancinggoatcoffee.in/product-images/slide+01.png/2037129000001087061/1100x1100
DG Espresso Roast,Dancing Goat,,1kg,Dark Roast,,"DG Espresso Roast is a Dark Roasted coffee from Coorg. It is strong, punchy and bold and has notes of Dark Chocolates and Cacao. DG Espresso Roast is designed specifically for milk based coffees but is versatile to be used with manual brewers as well.",https://www.dancinggoatcoffee.in/products/dg-espresso-roast/2037129000002539598,https://www.dancinggoatcoffee.in/product-images/DG+Espresso+Roast+01.png/2037129000002539764/1100x1100
DG Espresso Roast,Dancing Goat,,250g,Dark Roast,,"DG Espresso Roast is a Dark Roasted coffee from Coorg. It is strong, punchy and bold and has notes of Dark Chocolates and Cacao. DG Espresso Roast is designed specifically for milk based coffees but is versatile to be used with manual brewers as well.",https://www.dancinggoatcoffee.in/products/dg-espresso-roast/2037129000002539598,https://www.dancinggoatcoffee.in/product-images/DG+Espresso+Roast+01.png/2037129000002539764/1100x1100
DG Microlot #1,Dancing Goat,,1kg,Medium-Dark Roast,,"DG Microlot #1 – Medium-Dark Roast Dive into the rich, complex flavors of DG Microlot #1 coffee, expertly roasted to a medium-dark profile. Grown in the lush hills of Coorg, this coffee showcases the unique terroir of one of India’s finest coffee estates. Expect a smooth, full-bodied cup with indulgent notes of dark cho",https://www.dancinggoatcoffee.in/products/dg-microlot-1/2037129000000680339,https://www.dancinggoatcoffee.in/product-images/slide+01.png/2037129000001087031/1100x1100
DG Microlot #1,Dancing Goat,,250g,Medium-Dark Roast,,"DG Microlot #1 – Medium-Dark Roast Dive into the rich, complex flavors of DG Microlot #1 coffee, expertly roasted to a medium-dark profile. Grown in the lush hills of Coorg, this coffee showcases the unique terroir of one of India’s finest coffee estates. Expect a smooth, full-bodied cup with indulgent notes of dark cho",https://www.dancinggoatcoffee.in/products/dg-microlot-1/2037129000000680339,https://www.dancinggoatcoffee.in/product-images/slide+01.png/2037129000001087031/1100x1100
Hunkal Estate,Dancing Goat,,1kg,Medium Roast,,"A Microlot from the lush peaks of Mullayanagiri, we present Hunkal Estate - Honey Sun Dried coffee ((depulped, then dried with mucilage). This Medium roasted coffee will leave you enchanted with citric notes of Sweet Lime & Orange, perfectly balanced with long lasting notes of Cacao. This flavourful coffee comes fr",https://www.dancinggoatcoffee.in/products/hunkal-estate/2037129000004117001,https://www.dancinggoatcoffee.in/product-images/HUNKAL-ESTATE-BOX-S1.png/2037129000004117157/1100x1100
Hunkal Estate,Dancing Goat,,250g,Medium Roast,,"A Microlot from the lush peaks of Mullayanagiri, we present Hunkal Estate - Honey Sun Dried coffee ((depulped, then dried with mucilage). This Medium roasted coffee will leave you enchanted with citric notes of Sweet Lime & Orange, perfectly balanced with long lasting notes of Cacao. This flavourful coffee comes fr",https://www.dancinggoatcoffee.in/products/hunkal-estate/2037129000004117001,https://www.dancinggoatcoffee.in/product-images/HUNKAL-ESTATE-BOX-S1.png/2037129000004117157/1100x1100
Ratnagiri Estate,Dancing Goat,,1kg,Dark Roast,,"Experience the perfect blend of rich indulgence and complex fruitiness with this dark roast of Ratnagiri Estate Washed Coffee. Sourced from the lush, high-altitude slopes of India’s Western Ghats, this coffee retains its signature bright character even after the darker roast. Expect a smooth, velvety body with indulgen",https://www.dancinggoatcoffee.in/products/ratnagiriestate/2037129000000679971,https://www.dancinggoatcoffee.in/product-images/slide+01.png/2037129000001087091/1100x1100
Ratnagiri Estate,Dancing Goat,,250g,Dark Roast,,"Experience the perfect blend of rich indulgence and complex fruitiness with this dark roast of Ratnagiri Estate Washed Coffee. Sourced from the lush, high-altitude slopes of India’s Western Ghats, this coffee retains its signature bright character even after the darker roast. Expect a smooth, velvety body with indulgen",https://www.dancinggoatcoffee.in/products/ratnagiriestate/2037129000000679971,https://www.dancinggoatcoffee.in/product-images/slide+01.png/2037129000001087091/1100x1100
Rum Barrel Aged,Dancing Goat,,1kg,Medium Roast,,"Indulge in the rich, smooth character of Ratnagiri Estate’s Rum Barrel Aged Coffee, a light-medium roast that perfectly balances the natural sweetness of the coffee with the unique flavors imparted from aging in oak barrels. The process infuses the beans with deep, woody oak notes, while subtle hints of caramel and van",https://www.dancinggoatcoffee.in/products/rum-barrel-aged/2037129000000234065,https://www.dancinggoatcoffee.in/product-images/Rum+Barrel+Aged01.png/2037129000002539071/1100x1100
Rum Barrel Aged,Dancing Goat,,250g,Medium Roast,,"Indulge in the rich, smooth character of Ratnagiri Estate’s Rum Barrel Aged Coffee, a light-medium roast that perfectly balances the natural sweetness of the coffee with the unique flavors imparted from aging in oak barrels. The process infuses the beans with deep, woody oak notes, while subtle hints of caramel and van",https://www.dancinggoatcoffee.in/products/rum-barrel-aged/2037129000000234065,https://www.dancinggoatcoffee.in/product-images/Rum+Barrel+Aged01.png/2037129000002539071/1100x1100
Whiskey Barrel Aged,Dancing Goat,,1kg,Medium Roast,,"Indulge in the rich, smooth character of Ratnagiri Estate’s Whiskey Barrel Aged Coffee, a light-medium roast that perfectly balances the natural sweetness of the coffee with the unique flavors imparted from aging in oak barrels. The process infuses the beans with deep, woody oak notes, while subtle hints of caramel and",https://www.dancinggoatcoffee.in/products/whiskey-barrel-aged/2037129000002539394,https://www.dancinggoatcoffee.in/product-images/Whiskey+Barrel+Aged01.png/2037129000002539540/1100x1100
Whiskey Barrel Aged,Dancing Goat,,250g,Medium Roast,,"Indulge in the rich, smooth character of Ratnagiri Estate’s Whiskey Barrel Aged Coffee, a light-medium roast that perfectly balances the natural sweetness of the coffee with the unique flavors imparted from aging in oak barrels. The process infuses the beans with deep, woody oak notes, while subtle hints of caramel and",https://www.dancinggoatcoffee.in/products/whiskey-barrel-aged/2037129000002539394,https://www.dancinggoatcoffee.in/product-images/Whiskey+Barrel+Aged01.png/2037129000002539540/1100x1100
