roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
Black Poetry,BOLD WHISPERS,Rs. 825.00,INR,"From the misty eastern Himalayan region of Kalimpong comes a Super Natural Arabica that pushes the boundaries of craftsmanship. Imagine the sweetness of ripe banana, the tangy zest of red guava, and a medley of mixed berries dancing on your palate. Our innovative processing technique involves a controlled oxygen treatment and temperature resulting in a complex cup brimming with flavours.",https://blackpoetry.in/products/bold-whispers,https://cdn.shopify.com/s/files/1/0639/4458/9466/files/BlackPoetryWebsiteProductPaintingImages-whispers_1_50.png?v=1772805314,250gm:825.00,
Black Poetry,BREW BLISS BOX,Rs. 1900.00,INR,"Step into a world of mellowed spice and golden light with this thoughtfully curated trio. Featuring Monsoon Raga Robusta, Monsoon Raga Arabica, and the bright, citrus-kissed Arabica Fermented Naturals, this collection brings together depth, nuance, and a touch of warmth in every cup.     
   
  Packed in three beautifully designed cans and paired with collectible coasters, this gift box is a perfect harmony of flavour and style. Whether as a treat for yourself or a thoughtful gift for a fellow coffee enthusiast, it's an invitation to sip, savour, and slow down.",https://blackpoetry.in/products/make-your-bundle-of-3,https://cdn.shopify.com/s/files/1/0639/4458/9466/files/Bundles_Offer_Carousel.png?v=1758007458,3 x 250gm:1900.00,
Black Poetry,BREW ME A POEM EVENT,Rs. 499.00,INR,"Join us for the Brew me a Poem Challenge by Black Poetry, where coffee meets creativity. Participants will brew their own pour-over recipe using Arabica Supernatural Coffee and then take a mindful pause to pen down a verse while the judges taste. With exciting prizes and redeemable food &amp; beverages worth ₹399, it’s an experience you don’t want to miss.   
  Event Highlights:   
 
 Duration: 15 minutes per round 
 Winners announced for Overall Champion, Best Brew, and Best Poem 
 Exclusive Black Poetry gift hampers for the winners 
 
 The participants have to carry their ticket/pass and a creative mind",https://blackpoetry.in/products/brew-me-a-poem-event,https://cdn.shopify.com/s/files/1/0639/4458/9466/files/SoBar-X-Devout-Carousel-1x1-01.jpg?v=1760369746,:499.00,
Black Poetry,BREWER’S PACK,Rs. 1800.00,INR,"Travel across India’s rarest coffee terrains with this Brewer’s Pack collection. Featuring seven unique 100g samples from our select microlots, this pack boasts beans from the monsoon-kissed Malabar coasts to the high altitudes of Kalimpong. Taste each, fall in love, and find your personal favourite, whether you’re brewing at home or gifting to someone who loves exploring new flavours. Each pack is freshly roasted, portioned for peak flavour, and beautifully presented so every cup tells its own story.",https://blackpoetry.in/products/brewer-s-pack,https://cdn.shopify.com/s/files/1/0639/4458/9466/files/Brewer_Pouch.jpg?v=1756373274,7*100gm:1800.00,
Black Poetry,CHOCOBEAN BOX,Rs. 2000.00,INR,"Hamper Includes  
  2 Coffee Canisters:   Freshly roasted washed Arabica and Robusta Honey, single-origin beans - your choice of Grind, crafted to perfection.  
   2 Dragée Jars of 150gm each:    Handcrafted chocolate-coated Arabica &amp; Robusta beans for the perfect bittersweet bite.",https://blackpoetry.in/products/chocobean-box,https://cdn.shopify.com/s/files/1/0639/4458/9466/files/B2-Mood.jpg?v=1755170805,:2000.00,
Black Poetry,EVERYDAY SUNSHINE,Rs. 750.00,INR,"From the heart of Coorg, this Fermented Natural Arabica finds its symphony of flavours from our unique processing methods and the estate’s rich climate. Picture a summer orchard, biting into a juicy peach and the sweet aromatics of ripe Mandarin orange surrounding you. That’s what the smooth body and lingering sweetness of this coffee can make you feel. Each cup is truly memorable - a taste of Coorg’s sunshine in every sip.",https://blackpoetry.in/products/everyday-sunshine,https://cdn.shopify.com/s/files/1/0639/4458/9466/files/BlackPoetryWebsiteProductPaintingImages-sunshine_1.png?v=1758617726,250gm:750.00,
Black Poetry,HARMONIC HILLS,Rs. 600.00,INR,"Sourced from an award-winning estate in Chikmagalur - Indian coffee’s birthplace, this Honey-Dried Robusta, is an escape for your senses. The unique drying process creates a delightful sweetness that balances the Robusta’s natural intensity. Savour a smooth body with a lingering aftertaste of honey and ripe blackberries, making it a truly delightful surprise.",https://blackpoetry.in/products/harmonic-hills,https://cdn.shopify.com/s/files/1/0639/4458/9466/files/Black_Poetry_Website_Product_Painting_Images-harmonic.png?v=1744359185,250gm:600.00,
Black Poetry,HIGHLAND BLUES,Rs. 600.00,INR,"This washed Arabica is a bold and beautiful brew from Shevaroy Hills in Tamil Nadu. Imagine dark, rich chocolate melting on your tongue, followed by bursts of juicy jackfruit and hints of warm spices. From notes of cardamom to natural brown sugar sweetness, this is a mid-day pick-me-up that will invigorate your senses and transport you to the hills.",https://blackpoetry.in/products/highland-blues,https://cdn.shopify.com/s/files/1/0639/4458/9466/files/BlackPoetryWebsiteProductPaintingImages-highlandblues_1_ec011273-56e2-46f5-8b8f-e131ed6fb956.png?v=1772805034,250gm:600.00,
Black Poetry,JAVA JOY BOX,Rs. 1650.00,INR,"Elevate your coffee experience with this curated bundle of   Arabica Washed, Robusta Honey Sundried and Arabica Fermented Naturals  . Each blend offers a unique tasting experience - from rich notes of jackfruit and brown sugar to warm honeyed textures and bright citrus sparks.     
   
  Packed in three beautifully designed cans and paired with collectible coasters, this gift box is a perfect harmony of flavour and style. Whether as a treat for yourself or a thoughtful gift for a fellow coffee enthusiast, it's an invitation to sip, savour, and slow down.",https://blackpoetry.in/products/gift-box-2,https://cdn.shopify.com/s/files/1/0639/4458/9466/files/Bundles_Offer_Carousel1.png?v=1758007396,3 x 250gm:1650.00,
Black Poetry,MINI BREWER’S PACK,Rs. 875.00,INR,"Pack light, brew bold.   
 Go on a week-long adventure through India’s most unique coffee estates with seven 20g single-serve coffees. 
 Light to carry and easy to travel with, these brews follow wherever the week takes you.  
 From early mornings at home to flights across time zones, enjoy a new flavour every day, each telling its own story in a cup. 
 Great coffee should feel effortless.",https://blackpoetry.in/products/mini-brewer-s-pack,https://cdn.shopify.com/s/files/1/0639/4458/9466/files/Pouch-Pack-02.jpg?v=1762945004,28*20gm:1675.00; 14*20gm:875.00,
