roaster,name,price,currency,description,product_url,image_url
Handcrafted,Aeropress,,,"Simple to use, aasy to clean and travel Friendly, it delviers a clean cup of coffee that gets brewed quickly with minimum efforts with various different recipes to try and experiment. Contains:1 Aeropress Coffee Brewer Set1 Pack Filters (350 filters)",https://www.cafehandcrafted.com/product-page/aeropress,
Handcrafted,Cold Brew Blend,,,We made a blend so that your cold brew has just the right punch of flavours with that bold and rich mouthfeel!,https://www.cafehandcrafted.com/product-page/cold-brew-blend,
Handcrafted,Handcrafted Ceramic Cup | Red,,,"We got this made from a potter friend of ours and we've got so many people asking if we're selling this? So why not? Get a taste of Handcrafted wherever you want, enjoy your beverages in this beautiful cup! (You can buy this under one condition, you shall never drink instant coffee in it).",https://www.cafehandcrafted.com/product-page/handcrafted-ceramic-cup,
Handcrafted,Handcrafted Ceramic Cup | Baby Pink,,,"We got this made from a potter friend of ours and we've got so many people asking if we're selling this? So why not? Get a taste of Handcrafted wherever you want, enjoy your beverages in this beautiful baby pink cup! (You can buy this under one condition, you shall never drink instant coffee in it).",https://www.cafehandcrafted.com/product-page/handcrafted-ceramic-cup-baby-pink,
Handcrafted,Hario V60 Coffee Server Set 02,,,"One of the simplest and the most effective pourover brewing tool in market, the Hario V60 is the go-to tool for all those who enjoy a nice cup of pourover coffee.This set includes:	V60 Brewer	Coffee Server (700ml)	Spoon	Filter Pack (100 Filters)",https://www.cafehandcrafted.com/product-page/hario-v60-coffee-server-set-02,
Handcrafted,Liquid Luck,,,Perfect for Espresso! Liquid Luck is our exclusive blend of distinct flavour &amp; aroma notes.,https://www.cafehandcrafted.com/product-page/liquid-luck,
Handcrafted,Orchardale Estate,,,"Grown in the beautiful hills of Yercaud, Tamil Nadu, hailing from the prestigious MSP Coffee group of estates, Orchardale estate has been a remarkable discovery for us!  The flavours are a result of mixing two different processing methods, one half is slow fermented &amp; slow dried to impart deep rich flavours while the other half undergoes shorter fermentation and faster drying to impart brightness and crisp mouthfeel.",https://www.cafehandcrafted.com/product-page/orchardale-estate,
Handcrafted,Ratnagiri Estate | Microbial Culture,,,"This is it! THE MOST FLORAL coffee of the year! You can smell the rose notes metres away and your coffee will taste like actual petals crushed into a paste. A particular strain of yeast and lactic acid bacteria was added to the coffee in the fermenters and allowed to ferment for 86 hours in a carbon dioxide rich environment. After removing the coffee, they were directly put on raised beds for slow drying. The coffee was then dried slowly with constant stirring over the next 29 days.",https://www.cafehandcrafted.com/product-page/ratnagiri-estate-bacteria-culture,
Handcrafted,Ratnagiri Estate | Yeast Natural,,,"This one of a kind Yeast fermented and naturally dried lot from Ratnagiri Estate has an absolute flavour blast with a pleasantly lingering nutty taste with a hint of caramel like sweetness. The fruity aromas make it a very pleasant drink to have. Not to mention, all iced brews made with this are a superhit!",https://www.cafehandcrafted.com/product-page/ratnagiri-estate-yeast-natural,
Handcrafted,Salawara Frozen Cherry,,,,https://www.cafehandcrafted.com/product-page/salawara-frozen-cherry,
