Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
The Barista Tee,Lungo,899.0,,,,,,"Our Limited Edition Barista Tee is soft, comfy, and made to be lived in. Good Coffee calls for good merch.  Made for home baristas who take their coffee seriously.
[Meta Description]: Our Limited Edition Barista Tee is soft, comfy, and made to be lived in. Good Coffee calls for good merch. Made for home baristas who take their coffee seriously. ",https://drinklungo.com/products/the-barista-tee,https://cdn.shopify.com/s/files/1/0710/1657/9250/files/Untitled-6-01.jpg?v=1759261686,Coffee
The Grandma’s Cup,Lungo,850.0,,,Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma Paired perfectly with cookies and,Chikmagalur,Washed,"The kind of coffee that feels like home, slow familiar, and filled with warmth.  Sourced from the lush fields of Chikmagalur, India,  The Grandma’s Cup  is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold.   Known for its distinctive extra-large shaped Arabica beans.   
 ""It's like the coffee your Grandma would sip, if she was cool"" -  Us. We said it. 
  Tastes like:  Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma  
  Paired perfectly with cookies and a little gossip!
[Meta Description]: The kind of coffee that feels like home, slow familiar, and filled with warmth. Sourced from the lush fields of Chikmagalur, India, The Grandma’s Cup is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold. Known for its di",https://drinklungo.com/products/the-grandma-s-cup-blend,https://cdn.shopify.com/s/files/1/0710/1657/9250/files/instc2025-06-06231601.835.png?v=1749234492,Accessories
The Grandma’s Cup,Lungo,850.0,,,Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma Paired perfectly with cookies and,Chikmagalur,Washed,"The kind of coffee that feels like home, slow familiar, and filled with warmth.  Sourced from the lush fields of Chikmagalur, India,  The Grandma’s Cup  is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold.   Known for its distinctive extra-large shaped Arabica beans.   
 ""It's like the coffee your Grandma would sip, if she was cool"" -  Us. We said it. 
  Tastes like:  Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma  
  Paired perfectly with cookies and a little gossip!
[Meta Description]: The kind of coffee that feels like home, slow familiar, and filled with warmth. Sourced from the lush fields of Chikmagalur, India, The Grandma’s Cup is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold. Known for its di",https://drinklungo.com/products/the-grandma-s-cup-blend,https://cdn.shopify.com/s/files/1/0710/1657/9250/files/instc2025-06-06231601.835.png?v=1749234492,Accessories
The Grandma’s Cup,Lungo,850.0,,,Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma Paired perfectly with cookies and,Chikmagalur,Washed,"The kind of coffee that feels like home, slow familiar, and filled with warmth.  Sourced from the lush fields of Chikmagalur, India,  The Grandma’s Cup  is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold.   Known for its distinctive extra-large shaped Arabica beans.   
 ""It's like the coffee your Grandma would sip, if she was cool"" -  Us. We said it. 
  Tastes like:  Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma  
  Paired perfectly with cookies and a little gossip!
[Meta Description]: The kind of coffee that feels like home, slow familiar, and filled with warmth. Sourced from the lush fields of Chikmagalur, India, The Grandma’s Cup is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold. Known for its di",https://drinklungo.com/products/the-grandma-s-cup-blend,https://cdn.shopify.com/s/files/1/0710/1657/9250/files/instc2025-06-06231601.835.png?v=1749234492,Accessories
The Grandma’s Cup,Lungo,850.0,,,Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma Paired perfectly with cookies and,Chikmagalur,Washed,"The kind of coffee that feels like home, slow familiar, and filled with warmth.  Sourced from the lush fields of Chikmagalur, India,  The Grandma’s Cup  is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold.   Known for its distinctive extra-large shaped Arabica beans.   
 ""It's like the coffee your Grandma would sip, if she was cool"" -  Us. We said it. 
  Tastes like:  Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma  
  Paired perfectly with cookies and a little gossip!
[Meta Description]: The kind of coffee that feels like home, slow familiar, and filled with warmth. Sourced from the lush fields of Chikmagalur, India, The Grandma’s Cup is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold. Known for its di",https://drinklungo.com/products/the-grandma-s-cup-blend,https://cdn.shopify.com/s/files/1/0710/1657/9250/files/instc2025-06-06231601.835.png?v=1749234492,Accessories
The Grandma’s Cup,Lungo,850.0,,,Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma Paired perfectly with cookies and,Chikmagalur,Washed,"The kind of coffee that feels like home, slow familiar, and filled with warmth.  Sourced from the lush fields of Chikmagalur, India,  The Grandma’s Cup  is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold.   Known for its distinctive extra-large shaped Arabica beans.   
 ""It's like the coffee your Grandma would sip, if she was cool"" -  Us. We said it. 
  Tastes like:  Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma  
  Paired perfectly with cookies and a little gossip!
[Meta Description]: The kind of coffee that feels like home, slow familiar, and filled with warmth. Sourced from the lush fields of Chikmagalur, India, The Grandma’s Cup is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold. Known for its di",https://drinklungo.com/products/the-grandma-s-cup-blend,https://cdn.shopify.com/s/files/1/0710/1657/9250/files/instc2025-06-06231601.835.png?v=1749234492,Accessories
The Grandma’s Cup,Lungo,850.0,,,Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma Paired perfectly with cookies and,Chikmagalur,Washed,"The kind of coffee that feels like home, slow familiar, and filled with warmth.  Sourced from the lush fields of Chikmagalur, India,  The Grandma’s Cup  is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold.   Known for its distinctive extra-large shaped Arabica beans.   
 ""It's like the coffee your Grandma would sip, if she was cool"" -  Us. We said it. 
  Tastes like:  Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma  
  Paired perfectly with cookies and a little gossip!
[Meta Description]: The kind of coffee that feels like home, slow familiar, and filled with warmth. Sourced from the lush fields of Chikmagalur, India, The Grandma’s Cup is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold. Known for its di",https://drinklungo.com/products/the-grandma-s-cup-blend,https://cdn.shopify.com/s/files/1/0710/1657/9250/files/instc2025-06-06231601.835.png?v=1749234492,Accessories
The Grandma’s Cup,Lungo,850.0,,,Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma Paired perfectly with cookies and,Chikmagalur,Washed,"The kind of coffee that feels like home, slow familiar, and filled with warmth.  Sourced from the lush fields of Chikmagalur, India,  The Grandma’s Cup  is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold.   Known for its distinctive extra-large shaped Arabica beans.   
 ""It's like the coffee your Grandma would sip, if she was cool"" -  Us. We said it. 
  Tastes like:  Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma  
  Paired perfectly with cookies and a little gossip!
[Meta Description]: The kind of coffee that feels like home, slow familiar, and filled with warmth. Sourced from the lush fields of Chikmagalur, India, The Grandma’s Cup is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold. Known for its di",https://drinklungo.com/products/the-grandma-s-cup-blend,https://cdn.shopify.com/s/files/1/0710/1657/9250/files/instc2025-06-06231601.835.png?v=1749234492,Accessories
The Grandma’s Cup,Lungo,850.0,ColdBrew (250g),,Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma Paired perfectly with cookies and,Chikmagalur,Washed,"The kind of coffee that feels like home, slow familiar, and filled with warmth.  Sourced from the lush fields of Chikmagalur, India,  The Grandma’s Cup  is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold.   Known for its distinctive extra-large shaped Arabica beans.   
 ""It's like the coffee your Grandma would sip, if she was cool"" -  Us. We said it. 
  Tastes like:  Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma  
  Paired perfectly with cookies and a little gossip!
[Meta Description]: The kind of coffee that feels like home, slow familiar, and filled with warmth. Sourced from the lush fields of Chikmagalur, India, The Grandma’s Cup is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold. Known for its di",https://drinklungo.com/products/the-grandma-s-cup-blend,https://cdn.shopify.com/s/files/1/0710/1657/9250/files/instc2025-06-06231601.835.png?v=1749234492,Accessories
The Grandma’s Cup,Lungo,850.0,,,Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma Paired perfectly with cookies and,Chikmagalur,Washed,"The kind of coffee that feels like home, slow familiar, and filled with warmth.  Sourced from the lush fields of Chikmagalur, India,  The Grandma’s Cup  is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold.   Known for its distinctive extra-large shaped Arabica beans.   
 ""It's like the coffee your Grandma would sip, if she was cool"" -  Us. We said it. 
  Tastes like:  Spicy warmth Dark chocolate comfort Medium acidity &amp; full body A hug from grandma  
  Paired perfectly with cookies and a little gossip!
[Meta Description]: The kind of coffee that feels like home, slow familiar, and filled with warmth. Sourced from the lush fields of Chikmagalur, India, The Grandma’s Cup is a lovingly balanced medium roast with spicy undertones, rich dark chocolate notes, and a full-bodied hug in every sip. It’s washed, and a little bold. Known for its di",https://drinklungo.com/products/the-grandma-s-cup-blend,https://cdn.shopify.com/s/files/1/0710/1657/9250/files/instc2025-06-06231601.835.png?v=1749234492,Accessories
