roaster,name,price,currency,description,product_url,image_url
Hunkal Heights,Aranya Gold Coffee Beans,Rs. 600.00,Rs.,"In the altitudes of the western ghats, the height of our coffee craftsmanship is Aranya Gold. This pure 100% Arabica is nurtured on the slopes that border the lush jungle and its abundant flora and vising fauna. It’s the culmination of seven generations of passion, expertise and the generosity of nature at our own Thog",https://www.hunkalestatecoffee.com/collections/all/products/aranya-gold-coffee-beans,
Hunkal Heights,Aranya Gold - Pure Ground Coffee (Prev. All Day Brew),Rs. 300.00,Rs.,"Start your day and keep it going with Aranya Gold, a 100% Arabica ground coffee , perfect for your daily coffee ritual. Grown and harvested at our exclusive Thogarihunkal Estate in Chikkamagalur, this estate coffee delivers a smooth, balanced, and refined experience, any time of day. Thogarihunkal Estate Sector  Chandr",https://www.hunkalestatecoffee.com/collections/all/products/aranya-gold-pure-ground-coffee,
Hunkal Heights,Filter Coffee Bold,Rs. 200.00,Rs.,"Robust flavors are unleashed, with a distinctive blend of 65% coffee and 35% chicory of Hunkal Estate Coffee's BOLD Filter Coffee Powder. Crafted with care at our very own Thogarihunkal Estate in Chikmagalur, this ground coffee combines the rich essence of altitude-grown beans with the bold character of chicory. Every",https://www.hunkalestatecoffee.com/collections/all/products/filter-coffee-bold,
Hunkal Heights,Filter Coffee Dark,Rs. 180.00,Rs.,"Introducing Hunkal Estate Coffee's DARK, an intense filter coffee blend crafted for those who crave the quintessential strength of South Indian filter coffee. This 60% single-estate coffee and 40% chicory, grown, harvested, and ground at Thogarihunkal Estate in Chikmagalur, delivers a full-bodied cup of filter coffee w",https://www.hunkalestatecoffee.com/collections/all/products/filter-coffee-dark,
Hunkal Heights,Filter Coffee Mild,Rs. 230.00,Rs.,"If there is a perfect balance of altitude and attitude it's Hunkal Estate Coffee's MILD, a unique blend of 90% coffee and 10% chicory. This exceptional ground coffee, crafted at our exclusive Thogarihunkal Estate in Chikmagalur, offers a subtle and flavorful experience that is is a delight to the senses.  Blend Composi",https://www.hunkalestatecoffee.com/collections/all/products/filter-coffee-mild,
Hunkal Heights,Filter Coffee Rich,Rs. 220.00,Rs.,"The luxurious taste of Hunkal Estate Coffee's RICH is an indulgence. An exquisite blend of 80% coffee and 20% chicory, this exceptional ground coffee is crafted with precision at our own Thogarihunkal Estate combining the finest high-altitude beans with the rich character of chicory for a decadent coffee experience. Bl",https://www.hunkalestatecoffee.com/collections/all/products/filter-coffee-rich,
Hunkal Heights,Filter Coffee Strong,Rs. 210.00,Rs.,"Feel the embrace of intense flavors of Hunkal Estate Coffee's STRONG, a masterful blend of 70% coffee and 30% chicory. Meticulously crafted at our own Thogarihunkal Estate in Chikmagalur, this filter coffee powder combines the rich, high-altitude beans with the robust character of chicory. The flavour is strong and sat",https://www.hunkalestatecoffee.com/collections/all/products/filter-coffee-strong,
Hunkal Heights,French Press Coffee,Rs. 300.00,Rs.,"This 100% Arabica ground coffee is specially crafted for the French press from the finest beans in the forested slopes at our Thogarihunkal Estate. Hunkal Estate Coffee. Grown, harvested, processed and ground for over seven generations in the original coffee district of India, the rich full-bodied brew is a flavour of",https://www.hunkalestatecoffee.com/collections/all/products/french-press-coffee,
Hunkal Heights,Hunkal Estate Coffee - Gift Card,Rs. 500.00,Rs.,"There’s nothing quite like the taste of pure, fresh, Estate Coffee straight from Chikkamagaluru, is there? Give another coffee lover like you to enjoy the same; Whether it’s for a celebration or just to show...",https://www.hunkalestatecoffee.com/collections/all/products/hunkal-estate-coffee-gift-card,
Hunkal Heights,Tiger Reserve Coffee Beans,Rs. 550.00,Rs.,"The untamed spirit of Chikmagalur is infused in Tiger Reserve Coffee, a premium blend of Arabica and Robusta beans, cultivated for seven generations at our Thogarihunkal Estate. Grown in a sector where tigers roam freely, this coffee is ripened by roars. It’s robust and rich flavour is more than just coffee - it’s an e",https://www.hunkalestatecoffee.com/collections/all/products/tiger-reserve-coffee-beans,
Hunkal Heights,Tiger Reserve - Pure ground coffee (Prev. Morning Brew),Rs. 280.00,Rs.,"Kickstart your mornings with Tiger Reserve ground coffee, a special blend of 80% Arabica and 20% Robusta from our exclusive Thogarihunkal Estate in Chikkamagalur. Grown and harvested in the sector that's frequented by Tigers, Estate Coffee delivers a vibrant and energizing experience, for a roaring morning routine.  Th",https://www.hunkalestatecoffee.com/collections/all/products/tiger-reserve-pure-ground-coffee,
Hunkal Heights,Gift Card,Rs. 500.00,Rs.,"There’s nothing quite like the taste of pure, fresh, Estate Coffee straight from Chikkamagaluru, is there? Give another coffee lover like you to enjoy the same; Whether it’s for a celebration or just to show you’re thinking about them, this gift card makes every sip special. How it Works: Delivered instantly via email.",https://www.hunkalestatecoffee.com/products/gift-card,
