roaster,name,price,currency,description,product_url,image_url
Caarabi,ANAEROBIC NATURALS- AMMIKULAVI ESTATE,"117 reviews Regular price Rs. 945.00 Sale price Rs. 1,350.00",Rs.,"FROM THE COOL, ELEVATED LANDSCAPE OF THE PULNEY HILLS IN TAMIL NADU COMES A COFFEE SHAPED BY CAREFUL HANDWORK, CONTROLLED FERMENTATION, AND TIME. THIS IS OUR FIRST COLLABORATION WITH THE AMMIKULAVI ESTATE, LOCATED NEAR KODAIKANAL AT AROUND 1400 MASL, WHERE SLOW CHERRY DEVELOPMENT AND COOL CLIMATES ALLOW FLAVOUR TO FORM WITH DEPTH AND STRUCTURE. THIS MICROL0T IS PRODUCED USING A 72-HOUR ANAEROBIC FERMENTATION, WHERE RIPE, HAND-PICKED CHERRIES ARE SEALED IN AIRTIGHT BARRELS TO DEVELOP SWEETNESS AND COMPLEXITY IN A CONTROLLED, OXYGEN-FREE ENVIRONMENT. FOLLOWING FERMENTATION, THE COFFEE IS WASHED, BRIEFLY SUN-DRIED, AND THEN SHADE-DRIED SLOWLY ON RAISED BEDS. A FINAL RESTING PERIOD ALLOWS THE FLAVOURS TO STABILISE AND INTEGRATE FULLY. IN THE CUP, THIS COFFEE IS LAYERED AND EXPRESSIVE, WITH NOTES OF PLUM CAKE, LEMON VERBENA, WARM SPICE, STRAWBERRY, AND CACAO NIBS. ROASTED MEDIUM-LIGHT, IT MAINTAINS CLARITY AND SWEETNESS WHILE OFFERING A ROUNDED BODY AND STRUCTURED FINISH. THIS IS A COFFEE THAT REFLECTS ITS PROCESS AND PLACE HONESTLY — PATIENT, BALANCED, AND QUIETLY COMPLEX. Information: Estate: THE AMMIKULAVI ESTATE Region: PULNEY HILLS, TAMIL NADU Elevation: 1400 MASL Varietal: CATURRA, S795, S9 Lot: MICROLOT Process: 72-HOUR ANAEROBIC NATURALS Roast Level: MEDIUM-LIGHT Tasting Notes: PLUM CAKE, LEMON VERBENA, SPICE, STRAWBERRY, CACAO NIBS Best Brewed with: POUR-OVER, AEROPRESS, OR MODERN ESPRESSO Roaster’s Select Recipes: Pour Over: 18G COFFEE, 270ML WATER, MEDIUM GRIND, BREW TIME: 2:30–2:45 Aeropress: 17G COFFEE, 220ML WATER, INVERTED METHOD, BREW TIME: 2 MIN STEEP + 30 SEC PRESS",https://caarabicoffee.com/products/anaerobic-naturals-ammikulavi,//caarabicoffee.com/cdn/shop/files/Ammi-100.jpg?v=1767866067&width=480
Caarabi,Attikan Estate - Cultured Naturals,"179 reviews Regular price Rs. 875.00 Sale price Rs. 1,250.00",Rs.,"From the high-altitude slopes of Attikan Estate comes an exclusive natural microlot that’s as expressive as it is elegant. The natural process brings out a vivid fruit-forward character , and we knew the roast had to preserve every layer of its complexity. We chose a gentle light roast to let the coffee’s natural vibrancy shine—drawing out the bright strawberry and black grape notes while allowing a subtle red wine complexity to develop in the cup. The creamy body adds depth and smoothness, balancing the medium acidity so the coffee feels both lively and refined. As the cup cools, delicate floral whispers of chamomile appear, rounding off the experience with a graceful finish. This is a coffee we treated with restraint and precision in the roaster, ensuring every nuance of its natural processing and terroir could express itself fully. Information: Estate: Attikan Estate Region: Biligiri Hills, Karnataka Producer: Hamsini & Sriram Appadurai Varietal: SLN 9, HDT*Catuai Lot: Microlot Process: Cultured Naturals (Lactobacillus + Pichia Fermentation) Roast Level: Light Tasting Notes: Strawberry, Red Wine, Black Grapes, Chamomile Best Brewed with: Pour Over, Clever Dripper, Aeropress, French Press",https://caarabicoffee.com/products/attikan-estate-cultured-naturals,//caarabicoffee.com/cdn/shop/files/Artboard_3-100_69044321-96f6-4926-8810-21144221f930.jpg?v=1763715048&width=480
Caarabi,Baarbara Washed AA,109 reviews Regular price Rs. 560.00 Sale price Rs. 800.00,Rs.,"A staple in the Indian Specialty Coffee scene for years now, Baarbara has always been the crowd favourite when it comes to consistency in taste and quality. The Coffee in itself is quite complex with an unmistakable foundation of Milk Chocolate. Seconds later the Cherry and raisins notes manifest themselves leaving a naturally inherent perfumed finish with a medium desirable acidity throughout. This coffee is an all rounder, brewing well with most brewing methods to a gratifying cup of coffee. Information: Estate: Baarbara Estate Region: Chikmagalur, Karnataka Producer: Sreeraksha Purnesh Varietal: Arabica SL795 Elevation: 3850-5350 feet above sea level Process: Washed Arabica Roast Level: Medium Dark Tasting Notes: Milk Chocolate, Cherry, Black Raisins Harvest: November to February Best Brewed with: Espresso, Aeropress, French Press, Mokapot, V60 Brew Recipe: Espresso: Dose- 21 grams, Yield- 40 grams, Time- 28-31 seconds, V60: Dose- 18 grams, Brew Water Weight- 240 grams, Time- 02:25-02:35",https://caarabicoffee.com/products/baarbara-washed-aa,//caarabicoffee.com/cdn/shop/files/Artboard_5_copy_3-100.jpg?v=1770290824&width=480
Caarabi,Colombia Decaf,"101 reviews Regular price Rs. 1,505.00 Sale price Rs. 2,150.00",Rs.,"Get ready to indulge in the ultimate decaf experience! Our Colombian Decaf is a masterclass in flavor and nuance, sourced from the finest regions of Colombia and decaffeinated to perfection using the CO2 process at CR3-Kaffeeveredelung M. Hermsen in Germany. This intricate process requires precision and expertise, as high-pressure CO2 carefully extracts caffeine from the beans while preserving the delicate flavor compounds. We have then coaxed out the full potential of these exceptional beans, employing a delicate medium roast that teases out inherent sweetness and depth. The result is a truly sublime cup, bursting with vibrant notes of juicy orange, Cascara Tea and Cape Gooseberry. Smooth, full-bodied, and utterly delicious, our Colombian Decaf will redefine your expectations of decaf coffee. Information : Region : Colombia Processor : CR3-Kaffeeveredelung M. Hermsen Varietal : Various Process : Decaf CO2 Elevation : 4700 to 5600 feet above sea level Tasting Notes : Cascara Tea, Cape Gooseberry, Orange Harvest - November to February Best Brewed with : Espresso, Aeropress, French Press, Mokapot, V60 Brew Recipe : V60: Dose- 25 grams, Brew Water Weight- 320 grams, Time- 02:45-03:00",https://caarabicoffee.com/products/colombia-decaf,//caarabicoffee.com/cdn/shop/files/DECAF.jpg?v=1765534933&width=480
Caarabi,Cosy AF,108 reviews Regular price Rs. 665.00 Sale price Rs. 950.00,Rs.,"Winter doesn’t stand a chance. Cosy AF is a plush, big-bodied winter blend that wraps you in layers of brown spice, toasted almond, dark chocolate, and molasses sweetness, lifted by soft hints of jasmine and coconut weaving through every sip. Built from a trio of expressive lots — Karadykan Dual Ferment, Ram Estate Anaerobic Honey, and Ratnagiri Culture Naturals — this blend is bold, warming, and effortlessly comforting. Think of it as the coffee equivalent of your favourite blanket: rich, cosy, and just the right amount of extra. A cup made for slow mornings, soft evenings, and everything in between. Information: Components: Karadykan Dual Fermented, Ram Estate Anaerobic Honey, Ratnagiri Culture Naturals Region: Chikmagalur & Sakleshpur, Karnataka Roast Level: Medium Process: Dual Fermented Arabica, Anaerobic Honey Arabica, Cultured Naturals Tasting Notes: Brown Spice, Toasted Almond, Licorice, Jasmine, Dark Chocolate, Molasses Best Brewed With: Espresso, French Press, Pour-Over, Moka Pot Roaster’s Select Recipe: Espresso: Dose: 20 g Yield: 38–40 g Time: 28–30 sec Pour- Over (V60/Origami) : Coffee: 15 g Water: 250 g Brew Time: 2:45–3:00 mins Grind: Medium",https://caarabicoffee.com/products/cosy-af,//caarabicoffee.com/cdn/shop/files/Artboard_5_copy-100_1.jpg?v=1765286627&width=480
Caarabi,Espresso Sunshine Blend,105 reviews Regular price Rs. 525.00 Sale price Rs. 750.00,Rs.,"Get ready to kick-start your day with a burst of sunshine in every sip! Introducing our cafe-specific blend, Espresso Sunshine – the ultimate mood-booster for cafes craving that extra dose of flavor excitement. Roasted to a beautiful dark level, this blend combines the magic of four distinct beans, resulting in a lively flavor profile bursting with notes of dark chocolate, oak, and vanilla, all rounded off with a sweet finish that'll have you craving for more. It's the perfect pick-me-up to brighten your day, one cup at a time! Information : Components : Mixed Estates Region : Chikmagalur, Karnataka Process : Washed, Honey Sun Dried Arabica Roast Level : Dark Tasting Notes : Dark Chocolate, Oak, Vanilla. Best Brewed with: Espresso, Cold Brew.Roaster’s Recipe: Espresso: Dose- 19 grams, Yield- 38-40 grams, Time- 27-29 sec Cold Brew : Dose: 100 grams, Water: 800 grams, Time: 24 hours",https://caarabicoffee.com/products/espresso-sunshine-blend,//caarabicoffee.com/cdn/shop/files/Artboard_6_copy_4-100.jpg?v=1765259403&width=480
Caarabi,French Roast,107 reviews Regular price Rs. 560.00 Sale price Rs. 800.00,Rs.,"This is the true Dark Side! This roast requires a lot of meticulous observation mainly because the line between French Roast and burnt beans is quite blurry. Specialty graded beans from the Baarbara Estate and Thogarihunkal Estate are blended to perfection post roast. The roast profile touches the sweet spot of the second crack where the beans achieve the tasting notes of dark, smoky wood undertones and also has a relatively high level of sweetness. This coffee is certainly for when you enjoy the smoky character of coffee with big body and sweetness Information : Components : Baarbara & Thogarihunkal Region : Chikmagalur, Karnataka Process : Washed AA Arabica, Honey Sun Dried Arabica Roast Level : Ultra Dark- French Roast Tasting Notes : Smoky, Bold, sweet finish. Best Brewed with : Espresso, French Press. Roaster’s Select Recipe : Espresso: Dose- 18 grams, Yield- 38-40 grams, Time- 25-27 seconds. French Press: Dose: 15 grams, Water: 250 grams, Time:  4 mins.",https://caarabicoffee.com/products/french-roast,//caarabicoffee.com/cdn/shop/files/Artboard_5_copy_5-100.jpg?v=1765259042&width=480
Caarabi,Honey Double Fermentation,"110 reviews Regular price Rs. 700.00 Sale price Rs. 1,000.00",Rs.,"This beautiful microlot coffee from Baarbara Estate undergoes a distinctive double fermentation process, combining the benefits of natural and honey processing methods. Initially, the coffee cherries are fermented whole without depulping, allowing the fruit to impart rich, fruity flavors and aromas. After this natural fermentation stage, the pulp is removed, and the coffee undergoes a secondary fermentation with a layer of mucilage intact, characteristic of the honey process. This innovative approach enhances the coffee's complexity, sweetness, and body, resulting in a truly unique flavor profile that showcases the best of both processing worlds. Information: Estate: Baarbara Estate Region: Chikmagalur, Karnataka Producer: Sreeraksha Purnesh Varietal: SL795 (Cross of S288 and the Kent variety, developed by the Central Coffee Research Institute, India) Process: Honey double fermentation Elevation: 3850-5350 feet above sea level Tasting Notes: Red Grape, Cranberry, Melon, Fruit & Nut Choc, Tea like finish Harvest: November to February Best Brewed with: Espresso, Aeropress, French Press, Mokapot, V60 Brew Recipe: Espresso: Dose- 21 grams, Yield- 40 grams, Time- 28-31 seconds V60: Dose- 18 grams, Brew Water Weight- 240 grams, Time- 02:25-02:35",https://caarabicoffee.com/products/honey-double-fermentation,//caarabicoffee.com/cdn/shop/files/Artboard_4-100.jpg?v=1763715146&width=480
Caarabi,Karadykan Estate - Dual Fermented Washed,179 reviews Regular price Rs. 630.00 Sale price Rs. 900.00,Rs.,"This dual fermented washed lot is all about balance with a twist. The process itself brings out layers of complexity—sweet, nutty, and gently fruity—that we wanted to showcase without overwhelming the cup. During roasting, we leaned into a medium profile to preserve the coffee’s natural caramel sweetness and creamy milk chocolate body , while carefully stretching the development to bring out the pecan-like nuttiness and a touch of amaretto richness. At the same time, we made sure to protect the bright citrus acidity , so it lifts the cup without turning sharp. The result is a coffee that feels both vibrant and comforting —a daily drinker with enough intrigue to keep you coming back for another sip. Information: Estate: Karadykan Estate Region: Bababudan-giris, Karnataka Altitude: 4500 feet above sea level Producer: Sangameshwar Coffee Varietal: Arabica Catimor Lot: Single Origin Process: Dual Fermented Washed Arabica Roast Level: Medium Tasting Notes: Caramel, Milk Chocolate, Pecans, Amaretto Best Brewed with: Espresso, Aeropress, Moka Pot Roaster’s Select Recipes: Espresso: Dose – 21g, Yield – 40g, Time – 28–30 sec Moka Pot: 12–13g, Water – 100g, Time – 3:30–4:00 min",https://caarabicoffee.com/products/karadykan-estate-dual-fermented-washed,//caarabicoffee.com/cdn/shop/files/Artboard_6_copy_3-100.jpg?v=1765259858&width=480
Caarabi,'Man On Mars' Blend,110 reviews Regular price Rs. 595.00 Sale price Rs. 850.00,Rs.,"This beautiful blend is made up of two origins, namely the Baarbara Washed AA sized beans and Gungegiri Dual Fermented Washed beans and is roasted to a medium level. We love this coffee for its tasting notes of Chocolate, Caramel and Nougat, almost akin to the Mars Bar! It is a versatile blend tasting good both as black and milk based coffee. Information: Components: Baarbara AA Washed, Gungegiri Dual Ferment Washed Region: Chikmagalur, Karnataka Roast Level: Medium Process: Washed Arabica, Dual Fermented Washed Arabica Tasting Notes: Chocolate, Caramel, Nougat Best Brewed with: Espresso, Aeropress, Moka Pot Roaster’s Select Recipe: Espresso: Dose- 21 grams, Yield- 40 grams, Time- 28-30 seconds. Moka Pot: 12-13 grams, Water: 100 grams water, time- 3:30-04:00 mins",https://caarabicoffee.com/products/man-on-mars-blend,//caarabicoffee.com/cdn/shop/files/Artboard_6_copy-100.jpg?v=1765258316&width=480
