name,price,currency,availability,roast_level,process,tasting_notes,description,product_id,product_handle,url
Monsoon Malabar AA- Hoysala Estate,700.0,INR,http://schema.org/InStock,Medium Dark Roast,,,"We’re excited to bring back Monsoon Malabar from Hoysala Estate. The unique flavour profile of this coffee develops when winds and humidity from seasonal monsoon rain change the characteristics of the coffee beans. While this process has its accidental roots in colonial India when a shipment to Europe was attacked by the full force of monsoon winds, similar conditions have been recreated in a controlled environment for consistency in every lot produced. 
When roasted medium dark, the result is a medium-bodied cup that invites with sweet aromas of butter biscuits, treating you to notes of cocoa nibs and dried fruit, concluding with the aftertaste of dark chocolate. Best enjoyed when brewed as an espresso, in the Moka Pot or the French press, the nutty flavour profile of this coffee makes for a delicious cup, either milky or black. 
Recommended Resting Period: 15 Days",456368360,monsoon-malabar,/collections/roasted-and-ground-coffee-beans/products/monsoon-malabar
Cold Brew Bags - Kalledeverapura,600.0,INR,http://schema.org/InStock,,,,"Rich + Smooth
This single estate Cold Brew option is a medium roast sourced from one of our oldest farm partners, Kalledevarapura Estate, situated in the hills of Chikmagalur. With beautiful notes of stone fruit and toffee, this blend can be enjoyed black or with milk.
Each box contains Cold Brew sachets of 50g each.",4637772152887,kalledeverapura,/collections/you-may-also-like-1/products/kalledeverapura
13th Birthday Blend,800.0,INR,http://schema.org/OutOfStock,Medium Roast,,,"This celebratory blend brings together natural lots from Stanmore, Orchardale, and Riverdale Estates in Yercaud, along with a washed lot from Unakki Estate in Chikmagalur, which forms the base. Its flavour profile takes us back to the Black Forest cakes many of us celebrated birthdays with during our teen years. 
Opening with the aroma of honey and strawberries, the cup has a medium-high body and a round mouthfeel. You'll notice notes of strawberry, chocolate, cherry, and pear, followed by a lingering finish of chocolate-covered strawberries. 
This blend brews well across a range of methods, including espresso, AeroPress, French Press, Moka Pot, and Pour Over. Equally enjoyable black or with milk, it lends itself to a wide range of recipes.
Recommended Resting Period: 10 Days",7390307024951,13th-birthday-blend,/collections/roasted-and-ground-coffee-beans/products/13th-birthday-blend
Krishnagiri Estate,700.0,INR,http://schema.org/InStock,Dark Roast,,,"A single origin dark roast, this coffee comes from a Rainforest Alliance Certified farm. The producers used a custom-designed pulper to process this washed lot, minimising water usage.  
In the cup, you'll first notice the aroma of brown spices. The brew, characterised by mellow acidity, a heavy body, and a velvety mouthfeel, reminds of oak, toasted walnuts, and malt. A bittersweet finish lingers between sips.  
We recommend brewing this coffee as an espresso, using a Moka Pot, French Press, or an AeroPress. It is rich enough to enjoy black, and also pairs well with milk.
Recommended Resting Period: 7 Days",7292888285239,krishnagiri-estate-dark,/collections/roasted-and-ground-coffee-beans/products/krishnagiri-estate-dark
The Rich & Bold Trio Pack-Coffee beans,700.0,INR,http://schema.org/InStock,,,,"
Introducing our Rich &amp; Bold Trio Pack of whole coffee beans or ground coffee, meticulously curated to help you explore our world of dark coffee wonders. Whether you're new to our brand or simply looking to diversify your coffee experience, this customisable mixed bag  is your gateway to discovering the ideal darker brews for your taste buds. 


Inside this carefully crafted sampler pack, you'll find three coffees: 


Vienna Roast: Rich and smoky notes with a perfect balance of boldness and smoothness. French Roast: For those who crave the deep, dark intensity of a very dark roast. Silver Oak: Celebrated for its complex flavours and versatility, this one is our own in-house cafe blend 


Each Sampler Pack will contain 75 g x 3 pouches. 
",6835135709239,the-rich-bold-trio-pack,/collections/roasted-and-ground-coffee-beans/products/the-rich-bold-trio-pack
Customised Sampler Pack,700.0,INR,http://schema.org/InStock,,,,"
Our assorted sampler pack is for those who want to try our coffee beans, whether as whole beans or ground coffee, but don't know where to start. This customizable mixed bag of coffee beans allows you to choose between three different coffees to discover which ones work best for you. 


Each Sampler Pack will contain 75 g x 3 pouches. 
",1698722938935,customised-sampler-pack,/collections/roasted-and-ground-coffee-beans/products/customised-sampler-pack
AeroPress Coffee Filter Paper,150.0,INR,http://schema.org/OutOfStock,,,,"Coffee filter papers made for your AeroPress. These high-quality filters are easy to use and absorb bitter tasting oils for smoother tasting coffee.

Compatible with all AeroPress brewers except the AeroPress XL
Each bag comes with 100 filters 
",6929186062391,aeropress-filter-paper,/products/aeropress-filter-paper
5-in-1 Explorer Pack,1170.0,INR,http://schema.org/InStock,,,,"
Want to try different flavours before deciding which one to settle on? 


Order our 5-in-1 Explorer pack and find a new favourite!  


This pack is a curated collection of five different coffees with different flavour profiles from our wide range of Indian coffees: 



A balanced Silver Oak Blend 


A bold and bitter Vienna Roast 


A chocolatey and nutty coffee from Attikan Estate 


A chocolatey and nutty coffee from Baarbara Estate 


A balanced Amaltas Blend


Each Sampler Pack will contain 75 g x 5 pouches of whole coffee beans or ground coffee.",6953214869559,5-in-1-explorer-pack,/collections/roasted-and-ground-coffee-beans/products/5-in-1-explorer-pack
Attikan Estate,700.0,INR,http://schema.org/InStock,Medium Dark Roast,,,"Attikan Estate's arabica coffee beans come from the Biligiriranga Hills in Karnataka and is make for one of our most popular coffees. Sweet with fruity overtones and balanced acidity, this is the darkest of our standard medium roasts and recommended for espresso lovers. It is a versatile coffee that also works for manual brewing such as Moka Pot, South Indian Filter and AeroPress. 
Located to the south of Mysore, the Biligiriranga Hills, or ‘white hills’ are named after the mist that hangs over the region. At 1650 meters, it is amongst the highest coffee growing regions in India and grows Selection 9, Selection 795, Cauvery and Kent varieties of Arabica, along with Silver Oaks, citrus, and fig trees.
",400881436,attikan-estate,/collections/roasted-and-ground-coffee-beans/products/attikan-estate
French Roast,650.0,INR,http://schema.org/InStock,Dark Roast,,,"Our darkest roasted coffee, the French Roast is a blend best enjoyed black for those who like their coffee bold, like a traditional espresso with bittersweet notes. If you’re looking to add milk and still retain a definite bite, this is a great choice.
We recommend brewing this as an Espresso or using manual brewing equipment such as French Press or Manual Grinder.",456367752,french-roast,/collections/roasted-and-ground-coffee-beans/products/french-roast
