Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Filter Coffee Blend,Beachville Coffee,700.0,,Dark Roast,,Chikmagalur,,"Our all-time favourite. We source the best quality beans from Chikmaglur and Yercaud and roast them to perfection, not too dark. This coffee is one that anybody can drink with or without milk, with our without sugar. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/filter-coffee-blend,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Filter.jpg?v=1749398063,Coffee
Filter Coffee Blend,Beachville Coffee,700.0,,Dark Roast,,Chikmagalur,,"Our all-time favourite. We source the best quality beans from Chikmaglur and Yercaud and roast them to perfection, not too dark. This coffee is one that anybody can drink with or without milk, with our without sugar. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/filter-coffee-blend,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Filter.jpg?v=1749398063,Coffee
Filter Coffee Blend,Beachville Coffee,700.0,,Dark Roast,,Chikmagalur,,"Our all-time favourite. We source the best quality beans from Chikmaglur and Yercaud and roast them to perfection, not too dark. This coffee is one that anybody can drink with or without milk, with our without sugar. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/filter-coffee-blend,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Filter.jpg?v=1749398063,Coffee
Filter Coffee Blend,Beachville Coffee,700.0,,Dark Roast,,Chikmagalur,,"Our all-time favourite. We source the best quality beans from Chikmaglur and Yercaud and roast them to perfection, not too dark. This coffee is one that anybody can drink with or without milk, with our without sugar. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/filter-coffee-blend,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Filter.jpg?v=1749398063,Coffee
Filter Coffee Blend,Beachville Coffee,700.0,,Dark Roast,,Chikmagalur,,"Our all-time favourite. We source the best quality beans from Chikmaglur and Yercaud and roast them to perfection, not too dark. This coffee is one that anybody can drink with or without milk, with our without sugar. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/filter-coffee-blend,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Filter.jpg?v=1749398063,Coffee
Filter Coffee Blend,Beachville Coffee,700.0,,Dark Roast,,Chikmagalur,,"Our all-time favourite. We source the best quality beans from Chikmaglur and Yercaud and roast them to perfection, not too dark. This coffee is one that anybody can drink with or without milk, with our without sugar. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/filter-coffee-blend,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Filter.jpg?v=1749398063,Coffee
Espresso Blend,Beachville Coffee,700.0,,Medium-Dark Roast,We source the best quality beans from Chikmaglur and Yercaud and,Chikmagalur,,"We source the best quality beans from Chikmaglur and Yercaud and roast them to a medium-dark roast. Best for home or office espresso machines, with hints of red berries and the sweetness of dark caramel. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/espresso-blend-1,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Espresso.jpg?v=1749400456,Coffee
Espresso Blend,Beachville Coffee,700.0,,Medium-Dark Roast,We source the best quality beans from Chikmaglur and Yercaud and,Chikmagalur,,"We source the best quality beans from Chikmaglur and Yercaud and roast them to a medium-dark roast. Best for home or office espresso machines, with hints of red berries and the sweetness of dark caramel. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/espresso-blend-1,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Espresso.jpg?v=1749400456,Coffee
Espresso Blend,Beachville Coffee,700.0,,Medium-Dark Roast,We source the best quality beans from Chikmaglur and Yercaud and,Chikmagalur,,"We source the best quality beans from Chikmaglur and Yercaud and roast them to a medium-dark roast. Best for home or office espresso machines, with hints of red berries and the sweetness of dark caramel. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/espresso-blend-1,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Espresso.jpg?v=1749400456,Coffee
Espresso Blend,Beachville Coffee,700.0,,Medium-Dark Roast,We source the best quality beans from Chikmaglur and Yercaud and,Chikmagalur,,"We source the best quality beans from Chikmaglur and Yercaud and roast them to a medium-dark roast. Best for home or office espresso machines, with hints of red berries and the sweetness of dark caramel. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/espresso-blend-1,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Espresso.jpg?v=1749400456,Coffee
Espresso Blend,Beachville Coffee,700.0,,Medium-Dark Roast,We source the best quality beans from Chikmaglur and Yercaud and,Chikmagalur,,"We source the best quality beans from Chikmaglur and Yercaud and roast them to a medium-dark roast. Best for home or office espresso machines, with hints of red berries and the sweetness of dark caramel. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/espresso-blend-1,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Espresso.jpg?v=1749400456,Coffee
Espresso Blend,Beachville Coffee,700.0,,Medium-Dark Roast,We source the best quality beans from Chikmaglur and Yercaud and,Chikmagalur,,"We source the best quality beans from Chikmaglur and Yercaud and roast them to a medium-dark roast. Best for home or office espresso machines, with hints of red berries and the sweetness of dark caramel. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/espresso-blend-1,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Espresso.jpg?v=1749400456,Coffee
Kerehaklu Estate,Beachville Coffee,900.0,,Light Roast,,Kerehaklu Estate,,"This is an amazing coffee from Chikmaglur grown at 4000ft. Rich and indulgent to drink, we light roast it to bring out all the sweetness and acidity with notes of mango, honey and caramel. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/kerehaklu,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Kere.jpg?v=1749401468,Coffee
Kerehaklu Estate,Beachville Coffee,900.0,,Light Roast,,Kerehaklu Estate,,"This is an amazing coffee from Chikmaglur grown at 4000ft. Rich and indulgent to drink, we light roast it to bring out all the sweetness and acidity with notes of mango, honey and caramel. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/kerehaklu,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Kere.jpg?v=1749401468,Coffee
Kerehaklu Estate,Beachville Coffee,900.0,,Light Roast,,Kerehaklu Estate,,"This is an amazing coffee from Chikmaglur grown at 4000ft. Rich and indulgent to drink, we light roast it to bring out all the sweetness and acidity with notes of mango, honey and caramel. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/kerehaklu,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Kere.jpg?v=1749401468,Coffee
Kerehaklu Estate,Beachville Coffee,900.0,,Light Roast,,Kerehaklu Estate,,"This is an amazing coffee from Chikmaglur grown at 4000ft. Rich and indulgent to drink, we light roast it to bring out all the sweetness and acidity with notes of mango, honey and caramel. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/kerehaklu,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Kere.jpg?v=1749401468,Coffee
Kerehaklu Estate,Beachville Coffee,900.0,,Light Roast,,Kerehaklu Estate,,"This is an amazing coffee from Chikmaglur grown at 4000ft. Rich and indulgent to drink, we light roast it to bring out all the sweetness and acidity with notes of mango, honey and caramel. All our coffee packs are 250g and can be shipped either as whole beans or ground to your preferred brewing method.",https://beachvillecoffee.com/products/kerehaklu,https://cdn.shopify.com/s/files/1/0920/5320/9375/files/Kere.jpg?v=1749401468,Coffee
