roaster,name,price,currency,description,product_url,image_url,variants
Araku,High Altitude,940.00,INR,"<p>In Araku Valley’s Bakuru village, farmers Korra Chittibabu and Varalakshmi tend their coffee at elevations of 3,790 to 4,362 feet. Cool air, dark rocky soil, and a canopy of wild mango, jackfruit, and silver oak trees imbue this coffee with a quiet complexity. At this elevation, the coffee cherries ripen gradually, allowing sugars to concentrate and aromatic complexity to develop.<br><br>The cherries are processed using the specialized black honey drying method, which preserves the natural sweetness of the bean, lending this coffee its rounded body and distinctive fruitiness.<br><br>A medium roast coaxes out the full personality of the beans. The flavor opens with a gentle sweetness reminiscent of rose apple and buttercream cookies and is balanced by notes of caramel and baker's chocolate. Best enjoyed through slow brewing methods like pour-over or French press.</p>",https://www.arakucoffee.in/products/high-altitude,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/HIGH_ALTITUDE.png?v=1777531472,Pouch / 250 gms / Whole Beans; Pouch / 250 gms / Very Fine Grind; Pouch / 250 gms / Fine Grind; Pouch / 250 gms / Medium Grind; Pouch / 250 gms / Coarse Grind
Araku,Selection,2740.00,INR,"<p class=""MsoNormal""><span lang=""EN"" style=""font-size: 12.0pt; line-height: 115%; mso-fareast-font-family: 'Times New Roman';"">Named for the carefully chosen plots from which it is sourced, Selection is grown in dark, rocky soil under a canopy of jackfruit, jamun, lime and mango trees.<br><br>Strong and full-bodied, the flavour opens with notes of dark chocolate and caramel, followed by the mellow sweetness of sugarcane and honey. Best enjoyed as an espresso or moka pot brew, black or with a splash of milk.</span></p>
<p class=""MsoNormal""><span lang=""EN"" style=""font-size: 12.0pt; line-height: 115%; mso-fareast-font-family: 'Times New Roman';""> </span></p>
<p class=""MsoNormal""><span lang=""EN"" style=""font-size: 12.0pt; line-height: 115%; mso-fareast-font-family: 'Times New Roman';"">Not sure which grind to order? Check out our grind size chart below for a quick brew tip!</span></p>",https://www.arakucoffee.in/products/selection,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/Selection_new.png?v=1780927264,Pouch / 1kg (250 gms X 4) / Whole Beans; Pouch / 1kg (250 gms X 4) / Very Fine Grind; Pouch / 1kg (250 gms X 4) / Fine Grind; Pouch / 1kg (250 gms X 4) / Medium Grind; Pouch / 1kg (250 gms X 4) / Coarse Grind; Pouch / 500gms (250 gms X 2) / Whole Beans; Pouch / 500gms (250 gms X 2) / Very Fine Grind; Pouch / 500gms (250 gms X 2) / Fine Grind; Pouch / 500gms (250 gms X 2) / Medium Grind; Pouch / 500gms (250 gms X 2) / Coarse Grind; Pouch / 250 gms / Whole Beans; Pouch / 250 gms / Very Fine Grind; Pouch / 250 gms / Fine Grind; Pouch / 250 gms / Medium Grind; Pouch / 250 gms / Coarse Grind; Tin / 1kg (250 gms X 4) / Whole Beans; Tin / 1kg (250 gms X 4) / Very Fine Grind; Tin / 1kg (250 gms X 4) / Fine Grind; Tin / 1kg (250 gms X 4) / Medium Grind; Tin / 1kg (250 gms X 4) / Coarse Grind; Tin / 500gms (250 gms X 2) / Whole Beans; Tin / 500gms (250 gms X 2) / Very Fine Grind; Tin / 500gms (250 gms X 2) / Fine Grind; Tin / 500gms (250 gms X 2) / Medium Grind; Tin / 500gms (250 gms X 2) / Coarse Grind; Tin / 250 gms / Whole Beans; Tin / 250 gms / Very Fine Grind; Tin / 250 gms / Fine Grind; Tin / 250 gms / Medium Grind; Tin / 250 gms / Coarse Grind
Araku,Signature,2420.00,INR,"<p class=""MsoNormal"" style=""margin: 12.0pt 0cm 12.0pt 0cm;""><span lang=""EN"" style=""font-size: 12.0pt; line-height: 115%; mso-fareast-font-family: 'Times New Roman';"">ARAKU Signature coffee is sourced from the village of Kuthangi Thadeput in Araku Valley, where coffee grows under the shade of silver oak trees entwined with pepper vines. The rocky, well-aerated soil and elevation support the slow ripening of the coffee cherries, allowing greater flavour complexity to develop. Cultivated by farmers Boyi Radha and Simhadri, the coffee is grown alongside pepper, millets, turmeric, and paddy using regenerative agriculture practices.</span></p>
<p class=""MsoNormal"" style=""margin: 12.0pt 0cm 12.0pt 0cm;""><span lang=""EN"" style=""font-size: 12.0pt; line-height: 115%; mso-fareast-font-family: 'Times New Roman';"">Balanced and versatile, Signature is the perfect introduction to specialty coffee. Its flavour opens with notes of chocolate, green pepper, and cherry, followed by the delicate aroma of fine tea. <br><br>Not sure which grind to order? Check out our grind size chart below for a quick brew tip!</span></p>",https://www.arakucoffee.in/products/signature,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/Signature_new.png?v=1780926706,Pouch / 1kg (250 gms X 4) / Very Fine Grind; Pouch / 1kg (250 gms X 4) / Whole Beans; Pouch / 1kg (250 gms X 4) / Fine Grind; Pouch / 1kg (250 gms X 4) / Medium Grind; Pouch / 1kg (250 gms X 4) / Coarse Grind; Pouch / 500gms (250 gms X 2) / Very Fine Grind; Pouch / 500gms (250 gms X 2) / Whole Beans; Pouch / 500gms (250 gms X 2) / Fine Grind; Pouch / 500gms (250 gms X 2) / Medium Grind; Pouch / 500gms (250 gms X 2) / Coarse Grind; Pouch / 250 gms / Very Fine Grind; Pouch / 250 gms / Whole Beans; Pouch / 250 gms / Fine Grind; Pouch / 250 gms / Medium Grind; Pouch / 250 gms / Coarse Grind; Tin / 1kg (250 gms X 4) / Very Fine Grind; Tin / 1kg (250 gms X 4) / Whole Beans; Tin / 1kg (250 gms X 4) / Fine Grind; Tin / 1kg (250 gms X 4) / Medium Grind; Tin / 1kg (250 gms X 4) / Coarse Grind; Tin / 500gms (250 gms X 2) / Very Fine Grind; Tin / 500gms (250 gms X 2) / Whole Beans; Tin / 500gms (250 gms X 2) / Fine Grind; Tin / 500gms (250 gms X 2) / Medium Grind; Tin / 500gms (250 gms X 2) / Coarse Grind; Tin / 250 gms / Very Fine Grind; Tin / 250 gms / Whole Beans; Tin / 250 gms / Fine Grind; Tin / 250 gms / Medium Grind; Tin / 250 gms / Coarse Grind
Araku,Micro Climate,3060.00,INR,"<p>Rich, mellow, intensely fruity, it offers an aroma laden cup. With its generous body and wholesome notes of candied fruit, it lends itself perfectly to filtered brew, pour overs or a French Press. A unique coffee from rare terroirs of gently sloping, diversely shaded highland micro-plots situated on a river island.</p>
<p><span>Not sure which grind to order? Checkout our grind size chart below for a quick brew tip!</span></p>",https://www.arakucoffee.in/products/micro-climate,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/Micro_Climate_New.png?v=1780930232,Pouch / 1kg (250 gms X 4) / Whole Beans; Pouch / 1kg (250 gms X 4) / Very Fine Grind; Pouch / 1kg (250 gms X 4) / Fine Grind; Pouch / 1kg (250 gms X 4) / Medium Grind; Pouch / 1kg (250 gms X 4) / Coarse Grind; Pouch / 500gms (250 gms X 2) / Whole Beans; Pouch / 500gms (250 gms X 2) / Very Fine Grind; Pouch / 500gms (250 gms X 2) / Fine Grind; Pouch / 500gms (250 gms X 2) / Medium Grind; Pouch / 500gms (250 gms X 2) / Coarse Grind; Pouch / 250 gms / Whole Beans; Pouch / 250 gms / Very Fine Grind; Pouch / 250 gms / Fine Grind; Pouch / 250 gms / Medium Grind; Pouch / 250 gms / Coarse Grind; Tin / 1kg (250 gms X 4) / Whole Beans; Tin / 1kg (250 gms X 4) / Very Fine Grind; Tin / 1kg (250 gms X 4) / Fine Grind; Tin / 1kg (250 gms X 4) / Medium Grind; Tin / 1kg (250 gms X 4) / Coarse Grind; Tin / 500gms (250 gms X 2) / Whole Beans; Tin / 500gms (250 gms X 2) / Very Fine Grind; Tin / 500gms (250 gms X 2) / Fine Grind; Tin / 500gms (250 gms X 2) / Medium Grind; Tin / 500gms (250 gms X 2) / Coarse Grind; Tin / 250 gms / Whole Beans; Tin / 250 gms / Very Fine Grind; Tin / 250 gms / Fine Grind; Tin / 250 gms / Medium Grind; Tin / 250 gms / Coarse Grind
Araku,Grand Reserve,3390.00,INR,"<p class=""MsoNormal"" style=""margin: 12.0pt 0cm 12.0pt 0cm;""><span lang=""EN"" style=""font-size: 12.0pt; line-height: 115%; mso-fareast-font-family: 'Times New Roman';"">Sourced from the highest and most select plots—the Grand Cru—of Araku Valley, ARAKU Grand Reserve coffee is cultivated at high elevation by farmers Badnaini Sombabu and Subadramma. Grown in dark, rocky soil under a canopy of silver oak, mango, jackfruit, and jamun trees, this coffee reflects both the diversity of its terrain and the care with which it is grown.</span></p>
<p class=""MsoNormal"" style=""margin: 12.0pt 0cm 12.0pt 0cm;""><span lang=""EN"" style=""font-size: 12.0pt; line-height: 115%; mso-fareast-font-family: 'Times New Roman';"">The flavour opens with notes of tropical fruit and citrus, followed by delicate florals and deeper notes of dates and olives, creating a cup that is both vibrant and well-rounded. Enjoy this brew black or with a splash of milk.</span></p>
<p class=""MsoNormal"" style=""margin: 12.0pt 0cm 12.0pt 0cm;""><span lang=""EN"" style=""font-size: 12.0pt; line-height: 115%; mso-fareast-font-family: 'Times New Roman';"">Not sure which grind to order? Check out our grind size chart below for a quick brew tip!</span></p>",https://www.arakucoffee.in/products/grande-reserve,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/Grand_Reserve_New.png?v=1780930799,Pouch / 1kg (250 gms X 4) / Whole Beans; Pouch / 1kg (250 gms X 4) / Very Fine Grind; Pouch / 1kg (250 gms X 4) / Fine Grind; Pouch / 1kg (250 gms X 4) / Medium Grind; Pouch / 1kg (250 gms X 4) / Coarse Grind; Pouch / 500gms (250 gms X 2) / Whole Beans; Pouch / 500gms (250 gms X 2) / Very Fine Grind; Pouch / 500gms (250 gms X 2) / Fine Grind; Pouch / 500gms (250 gms X 2) / Medium Grind; Pouch / 500gms (250 gms X 2) / Coarse Grind; Pouch / 250 gms / Whole Beans; Pouch / 250 gms / Very Fine Grind; Pouch / 250 gms / Fine Grind; Pouch / 250 gms / Medium Grind; Pouch / 250 gms / Coarse Grind; Tin / 1kg (250 gms X 4) / Whole Beans; Tin / 1kg (250 gms X 4) / Very Fine Grind; Tin / 1kg (250 gms X 4) / Fine Grind; Tin / 1kg (250 gms X 4) / Medium Grind; Tin / 1kg (250 gms X 4) / Coarse Grind; Tin / 500gms (250 gms X 2) / Whole Beans; Tin / 500gms (250 gms X 2) / Very Fine Grind; Tin / 500gms (250 gms X 2) / Fine Grind; Tin / 500gms (250 gms X 2) / Medium Grind; Tin / 500gms (250 gms X 2) / Coarse Grind; Tin / 250 gms / Whole Beans; Tin / 250 gms / Very Fine Grind; Tin / 250 gms / Fine Grind; Tin / 250 gms / Medium Grind; Tin / 250 gms / Coarse Grind
Araku,Pocket Brew – Collection,1280.00,INR,"<p>From soil to cup, ARAKU is defined by its terroir—the unique combination of soil, climate, and altitude that gives our coffees their distinct character. With the <strong>Pocket Brew Collection</strong>, we’ve captured that story in elegant, single-serve drip bags you can brew anywhere. No grinder, no scale, no complicated equipment—just pure specialty coffee, simplified.</p>
<p>Inside each box, you’ll experience three of ARAKU’s celebrated terroir coffees:</p>
<p><strong>Selection </strong>– smooth and balanced, perfect for everyday moments</p>
<p><strong>Micro Climate</strong> – nuanced layers that reflect the diversity of our valley</p>
<p><strong>Grand Reserve</strong> – rich, indulgent, and crafted for special occasions</p>
<p>Whether you’re discovering specialty coffee for the first time or you’re a seasoned enthusiast seeking a travel-friendly solution, the Pocket Brew Collection makes it effortless to taste, compare, and choose your favorite ARAKU cup. Each drip bag is designed for consistency, freshness, and convenience—so you can enjoy café-quality coffee in just a few minutes.</p>
<p>More than just a coffee kit, this collection is also a thoughtful gift. Presented in a beautifully designed, premium box, it’s perfect for colleagues, friends, and loved ones who appreciate craft, sustainability, and the joy of sharing great coffee.</p>
<article class=""product-copy"">
<p>What’s Inside: This pack contains 15 single-serve coffee sachets — 5 each of <em>Micro Climate</em>, <em>Selection</em>, and <em>Grand Reserve</em>.</p>
<!-- Structured data microdata --> <meta content=""ARAKU Coffee"" itemprop=""brand""></article>
<p><!-- Product JSON-LD --></p>
<p> </p>",https://www.arakucoffee.in/products/pocket-brew-collection-pour-over-arabica-coffee-drip-bags,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/WhatsApp_Image_2026-02-27_at_12.13.13_PM.jpg?v=1772174684,Default Title
Araku,Pocket Brew - Selection,760.00,INR,"<p data-start=""234"" data-end=""421"">If you’re just starting your journey into specialty coffee, or you're someone who loves great coffee even while traveling, the ARAKU Coffee Pocket Brew Selection is made just for you.</p>
<p data-start=""423"" data-end=""784"">Inside each pack, you’ll find 10 single-serve drip bag sachets filled with freshly ground Selection beans from ARAKU Coffee. These sachets are nitrogen-flushed to lock in freshness, aroma, and flavor until the moment you brew. Just tear one open, place it over a sturdy cup, pour in hot water, and enjoy barista-quality coffee—anytime, anywhere.</p>
<p data-start=""786"" data-end=""908"">Whether you're commuting, flying, road-tripping, or simply need a quick fix at home, this is specialty coffee made simple.</p>
<h3 data-start=""915"" data-end=""953"">Perfect for Travel &amp; Everyday Life</h3>
<ul data-start=""955"" data-end=""1127"">
<li data-start=""955"" data-end=""1019"">
<p data-start=""957"" data-end=""1019"">Lightweight and compact—fits in your bag, purse, or carry-on</p>
</li>
<li data-start=""1020"" data-end=""1072"">
<p data-start=""1022"" data-end=""1072"">No need for coffee gear—just a cup and hot water</p>
</li>
<li data-start=""1073"" data-end=""1127"">
<p data-start=""1075"" data-end=""1127"">Ideal for flights, hotels, hikes, or busy mornings</p>
</li>
</ul>
<h3 data-start=""1134"" data-end=""1163"">Great Coffee, Made Simply</h3>
<ul data-start=""1165"" data-end=""1417"">
<li data-start=""1165"" data-end=""1260"">
<p data-start=""1167"" data-end=""1260"">Filled with 100% organic ground Selection beans from ARAKU Coffee’s tribal farmer community</p>
</li>
<li data-start=""1261"" data-end=""1329"">
<p data-start=""1263"" data-end=""1329"">Nitrogen-flushed to preserve freshness and flavor with every cup</p>
</li>
<li data-start=""1330"" data-end=""1417"">
<p data-start=""1332"" data-end=""1417"">Created for people new to specialty coffee or looking for a simpler way to enjoy it</p>
</li>
</ul>",https://www.arakucoffee.in/products/pocket-brew-selection,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/IMG_2608_copy_1.jpg?v=1723551508,Default Title
Araku,Pocket Brew - Grand Reserve,850.00,INR,"<p>Our single-serve coffee packs combine the speed of an instant brew with the unrivalled quality of ARAKU's specialty coffee. As the name suggests, these drip bag sachets fit any pocket or purse and offer an extremely portable coffee. Each sachet is packaged individually and nitrogen-flushed to maintain the coffee's integrity and freshness. Suited for the airplane, the open road, hotels, offices, or even when you just need a quick fix at home. A sturdy cup and hot water does the trick.  </p>
<p>This pack contains 10 individual sachets.  </p>",https://www.arakucoffee.in/products/pocket-brew-grand-reserve,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/Grand_Reserve_pocket_brew_729b4271-7534-45d6-98be-dddd6e8c91ac.png?v=1730015709,Default Title
Araku,Pocket Brew - Micro Climate,760.00,INR,"<p>Our single-serve coffee packs combine the speed of an instant brew with the unrivalled quality of ARAKU's specialty coffee. As the name suggests, these drip bag sachets fit any pocket or purse and offer an extremely portable coffee. Each sachet is packaged individually and nitrogen-flushed to maintain the coffee's integrity and freshness. Suited for the airplane, the open road, hotels, offices, or even when you just need a quick fix at home. A sturdy cup and hot water does the trick.  </p>
<p>This pack contains 10 individual sachets.  </p>",https://www.arakucoffee.in/products/pocket-brew-micro-climate,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/IMG_2667_copy_1.jpg?v=1723551657,Default Title
Araku,Microlot 05.24,1300.00,INR,"<p dir=""ltr""><span>A coffee with glorious floral undertones from Gummaguda, with a cupping score of 86. It originates from a lush terroir rich in ancient silver oaks and wild mango trees, imparting a unique character to the coffees from this region. It’s an ideal example of Arakunomics in a cup! Residents of this village – including the producers, Simalu &amp; Pangi Budhranna – are part of one of the largest fairtrade and organic certified coffee cooperatives in the world, with over 30,200 registered farmers. The cooperative has been crucial in aggregating farmers by giving them shared value and complete autonomy over the produce. </span></p>
<p><b><br></b></p>
<p dir=""ltr""><span>Not sure which grind to order? Check out the grind size chart below to match it with your brewing equipment!</span></p>",https://www.arakucoffee.in/products/microlot-05-24,https://cdn.shopify.com/s/files/1/0734/5609/1456/files/Slide1.jpg?v=1732786441,Whole Beans / 250 gms; Very Fine Grind / 250 gms; Fine Grind / 250 gms; Medium Grind / 250 gms; Coarse Grind / 250 gms
