roaster,name,price,currency,description,product_url,image_url,variants
Third Wave Coffee,Ceramic Tiger Mug,₹622.0,INR,Enjoy your coffee with a touch of wild,https://www.thirdwavecoffee.in/products/ceramic-tiger-mug,https://cdn.shopify.com/s/files/1/1834/9395/files/Ceramic_Tiger_Mug_bb8f6fe7-1b17-4fd0-b812-321a481b8091.jpg?v=1730806890,
Third Wave Coffee,Ceramic Ribbed Mug,₹599.0,INR,Perfect for your daily coffee,https://www.thirdwavecoffee.in/products/ceramic-ribbed-mug,https://cdn.shopify.com/s/files/1/1834/9395/files/Ceramic_Ribbed_Mug_66d433d8-de89-4763-a932-a4594e3abfdc.jpg?v=1730806887,
Third Wave Coffee,Monsoon Malabar Easy Coffee Bags (Box of 10),₹500.0,INR,"Our Monsoon Malabar coffee is an homage to a historical process originating from the long sea journeys in the days of the British Raj. Each cup is packed with bold flavours, complemented by strong, nutty, earthy notes. Sip on this for a perfectly versatile cup that can be enjoyed any time of the day. Our suggestion? Keep a second Easy Coffee Bag of our Monsoon Malabar coffee handy because you’ll definitely want more!",https://www.thirdwavecoffee.in/products/monsoon-malabar-easy-coffee-bags-box-of-10,https://cdn.shopify.com/s/files/1/1834/9395/files/WEBSITE_ECB_MM_IMAGES_2026_2048x2048-07.jpg?v=1771479865,Box of 10:500.00
Third Wave Coffee,Single Origin Easy Coffee Bags (Box of 10),₹500.0,INR,"Get ready to savor the vibrant, fruity notes of our Single-Origin Coffee, carefully sourced from one exceptional farm. We traveled far and wide to find the perfect beans, ensuring top quality and unique flavors. Each bean is roasted to perfection to bring out its balanced, fruity nuances. Enjoy a cup that's as special as you are, and start your morning with a delightful boost of pure coffee happiness!",https://www.thirdwavecoffee.in/products/single-origin-easy-coffee-bags-box-of-10,https://cdn.shopify.com/s/files/1/1834/9395/files/WEBSITE_ECB_SO_IMAGES_2026_2048x2048-09.jpg?v=1771479904,Box of 10:500.00
Third Wave Coffee,Vienna Roast Easy Coffee Bags (Box of 10),₹500.0,INR,"Start your day with the deep, rich flavor of our Vienna Roast Coffee. This dark roast strikes the perfect balance between smooth and bold, giving you just the right kick to tackle whatever comes your way. Enjoy the cozy notes of chocolate and caramel in every sip, making your morning coffee a delightful and energizing experience. Wake up, feel great, and power through your day with Vienna Roast Easy Coffee!",https://www.thirdwavecoffee.in/products/vienna-roast-easy-coffee-bags-box-of-10,https://cdn.shopify.com/s/files/1/1834/9395/files/WEBSITE_ECB_VR_IMAGES_2026_2048x2048-11.jpg?v=1771479918,Box of 10:500.00
Third Wave Coffee,Assorted  Easy Coffee Bags,₹500.0,INR,"4 Monsoon Malabar bags 3 Vienna Roast bags 3 Single Origin bags Indulge in a journey of taste with our Assorted Coffee Box, featuring a delightful trio of flavors. Each bag is a testament to craftsmanship, from the bold richness of Vienna Roast to the exotic allure of Monsoon Malabar and the nuanced elegance of Single Origin. Perfectly roasted and packed to preserve freshness, this box promises a coffee experience that's diverse, satisfying, and always memorable. Discover your favorite brew or enjoy them all—because every cup tells a story of flavor and passion.",https://www.thirdwavecoffee.in/products/easy-coffee-bags-assorted,https://cdn.shopify.com/s/files/1/1834/9395/files/WEBSITE_ECB_ASSORT_IMAGES_2026_2048x2048-05.jpg?v=1771482496,100g:500.00
Third Wave Coffee,COLD BREW | MEDIUM DARK ROAST,₹600.0,INR,"Crafted with 100% Arabica coffee, this medium-dark roast cold brew delivers a rich, smooth, and full-bodied flavour in every sip. Whether you’re slowing down or powering through the day, it brews into a refreshing cup with deep notes and a balanced finish. Enjoy it black over ice, or experiment with mixers like coconut water for a tropical twist or orange juice for a bright Cold Fashioned-style drink.",https://www.thirdwavecoffee.in/products/easy-cold-brew-coffee-medium-dark-roast,https://cdn.shopify.com/s/files/1/1834/9395/files/Media_3.jpg?v=1770386984,5 Bags:600.00
Third Wave Coffee,Brass Coffee Filter + Brass Dabra,₹1779.0,INR,"Elevate your coffee ritual with Third Wave Coffee’s Brass Coffee Filter & Brass Dabra. This beautifully crafted set celebrates South Indian coffee culture, delivering an authentic experience with every brew and sip.",https://www.thirdwavecoffee.in/products/brass-coffee-filter-brass-dabra,https://cdn.shopify.com/s/files/1/1834/9395/files/Merchandise_560c2b9d-a0b2-45eb-8a91-f02f413977a0.png?v=1730806912,
Third Wave Coffee,Luxe Hamper,₹2831.0,INR,"For the ones who deserve it all. Featuring Ratnagiri Estate coffee beans, a French Press to brew them right, and Smoor’s Choco Mithai paired with Kunafa for a sweet balance — this hamper is the epitome of indulgence. With a festive diya, mug, and greeting card, it’s a celebration of craft, elegance, and Diwali joy in every detail. 1 x Choco Mithai - Pack of 6 1 x French Press 350ml 1 x Coffee Beans - Specialty Single Origin Ratnagiri Estate 1 x Pistachio & Kunafa Choco Bites - Pack of 4 1 x Mug 1 x Diya",https://www.thirdwavecoffee.in/products/luxe-hamper,https://cdn.shopify.com/s/files/1/1834/9395/files/DiwaliLuxeHamper01.jpg?v=1758890048,
Third Wave Coffee,Indulgence Hamper,₹1784.0,INR,"A gift that delights in every detail. With two signature roasts — Vienna and Monsoon Malabar — paired with Smoor’s Choco Mithai and Kunafa bites, this hamper celebrates richness and comfort. Complete with a festive diya, tote bag, and a handcrafted mug, it’s a hamper that turns every sip and bite into a festive moment. 1 x Choco Mithai - Pack of 6 1 x Easy Coffee Bags - Vienna Roast Pack of 5 1 x Easy Coffee Bags - Monsoon Malabar Roast Pack of 5 1 x Pistachio & Kunafa Choco Bites - Pack of 4 1 x Tote Bag 1 x Mug 1 x Diya",https://www.thirdwavecoffee.in/products/classic-hamper-copy,https://cdn.shopify.com/s/files/1/1834/9395/files/Diwali_Indulgence_Hamper_01.jpg?v=1758889920,
Third Wave Coffee,Classic Hamper,₹1364.0,INR,"A timeless gift, crafted to warm hearts. This hamper brings together our signature Vienna Roast, Smoor’s decadent Choco Mithai, crunchy Almond Snaps, a festive diya, and a handcrafted mug — all tied with your wishes in a greeting card. A celebration of simple joys, perfect for quiet mornings and sparkling evenings alike. 1 x Easy Coffee Bags - Vienna Roast Pack of 5 1 x Almond Snaps - Pack of 6 1 x Mug 1 x Diya",https://www.thirdwavecoffee.in/products/classic-hamper,https://cdn.shopify.com/s/files/1/1834/9395/files/DiwaliClassicHamper02.jpg?v=1758889761,
Third Wave Coffee,COLD BREW | MEDIUM ROAST,₹600.0,INR,"Made with 100% Arabica coffee, this cold brew offers a smooth and easy-drinking experience with a perfectly balanced flavour profile. The medium roast brings out subtle sweetness and gentle richness, making it ideal for everyday sipping. Enjoy it chilled on its own, over ice, or mixed with milk for a creamy, refreshing brew.",https://www.thirdwavecoffee.in/products/easy-cold-brew-coffee-medium-roast,https://cdn.shopify.com/s/files/1/1834/9395/files/Media_1.jpg?v=1770387018,5 Bags:600.00
Third Wave Coffee,Brass Dabra Set,₹622.0,INR,"Sip your coffee the traditional way with Third Wave Coffee’s Brass Dabra Set. This elegant set celebrates South Indian coffee culture, making every cup feel special and authentic.",https://www.thirdwavecoffee.in/products/brass-dabra-set,https://cdn.shopify.com/s/files/1/1834/9395/files/Filter-Zomato-Images-21112024.jpg?v=1734360894,
Third Wave Coffee,Travel Mug - 500ml,₹978.0,INR,"The Third Wave Coffee Travel Mug is effortlessly stylish, and adventure-ready at all times. Built for durability and spill-free sips, it's the perfect travel buddy for your favorite beverages.",https://www.thirdwavecoffee.in/products/travel-mug-500ml,https://cdn.shopify.com/s/files/1/1834/9395/files/Merchandise_-_Drinkware_caa0c35b-7bf7-4c6d-9861-cf8961634336.png?v=1730806905,
Third Wave Coffee,Acrylic Sipper Mug - 710ml,₹999.0,INR,"Sip in style with the chic 710ml Acrylic Sipper Mug from Third Wave Coffee. With its eye-catching design, it’s the perfect companion to elevate your beverage game, whether at home, at work, or on-the-go!",https://www.thirdwavecoffee.in/products/acrylic-sipper-mug-710ml,https://cdn.shopify.com/s/files/1/1834/9395/files/Acrylic_Sipper_corrected_LR_96b523ae-6de4-49e5-974d-f793c8ba1a54.png?v=1730806901,
Third Wave Coffee,Single Origin Easy Coffee Bags( Box of 5),₹300.0,INR,"Get ready to savor the vibrant, fruity notes of our Single-Origin Coffee, carefully sourced from one exceptional farm. We traveled far and wide to find the perfect beans, ensuring top quality and unique flavors. Each bean is roasted to perfection to bring out its balanced, fruity nuances. Enjoy a cup that's as special as you are, and start your morning with a delightful boost of pure coffee happiness!",https://www.thirdwavecoffee.in/products/easy-coffee-bags-single-origin,https://cdn.shopify.com/s/files/1/1834/9395/files/WEBSITE_ECB_SO_IMAGES_2026_5_PACK_2048x2048-12-14.jpg?v=1771476976,Box of 5:300.00
Third Wave Coffee,Monsoon Malabar Easy Coffee Bags (Box of 5),₹300.0,INR,"Our Monsoon Malabar coffee is an homage to a historical process originating from the long sea journeys in the days of the British Raj. Each cup is packed with bold flavours, complemented by strong, nutty, earthy notes. Sip on this for a perfectly versatile cup that can be enjoyed any time of the day. Our suggestion? Keep a second Easy Coffee Bag of our Monsoon Malabar coffee handy because you’ll definitely want more!",https://www.thirdwavecoffee.in/products/easy-coffee-bags-monsoon-malabar,https://cdn.shopify.com/s/files/1/1834/9395/files/WEBSITE_ECB_MM_IMAGES_2026_5_PACK_2048x2048-12-13.jpg?v=1771477029,Box of 5:300.00
Third Wave Coffee,Vienna Roast Easy Coffee Bags (Box of 5),₹300.0,INR,"Start your day with the deep, rich flavor of our Vienna Roast Coffee. This dark roast strikes the perfect balance between smooth and bold, giving you just the right kick to tackle whatever comes your way. Enjoy the cozy notes of chocolate and caramel in every sip, making your morning coffee a delightful and energizing experience. Wake up, feel great, and power through your day with Vienna Roast Easy Coffee!",https://www.thirdwavecoffee.in/products/easy-coffee-bags-vienna-roast,https://cdn.shopify.com/s/files/1/1834/9395/files/WEBSITE_ECB_VR_IMAGES_2026_5_PACK_2048x2048-12-15.jpg?v=1771477003,Box of 5:300.00
Third Wave Coffee,Wake Me Up Blend | Box Of 10 Bags,₹400.0,INR,"Every sip of this delicious and rich, full-bodied blend is charged and promises to get you up and going. Bold and intense, the Wake Me Up Blend lives up to its name. This power packed dark roast just does not quit and is the perfect wing-man for work days that bleed into nights. Each box contains 10 Easy Coffee Bags.",https://www.thirdwavecoffee.in/products/wake-me-up-blend-easy-coffee-bags-vienna-dark-roast,https://cdn.shopify.com/s/files/1/1834/9395/products/1Wakemeup_amazon-min_5b0549f7-0741-473e-9711-5deb336d569d.png?v=1660650485,
Third Wave Coffee,Speciality Single Origin Chikmagalur Region,₹700.0,INR,"Situated in the beautiful Chikmagalur region of Karnataka, we are proud producers of hand-picked and sun-dried Arabica coffee. Our coffee plants grow alongside pepper, cacao, and cardamom, creating a vibrant blend of flavors. When you savor a cup of our coffee, you'll experience the delightful combination of sweet honey and raisin. And to add a touch of fruity goodness, there's a juicy peach note that perfectly balances the overall taste. It's a coffee that's carefully crafted to deliver a truly satisfying and enjoyable experience.",https://www.thirdwavecoffee.in/products/speciality-single-origin-chikmagalur-region,https://cdn.shopify.com/s/files/1/1834/9395/files/SSCR_WEBSITE_COFFEE_BEAN_IMAGES_2026_2048x2048-25.jpg?v=1770294497,250g:700.00; 500g:1400.00; 250g:700.00; 500g:1400.00; 250g:700.00; 500g:1400.00; 250g:700.00; 500g:1400.00
Third Wave Coffee,Speciality Single Origin Bababudangiri Region,₹700.0,INR,"Embark on a remarkable journey through the rich heritage of coffee cultivation in the hallowed grounds of Baba Budan Giri hills. This renowned destination, named after the legendary merchant Baba Budan, who deftly transported precious coffee seeds from Yemen, stands as the embodiment of India's esteemed coffee culture. Immerse yourself in our exceptional roast, where you will discover a delightful interplay of flavors. Experience the gentle sweetness of juicy passionfruit balanced by the lively brightness of pineapple. As the temperature gradually descends, a captivating essence of richer molasses emerges, offering a truly indulgent sensation. This coffee is meticulously crafted through a natural processing method, wherein the coffee beans are dried alongside the cherry, resulting in a remarkable symphony of complex, fruity, and sweet flavors. Only the finest, fully ripened cherries are meticulously handpicked, expertly sorted, and sun-dried on African raised beds, ensuring a pristine and flawless quality.",https://www.thirdwavecoffee.in/products/speciality-single-origin-bababudangiri-region,https://cdn.shopify.com/s/files/1/1834/9395/files/SSBR_WEBSITE_COFFEE_BEAN_IMAGES_2026_2048x2048-21.jpg?v=1770294583,250g:700.00; 500g:1400.00; 250g:700.00; 500g:1400.00; 250g:700.00; 500g:1400.00; 250g:700.00; 500g:1400.00
Third Wave Coffee,Monsoon Malabar,₹700.0,INR,"Experience the rich essence of our Monsoon Malabar coffee, a tribute to age-old traditions from the British Raj's seafaring days. This brew is an earthy symphony of bold flavors, infused with the warmth of aromatic spices and deep, dark chocolate notes. Perfectly balanced for any time of day, it’s a cup you’ll want to savor again and again. Our tip? Keep a second bag close—you won’t be able to resist a refill.",https://www.thirdwavecoffee.in/products/monsoon-malabar-aa,https://cdn.shopify.com/s/files/1/1834/9395/files/MM_WEBSITE_COFFEE_BEAN_IMAGES_2026_2048x2048-09.jpg?v=1770294668,500g:1400.00; 250g:700.00; 500g:1400.00; 250g:700.00; 500g:1400.00; 250g:700.00; 500g:1400.00; 250g:700.00
Third Wave Coffee,Signature South Indian Filter,₹650.0,INR,"Inspired by the classic South Indian coffee, our blend is a bold tribute to tradition. The rich, burnt caramel notes of Arabica Washed coffee perfectly complement the smooth, syrupy texture of Robusta Natural, creating a robust yet comforting flavor. With hints of milk chocolate and roasted almonds, this blend shines whether paired with milk and sugar, as a strong espresso, or brewed in a Moka Pot.",https://www.thirdwavecoffee.in/products/organic-signature-filter-coffee-blend,https://cdn.shopify.com/s/files/1/1834/9395/files/SSIFB_WEBSITE_COFFEE_BEAN_IMAGES_2026_2048x2048-17.jpg?v=1770294359,500g:1300.00; 250g:650.00; 500g:1300.00; 250g:650.00; 500g:1300.00; 250g:650.00; 500g:1300.00; 250g:650.00
Third Wave Coffee,French Roast,₹650.0,INR,"Hailing from the misty green hills of Karnataka's Nilgiris, this exquisite dark roast is a true indulgence. With rich notes of toffee, roasted hazelnut, and the subtle crunch of cocoa nibs, each sip offers a full-bodied experience with a bittersweet undertone. Enjoy this decadent brew and let it whisk you away to a sunny day at a cozy Parisian café.",https://www.thirdwavecoffee.in/products/french-roast,https://cdn.shopify.com/s/files/1/1834/9395/files/FR_WEBSITE_COFFEE_BEAN_IMAGES_2026_2048x2048-05.jpg?v=1770294729,500g:1300.00; 250g:650.00; 500g:1300.00; 250g:650.00; 500g:1300.00; 250g:650.00; 500g:1300.00; 250g:650.00
Third Wave Coffee,El Diablo,₹700.0,INR,"Our house blend might just remind you of dessert, and we’re perfectly okay with that. With bold notes of zesty orange, rich chocolate, and sweet brown sugar, this coffee is big-bodied, well-structured, and deeply complex. It’s what keeps our team at Third Wave Coffee going strong. Potent and flavorful on its own, or decadently indulgent with milk or cream, every sip is a delightful experience.",https://www.thirdwavecoffee.in/products/el-diablo-blend,https://cdn.shopify.com/s/files/1/1834/9395/files/EDB_WEBSITE_COFFEE_BEAN_IMAGES_2026_2048x2048-01.jpg?v=1770294359,500g:1400.00; 250g:700.00; 500g:1400.00; 250g:700.00; 500g:1400.00; 250g:700.00; 500g:1400.00; 250g:700.00
Third Wave Coffee,Vienna Roast,₹650.0,INR,"Discover the richness of our Vienna Roast, a smooth, dark blend that offers a decadent combination of flavors. Indulge in the deep, bittersweet taste of dark chocolate, complemented by the sweet warmth of the subtle crunch of toasted Nuts. Crafted for a refined coffee experience, it’s a perfect pick for those who crave a bold yet silky-smooth cup.",https://www.thirdwavecoffee.in/products/vienna-roast,https://cdn.shopify.com/s/files/1/1834/9395/files/VR_WEBSITE_COFFEE_BEAN_IMAGES_2026_2048x2048-29.jpg?v=1770294359,500g:1300.00; 250g:650.00; 500g:1300.00; 250g:650.00; 500g:1300.00; 250g:650.00; 500g:1300.00; 250g:650.00
