roaster,name,price,currency,description,product_url,image_url
Korebi,Assorted- Make your own!,₹899 ₹899 ₹999 Save ₹100 Unit price / per,₹,Indulge in the rich taste of Assorted Flavor Doppio Liquid Coffee with six boxes containing thirty cups. Experience coffee craftsmanship today!,https://korebi.coffee/products/assorted-make-your-own,
Korebi,Baarbara Estate - Honey Sundried Processed,₹899 ₹899 ₹999 Save ₹100 Unit price / per,₹,"Experience the rich heritage of Baarbara Estate – Honey Processed Arabica, crafted with sustainability in mind. Savor this limited release now!",https://korebi.coffee/products/baarbara-estate-honey-processed-coffee,
Korebi,Briel A3 Espresso Coffee Machine with Cream Filter and Cappuccino Steamer,₹899 ₹899 ₹999 Save ₹100 Unit price / per,₹,Experience barista-quality coffee at home with the Briel A3 Espresso Coffee Machine with Cream Filter and Cappuccino Steamer. Brew your perfect cup today!,https://korebi.coffee/products/briel-a3-coffee-machine,
Korebi,Bubble Bliss - Anaerobic Fermented,₹899 ₹899 ₹999 Save ₹100 Unit price / per,₹,"Experience Bubble Bliss, an anaerobic fermented coffee by Korebi Coffee Roasters, offering sweet raisin and chocolate flavors in every sip.",https://korebi.coffee/products/bubble-bliss-anaerobic-fermented-coffee,
Korebi,Mocha - Doppio Instant Liquid Coffee Concentrate,₹899 ₹899 ₹999 Save ₹100 Unit price / per,₹,"Indulge in the warm and spicy flavor of Cinnamon Doppio Ready to mix, Liquid Coffee, crafted to perfection for a delightful coffee experience.",https://korebi.coffee/products/cinnamon-doppio-liquid-coffee,
Korebi,Cold Brew Blend - Medium Dark Roast,₹899 ₹899 ₹999 Save ₹100 Unit price / per,₹,"Enjoy Cold Brew Blend by Korebi Coffee Roasters, a medium dark roast coffee with bold cherry and chocolate notes, perfect for cold brewing.",https://korebi.coffee/products/cold-brew-blend-medium-dark-roast-coffee,
Korebi,"Colombia, La Macarena Gesha by Kiss the Hippo X Korebi Coffee",₹899 ₹899 ₹999 Save ₹100 Unit price / per,₹,"Experience the unique flavor of Colombia, La Macarena Gesha by Kiss the Hippo X Korebi Coffee. Indulge in this exceptional coffee today!",https://korebi.coffee/products/colombia-la-macarena-gesha-by-kiss-the-hippo-x-korebi-coffee,
Korebi,"Colombia, Popayan Decaf by Kiss the Hippo X Korebi Coffee",₹899 ₹899 ₹999 Save ₹100 Unit price / per,₹,"Experience the rich flavor of Colombia, Popayan Decaf by Kiss the Hippo X Korebi Coffee. Discover your new favorite brew today!",https://korebi.coffee/products/colombia-popayan-decaf-x-korebi-coffee,
Korebi,Doppio Liquid Coffee - All Six Flavors (30 Sachets),₹899 ₹899 ₹999 Save ₹100 Unit price / per,₹,"Meticulously Curated. Undeniably Delicious. Elevate your coffee ritual with our six signature flavors—each one brewed to perfection using 100% Arabica beans and thoughtfully selected, locally sourced ingredients. Signature Flavors: Original Hazelnut Irish Cream French Vanilla Mocha Salted Caramel Every bottle is:✅ Drop",https://korebi.coffee/products/doppio-all-six-flavors,
Korebi,"Doppio Best Goes With Milk, Flavours - Salted Caramel, French Vanilla, Mocha",₹899 ₹899 ₹999 Save ₹100 Unit price / per,₹,"Meticulously Curated. Undeniably Delicious. Elevate your coffee ritual with our six signature flavors—each one brewed to perfection using 100% Arabica beans and thoughtfully selected, locally sourced ingredients. Signature Flavors: Original Hazelnut Irish Cream French Vanilla Cinnamon Salted Caramel Every bottle is:✅ D",https://korebi.coffee/products/doppio-best-goes-with-milk-flavours-salted-caramel-french-vanilla-mocha,
Korebi,"Doppio Best Seller Liquid Coffee Combo - Original, Hazelnut & Salted Caramel",₹899 ₹899 ₹999 Save ₹100 Unit price / per,₹,"Meticulously Curated. Undeniably Delicious. Elevate your coffee ritual with our six signature flavors—each one brewed to perfection using 100% Arabica beans and thoughtfully selected, locally sourced ingredients. Signature Flavors: Original Hazelnut Irish Cream French Vanilla Cinnamon Salted Caramel Every bottle is:✅ D",https://korebi.coffee/products/doppio-best-seller-liquid-coffee-combo-original-hazelnut-salted-caramel,
Korebi,"Doppio Latte-Ready Flavors - Salted Caramel, French Vanilla, Hazelnut",₹899 ₹899 ₹999 Save ₹100 Unit price / per,₹,"Meticulously Curated. Undeniably Delicious. Elevate your coffee ritual with our six signature flavors—each one brewed to perfection using 100% Arabica beans and thoughtfully selected, locally sourced ingredients. Signature Flavors: Original Hazelnut Irish Cream French Vanilla Cinnamon Salted Caramel Every bottle is:✅ D",https://korebi.coffee/products/doppio-latte-ready-flavors-salted-caramel-french-vanilla-hazelnut,
