roaster,name,price,currency,description,product_url,image_url,variants
Corridor Seven,Explorer Bundle,₹2700.0,INR,"1. Melkodige Estate Saccharomyces 72hrs Naturals Tastes Like - Pomegranate, Pink Guava and Golden Raisins|| Roasting Profile - Filter ( Light Roast ) || Process - Saccharomyces 72hrs Naturals || Varietal - Sl 9 || Altitude - 1280 MASL || Producer Name - Aveen and Yogita Rodrigues || Harvest Year - 2025 2. Salawara Estate Carbonic Maceration Tastes Like - Watermelon, Orange Blossom, and Damson Plum || Roasting Profile - Filter ( Light Roast ) || Process - Carbonic Maceration Naturals || Varietal - SL 795 + SL 6 || Altitude - 1050 MASL || Producer Name - Mr. Sharan Gowda || Harvest Year - 2025 3. Ratnagiri Estate Washed Process Tastes Like - Plum, Brown Sugar and Green Apple's Dryness || Roasting Profile - Espresso ( Medium Roast ) || Varietal - Catuai || Altitude - 1350 MASL || Process - Washed || Harvest Year - 2025 || 100% Arabica",https://corridorseven.coffee/products/explorer-bundle,https://cdn.shopify.com/s/files/1/0137/1714/3609/files/3_05db5322-ed7a-4cff-a29f-07013b8b3f6f.jpg?v=1782713849,250g:2700.00; 500g:5067.00; 1kg:9383.00; 250g:2700.00; 500g:5067.00; 1kg:9383.00; 250g:2700.00; 500g:5067.00; 1kg:9383.00; 250g:2700.00; 500g:5067.00; 1kg:9383.00; 250g:2700.00; 500g:5067.00; 1kg:9383.00; 250g:2700.00; 500g:5067.00; 1kg:9383.00; 250g:2700.00; 500g:5067.00; 1kg:9383.00; 250g:2700.00; 500g:5067.00; 1kg:9383.00; 250g:2700.00; 500g:5067.00; 1kg:9383.00; 250g:2700.00; 500g:5067.00; 1kg:9383.00; 250g:2700.00; 500g:5067.00; 1kg:9383.00; 250g:2700.00; 500g:5067.00; 1kg:9383.00; 250g:2700.00; 500g:5067.00; 1kg:9383.00
Corridor Seven,Roaster’s Pick,₹2304.0,INR,"1. AUGUST RUSH BLEND This is our in house blend that we have been working with for a long while now! Deciding it is time that this needs to be up and running for you all :) It is something that will suit real well to for the café owners as the daily driver Tastes Like- Prunes, Soft Finish and Toasted Almonds || Roasting Profile- Espresso Profile ( Medium Roast ) || Varietal - SLN 795 & SLN9 || Altitude - 1450-1524 MASL || Process - Blended || Harvest Year- 2025 || Location - India (various parts) || 100% Arabica 2. SUMMER SALAD BLEND Tastes Like - Watermelon, Stone Fruit like Plum & Vibrant Acidity || Roasting Profile - Filter ( Light Roast ) || Process - Washed + Naturals || Harvest Year - 2025 3. COLD BREW BLEND - REGULAR (MARCH MELLOW) Roasting Profile - Filter ( Light To Medium Roast ) || Altitude - 1524-1650 MASL || Process - Blended || Harvest Year - 2025 || 100% Arabica || Tastes Like - Apricot, Light Body and Orange zest",https://corridorseven.coffee/products/roaster-s-pick,https://cdn.shopify.com/s/files/1/0137/1714/3609/files/2_f6bbb3ab-e448-4ed3-bd0a-8ee3d2117a25.jpg?v=1782713891,250g:2304.00; 500g:4275.00; 1kg:7961.00; 250g:2304.00; 500g:4275.00; 1kg:7961.00; 250g:2304.00; 500g:4275.00; 1kg:7961.00; 250g:2304.00; 500g:4275.00; 1kg:7961.00; 250g:2304.00; 500g:4275.00; 1kg:7961.00; 250g:2304.00; 500g:4275.00; 1kg:7961.00; 250g:2304.00; 500g:4275.00; 1kg:7961.00; 250g:2304.00; 500g:4275.00; 1kg:7961.00; 250g:2304.00; 500g:4275.00; 1kg:7961.00; 250g:2304.00; 500g:4275.00; 1kg:7961.00; 250g:2304.00; 500g:4275.00; 1kg:7961.00; 250g:2304.00; 500g:4275.00; 1kg:7961.00; 250g:2304.00; 500g:4275.00; 1kg:7961.00
Corridor Seven,Everyday Coffee Bundle,₹1836.0,INR,"1. BR!M BLEND Tastes Like- Cinnamon, Roasted hazelnut & Brown sugar || Roasting Profile - Espresso || Process - Washed Brim Blend is the coffee that defines Brim. Designed to match Brim's fast-paced environment, this blend ensures good coffee delivered quickly. It fits perfectly with Brim's quick service model, making it an ideal choice for those looking for a fast yet satisfying coffee experience. This blend embodies Brim's spirit, offering a coffee that works well within the workflow. 2. LEAN BLEND Tastes Like - Medium Bodied, Hint of Cinnamon & Sweet Finish || Roasting Profile - Espresso || Process - Washed || Harvest Year- 2025 || 100% Arabica Lean Blend is a coffee specifically curated for Lean, designed to complement its menu. This blend is crafted to fit seamlessly into the workflow at Lean, providing a coffee experience tailored to suit the environment and the needs of the patrons at Lean, offering a blend that aligns with the location. 3. VIENNA ROAST Tastes Like- C acao nibs, dark chocolate and long finish || Roasting Profile- Espresso ( Dark Roast ) || Varietal - Catura, SLN- 795 || Altitude - 1260MASL || Process- Washed Arabica || Harvest Year- 2025 || Location - Chikmagalur Welcome to the dark side of coffee! Well in all honesty we dont judge and believe to each their own. Frankly any Coffee Roasted this dark shall taste the same since the sugars get caramelized to an extent that you shall find Smoky - Toasty - Roasty notes. People love it and we love you legends.",https://corridorseven.coffee/products/everyday-coffee-bundle,https://cdn.shopify.com/s/files/1/0137/1714/3609/files/1_703ee1bd-30d5-4beb-8ce0-3ea9d918fae0.jpg?v=1782713951,250g:1836.00; 500g:3443.00; 1kg:6444.00; 250g:1836.00; 500g:3443.00; 1kg:6444.00; 250g:1836.00; 500g:3443.00; 1kg:6444.00; 250g:1836.00; 500g:3443.00; 1kg:6444.00; 250g:1836.00; 500g:3443.00; 1kg:6444.00; 250g:1836.00; 500g:3443.00; 1kg:6444.00; 250g:1836.00; 500g:3443.00; 1kg:6444.00; 250g:1836.00; 500g:3443.00; 1kg:6444.00; 250g:1836.00; 500g:3443.00; 1kg:6444.00; 250g:1836.00; 500g:3443.00; 1kg:6444.00; 250g:1836.00; 500g:3443.00; 1kg:6444.00; 250g:1836.00; 500g:3443.00; 1kg:6444.00; 250g:1836.00; 500g:3443.00; 1kg:6444.00
Corridor Seven,SCA COURSES,₹103014.0,INR,"SCA Brewing Foundation Course The Brewing Foundation course offers a comprehensive introduction to the art and science of coffee brewing. Through both theory and hands-on practice, learners are guided through various brewing methods using a range of devices. This course is ideal for beginners and provides the fundamental skills and knowledge needed to craft delicious brewed coffee. What You'll Learn: 1. Coffee Knowledge : Understand Arabica vs. Robusta, processing methods, and best practices for coffee storage. 2. Brewing Methods & Equipment : Explore manual brewers like V60, French Press, and AeroPress, and learn how to use essential brewing tools. 3. Brewing Guidelines : Master the 7 key elements of brewing: ratio, grind, time, temperature, turbulence, water quality, and filter type. 4. Brewing Techniques : Practice percolation (V60), immersion (French Press), and hybrid (AeroPress) brewing styles. 5. Brew Analysis : Learn to evaluate your brew by analyzing its color, aroma, taste, and body. 6. Equipment Maintenance : Maintain your brewing tools for consistency, cleanliness, and long-term performance. Certification: Upon successful completion of both the practical and theoretical exams, participants will receive the SCA Brewing Foundation Certificate. SCA Brewing Intermediate Course Take the next step in your coffee journey with the SCA Brewing Intermediate course at Corridor Seven Coffee Roasters. This intensive 2-day course is designed for experienced brewers and coffee enthusiasts ready to master their craft and earn an internationally recognized certification. Perfect for anyone who has completed the Foundation course, this program goes beyond the basics to deepen your understanding of the science and art of brewing. You will gain advanced coffee brewing skills through a mix of theory and hands-on practice, empowering you to consistently produce exceptional coffee. What You'll Learn Our comprehensive coffee brewing course covers essential topics to help you el",https://corridorseven.coffee/products/sca-courses,https://cdn.shopify.com/s/files/1/0137/1714/3609/files/SCAjuly-combine_2.jpg?v=1782365447,July:103014.00; August:103014.00
Corridor Seven,ALBUM CULTURE BY CORRIDOR SEVEN,₹0.00,INR,"World Music Day calls for something different. We're putting on a record, dimming the lights, and listening — really listening. Album Culture is back. 🎵 21st June | 6:30 PM | Corridor Seven Lean, 12th Floor, Lokmat Building",https://corridorseven.coffee/products/album-culture-by-corridor-seven,https://cdn.shopify.com/s/files/1/0137/1714/3609/files/VIN_POSTER_21ST.png?v=1781944503,
Corridor Seven,SCA Brewing Professional Course,₹53100.0,INR,"The SCA Brewing Professional course is where science meets mastery. Designed for those who have completed the SCA Brewing Intermediate level, this advanced program takes you deep into the chemistry, physics, and sensory dimensions of coffee brewing. Over 21 hours (3 days) of focused learning, you’ll sharpen your analytical skills, refine your brewing precision, and earn an internationally recognized certification that sets you apart in the world of specialty coffee. This course isn’t just about brewing, it’s about thinking like a brewer. You’ll learn to measure, evaluate, and manipulate key variables to achieve consistent, exceptional results across different brewing devices and conditions. Whether you’re managing a café, consulting for clients, or simply pushing the limits of your craft, this program equips you with the mindset and tools to lead in the field. Delivery: In-person Prerequisites: Required: SCA Brewing Intermediate Exams: Written and Practical Time: 10:00 AM – 7:30 PM (including breaks) (3 days) Course Fee: INR 53,100 (inclusive of GST) Your course fee covers all professional brewing equipment, study materials, and access to your SCA certification exams. Upon successful completion, you’ll receive the SCA Brewing Professional Certificate , recognized globally as the standard for professional coffee brewers. What You’ll Learn The Brewing Professional course builds on prior knowledge and takes you into the heart of brewing science: 1. Advanced Coffee Knowledge Understand how roast level influences extraction, flavor, and sensory perception. 2. Brewing Methods & Equipment Explore how device shapes, bed depth, and filter media affect brewing outcomes. Learn how to select, calibrate, and optimize gravity brewers for precision brewing. 3. Brewing Guidelines Dive into the 7 Essential Elements of Brewing and master the relationships between grind size, particle distribution, brewing time, temperature, and turbulence. 4. Water Chemistry & Quality Gain an expert ",https://corridorseven.coffee/products/sca-brewing-professional-course-2026,https://cdn.shopify.com/s/files/1/0137/1714/3609/files/SCA_july_-_3.jpg?v=1782365634,13-14-15 July 2026:53100.00; 12-13-14 August 2026:53100.00
Corridor Seven,SCA Brewing Foundation Course,₹23600.0,INR,"The Brewing Foundation course offers a comprehensive introduction to the art and science of coffee brewing. Through both theory and hands-on practice, learners are guided through various brewing methods using a range of devices. This course is ideal for beginners and provides the fundamental skills and knowledge needed to craft delicious brewed coffee. Time: 10:30 AM - 6:30 PM Location: Corridor Seven Coffee Academy [ Map Link ] What You'll Learn: 1. Coffee Knowledge : Understand Arabica vs. Robusta, processing methods, and best practices for coffee storage. 2. Brewing Methods & Equipment : Explore manual brewers like V60, French Press, and AeroPress, and learn how to use essential brewing tools. 3. Brewing Guidelines : Master the 7 key elements of brewing: ratio, grind, time, temperature, turbulence, water quality, and filter type. 4. Brewing Techniques : Practice percolation (V60), immersion (French Press), and hybrid (AeroPress) brewing styles. 5. Brew Analysis : Learn to evaluate your brew by analyzing its color, aroma, taste, and body. 6. Equipment Maintenance : Maintain your brewing tools for consistency, cleanliness, and long-term performance. With a strong focus on practical application, participants will learn how to brew thoughtfully, evaluate their results, and make informed adjustments. The course concludes with a written assessment to test your grasp of the foundational concepts. Who Should Enroll The SCA Brewing Foundation course is designed for: - Home Brewers eager to explore the world of coffee at home - Aspiring Baristas and individuals interested in building a career in the food and beverage industry Course Outcome Participants who complete both the practical exam during the course and the online written exam afterward will receive the SCA Brewing Foundation Certificate , an internationally recognized credential that also contributes toward the SCA Coffee Diploma . Course Fee INR 23,600 (inclusive of GST) Fee Included - Access to the globally resp",https://corridorseven.coffee/products/sca-brewing-foundation-course-2026,https://cdn.shopify.com/s/files/1/0137/1714/3609/files/SCA_july_-_1_0f9c67fe-09a5-425e-b337-c5d5b95e4c8c.jpg?v=1782365599,09 July 2026:23600.00; 09 August 2026:23600.00
Corridor Seven,Coffee Tasting Sessions,₹250.0,INR,"Join us across Brim outlets for our Coffee Tasting Sessions - where you taste, talk flavour, and slurp unapologetically. Whether you’re deep into coffee or just coffee-curious, this is your sign to pull up. Cupping Schedules 9th June - 📍Brim, Abhyankar Nagar | 5:00 PM Participant Fee - ₹ 250 (redeemable up to ₹175 at the outlet) What to expect? • Multiple coffees on the table • Guided tasting with our team • Loud slurps encouraged • All opinions welcome (yes, even the wild ones) A little surprise activity to test your taste buds Come slurp, sip, debate, repeat.",https://corridorseven.coffee/products/coffee-tasting-sessions,https://cdn.shopify.com/s/files/1/0137/1714/3609/files/cuppingjune.jpg?v=1780122274,9 June - Abhyankar Nagar:250.00
Corridor Seven,Metal V-60 Pourover,₹4460.0,INR,"The Hario V60 Metal Dripper allows you to brew coffee directly into your serving vessel using the classic pour-over method. Crafted from durable stainless steel, it combines elegant design with long-lasting performance. Its signature spiral ribs promote even extraction and help maintain a consistent brewing temperature, while the cone-shaped design and single large opening provide greater control over flow rate and flavor. Lightweight yet sturdy, the V60 Metal Dripper is ideal for both home brewers and coffee professionals seeking a clean, balanced cup of coffee.",https://corridorseven.coffee/products/hario-v-60-pourover-copy,https://cdn.shopify.com/s/files/1/0137/1714/3609/files/metalv60.jpg?v=1779775370,
Corridor Seven,Summer Salad Blend,₹960.0,INR,"Tastes Like - Watermelon, Stone Fruit like Plum & Vibrant Acidity || Roasting Profile - Filter ( Light Roast ) || Process - Washed + Naturals || Harvest Year - 2025 Roaster's Note - A blend that drinks like a bite of summer. The cup opens with the sweetness of fresh watermelon, followed by soft stone fruit notes that reminds us of ripe plum. A lively, vibrant acidity runs through the cup, keeping it crisp, clean, and endlessly drinkable. The profile is light, bright, and designed for warm days, equally enjoyable as a clean pour-over or a refreshing iced brew.",https://corridorseven.coffee/products/summer-salad-blend,https://cdn.shopify.com/s/files/1/0137/1714/3609/files/summersaladTEMP.jpg?v=1779014357,250g:960.00; 500g:1780.00; 1kg:3325.00; 250g:960.00; 500g:1780.00; 1kg:3325.00; 250g:960.00; 500g:1780.00; 1kg:3325.00; 250g:960.00; 500g:1780.00; 1kg:3325.00; 250g:960.00; 500g:1780.00; 1kg:3325.00; 250g:960.00; 500g:1780.00; 1kg:3325.00; 250g:960.00; 500g:1780.00; 1kg:3325.00; 250g:960.00; 500g:1780.00; 1kg:3325.00; 250g:960.00; 500g:1780.00; 1kg:3325.00; 250g:960.00; 500g:1780.00; 1kg:3325.00; 250g:960.00; 500g:1780.00; 1kg:3325.00
