Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Specialty coffees,Five Farms,,,,,"s of Coorg, a flavor profile that supports ecosystem",,"Experience the perfect blend of tradition and sustainability. Shade-grown specialty coffee from the estates of Coorg, a flavor profile that supports ecosystem",https://fivefarms.in/product-category/specialty-coffee/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",Coffee
Single origin coffees,Five Farms,,,,Coorg with our Single Origin Coffee,Coffee,,Experience the authentic taste of Coorg with our Single Origin Coffee. Sourced from Coorg’s lush landscapes and crafted with meticulous care.,https://fivefarms.in/product-category/specialty-coffee/single-origin-coffees/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",Coffee
Limited editions,Five Farms,,,,,Coorg,,"Explore our exclusive collection of limited edition specialty coffees, sourced from Coorg. Perfect for coffee aficionados seeking exceptional experience",https://fivefarms.in/product-category/specialty-coffee/limited-edition/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",Coffee
Filter coffee blends,Five Farms,,,,traditional South Indian filter coffee,Coorg,,Discover the rich flavors of traditional South Indian filter coffee. Our custom-roasted beans from Coorg create brews that offer an authentic experience.,https://fivefarms.in/product-category/specialty-coffee/filter-coffee-blends/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",Coffee
Crystal Valley microlots,Five Farms,,,,,Coorg,Natural,"Mulled naturals, Carbonic maceration and unique fermented coffees from pristine slopes of the Biligiri Hills in Coorg, India.",https://fivefarms.in/product-category/specialty-coffee/crystal-valley-microlots/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",Coffee
The Artists' blends,Five Farms,,,,,Coorg,"ing, each blend offers complex","Discover The Artist’s Blends, innovative coffees from Coorg. Master crafted with unique processing, each blend offers complex flavors. Artistry in every cup.",https://fivefarms.in/product-category/specialty-coffee/the-artists-blends/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",Coffee
nan,Five Farms,45.0,,,,Coorg,,"Pi – premium peaberry coffee from Coorg, custom roasted and blended on order. Rare beans with vibrant acidity, silky body, and fresh small-batch flavor.",https://fivefarms.in/product/pi-peaberry-coffee/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",Coffee
Custom roasted coffee,Five Farms,,,,,beans,,"Tailored flavor profiles for every coffee lover. A unique collection of custom roasted coffees from FiveFarms. Single estate beans roasted to your preference,",https://fivefarms.in/product-category/custom-roasted-coffee/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",Coffee
nan,Five Farms,349.0,,,"From bold and rich to fruity and sweet, experience, flavors in every cup",,,"Discover Grey Hornbill, a curated collection of 10 exquisite flavored instant coffees. From bold and rich to fruity and sweet, experience, flavors in every cup.",https://fivefarms.in/product-category/instant-coffee/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",Coffee
nan,Five Farms,549.0,,,,,,Experience the freshness and convenience of De’-yu Artisanal Brew Bags. The worlds only custom ordered pouches. For a perfect fresh brew every time.,https://fivefarms.in/product-category/deyu-artisanal-brew-bags/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",Coffee
nan,Five Farms,549.0,,,,,,"Discover De’-yu. Curated on demand, our cold brew pouches deliver fresh flavors on every order. Perfect for coffee lovers seeking a personalized, experience.",https://fivefarms.in/product-category/deyu-artisanal-brew-bags/cold-brew-pouches/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",Coffee
nan,Five Farms,299.0,,,,,,"Discover the perfect cup of coffee with our custom made drip bags. Our innovative brewing method allows you to enjoy a fresh, coffee wherever you go.",https://fivefarms.in/product-category/deyu-artisanal-brew-bags/single-serve-drip-bags/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",Coffee
nan,Five Farms,1375.0,,,,s Gift Boxes,,"Explore FiveFarms Gift Boxes, featuring curated single estate coffees, and rich blends from Coorg. With customizable to make it truly unique.",https://fivefarms.in/product-category/gifting/gift-boxes/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",Coffee
nan,Five Farms,235.0,,,,,,"Explore a curated selection of premium spices, sourced from Malabar’s finest regions. Unmatched in quality and freshness. Transform your culinary creations.",https://fivefarms.in/product-category/spices/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",Coffee
nan,Five Farms,45.0,250g,Medium Roast,,,,"Kickstart your mornings with our Medium Roasted Pure Robusta Coffee—bold, smooth, and full-bodied with rich crema and earthy undertones.",https://fivefarms.in/product/the-artists-blend-stream-glory-breakfast-robusta/,https://fivefarms.in/wp-content/uploads/2024/03/logo-2.jpg,Coffee
nan,Five Farms,45.0,450g,Medium Roast,,,,"Kickstart your mornings with our Medium Roasted Pure Robusta Coffee—bold, smooth, and full-bodied with rich crema and earthy undertones.",https://fivefarms.in/product/the-artists-blend-stream-glory-breakfast-robusta/,https://fivefarms.in/wp-content/uploads/2024/03/logo-2.jpg,Coffee
nan,Five Farms,45.0,250g,,,,to preserve natural sugars and delicate,"Discover our premium pulp sundried coffee, crafted for a smooth, balanced taste. Sustainably processed to preserve natural sugars and delicate flavors for an exceptional cup",https://fivefarms.in/product/the-artists-blend-honey-wash/,"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",Coffee
