Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Coffee Ritual Combo 3,Hunkal Heights,1445.0,,,,Thogarihunkal Estate,,"There’s a certain way Filter Coffee is meant to be made. This pack brings it all together. Fresh, aromatic Estate Coffee from our own Thogarihunkal Estate in Chikkamagaluru. Paired with a traditional brass filter made for slow brewing and strong decoction. Everything you need to begin the ritual. The Pack Contains: Aranya Gold Pure Ground Coffee (250g) 100% Arabica grown in one of the finest sections of our estate. Smooth, balanced, and refined, made for any time of day. Rich Filter Coffee Powder (250g) An indulgent blend of 80% high-altitude coffee and 20% chicory. Full-bodied, strong, and deeply satisfying. Brass Davara Set (250ml) The traditional stretching of the coffee in the brass tumbler and cup of the Davara brings your coffee to the right temperature while slowly opening up its flavour and aroma.",https://www.hunkalestatecoffee.com/products/coffee-ritual-combo3,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/Aranya_Gold_Ground_Coffee_250gms_front_b2a295a0-eb65-4338-a485-3cab24000c87.png?v=1776849526,Coffee
Coffee Ritual Combo 2,Hunkal Heights,1115.0,,,,Thogarihunkal Estate,,"There’s a certain way Filter Coffee is meant to be made. This pack brings it all together. Fresh, aromatic Estate Coffee from our own Thogarihunkal Estate in Chikkamagaluru. Paired with a traditional brass filter made for slow brewing and strong decoction. Everything you need to begin the ritual. The Pack Contains: Aranya Gold Pure Ground Coffee (250g) 100% Arabica grown in one of the finest sections of our estate. Smooth, balanced, and refined, made for any time of day. Brass Davara Set (250ml) The traditional stretching of the coffee in the brass tumbler and cup of the Davara brings your coffee to the right temperature while slowly opening up its flavour and aroma.",https://www.hunkalestatecoffee.com/products/coffee-ritual-combo2,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/Aranya_Gold_Ground_Coffee_250gms_front_b2a295a0-eb65-4338-a485-3cab24000c87.png?v=1776849526,Coffee
Coffee Ritual Combo 1,Hunkal Heights,1250.0,,,,Thogarihunkal Estate,,"There’s a certain way Filter Coffee is meant to be made. This pack brings it all together. Fresh, aromatic Estate Coffee from our own Thogarihunkal Estate in Chikkamagaluru. Paired with a traditional brass filter made for slow brewing and strong decoction. Everything you need to begin the ritual. The Pack Contains: Rich Filter Coffee Powder (250g) An indulgent blend of 80% high-altitude coffee and 20% chicory. Full-bodied, strong, and deeply satisfying. Strong Filter Coffee Powder (250g) A robust, masterful blend of 70% coffee and 30% chicory. An embrace of deeper, more intense flavours. Brass Davara Set (250ml) The traditional stretching of the coffee in the brass tumbler and cup of the Davara brings your coffee to the right temperature while slowly opening up its flavour and aroma.",https://www.hunkalestatecoffee.com/products/coffee-ritual-combo1,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/1_0097e593-d901-4a32-b4ed-e9241fd30e4f.png?v=1776846965,Coffee
Authentic South Indian Brass Coffee Filter,Hunkal Heights,1050.0,200ml,,,,Natural,"Bring back the ritual of slow, measured, unhurried filter coffee into your everyday. Made of solid brass, our Filter Set is designed the way it has been for generations. With simplicity. Use it to extract thick, strong, aromatic decoction from your coffee and pour it into a tumbler with intention. Why Brass Brass has always been part of traditional South Indian kitchens. It holds heat well, ages beautifully, and adds a certain weight to the process. It’s something you can feel in your hands every morning. What’s Included Upper chamber (for coffee powder) Lower chamber (to collect decoction) Press disc Lid Care Instructions Wash gently with mild soap Dry immediately to avoid water marks Over time, brass may naturally darken Polish occasionally if you prefer a brighter finish",https://www.hunkalestatecoffee.com/products/authentic-south-indian-brass-coffee-filter,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/Gemini_Generated_Image_88loej88loej88lo.png?v=1760448839,Coffee
Hunkal Estate Coffee - Gift Card,Hunkal Heights,500.0,₹500.00,,"pure, fresh",Chikmagalur,,"There’s nothing quite like the taste of pure, fresh, Estate Coffee straight from Chikkamagaluru, is there? Give another coffee lover like you to enjoy the same; Whether it’s for a celebration or just to show...",https://www.hunkalestatecoffee.com/products/hunkal-estate-coffee-gift-card,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/Gift_Card.png?v=1727674414,Coffee
Authentic South Indian Brass Davara Set,Hunkal Heights,600.0,100ml,,,,,"A traditional companion to filter coffee that reflects the heritage of South India’s finest coffee culture. Perfect for coffee mixing and cooling, the davara set not only maintains the temperature but also enhances the flavor, making each sip an indulgent experience. Whether you’re sipping on Estate Filter Coffee at home or gifting a coffee lover, this set adds a touch of timeless tradition. The warm golden hue of the brass ages beautifully over time, giving it a unique patina, reflecting authentic craftsmanship. Features: Material: 100% Brass (Food-safe) Usage: Ideal for serving South Indian Filter Coffee Hunkal Estate Coffee Recommends The davara set has been traditionally used by us to pour and aerate filter coffee, amplifying the flavors and aroma. Pair it with our South Indian Filter Coffee to enjoy an authentic experience at home.",https://www.hunkalestatecoffee.com/products/authentic-south-indian-brass-davara-set,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/Hunkal_Dabara_Set.jpg?v=1729591893,Coffee
Authentic South Indian Brass Davara Set,Hunkal Heights,700.0,200ml,,,,,"A traditional companion to filter coffee that reflects the heritage of South India’s finest coffee culture. Perfect for coffee mixing and cooling, the davara set not only maintains the temperature but also enhances the flavor, making each sip an indulgent experience. Whether you’re sipping on Estate Filter Coffee at home or gifting a coffee lover, this set adds a touch of timeless tradition. The warm golden hue of the brass ages beautifully over time, giving it a unique patina, reflecting authentic craftsmanship. Features: Material: 100% Brass (Food-safe) Usage: Ideal for serving South Indian Filter Coffee Hunkal Estate Coffee Recommends The davara set has been traditionally used by us to pour and aerate filter coffee, amplifying the flavors and aroma. Pair it with our South Indian Filter Coffee to enjoy an authentic experience at home.",https://www.hunkalestatecoffee.com/products/authentic-south-indian-brass-davara-set,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/Hunkal_Dabara_Set.jpg?v=1729591893,Coffee
Gift Card,Hunkal Heights,500.0,,,"pure, fresh",Chikmagalur,,"There’s nothing quite like the taste of pure, fresh, Estate Coffee straight from Chikkamagaluru, is there? Give another coffee lover like you to enjoy the same; Whether it’s for a celebration or just to show you’re thinking about them, this gift card makes every sip special. How it Works: Delivered instantly via email. Redeemable across our online store. Valid for 12 months from purchase. No additional fees or hidden charges. Terms & Conditions: Gift card value is non-refundable and cannot be exchanged for cash. Any remaining balance stays available for future use within the validity period.",https://www.hunkalestatecoffee.com/products/gift-card,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/Gift_Card_1080x1440_crop_center_1b7bf5f0-71e9-4c63-abe5-963e54ba866f.webp?v=1728320849,Accessories
Filter Coffee Dark,Hunkal Heights,190.0,250g,Dark Roast,Introducing Hunkal,Chikmagalur,,"Introducing Hunkal Estate Coffee's DARK, an intense filter coffee blend crafted for those who crave the quintessential strength of South Indian filter coffee. This 60% single-estate coffee and 40% chicory, grown, harvested, and ground at Thogarihunkal Estate in Chikmagalur, delivers a full-bodied cup of filter coffee with an extra punch. Blend Composition 60% Coffee 40% Chicory Flavor Profile Bold, full-bodied enhanced by the chicory's earthy, slightly bitter undertones. A smooth and intense cup with a lingering finish. Roast Level Dark & deep, enhancing the coffee’s inherent strength and richness Best Brewed In South India Filter Set, Boiled water decoction, Stove top Value",https://www.hunkalestatecoffee.com/products/filter-coffee-dark,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/1_e59e3020-1248-4689-a244-94e825ff89e9.png?v=1737433954,Coffee
Filter Coffee Dark,Hunkal Heights,375.0,500g,Dark Roast,Introducing Hunkal,Chikmagalur,,"Introducing Hunkal Estate Coffee's DARK, an intense filter coffee blend crafted for those who crave the quintessential strength of South Indian filter coffee. This 60% single-estate coffee and 40% chicory, grown, harvested, and ground at Thogarihunkal Estate in Chikmagalur, delivers a full-bodied cup of filter coffee with an extra punch. Blend Composition 60% Coffee 40% Chicory Flavor Profile Bold, full-bodied enhanced by the chicory's earthy, slightly bitter undertones. A smooth and intense cup with a lingering finish. Roast Level Dark & deep, enhancing the coffee’s inherent strength and richness Best Brewed In South India Filter Set, Boiled water decoction, Stove top Value",https://www.hunkalestatecoffee.com/products/filter-coffee-dark,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/1_e59e3020-1248-4689-a244-94e825ff89e9.png?v=1737433954,Coffee
