roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
7000 Steps,7000 Steps Gift Box,Rs. 1699.00,INR,"Stop Giving Forgettable Gifts 
 Give Coffee That Connects. Gifting That Speaks Volumes. 
 Let’s be honest—how many mugs, pens, or generic hampers do your colleagues or clients actually remember? 
  At 7000 Steps, we’re redefining corporate gifting  with something thoughtful, unforgettable, and undeniably useful:  Specialty Coffee from Northeast India.  
 
 Why Our Coffee Makes the Perfect Corporate Gift 
 Meaningful 
 Each Easy Pour coffee sachet offers more than just caffeine—it’s a journey into the highlands of Northeast India, where our beans are grown by passionate smallholder farmers. It’s a conversation starter and a moment of pause in a busy day. 
 Effortless 
 No coffee machine? No problem. Our Easy Pour sachets are travel-friendly and require nothing but hot water. It’s café-quality in a few simple steps—perfect for office desks, WFH setups, or travel. 
 Beautifully Packaged 
 We’re not just coffee lovers—we’re design lovers too. Our packs come in eco-conscious, artist-designed boxes inspired by the lush landscapes of the Northeast. Every gift looks as premium as it tastes. 
 Customizable for Gifting 
 Want to add your branding? A handwritten note? A unique curation for your team or clients? We offer custom gifting solutions for teams big and small—crafted to make an impression. 
 
 Gifting Moments That Matter 
 
 
 Welcome kits for new employees 
 
 
 Appreciation gifts for top performers 
 
 
 Client thank-yous with a personal touch 
 
 
 Festival, milestone, or holiday gifting 
 
 
 Thoughtful remote team care packages 
 
 
 
 Trusted by Coffee Lovers and Professionals Alike 
 Whether it’s for a creative team in Mumbai, a tech startup in Bangalore, or remote workers across the country—our Easy Pour coffee delivers a universally loved experience that fits seamlessly into any lifestyle. 
 
 Let’s Make Gifting Better 
 Stop gifting forgettable. Start gifting flavorful, memorable, and meaningful.
[Meta Description]: Stop Giving Forgettable Gifts Give Coffee That Connects. Gifting That Speaks Volumes. Let’s be honest—how many mugs, pens, or generic hampers do your colleagues or clients actually remember? At 7000 Steps, we’re redefining corporate gifting with something thoughtful, unforgettable, and undeniably useful:Specialty Coffe",https://www.7000steps.com/products/7000-steps-gift-box,https://cdn.shopify.com/s/files/1/0577/6169/3893/files/Corporategifts.webp?v=1752658771,:1699.00,
7000 Steps,7000 steps Go brew,Rs. 400.00,INR,"No equipment. No compromise. Just exceptional coffee from Northeast India. 
 Whether you're a curious coffee enthusiast or a busy traveler craving quality without the fuss,  7000 Steps Easy Pour  brings the best of  Northeast India's artisanal coffee  to your mug no gear, no grinder, no guesswork. 
   
 What Makes It Special? 
  Brew Anywhere, Anytime  Stuck on a train? Camping in the wild? Rushing between meetings? Just anchor the drip bag on your mug, pour hot water, and sip. No gadgets, no power, no cleanup. 
  Bold, Bright, Beautiful  Expect a lively cup with  notes of wild honey, ripe stone fruits, and cocoa nibs —rounded off with a smooth, medium body that keeps you reaching for the next sip. 
  Gateway to Northeast Indian Coffee  Curious about regional Indian coffee but unsure where to start? This box of  10 convenient sachets  is your ideal low-investment introduction before you commit to whole beans or fancy gear. 
  Ethical, Fresh, Local  Grown in the shade of the Eastern Himalayas, our beans are  hand-harvested by small farmers ,  freshly roasted in micro-lots , and  sealed to lock in aroma . Good for the grower. Great for your cup 
  Thoughtful Design, Inside &amp; Out  From eco-conscious packaging to vivid illustrations that reflect the Northeast's vibrant landscape this is coffee that tells a story with every brew. 
   
 What's Inside: 
 
 
 10 Easy Pour Sachets 10g each sachets  
 
 
 100% Coffee 
 
 
 Medium/Dark Roast, Profiled for Sweetness &amp; Balance 
 
 
 
   
 Who Is This For? 
 If you: 
 
 
 Love specialty coffee but hate bulky brewing tools. 
 
 
 Want café-quality brews while traveling. 
 
 
 Are curious about Indian-origin coffee from beyond the South. 
 
 
  Then this is your go-to box.
[Meta Description]: No equipment. No compromise. Just exceptional coffee from Northeast India. Whether you're a curious coffee enthusiast or a busy traveler craving quality without the fuss, 7000 Steps Easy Pour brings the best of Northeast India's artisanal coffee to your mug no gear, no grinder, no guesswork. What Makes It Special? Brew",https://www.7000steps.com/products/easy-pour-over-medium-to-dark-roast,https://cdn.shopify.com/s/files/1/0577/6169/3893/files/EasyPour.jpg?v=1758179743,100g:400.00,
7000 Steps,Assam Kelelo Microlot,Rs. 999.00,INR,"Variety:  100% Arabica 
 
 Processed:  Natural Sun Dried 
 
 Roast Level:  Medium Roast 
 
 Elevation:  900 -1200 meters above sea level​ 
 
 Location:  Assam Northeast India 
 
 Flavour Notes:  Fruity with hints of wild honey 
 
 Recommended brewing method:  Pour Over, French Press 
 
   
  Experience the Taste of Assam’s Finest Coffee  
 Sourced from the remote hill districts of Assam, the Assam KD 1 Microlot is an exceptionally rare coffee cultivated by dedicated farmers who handpick only the ripest cherries. Grown at high altitudes (900 - 1200m) on sun-kissed slopes, this coffee boasts a naturally sweet, fruity profile with delicate hints of wild honey—a perfect choice for those who appreciate nuanced, high-quality brews. 
   
 🌿 Why Choose This Coffee? ✔️ Single-origin &amp; traceable – Directly sourced from smallholder farmers. ✔️ Naturally processed – Sun-dried for a rich, full-bodied taste. ✔️ Perfect for specialty brews – Ideal for pour-over, French press, and manual brewing methods. ✔️ Exclusive Microlot – Limited availability for those who seek unique flavors. 
 A Journey from the Hills of Assam to Your Cup Beyond just coffee, Assam KD 1 Microlot tells a story of resilience and craftsmanship. The journey to these remote farms is both challenging and breathtaking, as the region is home to diverse indigenous communities living in harmony with nature. Each sip of this coffee reflects the care and hard work of these farmers who handpick and sun-dry each cherry to perfection. 
 At 7000 Steps, we are more than just roasters—we are coffee explorers. We work directly with farmers, ensuring fair trade practices while bringing Northeast India’s finest coffees to home brewers, cafés, and roasters across India and beyond. Our mission is simple: to connect remote coffee farms to passionate coffee lovers who seek quality, authenticity, and a taste of something truly unique. 
 Perfect for Home Brewers, Cafés, and Roasters Home Brewers: Looking for a rich, complex coffee to brew at home? Enjoy Assam’s finest in your pour-over or French press. Café Owners: Set your café apart with a unique single-origin coffee that customers will love. Roasters: Sourcing specialty coffee? This microlot offers a distinctive flavor profile that complements artisan roasting. 
  Freshly roasted in Shillong, Meghalaya. Shipped across India. 
 Order Now and bring home the taste of Assam’s rarest coffee!
[Meta Description]: Variety: 100% Arabica Processed: Natural Sun Dried Roast Level: Medium Roast Elevation: 900 -1200 meters above sea level​ Location: Assam Northeast India Flavour Notes: Fruity with hints of wild honey Recommended brewing method: Pour Over, French Press   Experience the Taste of Assam’s Finest Coffee Sourced from the re",https://www.7000steps.com/products/assam-highlands-micro-lot-nl,https://cdn.shopify.com/s/files/1/0577/6169/3893/files/AssammicrolotKD250g.webp?v=1721124674,250g:999.00; 1kg:2100.00; V60:2100.00,
7000 Steps,Assam Speciality Arabica Coffee - 250g,Rs. 899.00,INR,"Spirit of Assam 
 Unparalleled Quality and Freshness: 
  100% Arabica Beans:  Sourced from the pristine highlands of Dima Hasao, Assam, this single-origin Arabica offers true specialty-grade quality. 
  Medium Roast Balance:  Our medium roast highlights the natural sweetness and nutty undertones while preserving delicate citrus and cocoa notes. 
  Whole Bean Format:  Packed as whole beans for maximum freshness grind just before brewing to unlock full flavor and aroma. 
  Freshly Roasted to Order:  Each 250 g pack is roasted in small batches, ensuring a clean, vibrant cup every time. 
 
 Why Choose 7000 Steps Assam Single Origin Coffee? 
  Unique Flavor Profile:  Enjoy layered flavors of citrus, mandarin, brown sugar, roasted nuts, and dark chocolate, with a clean finish and a hint of stone fruit. Balanced acidity and smooth body make it versatile for multiple brew methods. 
  Specialty Grade Verified:  Cupping score of  80  (Specialty Coffee Association standard) — recognized as true specialty coffee. 
  High-Altitude Grown:  Cultivated between  529 m–2,158 m  in the hilly terrain of Dima Hasao, Assam, where cooler climates and rich soils shape distinctive flavors. 
  Ethically Sourced:  Directly sourced from smallholder farmers in Assam. Every purchase supports sustainable livelihoods and strengthens local communities. 
  Expertly Processed:  From careful harvesting to precision roasting, every step is monitored to preserve bean integrity and highlight Assam’s terroir. 
 
 From Farm to Cup: 
 Trace the journey of your coffee from the misty, highland farms of Assam to your brew at home. With 7000 Steps, you’re not just enjoying coffee — you’re tasting the authenticity of a region rarely represented in the specialty coffee world. 
 
 Key Features: 
 
 
 100% Arabica Coffee 
 
 
 Medium Roast with Citrus, Brown Sugar &amp; Cocoa Notes 
 
 
 Whole Bean Format for Fresh Grinding 
 
 
 Freshly Roasted to Order  
 
 
 Grown in Dima Hasao, Assam (529 m–2,158 m elevation) 
 
 
 Cupping Score: 80 (Specialty Coffee Association Standard) 
 
 
 
 Perfect for: 
 
 
 Coffee drinkers seeking a clean, traceable single-origin Arabica. 
 
 
 Home brewers who enjoy grinding fresh beans for pour-over, French press, or espresso. 
 
 
 Conscious consumers who value ethical sourcing and community support. 
 
 
 
 Order Your 7000 Steps Assam Single Origin Coffee Today 
 Elevate your coffee experience with Assam’s finest Arabica. With its balanced acidity, nutty sweetness, and bright citrus finish, this specialty-grade coffee delivers a cup that’s honest, authentic, and rooted in the hills of Northeast India. Freshly roasted to order, every sip connects you directly to the farmers and highlands of Assam.
[Meta Description]: Spirit of Assam Unparalleled Quality and Freshness: 100% Arabica Beans: Sourced from the pristine highlands of Dima Hasao, Assam, this single-origin Arabica offers true specialty-grade quality. Medium Roast Balance: Our medium roast highlights the natural sweetness and nutty undertones while preserving delicate citrus ",https://www.7000steps.com/products/assam-speciality-arabica-coffee-250g,https://cdn.shopify.com/s/files/1/0577/6169/3893/files/AssamSpecialty250g.webp?v=1756294629,250g:899.00; V60 (Recommended):899.00,
7000 Steps,Meghalaya JK Microlot,Rs. 999.00,INR,"Product specification:  
 
 
 Variety:  100% Arabica 
 
 Processed:  Natural Sun Dried 
 
 Roast Level:  Medium Roast 
 
 Elevation 700m-800m    above sea level ​ 
 
 
 Location:  Meghalaya Northeast India 
 
 Flavour Notes:  Wild sweet lemon with a hint of cocoa 
 
 Recommended brewing method:  Pour Over, French Press 
 
   
 Our Meghalaya Microlot coffee is a single origin coffee from the enchanted hills of Meghalaya Northeast India. The agro-forestry and microclimate conditions are unique to this region making the coffee grown here impart some distinctive flavours. 
 Grown at elevations of 700m-800m above sea level makes the coffee lean towards a more wild sweet lemon with a hint of cocoa. Only the ripe coffee fruits are picked and sun dried naturally locking in its goodness. 
 At 7000 Steps, we take pride to source directly from our framers, building bridges that connect our remote region to the final cup served to the growing community of coffee enthusiasts across India and beyond.
[Meta Description]: Product specification: Variety: 100% Arabica Processed: Natural Sun Dried Roast Level: Medium Roast Elevation700m-800m  above sea level​ Location: Meghalaya Northeast India Flavour Notes: Wild sweet lemon with a hint of cocoa Recommended brewing method: Pour Over, French Press   Our Meghalaya Microlot coffee is a singl",https://www.7000steps.com/products/meghalaya-microlot-1kg,https://cdn.shopify.com/s/files/1/0577/6169/3893/files/MeghalayaJKMicrolot.webp?v=1712572611,250g:999.00; 1kg:2700.00; V60:2700.00,
7000 Steps,Meghalaya Single Origin Robusta Coffee - 250g,Rs. 799.00,INR,"Single-Origin Robusta Meghalaya 
  Redefining Robusta. Bold, rich, and full of character.  
 Most people think of Robusta as harsh or basic. Our  Single-Origin Robusta from Aguragre, Meghalaya  proves otherwise. Sourced directly from a community of over  200+ dedicated farmers , this coffee is hand-picked, naturally sun-dried, and carefully roasted to unlock a flavor experience you won’t expect from Robusta. 
 
 Why This Coffee Stands Out 
 A Unique Origin 
 Grown in the fertile hills of  Aguragre, Meghalaya , this Robusta carries the story of a farming community that has cultivated coffee for generations. Each cup connects you to the people and the land that make it possible. 
 Naturally Processed 
 The beans are  sun-dried under the open sky  and hand-picked at peak ripeness. This traditional method enhances sweetness and complexity while preserving the bean’s natural integrity. 
 Bold Flavor, Elevated Experience 
 Expect  mild citrus brightness balanced with roasted nuts, cereal-like body, and a dark chocolate aroma . Smooth yet robust, it’s a coffee that surprises you with depth and sophistication. 
 Roasted with Care 
 We roast in small batches to bring out the best of this origin—balancing boldness with sweetness so you can enjoy a refined Robusta without bitterness. 
 
 What’s Inside 
 
 
  100% Single-Origin Robusta  
 
 
  Origin:  Aguragre, Meghalaya (200+ farmer community) 
 
 
  Process:  Natural Sun-Dried, Hand-Picked 
 
 
  Roast Levels Available:  Medium Roast / Dark Roast 
 
 
  Flavor Notes:  Mild citrus, roasted nuts, cereal, dark chocolate aroma 
 
 
  Recommended Brewing Methods:  French Press, Moka Pot, Espresso 
 
 
 
 Who Is This For? 
 
 
 Coffee lovers curious to explore  premium Robusta  beyond the ordinary. 
 
 
 Anyone who prefers a  bold, full-bodied cup  that pairs beautifully with milk or stands strong as an espresso. 
 
 
 Adventurous drinkers looking to taste the  hidden gems of Northeast India . 
 
 
 
  Discover Robusta as you’ve never tasted before. From the hills of Meghalaya to your cup—rich, bold, and unforgettable.
[Meta Description]: Single-Origin Robusta Meghalaya Redefining Robusta. Bold, rich, and full of character. Most people think of Robusta as harsh or basic. Our Single-Origin Robusta from Aguragre, Meghalaya proves otherwise. Sourced directly from a community of over 200+ dedicated farmers, this coffee is hand-picked, naturally sun-dried, a",https://www.7000steps.com/products/single-origin-robusta-meghalaya-250g,https://cdn.shopify.com/s/files/1/0577/6169/3893/files/MeghalayaRobustaSingleOrigin_2714d351-4102-48f8-bf22-2edd148e29ad.webp?v=1757315445,:799.00,
7000 Steps,Meghalaya Speciality Arabica Coffee - 250g,Rs. 899.00,INR,"Spirit of Meghalaya 
  Unparalleled Quality and Freshness : 
 
 
 100% Arabica Beans : Experience the premium quality of pure Arabica coffee, sourced from the heart of Meghalaya. 
 
 Medium Roast Mastery : Our medium roast accentuates the delicate notes of sweet lime and hints of grapefruit, delivering a refreshing and balanced cup. 
 
 Pour-Over Grind Size : Perfectly ground for pour-over brewing, ensuring a smooth, flavorful, and aromatic coffee experience. 
 
 Freshly Roasted to Order : Every batch is roasted just for you, guaranteeing the freshest coffee in every 250g pack. 
 
 Why Choose 7000 Steps Meghalaya Single Origin Coffee? 
  Unique Flavor Profile : 
 
 Indulge in the vibrant and refreshing flavors of sweet lime with a hint of grapefruit. This unique flavor profile is a testament to the rich biodiversity of Meghalaya, where our coffee grows among wild orange and lemon trees at an elevation of 1200m. 
 
  Ethically Sourced : 
 
 We pride ourselves on our close partnership with local farmers in the remote regions of Meghalaya. By sourcing directly from these dedicated farmers, we ensure that our coffee supports local communities and promotes sustainable farming practices. 
 
  Expertly Processed : 
 
 Our coffee is processed at our state-of-the-art facility in Shillong. From dried cherry form to the perfect roast, we meticulously oversee each step to bring out the best in every bean. 
 
  From Farm to Cup : 
 
 Experience the journey of our coffee from the remote, high-elevation farms of Meghalaya to your cup. Our commitment to quality and freshness is evident in every sip of 7000 Steps coffee. 
 
 Key Features: 
 
  100% Arabica Coffee  
  Medium Roast with Sweet Lime and Grapefruit Notes  
  Pour-Over Grind Size for Optimal Brewing  
  Freshly Roasted Upon Order  
  250g Pack for Freshness and Convenience  
  Sourced from High-Elevation Farms at 1200m  
  Processed and Roasted in Shillong, Meghalaya.  
 
 Perfect for: 
 
 Coffee enthusiasts seeking a unique, high-quality single origin coffee. 
 Pour-over lovers who appreciate freshly roasted beans with complex, refreshing flavors. 
 Conscious consumers looking to support ethical and sustainable coffee production. 
 
  Order Your 7000 Steps Meghalaya Single Origin Coffee Today :  Enchnace your coffee offerings with our exceptional Meghalaya Single Origin Coffee. Freshly roasted to order, each cup delivers the unique and delightful flavors of Meghalaya, with notes of sweet lime and hints of grapefruit. Impress your customers with a truly distinctive coffee experience that stands out from the ordinary. Choose 7000 Steps and bring an extraordinary coffee journey to your cafe, setting your menu apart and delighting coffee enthusiasts with every sip.
[Meta Description]: Spirit of Meghalaya Unparalleled Quality and Freshness: 100% Arabica Beans: Experience the premium quality of pure Arabica coffee, sourced from the heart of Meghalaya. Medium Roast Mastery: Our medium roast accentuates the delicate notes of sweet lime and hints of grapefruit, delivering a refreshing and balanced cup. P",https://www.7000steps.com/products/northeast-speciality-coffee-arabica-meghalaya-250g,https://cdn.shopify.com/s/files/1/0577/6169/3893/files/MeghalayaArabicaSpecialtyCoffee.webp?v=1753185674,250g:899.00; V60 (Recommended):899.00,
7000 Steps,Moka Pot,Rs. 900.00,INR,,https://www.7000steps.com/products/moka-pot,,:900.00,
7000 Steps,Northeast Cold Brew Blend 500g,Rs. 650.00,INR,,https://www.7000steps.com/products/northeast-cold-brew-blend-500g,,:650.00,
7000 Steps,Northeast Cold Brew – Premium Cold Brew Coffee Bags (5 Sachets | 250g ),Rs. 499.00,INR,"Experience the bold, bright taste of the Northeast – in every chilled sip. Cold brew like no other. Smoother. Sweeter. More character. 
   
   
  What Makes Our Cold Brew Unique?  
 Northeast Cold Brew is a medium roast 100% Arabica blend crafted from smallholder farms in Assam, Tripura, and Meghalaya. Designed for cold brew extraction, this blend unlocks an exceptional flavor experience perfect for slow sipping or summer energizing. 
  Blend Details:  
 
 Assam (20%) – Full-bodied depth and richness 
 Tripura (40%) – Balancing brightness and mild acidity 
 Tura, Meghalaya (40%) – Tropical sweetness with gentle fruit layers 
 
   
  Roast Profile:  Medium    Packaging:  5 x ~50g cold brew sachets    Best Brewed Cold:  16 hrs at 4°C | 1:8 ratio for extraction 
   Y ield:  One 50g pouch makes ~500 ml cold brew  
   
  Cold Brew Method (Step-by-Step)  
 
 Tear open a sachet and pour into your brew jar. 
 Add 280–350 ml of cold water (1:8 to 1:10 ratio depending on strength). 
 Steep in the fridge for 16 hours at 4°C. 
 Strain and serve chilled. Optionally add ice or a splash of milk. 
 
  No equipment needed. No bitterness. Just naturally sweet, refreshing coffee with layered flavor complexity.  
   
  Tasting Notes – What You’ll Experience  
 
 Gentle fruitiness – Like berries  
 Subtle tamarind tang – Adds bright contrast 
 Cocoa aftertaste – Rich, smooth finish 
 
   
  A sensory experience that balances acidity, body, and aroma — perfect for iced sipping or slow Sunday mornings.  
   
  Why Choose 7000 Steps Cold Brew?  
 
 Farm-direct Arabica from Northeast India’s finest terroirs 
 No preservatives or additives — 100% pure ground coffee 
 Small-batch roasted for peak flavor retention 
 Easy, mess-free brewing at home 
 
   
   Packaged for freshness in a convenient 250g kit
[Meta Description]: Experience the bold, bright taste of the Northeast – in every chilled sip.Cold brew like no other. Smoother. Sweeter. More character.   What Makes Our Cold Brew Unique? Northeast Cold Brew is a medium roast 100% Arabica blend crafted from smallholder farms in Assam, Tripura, and Meghalaya. Designed for cold brew extrac",https://www.7000steps.com/products/7000seps-cold-brew,https://cdn.shopify.com/s/files/1/0577/6169/3893/files/7000StepsColdBrewonaglasscafe_cea420ff-7d32-48e3-942d-7781d7728691.png?v=1758180891,:499.00,
