roaster,name,price,currency,description,product_url,image_url
Grey Soul,Coffee Bean Doser,Regular price Rs. 799.00 Regular price Sale price Rs. 799.00 Sale Sold out,Rs.,"Stoneware Matte White coffee bean dosing cup by grey soul coffee roasters, for weighing and dosing your beans. An aesthetic way to weigh your beans before making your coffee. The doser is capable of holding 24g of beans and will be suitable for both filter and espresso doses, even for screen 18+ arabica. Dimensions are : 10cm (4"") Length 4cm (1.5"") Height 7.5cm (3"") Width Characteristics: Lead free Dishwasher & Microwave Safe Handmade Stoneware Please note: Each coffee doser is handmade, so slight variations in shape, color, or finish make every piece unique.",https://greysoul.coffee/products/coffee-bean-dosing-cup-grey-soul-coffee,//greysoul.coffee/cdn/shop/files/doser_front_6c63a4a4-ad53-4e72-a014-a960e230e653.jpg?v=1759237138&width=1946
Grey Soul,Fruit Naturals (Light Roast),Regular price Rs. 799.00 Regular price Sale price Rs. 799.00 Sale Sold out,Rs.,"#1 SERIES - FRUIT FORWARD LOTS | 1.1 - FRUIT NATURALS Sun-Dried Natural | Raspberry & Mandarins with a hint of chamomile. Suitable for all brew methods. Ideal as Filter. Serving as Pourover at Bandra, Mumbai & Koregaon Park, Pune Origin Gungegiri Estate, Baba Budan Giri Hills, Chikmagalur Process Hand picked ripe cherries anaerobically fermented with yeast & sun dried for 25 Days. Varietal & Altitude SLN 9 grown at 1440 MSL Dry Aroma Red Ripe Berries, Orange & Milk Chocolate Wet Aroma Red Berry preserve & Gold Raisins Based on Sensory Evaluation Raspberry & Mandarins with a hint of chamomile. Roast Profile Light Roast dropped at 202-3° with 14% DTR Characteristics Lingering fruity mouthfeel, Soft florals, Med Body & Balanced Acidity. Minimum resting period Filter 9 Days A song that pairs well Roaster thoughts : Ripe Coffee cherries sun-dried evenly and washed resulting in a LOT that is extremely fruity & sweet. A traditional coffee processing method done right is what this lot stands for. Roasting a lot like this also requires careful disbursement of heat with low drum temperatures to preserve its inner sweetness. We roasted this coffee at a fairly lower drum speed with lower initial heat that gradually rises and reduces before the first crack to end the roast at a light level. Produces a med-heavy bodied, fruity and rich cup of coffee with a lingering aftertaste. Roast Profile: Roast Machine : Allio Bullet & Probat Development % : 14 Charge Temperature : 170 ° Celsius First Crack Temperature : Below 195 ° Celsius End Bean Temperature : 202 ° Celsius Brew Approach: 18 GMS Med-Fine (Fellow Ode Gen 2.0, 3.8 Setting) 40 ML bloom 45 seconds Swirl immediately after pour Then 80 ML Then At 1.30 again 80 ML Then again 80 ML to finish it off with gentle swirl in the end. Water above 92 ° Celsius (TDS not more than 140 PPM).",https://greysoul.coffee/products/fruit-naturals-light-roast-arabica-coffee,//greysoul.coffee/cdn/shop/files/ffruit_naturals_grey_o_gret.jpg?v=1764843682&width=1946
Grey Soul,Functional Tote Bag,Regular price Rs. 499.00 Regular price Sale price Rs. 499.00 Sale Sold out,Rs.,"13 x 16 INCH | Grey Soul Coffee Roasters, Functional TOTE Bag. Made using Canvas Cotton our tote bag has a 3 inch base for you to carry : A Laptop Books Coffee Tumbler Your MAX size smartphone Why is it a functional tote bag ? Seperate Tumbler holder Smartphone pocket Cotton canvas material Can take upto 20 Kilos of weight Care Instructions for 13 x 16 Inch: Soak in detergent water & Sun Dry Do not machine wash Do not hand brush wash 18 x 17 INCH | Grey Soul Coffee Roasters, Lifestyle TOTE Bag. Features of lifestyle tote bag ? Seperate Tumbler holder Cotton canvas material Luggage strap Can take upto 40 Kilos of weight Embroidered Branding Care Instructions for 18 x 17 Inch: Soak in detergent water & Sun Dry Do not machine wash",https://greysoul.coffee/products/functional-tote-bag,//greysoul.coffee/cdn/shop/files/tote_bag_resting_front.jpg?v=1759493950&width=1946
Grey Soul,Sensory Handmade Stoneware Cup,Regular price Rs. 499.00 Regular price Sale price Rs. 499.00 Sale Sold out,Rs.,"Sensory Handmade Stoneware Coffee Cup by grey soul coffee roasters. After, t ons of Reconciliation & Re-calibration, The pottery cups are now yours to own. Sensory Handmade Stoneware Cups by Grey Soul Coffee Roasters. Its finally here : Its all handmade Crafted for all Beverages Its stoneware Lead free Dishwasher & Microwave Safe With 0% Exterior Condensation Incredible Heat Retention. Sizes: 120 ML (ESPRESSO | CORTADO) 180 ML (FLAT WHITE | LATTE) 240 ML (FOR DRIP | ALL) *Capacity is measured up to the brim: 120ml, 180ml, and 240ml respectively. Inspired by 3 colors: Black Matte Cup Is inspired by the crystal clear Umngot River and the rocks that resemble the color of our stoneware. White Matte Cup Inspired by the White Marble Palitana Tirth, Bhavnagar, Gujarat. Grey Matte Cup Inspired by the Peninsular Genesis located at all Lal bagh in Bangalore also called Lal Bagh Rock.",https://greysoul.coffee/products/grey-soul-coffee-stoneware-handmade-cups,//greysoul.coffee/cdn/shop/files/pottery_front_87d052a5-115b-4259-8f63-7d6ced1098df.jpg?v=1759237677&width=1946
Grey Soul,White Hario filter paper size 02,Regular price Rs. 420.00 Regular price Sale price Rs. 420.00 Sale Sold out,Rs.,Hario Size 02 White Coffee Brewing Filter Paper. Product Type: Disposable Filters Cone Shaped white paper filter for 02 pour-over brewers Each filter brews a single or a double cup at a time. 100 Sheets of paper filter per packet. Product specification: Material Paper Product Code VCF-02-100W Brand Hario Country of origin Japan Weight 100 g,https://greysoul.coffee/products/hario-filter-paper-size-02-40-brown,//greysoul.coffee/cdn/shop/files/Hario-V60-White-Filter-Paper_jpeg.webp?v=1757320150&width=1946
Grey Soul,High Grown Espresso (Med-Dark Profile),Regular price Rs. 799.00 Regular price Sale price Rs. 799.00 Sale Sold out,Rs.,"#2 SERIES - ROASTERS ART | 2.3 HIGH GROWN ESPRESSO Washed Process | Hazelnuts, Milk Chocolate, Marshmallow with a hint of Blueberry Finish. Suitable for all brew methods. Serving as Single Origin Espresso at Bandra, Mumbai & Koregaon Park, Pune Origin Attikan Estate, Punajur State Forest, Karnataka Process Fermented and washed with spring water before sun drying on riased beds for 18 Days. Varietal & Altitude CATIMOR grown at 1550 - 1650 MSL Dry Aroma Dried figs, Roasted Hazelnuts & Cacao Wet Aroma Milk Chocolate & Apricots Sensory Evaluation Hazelnuts, Milk Chocolate, Marshmallow with a hint of Blueberry Finish. Roast Profile Low fed, extended maillard phase roast dropped at 216° with 20% DTR. Characteristics Round body with soft acidity & med-heavy body. Minimum resting period Filter 7 Days | Espresso 21 Days A song that pairs well Suitable for all Brew Methods. Roaster thoughts : This high-grown, fully washed Arabica is roasted specifically for espresso using a low charge temperature and controlled heat application. The roast curve emphasizes a prolonged Maillard phase , allowing for deep caramelization and the development of complex sugars, while maintaining a stable drum speed and airflow throughout to preserve clarity and texture. A precise roast approach was tailored to this lot to target sweetness, tactile richness, and balance. The resulting espresso is pillowy in mouthfeel , with a creamy viscosity and a well-integrated acidity. In the cup, the espresso is sweet and rounded , with a lingering berry-driven finish and a plush mouthfeel. When paired with milk, it transforms into a rich, wholesome beverage , showcasing soft acidity, sweet cream undertones , and excellent structure. This profile reflects our intention to highlight the terroir and varietal character, while ensuring versatility across both straight espresso and milk-based drinks. Roast Profile: Roast Machine : Probat Development Time : 1m 56secs End Bean Temperature : 216 ° Celsius Brew Approach : 18 Gram -> 40 ML (1:2.2) Temperature 90 C Extraction time 27 sec Steady pressure of 8.5 Pressure profiling, Start: 2 bars → 6 bars at 10 sec → hold at 9 bars from 10–30 sec Brew Better: Water & Resting Guidelines Water is just as important as the beans. For the cleanest, most balanced cup, we recommend using **mineral water with a Total Dissolved Solids (TDS) level not above 140 ppm**. This will allow the true flavor of your coffee to shine. Rested Coffee = Better Coffee Freshly roasted coffee continues to evolve. Harsh or roasty notes fade, giving way to sweetness, clarity, and complexity. Our resting guide: Minimum rest (Filter): 10 days after roast date Minimum rest (Espresso): Up to 3 weeks after roast date Patience pays off. Let your coffee settle, and enjoy a cup that truly reflects its origin.",https://greysoul.coffee/products/high-grown-espresso-arabica-med-dark-coffee,//greysoul.coffee/cdn/shop/files/high_grown_grey_o_grey.jpg?v=1764843610&width=1946
Grey Soul,MOGRA,Regular price Rs. 799.00 Regular price Sale price Rs. 799.00 Sale Sold out,Rs.,"#5 SERIES - HIGH SCORING LOTS | 5.4 MOGRA Jasmine in your final cup. Suitable for all brew methods. Ideal as Filter. Serving as Pour-over at Bandra, Mumbai (10th September onwards) Origin Ratnagiri Estate, Chikmagalur Process Anaerobic Fermented Naturals with culture microbes & tumble mechanical dried at the farm. Varietal & Altitude SL9 grown at 4450 Feet Dry Aroma Jasmine Florals, Chocolate & Grapefuit Wet Aroma Jasmine, Vanilla & Forest Honey. BRIX 24.2 Sensory Evaluation Intensely sweet cup with notes of Vanilla & Sweet Lime underpinning complex floral notes of Jasmine. Roast Profile Light Roast dropped with an early 1st crack & 16% DTR. Characteristics Heavy floral aromatics followed by a well balanced cup & deep sweetness. Minimum resting period Filter 10 Days | Espresso 19 Days A song that pairs well Roaster thoughts : Fermented naturals from ratnagiri estate profiled as an ultra light to bring out the floral notes from this LOT. This coffee is one the most unique single origin coffees's we have come across. A lot that everyone must try to understand terror and complexity Indian specialty coffee can deliver. It was a challenge at first to understand the nature, origin and process of this LOT, but as we sample roasted and cupped first few batches we knew where we were headed. Clean floral aromatics, jasmine in your final cup & bright acidity makes this a very enjoyable cup of coffee. Brewing Note: Due to its delicate roast level, we recommend brewing this coffee with higher water temperatures (97° C) and a controlled pour to ensure full extraction. Attention to grind size, agitation, and brew time is critical to achieve optimal clarity and balance in the cup. This coffee is a testament to our commitment to innovation and continuous refinement in roasting. The estate and efforts: We all are familiar with the producer Mr. Ashok Patre and his family run estate Ratnagiri Estate. Our founder visited the farm back in the month of march 2021 when coffee processing was at its peak. A day's visit to the estate to understand the farm, the processing techniques and the history behind the legacy was great. Our meeting began with knowing each other and talking and about the passion that runs Grey Soul Coffee as a brand. Then it led to discussions about the specialty community and culture in our country right now. Moving on, we spoke about cup score, Q grading and how it varies from person to person and hence become highly subjective. Then we spoke about international markets and a comparison between Indian and south American coffee. Then quickly moved on a long elaborate your of the farm where some coffee was milled and ready, some drying on raised beds, some drying out in the fields and hand garbling in works as final sorting was in process. In the end, specialty coffee can be simply defined as the coffee that is of the best quality without comprises. This is exactly what this estate stands for and believes in. Brew Better: Water & Resting Guidelines Water is just as important as the beans. For the cleanest, most balanced cup, we recommend using **mineral water with a Total Dissolved Solids (TDS) level not above 140 ppm**. This will allow the true flavor of your coffee to shine. Rested Coffee = Better Coffee Freshly roasted coffee continues to evolve. Harsh or roasty notes fade, giving way to sweetness, clarity, and complexity. Our resting guide: Minimum rest (Filter): 10 days after roast date Minimum rest (Espresso): Up to 3 weeks after roast date Patience pays off. Let your coffee settle, and enjoy a cup that truly reflects its origin.",https://greysoul.coffee/products/mogra-light-roast,//greysoul.coffee/cdn/shop/files/mogra_black_bag_bnb.jpg?v=1764817009&width=1946
Grey Soul,Ultra Light Nagaland,Regular price Rs. 699.00 Regular price Sale price Rs. 699.00 Sale Sold out,Rs.,"#4 SERIES - NORTHEASTERN INDIA | 4.1 ULTRA LIGHT NAGALAND Cranberries, Mandarin, Kiwi, Tamarind & bright citrus in the cup. Origin Mokokchung, Nagaland Process Sun-dried graded naturals Varietal & Altitude Chandragiri & SLN 9 grown at 1350 M Dry Aroma Kiwi, Green Mango Wet Aroma Mandarins & green Grapes Sensory Evaluation Cranberries, Mandarin, Kiwi & Tamarind Roast Profile Ultra-light Roast with 12% DTR & 9.20 Mins roast time. Minimum resting period Filter 7 Days Characteristics Light-med body, juicy mouthfeel & bright citrus in the cup. A song that pairs well Roaster thoughts : Another one of those high potential LOTS that we look forward to. Coffee processing plays a key role that impacts the final cup, but it is the region that makes a difference for this LOT. The LOT is something we haven't come across before and would want every brewer to experience this in its full glory. Though this coffee shines as a light-med and medium roast, we feel the best way to represent this LOT is by roasting it lighter. The flavors are clean and the cup is very well balanced. Its now yours to experience. Brew Better: Water & Resting Guidelines Water is just as important as the beans. For the cleanest, most balanced cup, we recommend using **mineral water with a Total Dissolved Solids (TDS) level not above 140 ppm**. This will allow the true flavor of your coffee to shine. Rested Coffee = Better Coffee Freshly roasted coffee continues to evolve. Harsh or roasty notes fade, giving way to sweetness, clarity, and complexity. Our resting guide: Minimum rest (Filter): 10 days after roast date Patience pays off. Let your coffee settle, and enjoy a cup that truly reflects its origin.",https://greysoul.coffee/products/nagaland-kohima-23-naturals-light-roast-profile,//greysoul.coffee/cdn/shop/files/ultra_light_nagaland_grey_o_grey.jpg?v=1764843770&width=1946
Grey Soul,Odisha Fermented Naturals (Light Roast),Regular price Rs. 699.00 Regular price Sale price Rs. 699.00 Sale Sold out,Rs.,"#6 TRIBAL FARM LANDS | 6.1 ODISHA NATURALS Pomegranate, Maple Syrup with clear plum finish. Suitable for all brew methods. Ideal as Pourover, Aeropress & French Press. Origin Koraput, Odisha Process Fermented sun-dried naturals Dry Aroma Orange Zest, Berries & chocolate Wet Aroma Berry jam, Orange & Betel leaf Sensory Evaluation Pomegranate, Maple Syrup with clear plum finish. Varietal & Altitude Chandragiri & SLN 9 grown at 1100 M Roast Profile Light Roast dropped at 202° with early 1st crack & total roast time of under 8.30 mins. Characteristics Bright Acidity with Med-heavy body. Minimum resting period Filter 9 Days | Espresso 11 Days A song that pairs well Roaster thoughts : A light roast was chosen for this very first tribal specialty coffee of harvest 25-26 roasted by Grey soul coffee roasters. Also of course, before finalizing the roast we did cup the coffee at different levels, but it was different this time. This is time the difference between batches was marginal, as there was less room to play when it came to heat, but we created more parameters with starting temperatures. Overall, it was a great experience and we are quite pleased with the outcome. The release of aroma when hot water comes in contact with coffee is dense and fruity. Brew Better: Water & Resting Guidelines Water is just as important as the beans. For the cleanest, most balanced cup, we recommend using **mineral water with a Total Dissolved Solids (TDS) level not above 140 ppm**. This will allow the true flavor of your coffee to shine. Rested Coffee = Better Coffee Freshly roasted coffee continues to evolve. Harsh or roasty notes fade, giving way to sweetness, clarity, and complexity. Our resting guide: Minimum rest (Filter): 10 days after roast date Minimum rest (Espresso): Up to 3 weeks after roast date Patience pays off. Let your coffee settle, and enjoy a cup that truly reflects its origin.",https://greysoul.coffee/products/odisha-floral-honey-light-med-roast-copy,//greysoul.coffee/cdn/shop/files/odisha_fermernrted_bnwt.jpg?v=1764817114&width=1946
Grey Soul,Raspberry in Loop,Regular price Rs. 799.00 Regular price Sale price Rs. 799.00 Sale Sold out,Rs.,"#2 SERIES - ROASTERS ART | 2.3 RASPBERRY IN LOOP Heavy Bodied with Raspberry tartiness in your final cup. Suitable for all brew methods. Origin Chikmagalur, Karnataka Process Anaerobic fermentation done in 3 stages for 72 hours , 48 hours and 24 hours consecutively. Eventually sun-dried on raised beds for a extended period. BRIX 22 Varietal & Altitude Sl795 & Chandragiri grown at 4180 ft Dry Aroma Pineapple, Mandarin & Cacao Wet Aroma Prune & Chocolate Sensory Evaluation Natural lot with rich & ripe character of Raspberry backed up by round milk chocolate contrasted with a crisp & sweet mandarin acidity. Roast Profile Med Roast with high DTR, low fan speed & variable drum RPM. Characteristics Heavy bodied with deep rich tart sweetness. Minimum resting period Filter 7 Days | Espresso 14 Days A song that pairs well Roaster thoughts : After Mango in Loop & strawberry comes in a single origin arabica called Raspberry in Loop. We’ve taken this to a medium roast with a high development time ratio, keeping fan speed low and drum RPM variable. This gives us heavier caramelisation and excellent solubility, while still preserving a bright, clean thread of acidity. In the cup, expect a rich, ripe raspberry core supported by pineapple and mandarin up top. It’s heavy-bodied, dense and sweet, ideal for both syrupy, fruit-forward espresso and big, expressive filter brews. We recommend resting 7 days for filter and around 14 days for espresso to let the aromatics settle and the sweetness really lock in. Brew Approach : 18 Gram -> 40 ML (1:2.15) Temperature 91-93 C Extraction time 25 sec Steady pressure of 9 Pressure profiling, Start: 2 bars → 6 bars at 10 sec → hold at 9 bars from 10–30 sec Brew Better: Water & Resting Guidelines Water is just as important as the beans. For the cleanest, most balanced cup, we recommend using **mineral water with a Total Dissolved Solids (TDS) level not above 140 ppm**. This will allow the true flavor of your coffee to shine. Rested Coffee = Better Coffee Freshly roasted coffee continues to evolve. Harsh or roasty notes fade, giving way to sweetness, clarity, and complexity. Our resting guide: Minimum rest (Filter): 7 days after roast date Minimum rest (Espresso): Up to 2-3 weeks after roast date Patience pays off. Let your coffee settle, and enjoy a cup that truly reflects its origin.",https://greysoul.coffee/products/raspberry-in-loop,//greysoul.coffee/cdn/shop/files/grey_bag_49446629-4957-47cb-9da9-dc665429d5f8.jpg?v=1764844348&width=1946
