roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
Guncha Coffee,5AM Club,Rs. 500.00,INR,"Chocolate that means business. Caramel that gives a nod, not a grin. A nutty, almondy warmth that hits like the quiet after chaos - you know, that breath of stillness before the next sunrise. Whether you're the last one standing after the party or the first one chasing the day, this is your rallying sip. 
  ROAST LEVEL:  Medium Dark 
   PROCESSING:  Monsooning + Washed 
  REGION:  Chikmagalur 
  ALTITUDE:  1100 MASL (metres above sea level) 
  VARIETAL:  SL9 
  Where the 5 AM Club Begins  In the quiet of Anoor village in Tamil Nadu, where the mornings are misty and time feels unhurried, sits Hoysala Estate. Named after the ancient dynasty that once ruled this land, the estate has stood its ground since the late 1800s, tended by the same family for four generations. 
 Here, at elevations at 1100 MASL (metres above sea level), coffee grows in rhythm with the land. Intercropped with cardamom, the plants mature under a canopy of care and patience. It’s not just where the 5 AM Club is grown. It’s where it’s born: steady, grounded, and ready for the day.   
  HARVEST:  2025 
  BEST BREW METHOD:  Expresso &amp; Manual 
  BEVERAGE STYLE:  W/Milk",https://gunchacoffee.com/products/5-am-club,https://cdn.shopify.com/s/files/1/0937/8725/9161/files/WhatsApp_Image_2025-11-01_at_12.48.20.jpg?v=1761981914,100gm:500.00; 250gm:800.00,
Guncha Coffee,Brew Baby Brew,Rs. 800.00,INR,,https://gunchacoffee.com/products/brew-baby-brew,https://cdn.shopify.com/s/files/1/0937/8725/9161/files/Artboard_2.jpg?v=1761984110,100gm:800.00; 250gm:1200.00,
Guncha Coffee,First Date,,INR,"Call this sampler pack your ‘First Date’ with coffee with no awkward silences, just three cups ready to sweep you off your feet.   
  Raincheck is the smooth talker, the one with dark chocolate eyes and caramel laughs, the kind that warms you from the inside out.  
  Golden Hour is the quiet charmer, with soft florals and a drizzle of honey, like sunlight brushing your face when the world slows down.  
  And One by Two? That’s the playful one, serving juicy berries and a pop of plum, made for sharing secrets and songs with someone who just gets you.  
  All your moods, all your firsts, in one perfect pack.  
  3 pouches of 100gm each",https://gunchacoffee.com/products/first-date,https://cdn.shopify.com/s/files/1/0937/8725/9161/files/IMG_3710.jpg?v=1753109643,,
Guncha Coffee,Golden Hour,Rs. 500.00,INR,"Like a soft spotlight through the blinds - orange zest, stone fruit, and juicy apple line up for their solo. It's plum, but polished. This cup? It tastes like that one rare moment you actually pause - mid-scroll, mid-chaos - when the sunlight spills in and for no reason at all, you smile. Just for existing. It’s your reminder: reset the clock.  
  ROAST LEVEL:  Medium Light 
   PROCESSING:  Washed 
  REGION:  Hoyasala Estate (  Tamil Nadu ) &amp;  The Laks Farm(Tamil Nadu) 
  ALTITUDE:  1300 MASL (metres above sea level) 
  VARIETAL:  SL9 
  HARVEST:  2025 
  BEST BREW METHOD:  Expresso &amp; Manual (French Press, Aeropress, Pour-over, Channi style, South Indian Filter) 
  BEVERAGE STYLE:  Manual Brew, Milk Based Drinks  
  Where Golden Hour Grows  Golden Hour is born where stillness meets intention - on two farms that honour the land, the craft, and the quiet magic of doing things the right way. 
 In the Pulney Hills of Tamil Nadu, you’ll find The Laks Farm in Pachalur village. One of the highest coffee-growing regions in India, it's a place where biodiversity thrives, coffee trees growing alongside oranges, bananas, cardamom, and pepper. Everything here is organic, intentional, and deeply alive. The result? Coffees that are bright, layered, and lingering like light catching the edge of the day. 
 Down south in Anoor village, Hoysala Estate carries the weight of history, named after a dynasty that once ruled this very soil. The estate has been family-run since the late 1800s, with a quiet focus on growing coffee that speaks for itself. At 1100 meters, intercropped with cardamom and processed with care - natural, washed, honey, and even monsooned, their approach is steady, patient, and precise. 
 Together, these two farms create something balanced and beautiful. Golden Hour is a blend full of grace and is soft, rounded, and golden in every sense.",https://gunchacoffee.com/products/golden-hour,https://cdn.shopify.com/s/files/1/0937/8725/9161/files/Artboard_5.jpg?v=1761984180,100gm:500.00; 250gm:850.00,
Guncha Coffee,Ground Rules,,INR,"Ground Rules because coffee isn’t just a drink for some, it’s serious business.  
  The kind of sampler pack for people who know their order by heart, who won’t settle for “just anything,” and who challenge baristas at latte art like it’s a weekend sport. This sampler pack is for the ones who set the tone.   
  When you need the world to hit pause, there’s Golden Hour with soft orange zest, stone fruit, and a whisper of apple, like a slow exhale after a long day.   
  When you want to stir things up, meet Troublemaker with apricot and dark caramel waltzing with a nutty boldness. Not all chaos is bad; some of it is deliciously intentional.   
  And for the moments that taste better shared, One by Two steps in with plum and juicy berries that turn conversations into memories, one pour at a time.  
  3 pouches of 100gm each",https://gunchacoffee.com/products/ground-rules,https://cdn.shopify.com/s/files/1/0937/8725/9161/files/IMG_3708.jpg?v=1752760396,,
Guncha Coffee,Light Roasts Sampler Pack,,INR,"Light roast is where coffee shows off its truest self. No heavy cloak of smokiness, just the natural flavours of the bean shining through. Think of it as coffee in its morning voice: soft, lively, and ready to tell you its story.  
  When the day feels like it needs a gentle start, Golden Hour steps in with orange zest, stone fruit, and crisp apple, a cup that tastes like warm sunlight stretching through the blinds.   
  And when the playlist is shared and laughter feels louder, One by Two takes over, juicy berries and ripe plum, made for conversations that don’t care about the clock.  
  Light, bright, and full of character, this sampler pack has coffee that doesn’t need to shout to be heard yet demands your full attention.   
   
  2 pouches of 100gm each",https://gunchacoffee.com/products/light-roasts-sampler-pack,https://cdn.shopify.com/s/files/1/0937/8725/9161/files/IMG_3707.jpg?v=1752760397,,
Guncha Coffee,Medium Roasts Sampler Pack,,INR,"Medium roast is where coffee finds its middle ground. It’s smooth yet full-bodied, rich but not overpowering. It’s like that friend who can switch from deep conversations to effortless banter without missing a beat.   
  When the mood calls for a little rebellion, there’s Troublemaker with apricot, dark caramel, and a nutty kick, all swirling together like chaos with a plan.  
  And when comfort is the only thing on your mind, Raincheck brews with dark chocolate, soft plum, and a caramel finish, like a blanket that’s just the right weight.  
  Not too light, not too intense, this sampler pack has just the kind of coffee that knows how to keep things interesting.   
 2 pouches of 100gm each",https://gunchacoffee.com/products/medium-roasts-sampler-pack,https://cdn.shopify.com/s/files/1/0937/8725/9161/files/IMG_3711.jpg?v=1752760397,,
Guncha Coffee,One By Two,Rs. 500.00,INR,,https://gunchacoffee.com/products/one-by-two,https://cdn.shopify.com/s/files/1/0937/8725/9161/files/Artboard_3.jpg?v=1761984129,100gm:500.00; 250gm:900.00,
Guncha Coffee,Raincheck,Rs. 500.00,INR,"Heavy-bodied and emotionally available. Caramel wraps you like an old jumper. Citrus and sweet lime sneak in like a memory. And that chocolate? It lingers like a song you didn’t know you missed. This one doesn't just brew - it   drips  . You’ll want to cancel your plans and call it nostalgia.  
   
   ROAST LEVEL:  Medium Plus    
   PROCESSING:  Washed + Naturals&amp;nbsp;  
   REGION:   Venkids Valley Estate(Karnataka) &amp;  Harley Estate(Karnataka)  
   ALTITUDE:  1200 MASL (metres above sea level)    
   VARIETAL:  SLN 9 + SLN 795     
   HARVEST:  2025    
   BEST BREW METHOD:  Expresso &amp; Manual (Espresso, Moka Pot, South Indian Filter, Aeropress, French Press)    
   BEVERAGE STYLE:  Cold Brew, Manual Brews, Milk Based Drinks  
   
  Where Raincheck Grows  
    Raincheck   is grown where rain isn't a disruption, it's a rhythm. Two estates, two approaches, one shared respect for water, weather, and waiting for the right moment.  
  At   Venkids Valley Estate  , in the lush hills near Madikeri, nature sets the pace. This 200-acre expanse hums with wild fig, mango, avocado, and soapnut trees. Birds nest, breezes carry song, and coffee grows slowly beneath a dense canopy at 3600 feet. Pavan and Shilpa run the estate with quiet conviction, solar-powered homes, rainwater harvesting, and a community that’s been part of the land for decades. Here, modern machinery meets old-school care, and every bean reflects the patience of a place that listens to the rain.  
  Then there’s   Harley Estate  , further south in Sakleshpur. One of Karnataka’s most storied coffee farms, it balances heritage with innovation. With misty mornings and rich soil, Harley produces washed and natural coffees, and is known for its pioneering work in monsoon processing. Water isn’t just weather here, it’s part of the profile. Beans are aged in precisely controlled conditions, echoing the old shipping-route serendipity of monsooned coffee, but crafted with intention.  
  Together, these estates deliver a cup that’s moody, mellow, and quietly complex.   Raincheck   is for slow sippers and everything worth waiting for.",https://gunchacoffee.com/products/raincheck,https://cdn.shopify.com/s/files/1/0937/8725/9161/files/Artboard_6.jpg?v=1761985055,100gm:500.00; 250gm:850.00,
Guncha Coffee,Troublemaker,Rs. 500.00,INR,"This one? It doesn't ask for permission. Think sweet lime with a side of defiance. Apricot and dark caramel pull you in, but it’s that figgy depth and nutty thump that makes you stay. With milk or straight-up bold - it doesn’t care. It’s for the ones who rewrite the rules while sipping their second cup.  
  ROAST LEVEL : Medium 
   PROCESSING:  Washed + Naturals 
  REGION:   Venkids Valley Estate (Karnataka) &amp;  The Laks Farm (Tamil Nadu) 
  ALTITUDE:  1300 MASL (metres above sea level) 
  VARIETAL:  Chandragiri + SLN 9 + Canephora 
  HARVEST:  2025 
  BEST BREW METHOD:  Expresso &amp; Manual (French Press, Aeropress, Pour-over, South Indian Filter, Cold Brew) 
  BEVERAGE STYLE:  Cold Brew, Manual Brew, Milk Based Drinks  
  Where The Trouble Brews  
 Troublemaker isn’t born in one place. It comes from two farms, two philosophies, and one shared spirit: do things differently, and do them with intent. 
 First, there’s Venkids Valley Estate, tucked away in the Western Ghats near Madikeri. A winding road leads you in, past rivulets and wild fig trees, into 200 acres of untamed green. Pavan and Shilpa run the show, welcoming, passionate, and quietly rebellious. Here, at 3600 feet, coffee grows under a dense jungle canopy alongside over 40 species of trees. It’s processed with precision, but powered by people, a close-knit team living in solar-powered homes, harvesting rainwater, and keeping the land alive with every step. 
 Then, high in the Pulney Hills of Tamil Nadu, there’s The Laks Farm, nestled in Pachalur village. One of the highest coffee-growing regions in India, it runs on organic principles and deep respect for the ecosystem. No chemicals. No shortcuts. Just a farm where coffee grows with oranges, bananas, cardamom, and pepper, layered in flavor and full of life. 
 Together, these farms bring you a coffee that’s bold, bright, and a little wild. Just like its name. Troublemaker doesn’t play safe. It plays real.",https://gunchacoffee.com/products/troublemaker,https://cdn.shopify.com/s/files/1/0937/8725/9161/files/Artboard_4.jpg?v=1761984196,100gm:500.00; 250gm:800.00,
