roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type,origin,tasting_notes,process
Kruti Coffee,Assorted Drip Bags | Pack of 5,Rs. 350.00,INR,"100% ARABICA | PACK OF 5 ASSORTED DRIP BAGS    
  VARIETIES:    2 BLENDS &amp; 3 SINGLE ORIGINS   
  ROAST:   3 RANGES           
  ALTITUDE:     2854-2952 FT MSL    
  ORIGIN:    KORAPUT,ODISHA, INDIA     
  USP:  FOREST GROWN, SHADE GROWN , TRIBAL GROWN   
  QUANTITY:   5 DRIP BAGS (EACH 12 GRAM)    
 These drip bags have been specially designed to make brewing easy for you at home or as you travel. Please refer packaging for brewing instruction. 
 This coffee drip bag packet has collection of 5 assorted signature coffees from the house of Kruti Coffee. The packet contains the following drip bags: 
 1. Kalinga Gold Blend (Medium Dark Roast, Cupping Notes- Dark Chocolate, Hazelnut &amp; Orange Peel) 
 2. Koraput Arabica Blend (Medium Dark Roast,  Cupping Notes- Roasted Almond &amp; Chocolate) 
 3. Kindiriguda Naturals (  Medium Roast,  Cupping Notes-   Red Apple, Plum, Prune, Roasted Nuts with a touch of Almonds)    
  4. Deomali Special (Medium Roast,  Cupping Notes- Honey &amp; Caramel)  
   5. Paraja Strong ( Medium Dark Roast,  Cupping Notes- Cherries &amp; Chocolate)  
  About Kruti Coffee:  
   Kruti Coffee is one of India's fastest growing specialty coffee entity and cafe chain. Specialty coffee standards are followed across the value chain. Kruti Coffee started it's specialty coffee journey by transforming farm management practices of Kindiriguda tribal coffee farms in the Eastern Indian State of Odisha. Kruti Coffee has instituted strict specialty standards in processing, roasting and brewing. Currently Kruti Coffee roasts it's entire coffee inventory by following standards set by SCA",https://kruticoffee.com/products/assorted-drip-bags-pack-of-5,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Assorted_Drip_Bag_KC_A.jpg?v=1779269943,:350.00,3 RANGES,,,
Kruti Coffee,Bhubaneswar Blend | Signature Blend | 250 G,Rs. 700.00,INR,"100% ARABICA | SIGNATURE BLEND OF COFFEE     FROM KORAPUT   
  PROCESS:    WASHED    FLAVOUR:    DARK CHOCOLATE &amp; HAZELNUT   
  ROAST:    DARK      ALTITUDE:     2854-2952 FT MSL    
  ORIGIN:    KORAPUT,ODISHA     
  QUANTITY:   250 GRAMS    
 Please select the grind preference based on the equipment you will be using to brew your coffee. We will grind as per your preference, before shipping the Arabica coffee to you (with best compliments from us). 
 The coffee in this packet is a blend of two washed coffees from  farms under in Koraput. Both the coffees have been carefully roasted and blended in the right proportion to get a magical brew. This signature blend of ours is a tribute to the rich history and legacy of City of Temples Bhubaneswar in the beautiful state of Odisha. 
  About Bhubaneswar Blend:  
 Bhubaneswar Blend is the darkest blend developed by Kruti Coffee ever. This blend has been developed for coffee connoisseurs who like their coffee really strong yet tasteful. This goes nicely as a black coffee brewed in espresso style and blends beautifully with milk.",https://kruticoffee.com/products/bhubaneswar-blend-100-arabica-signature-blend-dark-roasted-250-gm-kruti-coffee-freshly-roasted-specialty-coffee-blend,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Bhubaneswar_Blend_KC_F.jpg?v=1779273768,:700.00,DARK,,,WASHED
Kruti Coffee,Deomali Special Drip Bags | Pack Of 5,Rs. 350.00,INR,"100% ARABICA | SINGLE ORIGIN       
  PROCESS:    WASHED      
  CUPPING NOTES:    HONEY &amp; CARAMEL   
  ROAST:  MEDIUM        
  ALTITUDE:     2854-2952 FT MSL    
  ORIGIN:    KINDIRIGUDA, KORAPUT     
  USP:  FOREST GROWN, SHADE GROWN , TRIBAL GROWN   
  QUANTITY:   5 DRIP BAGS (EACH 12 GRAM)    
 These drip bags have been specially designed to make brewing easy for you at home or as you travel. Please refer packaging for brewing instruction. 
 This specialty washed coffee from Kindiriguda- “ Deomali Special ” has been roasted medium for those who like the nuanced taste notes characteristic of the coffee from Kindiriguda in Koraput. This roast profile is our tribute to the beautiful Deomali Hills in Koraput.  
   About Kindiriguda : A small tribal village of 40 families in Koraput, Odisha. Kruti Coffee supports Kindiriguda tribal coffee farmers   across the value chain to ensure specialty standards are maintained throughout. The coffee in this packet is from the 2021-2022 batch of washed coffee from Koraput which was carefully dried on raised beds to maintain consistency.",https://kruticoffee.com/products/kruti-deomali-special-drip-bag-medium-roast,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Deomali_KC_F.jpg?v=1779270667,:350.00,MEDIUM,,,
Kruti Coffee,Deomali Special | Single Origin | 250 G,Rs. 700.00,INR,"100% ARABICA | SINGLE ORIGIN      
  PROCESS:    WASHED      
  CUPPING NOTES  :  HONEY &amp; CARAMEL   
  ROAST  :  MEDIUM      
  ALTITUDE  :      2854-2952 FT MSL   
  ORIGIN  :  KINDIRIGUDA, KORAPUT   
  USP  :  FOREST GROWN, SHADE GROWN , TRIBAL GROWN   
  QUANTITY  :  250 GRAMS   
 This washed specialty coffee from Kindiriguda, Koraput- “ Deomali Special ” has been roasted medium for those who like the nuanced taste notes characteristic of the coffee from Kindiriguda in Koraput. This roast profile is our tribute to the beautiful Deomali Hills in Koraput.  
 Please select the grind preference based on the equipment you will be using to brew your coffee. We will grind as per your preference, before shipping the coffee to you (with best compliments from us). 
   About Kindiriguda : A small tribal village of 40 families in Koraput, Odisha. Kruti Coffee supports Kindiriguda tribal coffee farmers across the value chain to ensure specialty standards are maintained throughout.",https://kruticoffee.com/products/deomali-special,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Deomali_KC_F_eac19e3f-5c09-42cc-b487-9f72bbb6d021.jpg?v=1779273938,Pour Over (V60):700.00,MEDIUM,,,
Kruti Coffee,Kalinga Gold Drip Bags | Pack of 5,Rs. 350.00,INR,"100% ARABICA | BLEND OF KORAPUT COFFEE       
  PROCESS:    WASHED      
  CUPPING NOTES:     HAZELNUT, ORANGE PEEL &amp; DARK CHOCOLATE   
  ROAST:   MEDIUM    DARK      ALTITUDE:     2854-2952 FT MSL    
  ORIGIN:    KORAPUT,ODISHA     
  QUANTITY:   5 DRIP BAGS (EACH 12 GRAM)    
 These drip bags have been specially designed to make brewing easy for you at home or as you travel. Please refer packaging for brewing instruction. 
 The coffee in this packet is from two farms under our fold in Koraput. Both the coffees have been carefully roasted and blended in the right proportion to get a magical brew.  
  About Kalinga Gold:  
 This signature blend of our's is a tribute to the rich culture, civilization and history of Kalinga, the beautiful state of Odisha. This blend has been developed by combining only the AA Washed Green beans from Kindiriguda and another farm under our panel in Koraput.",https://kruticoffee.com/products/kalinga-gold-drip-bags-pack-of-5,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Kalinga_Gold_Drip_Bag_KC_A.jpg?v=1779268946,:350.00,MEDIUM DARK,,,
Kruti Coffee,Kalinga Gold | Signature Blend | 250 G,Rs. 900.00,INR,"100% ARABICA | BLEND OF COFFEE     FROM KORAPUT   
  PROCESS:    WASHED      
  CUPPING NOTES:    HAZELNUT, ORANGE PEEL &amp; DARK CHOCOLATE   
  ROAST:   MEDIUM    DARK      ALTITUDE:     2854-2952 FT MSL    
  ORIGIN:    KORAPUT, ODISHA     
  QUANTITY:   250 GRAMS    
 Please select the grind preference based on the equipment you will be using to brew your coffee. We will grind as per your preference, before shipping the coffee to you (with best compliments from us). 
 The coffee in this packet is a blend of AA washed coffee from two farms under our fold in Koraput. Both the coffees have been carefully roasted and blended in the right proportion to get a magical brew.  
  About Kalinga Gold:  
 Kalinga Gold is the most premium blend developed by Kruti Coffee ever. This blend has been developed by combining only the AA Washed Green beans from Kindiriguda and another farm under our panel in Koraput.  This signature blend of ours is a tribute to the rich culture, civilization and history of Kalinga, the beautiful state of Odisha.",https://kruticoffee.com/products/kruti-coffee-kalinga-gold-100-arabica-coffee-beans-medium-dark-roast-250-gm,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/KG-3F.jpg?v=1779272888,Pour Over (V60):900.00,MEDIUM DARK,,,
Kruti Coffee,Kindiriguda Naturals Drip Bags | Pack of 5,Rs. 350.00,INR,"100% ARABICA | SINGLE ORIGIN       
  PROCESS:   NATURAL       
  CUPPING NOTES:   
  RED APPLE, PLUM, PRUNE, ROASTED NUTS WITH A TOUCH OF ALMONDS     
  ROAST:  MEDIUM        
  ALTITUDE:     2854-2952 FT MSL    
  ORIGIN:    KORAPUT, ODISHA     
  USP:  FOREST GROWN, SHADE GROWN , TRIBAL GROWN   
  QUANTITY:   5 DRIP BAGS (EACH 12 GRAM)    
 These drip bags have been specially designed to make brewing easy for you at home or as you travel. Please refer packaging for brewing instruction. 
 This specialty naturals coffee from Kindiriguda- “ Kindiriguda Naturals ” has been roasted medium for those who like the nuanced taste notes characteristic of the coffee from Kindiriguda in Koraput.  
   About Kindiriguda : A small tribal village of 40 families in Koraput, Odisha. Kruti Coffee supports Kindiriguda tribal coffee farmers   across the value chain to ensure specialty standards are maintained throughout. Kindiriguda Naturals was awarded India's No1 Arabica Naturals at Fine Cup Award during 5th World Coffee Conference",https://kruticoffee.com/products/kindiriguda-naturals-drip-bags-pack-of-5-copy,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Kindiriguda_Drip_Bag_KC_F.jpg?v=1779270160,:350.00,MEDIUM,,,
Kruti Coffee,Kindiriguda Naturals | Single Origin | 250 G,Rs. 950.00,INR,"100% Arabica | Single Origin   
  Process : Naturals 
  Cupping Notes:  Red Apple, Plum, Prune, Roasted Nuts With A Touch Of Almonds 
  Roast:  Medium 
  Altitude:  2854-2952 Ft Msl 
  Origin:  Kindiriguda, Koraput 
  Usp:  Forest Grown, Shade Grown, Tribal Grown 
  Quantity:  250 Grams",https://kruticoffee.com/products/kindiriguda-naturals,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/KGC_F.jpg?v=1779272711,Pour Over (V60):950.00,Medium,"Kindiriguda, Koraput",,
Kruti Coffee,Koraput Arabica Blend Drip Bags | Pack Of 5,Rs. 350.00,INR,"Kruti Coffee - Koraput Arabica Blend Drip Bags | Medium Roast - Pack of 5   
  100% ARABICA | BLEND OF COFFEE FROM KORAPUT  
  PROCESS:    WASHED     
  CUPPING NOTES:    ROASTED ALMONDS AND CHOCOLATE   
  ROAST:  MEDIUM        
  ALTITUDE:     2854-2952 FT MSL    
  ORIGIN:    KORAPUT, ODISHA, INDIA     
  QUANTITY:   5 DRIP BAGS (EACH 12 GRAM)    
 These drip bags have been specially designed to make brewing easy for you at home or as you travel. Please refer packaging for brewing instruction. 
   About Koraput Arabica Blend  :    
  The coffee in these drip bags is from two farms under our fold in Koraput.  Both the coffees have been carefully roasted and blended in the right proportion to get a magical brew.   
  About Kruti Coffee:  
  Kruti Coffee is one of India's fastest growing specialty coffee entity and cafe chain. Specialty coffee standards are followed across the value chain. Kruti Coffee started it's specialty coffee journey by transforming farm management practices of Kindiriguda tribal coffee farms in the Eastern Indian State of Odisha. Kruti Coffee has instituted strict specialty standards in processing, roasting and brewing. Currently Kruti Coffee roasts it's entire coffee inventory by following standards set by SCA",https://kruticoffee.com/products/kruti-coffee-koraput-arabica-blend-drip-bag-medium-roast-pack-of-5,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Koraput_Arabica_Drip_Bag_KC_F.jpg?v=1779270513,:350.00,Pack of 5 100% ARABICA | BLEND OF COFFEE FROM KORAPUT,,,
Kruti Coffee,Koraput Arabica Blend | Signature Blend | 250 G,Rs. 700.00,INR,"100% ARABICA | BLEND OF COFFEE     FROM KORAPUT   
  PROCESS:    WASHED     
  CUPPING NOTES:    ROASTED ALMONDS AND CHOCOLATE   
  ROAST:  MEDIUM        
  ALTITUDE:     2854-2952 FT MSL    
  ORIGIN:    KORAPUT, ODISHA, INDIA     
  QUANTITY:   250 GRAMS    
 Please select the grind preference based on the equipment you will be using to brew your coffee. We will grind as per your preference, before shipping the coffee to you (with best compliments from us). 
 The coffee in this packet is a blend of washed coffee from two farms under our fold in Koraput. Both the coffees have been carefully roasted and blended in the right proportion to get a magical brew.  
  About Koraput Arabica Blend:  
 Koraput Arabica is a blend developed by Kruti Coffee that combines washed coffee from Kindiriguda and another farm under our panel in Koraput.  This signature blend of ours is a tribute to the region Koraput that produces some amazing coffees.",https://kruticoffee.com/products/koraput-arabica-blend-signature-blend-250-g,https://cdn.shopify.com/s/files/1/0631/7427/9381/files/Korapur_Arabica_KC_F.jpg?v=1779273491,Pour Over (V60):700.00,MEDIUM,,,
