Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Baarbara Estate-Frozen Cherry,Roastery,850.0,1kg,Medium Roast,,Chikmagalur,,"The method takes inspiration from ingredients outside of coffee which develops amazing sweetness. Inspired by wine industry, whole cherries are fermented and put it in freezer in bag so the sugars accumulate further removed and slow dried on raised beds. Processing – Frozen Cherry Origin – Chikmagalur Altitude – 4500- 5000ft Varietal – Selection- 795 Roast Level – Medium Flavour Profile – Mixed berries, Mango, Dates Recommended for – Pour over, Aeropress , French press",https://roasterycoffee.co.in/product/baarbara-estate-frozen-cherry/,https://roasterycoffee.co.in/wp-content/uploads/2025/12/1-12.png,Coffee
Baarbara Estate Pineapple,Roastery,780.0,1kg,Medium Roast,,Baarbara Estate,is so unique that no two batches of coffee taste the same,"Roastery Coffee House is proud to present its most innovative offering, for which pulped coffee is fermented with fresh pineapple till the fruit and cherries break down into delicious flavours. This process is so unique that no two batches of coffee taste the same. Origin – Chikmagalur Flavour – Pineapple, Dried Apricot, Honey Roast Level – Medium Acidity Level – Medium Bitterness Level – Low Body – Medium Altitude -1300-1500 MASL Processing – Pineapple Fermentation Varietal – SLN 795 Location -Chikmagalur",https://roasterycoffee.co.in/product/baarbara-estate-pineapple/,https://roasterycoffee.co.in/wp-content/uploads/2025/12/baarbara-estate-pineapple.png,Coffee
Baarbara Estate-HSD,Roastery,720.0,1kg,Medium Roast,Honey sun-dried coffee is a beautifully balanced,Baarbara Estate,Natural,"Honey sun-dried coffee is a beautifully balanced processing style where the coffee cherries are de-pulped but dried with part of the sticky, sweet mucilage still clinging to the beans. As they dry slowly under the sun, this natural sweetness infuses into the seeds, creating a cup that is smooth, syrupy, and vibrant. Expect flavours of ripe fruit, caramel-like sweetness, and a round, creamy body, all while maintaining a gentle acidity. This method highlights both the terroir and the careful craftsmanship of the producer making honey sun-dried coffees a favourite in the speciality world. Processing – Honey Sun Dried Origin – Chikmagalur Altitude – 1370-1525 MASL Varietal – Selection- 795 Roast Level – Medium Flavour Profile – SWEET LIME ,ORANGE, CACAO Recommended for – Pour over, Aeropress , French press",https://roasterycoffee.co.in/product/baarbara-estate/,https://roasterycoffee.co.in/wp-content/uploads/2024/11/1-1.png,Coffee
Basan Khan Estate,Roastery,630.0,1kg,Medium Roast,The Basankhan,Chikmagalur,ing,"The Basankhan Estate is a family-owned farm located in Chikmagalur, Karnataka with a rich history spanning over 100 years. It was originally founded by their great grandfather, Mr. Gulamenabi, and subsequently managed by G. Abdul Wajid & Sons. Now in its fourth generation, the estate continues to flourish.After picking cherries from the trees, the farm initiates immediate processing. Unwanted cherries are removed, and the coffee is meticulously cleaned with water. A pulping machine is then used to remove the outer layer of the cherries, after which the washed coffee is soaked in water for 12 hours before being transferred to the drying yard.The focus of the Basankhan Estate is to consistently produce the finest beans from their crop. They prioritise thorough washing by performing the process twice. The drying methods employed include mat drying, shade drying, regular drying, and more. During the drying process, careful attention is paid to rotation, ensuring equal drying by turning the coffee every hour. Flavour – Caramel, Citrus, Gooseberry Roast Level – Medium Acidity Level – Medium Bitterness Level – Low Body – Medium Altitude – 1450 MASL Processing – Washed Varietal – SLN 795 Location -Chikmagalur",https://roasterycoffee.co.in/product/basan-khan-estate/,https://roasterycoffee.co.in/wp-content/uploads/2025/12/basan-new.png,Coffee
C & T Estate,Roastery,750.0,1kg,Medium-Light Roast,,Chikmagalur,Natural,"At Roastery, every coffee begins with a story of land, people, and purpose.Chikkashalavara and Tharigudde Estate (C&T Estates), nestled in the lush Western Ghats of Chikmagalur, is one such origin that speaks quietly yet deeply through the cup. With a legacy of over a century, this estate is not just growing coffee—it is nurturing an ecosystem where nature and craft exist in balance.The estate breathes biodiversity—avocados, black pepper, and arecanut grow alongside coffee, creating a living system that influences both the land and the flavour. This natural harmony reflects in the cup, adding depth and a subtle complexity that cannot be replicated. At Roastery, we value coffees that are not just high in quality, but honest in their journey. C&T Estates follows practices that respect the land—preserving natural vegetation, supporting biodiversity, and ensuring that every harvest gives back as much as it takes. Processing – Anoxic Fermented Washed Altitude – 900 -1200 MASL Varietal – SLN 795 Roast Level – Light to Medium Acidity Level-Medium Bitterness Level-Low Body- Medium Flavour Profile – Mix Berries, Orange Zest, Milk Chocolate Location-Chikmangalur KA.",https://roasterycoffee.co.in/product/c-t-estate/,https://roasterycoffee.co.in/wp-content/uploads/2026/05/c-t-estate-website-launch.png,Coffee
Cold Brew Blend,Roastery,650.0,1kg,Filter Roast,"– Caramel, Chocolate How to Brew – The Brew Guide Free shipping across India",Chikmagalur,Natural,"Created exclusively for cold brewing, this blend brings together coffees that shine at lower extraction temperatures. Slow steeping unlocks its dark chocolate depth, berry-like vibrancy, and natural sweetness, giving you a cold brew that is bold yet incredibly smooth. Origin – Chikmagalur Specially Processed – Blend Roast Type – Filter Roast Tasting Notes – Caramel, Chocolate How to Brew – The Brew Guide Free shipping across India",https://roasterycoffee.co.in/product/cold-brew-blend/,https://roasterycoffee.co.in/wp-content/uploads/2024/07/1-1.png,Coffee
Cold Coffee Blend,Roastery,650.0,1kg,Medium Roast,Our newest addition to the,Chikmagalur,Washed,"Our newest addition to the Roastery Home Brewing Collection, this blend is crafted for those who enjoy a full-bodied, strong cup. Bold, intense and energising, it delivers an instant caffeine kick. Your perfect go-to when you want strength, depth and a quick boost. It’s the same blend we use in our cafés to make your favourite Ice Cream Blend and other cold coffees. •⁠ ⁠Processing – Washed •⁠ ⁠Origin – Chikmagalur •⁠ ⁠Altitude – 1000-1300 MASL •⁠ ⁠Varietal – Various •⁠ ⁠Roast Level – Medium •⁠ ⁠Flavour Profile – Dark Chocolate, Caramel, Nutty •⁠ ⁠Recommended for – black, milk and cold coffee at home",https://roasterycoffee.co.in/product/cold-coffee-blend/,https://roasterycoffee.co.in/wp-content/uploads/2025/12/1-15.png,Coffee
SUMMER CAPPUCCINO BLEND,Roastery,650.0,1kg,,"– Milk chocolate, Cocoa and Jaggery Recommended for – Espresso and",Chikmagalur,,"This is Roastery’s first house blend and was created to be a traditional style milk coffee. Origin – Chikmagalur Roast Type – Espresso Roast Tasting Notes – Milk chocolate, Cocoa and Jaggery Recommended for – Espresso and French press milk coffee",https://roasterycoffee.co.in/product/espresso-milk-blend/,https://roasterycoffee.co.in/wp-content/uploads/2025/12/summer-cappuccino-website-launch.png,Coffee
Harley Estate (Robusta),Roastery,350.0,1kg,Medium Roast,The coffee cherries for this microlot are cultivated at mid,Karnataka,Anaerobic,"The coffee cherries for this microlot are cultivated at mid-elevation slopes of Harley Estate, located in the fertile Chikmagalur region of Karnataka. The estate utilizes traditional and sustainable farming practices, with a particular focus on selective harvesting and post-harvest innovation. Only fully ripened cherries with a Brix level above 19% are hand-harvested during peak season. This ensures optimal sugar content, contributing to flavor clarity and depth in the final cup. The outcome is a distinctively clean and complex cup, featuring structured sweetness, rich body, and layered notes of dark chocolate, citrus, and grape skin. Origin – Chikmagalur Altitude – 3500–3800 feet above sea level Varietal – Old Peridinia Robusta Roast Level – Medium Processing Method – Anaerobic Yeast Fermentation Primary Notes – Dark Chocolate Secondary Notes – Mandarin Orange, Black Grapes Mouthfeel – Full-bodied Acidity – Balanced, with enhanced tartness Sweetness – Medium to High",https://roasterycoffee.co.in/product/harley-estate-robusta/,https://roasterycoffee.co.in/wp-content/uploads/2025/08/1-5.png,Coffee
Mandalkhan Estate,Roastery,650.0,1kg,Medium Roast,Mandalkhan,Bababudan Giri,Washed,"Mandalkhan Estate has been a Roastery star for eight years. Grown at 4,500 ft on the inner slopes of Baba Budan Giri, this clean washed coffee is known for its clarity, balance and everyday consistency. A perfect choice if you enjoy a simple, clean and reliable cup — every single day. Origin – Chikmagalur Processing – Washed Altitude – 1340-1400 MASL Varietal – Selection- 795 Roast Level – Medium Flavour Profile – Caramel, Chocolate, Orange Berry Recommended for – Pour over, Aeropress , French press",https://roasterycoffee.co.in/product/mandalkhan-estate-2/,https://roasterycoffee.co.in/wp-content/uploads/2024/07/1-750x943-1.png-1.png,Coffee
