Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Anaerobic Naturals,Black Baza,810.0,250g,,lorem ipsum,,,lorem ipsum,https://www.blackbazacoffee.com/products/anaerobic-naturals-two-day-ferment,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/ANO2_Bag_Revised.png?v=1781802400,Coffee
Anaerobic Naturals,Black Baza,810.0,250g,,lorem ipsum,,,lorem ipsum,https://www.blackbazacoffee.com/products/anaerobic-naturals-two-day-ferment,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/ANO2_Bag_Revised.png?v=1781802400,Coffee
Anaerobic Naturals,Black Baza,810.0,250g,,lorem ipsum,,,lorem ipsum,https://www.blackbazacoffee.com/products/anaerobic-naturals-two-day-ferment,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/ANO2_Bag_Revised.png?v=1781802400,Coffee
Anaerobic Naturals,Black Baza,810.0,250g,,lorem ipsum,,,lorem ipsum,https://www.blackbazacoffee.com/products/anaerobic-naturals-two-day-ferment,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/ANO2_Bag_Revised.png?v=1781802400,Coffee
Anaerobic Naturals,Black Baza,810.0,250g,,lorem ipsum,,,lorem ipsum,https://www.blackbazacoffee.com/products/anaerobic-naturals-two-day-ferment,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/ANO2_Bag_Revised.png?v=1781802400,Coffee
Anaerobic Naturals,Black Baza,810.0,250g,,lorem ipsum,,,lorem ipsum,https://www.blackbazacoffee.com/products/anaerobic-naturals-two-day-ferment,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/ANO2_Bag_Revised.png?v=1781802400,Coffee
Anaerobic Naturals,Black Baza,810.0,250g,,lorem ipsum,,,lorem ipsum,https://www.blackbazacoffee.com/products/anaerobic-naturals-two-day-ferment,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/ANO2_Bag_Revised.png?v=1781802400,Coffee
Ant Pour Over Set,Black Baza,3000.0,,Light Roast,,Karnataka,,"Know the Artist This is a product of collaboration with Zarava, a pottery and ceramic studio based out of Mysore, Karnataka. They handcraft and produce some exceptional tableware! Know the Pour Over This Pour Over set is dense, heavy and wholesome to hold. It truly complements the kind of brew that a pour over produces too – intentional, precise, mild and clean! Being slightly on the giant side of the spectrum, these mugs can be saved for mornings that demand a larger dose of coffee than usual. This charmingly crafted ceramic set is sparsely populated with hand-painted ants. A pleasing addition to your kitchen and coffee counters, the white is sure to bring light and brightness into the space. The Pour Over weights 500g and the mug 400g. They both hold 300 ml of liquid. They are made such that the Hario V-60 paper filters will work but we strongly recommend that you use our handloom cloth filters. Better for the earth! Pour Over grinds range from Medium Fine, Medium to Medium Coarse. If you're using a cloth filter, your drip down time could be faster, so do try a shade finer than you usually would. These are handmade, each pour over is slightly different. Each Pour Over set comes with 2 of our special handloom cloth filters.",https://www.blackbazacoffee.com/products/ceramic-pour-over,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/IMG_0301.jpg?v=1715072100,Accessories
Cascara,Black Baza,450.0,250g,,,,ing,"Know the Cascara Cascara tastes nothing like coffee! The word, Cascara which can be translated from Spanish to mean ""husk"", is an increasingly popular byproduct of coffee processing. After coffee fruit is picked and pulped, the fruity pulp is dried to produce cascara, also known as dried coffee cherries. Our version is slightly tweaked, it is cascara in its original form, the husk of fruit after both have been dried together. Cascara can be brewed like loose leaf tea, steeped in hot water or as a cold brew. Although it does contain caffeine, it is about a quarter of that of coffee and jampacked with antioxidants. We love coffee but we're nudging you to try a lesser known part of coffee's journey! Know the Grower The Arabica from which this Cascara comes, has been grown by our partner producers in Biligirirangan Hills. This region, BRT as it is fondly known is a magnificent forest with elevational gradients that go from 800 to 1600m! This unique range in altitude enables all major forest types and this in turn produces a magical cup of coffee...and cascara! How to Use You can enjoy both hot and cold brew versions. Here is our recommended recipe: Cascara Tonic: Ingredients: 1 tbsp C ascara 3 cups Water 2 tbsp Jaggery Tonic Water Lime Ice Method: Simmer the Cascara, water and jaggery on medium heat for about 10-15 minutes till the volume is reduced to half. Allow it to cool, strain the mixture, and refrigerate. To make the Cascara Tonic, add ice cubes into a tall glass, pour 90 ml of the Cascara brew, the juice of half a lime and top with tonic water. Garnish with a slice of lime. Developed in partnership with The Locavore & Chef Thomas Zacharias",https://www.blackbazacoffee.com/products/cascara,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/FF_Cascara_fe59300c-8d4e-4d72-854e-f2683acc6028.jpg?v=1748594059,Tea
Cascara,Black Baza,880.0,500g,,,,ing,"Know the Cascara Cascara tastes nothing like coffee! The word, Cascara which can be translated from Spanish to mean ""husk"", is an increasingly popular byproduct of coffee processing. After coffee fruit is picked and pulped, the fruity pulp is dried to produce cascara, also known as dried coffee cherries. Our version is slightly tweaked, it is cascara in its original form, the husk of fruit after both have been dried together. Cascara can be brewed like loose leaf tea, steeped in hot water or as a cold brew. Although it does contain caffeine, it is about a quarter of that of coffee and jampacked with antioxidants. We love coffee but we're nudging you to try a lesser known part of coffee's journey! Know the Grower The Arabica from which this Cascara comes, has been grown by our partner producers in Biligirirangan Hills. This region, BRT as it is fondly known is a magnificent forest with elevational gradients that go from 800 to 1600m! This unique range in altitude enables all major forest types and this in turn produces a magical cup of coffee...and cascara! How to Use You can enjoy both hot and cold brew versions. Here is our recommended recipe: Cascara Tonic: Ingredients: 1 tbsp C ascara 3 cups Water 2 tbsp Jaggery Tonic Water Lime Ice Method: Simmer the Cascara, water and jaggery on medium heat for about 10-15 minutes till the volume is reduced to half. Allow it to cool, strain the mixture, and refrigerate. To make the Cascara Tonic, add ice cubes into a tall glass, pour 90 ml of the Cascara brew, the juice of half a lime and top with tonic water. Garnish with a slice of lime. Developed in partnership with The Locavore & Chef Thomas Zacharias",https://www.blackbazacoffee.com/products/cascara,https://cdn.shopify.com/s/files/1/0092/8451/7967/files/FF_Cascara_fe59300c-8d4e-4d72-854e-f2683acc6028.jpg?v=1748594059,Tea
