Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
1615 West Giri (Light-Med),Grey Soul,799.0,,Light Roast,,Krishnagiri,A blend of different single,"#1 SERIES - FRUIT FORWARD LOTS | 1615 Dense & juicy, balancing fruit clarity with tactile sweetness. Suitable for all brew methods. Light Roast Indian Arabica Coffee. Origin Krishnagiri Estate, West Giri Hills, Chikmagalur, Karnataka Process A blend of different single origin high grown arabica varietals. Varietal & Altitude Chandragiri grown at high altitude. Dry Aroma Red Berries & Jackfruit Wet Aroma Red Apples & Orange Sensory Evaluation Fresh watermelon, orange liqueur and a tea-like hibiscus finish. Roast Profile Light-Med Roast with low air flow, stable burner & higher development. Characteristics Fruit-forward & expressive with a dense, syrupy texture and rounded body. Minimum resting period Filter 7 Days | Espresso 12 Days A song that pairs well About the region / estate : By Producers Himu and Karunya, the estate is about the ancient land, its thriving ecosystem and our ability to work and interact within this complex structure of micro and macro organisms. It is about the coffee that is nurtured by this ecosystem and thrives only because every single organism (including humans) plays a conscious and balanced role. Krishnagiri Coffee is beyond the pale understanding of social media, it is an ineffable feeling that can only be understood by experiencing the land and its ecosystem. It is more than just Coffee! As for us, we are playing our small part in safeguarding the future of this land while finding innovative and sustainable ways to craft a perfect cup of Indian Coffee. Roasters thought : 1615 was built around the idea of elevation. The West Giri Hills rise to approximately 1,615 metres above sea level, a point where cooler temperatures and slower cherry maturation contribute to greater complexity and sweetness in the final cup. Rather than highlighting a single lot, we chose to assemble a blend of complementary high-grown coffees from the estate to capture a broader expression of the region. The roast profile follows a light-medium approach with restra",https://greysoul.coffee/products/1615-light-med-roast,//greysoul.coffee/cdn/shop/files/PHOTO-2026-06-16-16-02-32.jpg?v=1781606749&width=1946,Coffee
Cane and Lime (Light-Med Roast),Grey Soul,799.0,,Medium Roast,#2 SERIES,,High,"#2 SERIES - ROASTERS ART | Harvest 2026 | Cane & Lime Dense & Sugar-driven flavours in your final cup. Suitable for all brew methods. Sweet & Bright Indian Arabica Coffee. Origin Yelnoorkhan Estate, Pandaravalli Village, Mallenahalli Process High altitude washed arabica dried on raised beds. Varietal & Altitude Chandragiri grown at 5300 Feet Dry Aroma Dates & Chickoo Pre Crust Aroma Cardamon, Green Grapes & Dates Post Crust Aroma Chickoo, Milk Chocolate & Raisins Based on Sensory Evaluation Sweet lime & gooseberry brightness, layered over dense sugar-driven base of jaggery & sugarcane Roast Profile Light-Medium Roast with high air flow & 14-15 % development. Characteristics Juicy mouthfeel with a medium body & bright, clean acidity. Minimum resting period Filter 7 Days | Espresso 14 Days A song that pairs well About the region / estate : At a maximum elevation of 5300 feet above MSL, the coffees from the Yelnoorkhan Estate are in a class of their own. These high elevation coffees are much sought-after and have the rare distinction of having been sold under the Yelnoor Khan Mist brand name in North America in the early 2000s. Established in the early 1900s, this estate was taken over by Kelachandra Coffee in 2021. Located in the direct vicinity of the Mullayanagiri peak, it tells the story of the history and origins of coffee culture in India. Due to the terrain’s harsh demands, handpicked coffee continues to remain a uniquely Indian tradition, even as the rest of the world moves on to mechanization. The ethos of respect for the land and the crop directly translates into one of Kelachandra Coffee’s finest single-origin produce. Roasters thought : High elevation coffees tend to carry tighter cell structure and higher organic acid content. To manage this, we used high airflow throughout the roast , allowing for cleaner heat transfer and avoiding any roast-induced heaviness that could mask the cup’s definition. The profile was taken to a light–medium endpoint with ~14% ",https://greysoul.coffee/products/cane-lime-light-med-roast,//greysoul.coffee/cdn/shop/files/cane_and_lime_shopify.jpg?v=1777633640&width=1946,Coffee
Coffee Bean Doser,Grey Soul,799.0,,,Stoneware Matte White coffee bean dosing cup by grey soul coffee,,,"Stoneware Matte White coffee bean dosing cup by grey soul coffee roasters, for weighing and dosing your beans. An aesthetic way to weigh your beans before making your coffee. The doser is capable of holding 24g of beans and will be suitable for both filter and espresso doses, even for screen 18+ arabica. Dimensions are : 10cm (4"") Length 4cm (1.5"") Height 7.5cm (3"") Width Characteristics: Lead free Dishwasher & Microwave Safe Handmade Stoneware Please note: Each coffee doser is handmade, so slight variations in shape, color, or finish make every piece unique.",https://greysoul.coffee/products/coffee-bean-dosing-cup-grey-soul-coffee,//greysoul.coffee/cdn/shop/files/doser_front_6c63a4a4-ad53-4e72-a014-a960e230e653.jpg?v=1759237138&width=1946,Coffee
Functional Tote Bag,Grey Soul,499.0,,,"13 x 16 INCH, Grey Soul Coffee",,,"13 x 16 INCH | Grey Soul Coffee Roasters, Functional TOTE Bag. Made using Canvas Cotton our tote bag has a 3 inch base for you to carry : A Laptop Books Coffee Tumbler Your MAX size smartphone Why is it a functional tote bag ? Seperate Tumbler holder Smartphone pocket Cotton canvas material Can take upto 20 Kilos of weight Care Instructions for 13 x 16 Inch: Soak in detergent water & Sun Dry Do not machine wash Do not hand brush wash 18 x 17 INCH | Grey Soul Coffee Roasters, Lifestyle TOTE Bag. Features of lifestyle tote bag ? Seperate Tumbler holder Cotton canvas material Luggage strap Can take upto 40 Kilos of weight Embroidered Branding Care Instructions for 18 x 17 Inch: Soak in detergent water & Sun Dry Do not machine wash",https://greysoul.coffee/products/functional-tote-bag,//greysoul.coffee/cdn/shop/files/tote_bag_resting_front.jpg?v=1759493950&width=1946,Accessories
Sensory Stoneware Cup,Grey Soul,599.0,,,Sensory Handmade Stoneware Coffee Cup by grey soul coffee,,,"Sensory Handmade Stoneware Coffee Cup by grey soul coffee roasters. After, t ons of Reconciliation & Re-calibration, The cups are now yours to own. Its finally here : Its all handmade Crafted for all Beverages Its stoneware Lead free Dishwasher & Microwave Safe With 0% Exterior Condensation Incredible Heat Retention. Sizes: 120 ML (ESPRESSO | CORTADO) 180 ML (FLAT WHITE | LATTE) 240 ML (FOR DRIP | ALL) *Capacity is measured up to the brim: 120ml, 180ml, and 240ml respectively. Inspired by 3 colors: Black Matte Cup Is inspired by the crystal clear Umngot River and the rocks that resemble the color of our stoneware. White Matte Cup Inspired by the White Marble Palitana Tirth, Bhavnagar, Gujarat. Grey Matte Cup Inspired by the Peninsular Genesis located at all Lal bagh in Bangalore also called Lal Bagh Rock.",https://greysoul.coffee/products/grey-soul-coffee-stoneware-handmade-cups,//greysoul.coffee/cdn/shop/files/pottery_front_87d052a5-115b-4259-8f63-7d6ced1098df.jpg?v=1759237677&width=1946,Accessories
White Hario filter paper size 02,Grey Soul,420.0,,,,Japan,,Hario Size 02 White Coffee Brewing Filter Paper. Product Type: Disposable Filters Cone Shaped white paper filter for 02 pour-over brewers Each filter brews a single or a double cup at a time. 100 Sheets of paper filter per packet. Product specification: Material Paper Product Code VCF-02-100W Brand Hario Country of origin Japan Weight 100 g,https://greysoul.coffee/products/hario-filter-paper-size-02-40-brown,//greysoul.coffee/cdn/shop/files/Hario-V60-White-Filter-Paper_jpeg.webp?v=1757320150&width=1946,Accessories
Summer in Kodaikanal (Light Roast),Grey Soul,799.0,,Light Roast,,,Sun Dried Naturals using Controlled Dehydrator Drying,"#1 SERIES - FRUIT FORWARD LOTS | Harvest 2026 | SUMMER IN KODAIKANAL Mandarin brightness & rounded body that carries a lingering tropical fruit finish. Suitable for all brew methods. Fruity Indian Arabica Coffee. Origin Princess of Hill Stations (Kodaikanal), Perumalmalai Hills, St. Joseph Estate Process Sun Dried Naturals using Controlled Dehydrator Drying Varietal & Altitude Catimor, Chandragiri & Sln9 grown at 4000+ Feet Dry Aroma Ripe Red berries Pre Crust Aroma Plums & Pineapples Post Crust Aroma Red Berries & Oranges Based on Sensory Evaluation Ripe Strawberries with mandarin brightness, layered over gentle tropical fruit & soft cacao finish. Roast Profile Light Roast with high air flow & 14% development Characteristics Sweet, vibrant cup with bright acidity, a medium-heavy body & lingering sweetness. Minimum resting period Filter 6 Days | Espresso 14 Days A song that pairs well About the region / estate : This lot was sourced from St. Joseph Estate , situated in the hills of Perumalmalai in Kodaikanal , a region often referred to as the Princess of Hill Stations . The estate sits at approximately 4000 feet above sea level , where cooler mountain temperatures allow for slower cherry maturation and a more concentrated sugar development in the fruit. The coffee is composed of Catimore, Chandragiri, and SLN9 cultivars, varieties well suited to the high elevation conditions of the region. Cherries were harvested at peak ripeness and processed as sun-dried naturals , using controlled dehydrator technology to carefully regulate moisture loss during the drying phase. This method allows for a stable fermentation environment while preserving the integrity of the fruit sugars and aromatic compounds. Roasters thought : During roasting, we aimed to highlight the coffee’s natural fruit density and creamy structure . The profile follows a light roast approach with elevated airflow and a development ratio of approximately 14% , allowing for clarity of flavour while maintaini",https://greysoul.coffee/products/kodaikanal-naturals,//greysoul.coffee/cdn/shop/files/grey_bag_34bde099-bc7e-40ba-8586-14935957c8b6.jpg?v=1773839500&width=1946,Coffee
MOGRA,Grey Soul,899.0,,Light Roast,"#5 SERIES - HIGH SCORING LOTS, MOGRA Jasmine in your final cup",Ratnagiri Estate,"of this LOT, but as we sample","#5 SERIES - HIGH SCORING LOTS | MOGRA Jasmine in your final cup. Suitable for all brew methods. Ideal as Filter. Indian Arabica Coffee. Serving as Pour-over at Bandra, Mumbai Origin Ratnagiri Estate, Chikmagalur Process Anaerobic Fermented Naturals with culture microbes & mechanical dried at the farm. Varietal & Altitude SL9 grown at 4450 Feet Dry Aroma Jasmine Florals, Chocolate & Grapefuit Wet Aroma Jasmine, Vanilla & Forest Honey. BRIX 24.2 Sensory Evaluation Intensely sweet cup with notes of Vanilla & Sweet Lime underpinning complex floral notes of Jasmine. Roast Profile Light Roast dropped with an early 1st crack & 16% DTR. Characteristics Heavy floral aromatics followed by a well balanced cup & deep sweetness. Minimum resting period Filter 10 Days | Espresso 19 Days A song that pairs well Roaster thoughts : Fermented naturals from ratnagiri estate profiled as an ultra light to bring out the floral notes from this LOT. This coffee is one the most unique single origin coffees's we have come across. A lot that everyone must try to understand terror and complexity Indian specialty coffee can deliver. It was a challenge at first to understand the nature, origin and process of this LOT, but as we sample roasted and cupped first few batches we knew where we were headed. Clean floral aromatics, jasmine in your final cup & bright acidity makes this a very enjoyable cup of coffee. Brewing Note: Due to its delicate roast level, we recommend brewing this coffee with higher water temperatures (97° C) and a controlled pour to ensure full extraction. Attention to grind size, agitation, and brew time is critical to achieve optimal clarity and balance in the cup. This coffee is a testament to our commitment to innovation and continuous refinement in roasting. The estate and efforts: We all are familiar with the producer Mr. Ashok Patre and his family run estate Ratnagiri Estate. Our founder visited the farm back in the month of march 2021 when coffee processing was at its peak",https://greysoul.coffee/products/mogra-light-roast,//greysoul.coffee/cdn/shop/files/front_mogra.jpg?v=1775470177&width=1946,Coffee
Pink Lemonade (Ultra-Light),Grey Soul,899.0,,Light Roast,"#5 SERIES - HIGH SCORING LOTS, Harvest 2026, Pink Lemonade Lemonade like with Sweet & lively acidity",Kohima,Sun-Dried Anaerobic Naturals with Raised Bed Drying,"#5 SERIES - HIGH SCORING LOTS | Harvest 2026 | Pink Lemonade Lemonade like with Sweet & lively acidity. Suitable for all brew methods. Ideal as Filter. Fruity Citrus Indian Arabica Coffee. Serving as Pour-over at Bandra, Mumbai & Pune, Koregoan Park Origin Tsiesema Village, Kohima, Nagaland Process Sun-Dried Anaerobic Naturals with Raised Bed Drying. Varietal & Altitude Chandragiri grown at 1350 MSL Dry Aroma Blueberries, Pineapples & Chocolate Pre-crust Aroma Dried Figs & Apples Post-crust Aroma Jackfruit, Nuts & Dates. Sensory Evaluation Vibrant citrus characters, layered with orange, green grape & red apple atop a sweet base of dried fig. Roast Profile Ultra-Light roast with elevated heat & restrained airflow, developed to 16% Characteristics Sweet, lively acidity with Med-heavy body & Bright aromatic lift Minimum resting period Filter 5 Days | Espresso 9 Days A song that pairs well Roaster thoughts : We approached the roast with elevated initial energy and restrained airflow , allowing the coffee to move cleanly through drying while avoiding excessive convection that can flatten aromatics. The profile was kept deliberately short, finishing at an ultra-light endpoint with 15-16% development , just enough to stabilise the structure without muting the fruit.Anaerobic coffees can easily tip into heavy, ferment-driven profiles. Here, we aimed for the opposite, keeping the cup transparent and articulate , where fermentation supports rather than dominates. In the cup, this results in a bright citrus-forward expression , with orange and green grape acidity , layered with red apple sweetness , and a softer fig-like finish that carries through the aftertaste. The body remains medium-heavy but clean , with a lifted aromatic profile. Brewing Note: Due to its delicate roast level, we recommend brewing this coffee with higher water temperatures (97-98° C) and a controlled pour to ensure full extraction. Attention to grind size, agitation, and brew time is critical to achieve ",https://greysoul.coffee/products/pink-lemonade-ultra-light-nagaland-coffee,//greysoul.coffee/cdn/shop/files/pinklemonadeblack_bag_w_o_windoe.jpg?v=1777349154&width=1946,Coffee
Raspberry in Loop,Grey Soul,799.0,,Medium Roast,#2 SERIES,Chikmagalur,Anaerobic,"#2 SERIES - ROASTERS ART | 2.3 RASPBERRY IN LOOP Heavy Bodied with Raspberry tartiness in your final cup. Suitable for all brew methods. Fruity Indian Arabica Coffee. Origin Chikmagalur, Karnataka Process Anaerobic fermentation done in 3 stages for 72 hours , 48 hours and 24 hours consecutively. Eventually sun-dried on raised beds for a extended period. BRIX 22 Varietal & Altitude Sl795 & Chandragiri grown at 4180 ft Dry Aroma Pineapple, Mandarin & Cacao Wet Aroma Prune & Chocolate Sensory Evaluation Natural lot with rich & ripe character of Raspberry backed up by round milk chocolate contrasted with a crisp & sweet mandarin acidity. Roast Profile Med Roast with high DTR, low fan speed & variable drum RPM. Characteristics Heavy bodied with deep rich tart sweetness. Minimum resting period Filter 7 Days | Espresso 14 Days A song that pairs well Roaster thoughts : After Mango in Loop & strawberry comes in a single origin arabica called Raspberry in Loop. We’ve taken this to a medium roast with a high development time ratio, keeping fan speed low and drum RPM variable. This gives us heavier caramelisation and excellent solubility, while still preserving a bright, clean thread of acidity. In the cup, expect a rich, ripe raspberry core supported by pineapple and mandarin up top. It’s heavy-bodied, dense and sweet, ideal for both syrupy, fruit-forward espresso and big, expressive filter brews. We recommend resting 7 days for filter and around 14 days for espresso to let the aromatics settle and the sweetness really lock in. Brew Approach : 18 Gram -> 40 ML (1:2.15) Temperature 91-93 C Extraction time 25 sec Steady pressure of 9 Pressure profiling, Start: 2 bars → 6 bars at 10 sec → hold at 9 bars from 10–30 sec Brew Better: Water & Resting Guidelines Water is just as important as the beans. For the cleanest, most balanced cup, we recommend using **mineral water with a Total Dissolved Solids (TDS) level not above 140 ppm**. This will allow the true flavor of your coffee to ",https://greysoul.coffee/products/raspberry-in-loop,//greysoul.coffee/cdn/shop/files/RIL.jpg?v=1774334778&width=1946,Coffee
