roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
Hunkal Heights,Aranya Gold - Pure Ground Coffee (Prev. All Day Brew),Rs. 315.00,INR,"Start your day and keep it going with Aranya Gold, a 100% Arabica ground coffee , perfect for your daily coffee ritual. Grown and harvested at our exclusive Thogarihunkal Estate in Chikkamagalur, this estate coffee delivers a smooth, balanced, and refined experience, any time of day. 
 
 
 
  Thogarihunkal Estate Sector  
  Chandragiri 
 
 
 
  Altitude  
  3800 ft Above Sea Level 
 
 
 
  Blend Composition  
  100% Arabica  
 
 
 
  Flavor Profile  
 A bright but mild acidity, which contributes to a clean, crisp taste. With floral undertones along with hints of fruit, adding complexity to the flavor. 
 
 
  Roast Level  
 Medium, providing a balanced mouthfeel that’s neither too heavy nor too light. 
 
 
  Best Brewed In  
 South India Filter Set, Boiled water decoction, Stove top, Espresso, Pourover, Drip coffee makers 
 
 
  Value",https://www.hunkalestatecoffee.com/products/aranya-gold-pure-ground-coffee,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/Aranya_Gold_Ground_Coffee_250gms_front.png?v=1755023380,250 gms:315.00,
Hunkal Heights,Aranya Gold Coffee Beans,Rs. 630.00,INR,"In the altitudes of the western ghats, the height of our coffee craftsmanship is   Aranya Gold.   This pure 100% Arabica is nurtured on the slopes that border the lush jungle and its abundant flora and vising fauna. It’s the culmination of seven generations of passion, expertise and the generosity of nature at our own Thogarihunkal Estate in Chikmagalur.  
 
 
 
   Thogarihunkal Estate Sector 
 
  Chandragiri 
 
 
 
   Altitude 
 
  3800 ft Above Sea Level 
 
 
 
  Blend Composition  
  100% Arabica W hole Beans  
 
 
 
  Flavor Profile  
 
  Aroma  : An enchanting bouquet of  floral and fruity,  a prelude to the sensory journey that awaits.   Taste  : A harmonious blend of  bright acidity  and smooth, well-rounded flavors, each sip of Aranya Gold becomes a revelation. Notes of  citrus, berries, and a gentle sweetness  unpack on your palate.   Finish  :  Clean and refreshing,  with a lingering aftertaste that punctuates the coffee's complexity 
 
 
 
  Roast Level  
 Medium, to release the nuances and natural sweetness of our Arabica beans. 
 
 
  Best Brewed In  
 Espresso, Pour-over, French press, Drip coffee makers 
 
 
  Value  
   
 
 
  Cupper's notes  
 
 ""Pure, unadulterated luxury. Perfect for discerning coffee lovers who appreciate the artistry and craftsmanship of every bean.""",https://www.hunkalestatecoffee.com/products/aranya-gold-coffee-beans,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/Aranya_Gold_Roasted_Beans_500gms_front_7de3a028-1ed7-4157-bf4e-1fb4690651ae.png?v=1755073924,500 gms:630.00,
Hunkal Heights,Authentic South Indian Brass Coffee Filter,Rs. 1050.00,INR,"Bring back the ritual of slow, measured, unhurried filter coffee into your everyday. Made of solid brass, our Filter Set is designed the way it has been for generations. With simplicity. Use it to extract thick, strong, aromatic decoction from your coffee and pour it into a tumbler with intention. 
  Why Brass  
 Brass has always been part of traditional South Indian kitchens. It holds heat well, ages beautifully, and adds a certain weight to the process. It’s something you can feel in your hands every morning. 
  What’s Included  
 
 Upper chamber (for coffee powder) 
 Lower chamber (to collect decoction) 
 Press disc 
 Lid 
 
  Care Instructions  
 
 Wash gently with mild soap 
 Dry immediately to avoid water marks 
 Over time, brass may naturally darken 
 Polish occasionally if you prefer a brighter finish",https://www.hunkalestatecoffee.com/products/authentic-south-indian-brass-coffee-filter,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/Gemini_Generated_Image_88loej88loej88lo.png?v=1760448839,250ml:1050.00,
Hunkal Heights,Authentic South Indian Brass Davara Set,Rs. 600.00,INR,"A traditional companion to filter coffee that reflects the heritage of South India’s finest coffee culture. Perfect for coffee mixing and cooling, the davara set not only maintains the temperature but also enhances the flavor, making each sip an indulgent experience. 
 Whether you’re sipping on Estate Filter Coffee at home or gifting a coffee lover, this set adds a touch of timeless tradition. The warm golden hue of the brass ages beautifully over time, giving it a unique patina, reflecting authentic craftsmanship.  
  Features:  
 
 
 Material:  100% Brass (Food-safe) 
 
 Usage:  Ideal for serving South Indian Filter Coffee 
 
  Hunkal Estate Coffee Recommends  
 The davara set has been traditionally used by us to pour and aerate filter coffee, amplifying the flavors and aroma. Pair it with our South Indian Filter Coffee to enjoy an authentic experience at home.",https://www.hunkalestatecoffee.com/products/authentic-south-indian-brass-davara-set,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/Hunkal_Dabara_Set.jpg?v=1729591893,100ml:600.00; 200ml:700.00,
Hunkal Heights,Filter Coffee Bold,Rs. 210.00,INR,"Robust flavors are unleashed, with a distinctive blend of 65% coffee and 35% chicory of Hunkal Estate Coffee's BOLD Filter Coffee Powder. Crafted with care at our very own Thogarihunkal Estate in Chikmagalur, this ground coffee combines the rich essence of altitude-grown beans with the bold character of chicory. Every sip is a powerful and invigorating experience.  
 
 
 
  Blend Composition  
 65% Coffee  35% Chicory 
 
 
  Flavor Profile  
 Bold and full-bodied blend with a perfect balance of rich coffee flavors and the earthy, slightly bitter notes of chicory. 
 
 
  Roast Level  
 Dark, to bring out the full depth and intensity of the coffee and chicory blend. 
 
 
  Best Brewed In  
 South India Filter Set, Boiled water decoction, Stove top 
 
 
  Value",https://www.hunkalestatecoffee.com/products/filter-coffee-bold,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/1_bbac3f7c-4cf0-4705-b688-53dce0c6cbdf.png?v=1737433307,250 gms:210.00; 500 gms:415.00,
Hunkal Heights,Filter Coffee Dark,Rs. 190.00,INR,"Introducing Hunkal Estate Coffee's DARK, an intense filter coffee blend crafted for those who crave the quintessential strength of South Indian filter coffee. This 60% single-estate coffee and 40% chicory, grown, harvested, and ground at Thogarihunkal Estate in Chikmagalur, delivers a full-bodied cup of filter coffee with an extra punch.  
 
 
 
  Blend Composition  
  60% Coffee  40% Chicory 
 
 
  Flavor Profile  
 Bold, full-bodied enhanced by the chicory's earthy, slightly bitter undertones. A smooth and intense cup with a lingering finish. 
 
 
  Roast Level  
 Dark &amp; deep, enhancing the coffee’s inherent strength and richness 
 
 
  Best Brewed In  
 South India Filter Set, Boiled water decoction, Stove top 
 
 
  Value",https://www.hunkalestatecoffee.com/products/filter-coffee-dark,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/1_e59e3020-1248-4689-a244-94e825ff89e9.png?v=1737433954,250 gms:190.00; 500 gms:375.00,
Hunkal Heights,Filter Coffee Mild,Rs. 240.00,INR,"If there is a perfect balance of altitude and attitude it's Hunkal Estate Coffee's MILD, a unique blend of 90% coffee and 10% chicory. This exceptional ground coffee, crafted at our exclusive Thogarihunkal Estate in Chikmagalur, offers a subtle and flavorful experience that is is a delight to the senses.  
 
 
 
  Blend Composition  
 90% Coffee  10% Chicory 
 
 
  Flavor Profile  
 Delicate and inviting 
 
 
  Roast Level  
 Medium, to highlight the natural characteristics of both coffee and chicory. 
 
 
  Best Brewed In  
 South India Filter Set, Boiled water decoction, Stove top 
 
 
  Value",https://www.hunkalestatecoffee.com/products/filter-coffee-mild,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/1_955c211f-221c-48d6-bf3b-c390e9cc7cc8.png?v=1737434679,250 gms:240.00; 500 gms:475.00,
Hunkal Heights,Filter Coffee Rich,Rs. 230.00,INR,"The luxurious taste of Hunkal Estate Coffee's RICH is an indulgence. An exquisite blend of 80% coffee and 20% chicory, this exceptional ground coffee is crafted with precision at our own Thogarihunkal Estate combining the finest high-altitude beans with the rich character of chicory for a decadent coffee experience. 
 
 
 
  Blend Composition  
 80% Coffee  20% Chicory 
 
 
  Flavor Profile  
 Smooth and lingering, with a rich aftertaste that leaves a lasting impression.  
 
 
  Roast Level  
 Medium-dark, to bring out the full depth and richness of the coffee and chicory  
 
 
  Best Brewed In  
 South Indian Filter Set, Boiled water decoction, Stove top 
 
 
  Value",https://www.hunkalestatecoffee.com/products/filter-coffee-rich,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/1_09a37130-a1d6-4735-9dc5-2a4f00f632a1.png?v=1749019249,250 gms:230.00; 500 gms:455.00,
Hunkal Heights,Filter Coffee Strong,Rs. 220.00,INR,"Feel the embrace of intense flavors of Hunkal Estate Coffee's STRONG, a masterful blend of 70% coffee and 30% chicory. Meticulously crafted at our own Thogarihunkal Estate in Chikmagalur, this filter coffee powder combines the rich, high-altitude beans with the robust character of chicory. The flavour is strong and satisfying.  
 
 
 
  Blend Composition  
 70% Coffee  30% Chicory 
 
 
  Flavor Profile  
 Strong and lingering, with a satisfying aftertaste 
 
 
  Roast Level  
 Dark, to bring out the full depth and intensity of the coffee and chicory blend. 
 
 
  Best Brewed In  
 South India Filter Set, Boiled water decoction, Stove top 
 
 
  Value",https://www.hunkalestatecoffee.com/products/filter-coffee-strong,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/1_af9a8a59-5dd0-4e40-aca3-4b4787bf2d14.png?v=1749019784,250 gms:220.00; 500 gms:435.00,
Hunkal Heights,Tiger Reserve - Pure ground coffee (Prev. Morning Brew),Rs. 290.00,INR,"Kickstart your mornings with Tiger Reserve ground coffee, a special blend of 80% Arabica and 20% Robusta from our exclusive Thogarihunkal Estate in Chikkamagalur. Grown and harvested in the sector that's frequented by Tigers, Estate Coffee delivers a vibrant and energizing experience, for a roaring morning routine. 
 
 
 
   Thogarihunkal Estate Sector 
 
  Chandragiri &amp; S274 
 
 
 
   Altitude 
 
  3500 TO 3800 ft Above Sea Level 
 
 
 
  Blend Composition  
 80% Arabica  20% Robusta 
 
 
  Flavor Profile  
 Well-balanced blend with mild acidity and deep, rich flavors. 
 
 
  Roast Level  
 Medium, to highlight the natural characteristics and balanced flavors of the Arabica and Robusta 
 
 
  Best Brewed In  
 South India Filter Set, Boiled water decoction, Stove top, Espresso, Pourover, Drip coffee makers 
 
 
  Value",https://www.hunkalestatecoffee.com/products/tiger-reserve-pure-ground-coffee,https://cdn.shopify.com/s/files/1/0799/9812/4319/files/Tiger_Reserve_Ground_Coffee_250gms_front.png?v=1755028342,250 gms:290.00,
